TimeElapsed,AvgEpLen,IWMin,ReturnMean,InvPendulum_std1_higher,DenMISEMeanLog,BoundBonus,Bound,NumTrainableParams,Regret,InvPendulum_mu3_higher,IWFirstEpisode,Regret/t,NumTrajectories,ReturnMin,InvPendulum_std2_higher,InvPendulum_mu0_higher,ReturnLastEpisode,MinEpLen,InvPendulum_std3_higher,InvPendulum_std0_higher,IWMean,ReturnMax,GridSize,IWLastEpisode,TimestepsSoFar,DenMISELogFirst,ReturnAbsMax,IWMax,BoundMISE,ActionIn1,InvPendulum_mu2_higher,Iteration,InvPendulum_mu1_higher,DenMISELogLast,Delta
0.09690284729003906,80.0,,-152.3921,0.01,13.842831,inf,inf,4,157.3921,-0.2,,157.3921,1,-152.3921,0.01,-0.2,-152.3921,80,0.01,0.01,,-152.3921,1,,80,13.842831,152.3921,,,-0.7791033,-0.2,1,-0.2,13.842831,0.060792707
0.4119391441345215,53.0,,-133.34567,0.01,12.50985,inf,inf,,276.69135,0.2,,138.34567,2,-152.3921,0.01,-0.2,-114.29925,26,0.01,0.01,,-114.29925,16,,106,13.149683,152.3921,,,-0.44747096,-0.2,2,-0.2,11.870017,0.001788021
0.5839047431945801,44.666666666666664,,-130.63567,0.01,11.534986,inf,inf,,406.90698,-0.2,,135.63567,3,-152.3921,0.01,-0.2,-125.21561,26,0.01,0.01,,-114.29925,16,,134,12.744218,152.3921,,,-0.38301903,0.2,3,-0.2,10.396187,0.000794676
0.7284519672393799,41.75,,-128.91867,0.01,11.2202,inf,inf,,535.6747,0.2,,133.91867,4,-152.3921,0.01,-0.2,-123.7677,26,0.01,0.01,,-114.29925,16,,167,12.456536,152.3921,,,0.0039751977,0.2,4,-0.2,11.138889,0.00044700524
0.8926434516906738,42.6,,-131.19637,0.01,10.640477,inf,inf,,680.9818,-0.2,,136.19637,5,-152.3921,0.01,0.2,-140.30716,26,0.01,0.01,,-114.29925,16,,213,12.233393,152.3921,,,-0.41479826,-0.2,5,-0.2,9.214161,0.00028608335
1.0142168998718262,38.666666666666664,,-127.64793,0.01,10.674222,inf,inf,,795.8876,0.2,,132.64792,6,-152.3921,0.01,0.2,-109.9057,19,0.01,0.01,,-109.9057,16,,232,12.051071,152.3921,,,0.010887742,-0.2,6,-0.2,11.75455,0.000198669
1.1459071636199951,36.142857142857146,,-126.256065,0.01,10.437929,inf,inf,,918.7925,-0.2,,131.25607,7,-152.3921,0.01,0.2,-117.90492,19,0.01,0.01,,-109.9057,16,,253,11.89692,152.3921,,,-0.015013427,0.2,7,-0.2,9.945082,0.00014596088
1.2915716171264648,35.375,,-125.575836,0.01,10.372627,inf,inf,,1044.6067,0.2,,130.57584,8,-152.3921,0.01,0.2,-120.81417,19,0.01,0.01,,-109.9057,16,,283,11.763389,152.3921,,,0.4231024,0.2,8,-0.2,10.850238,0.00011175131
1.4689412117004395,36.888888888888886,,-127.24004,0.01,10.19163,inf,inf,,1190.1604,-0.2,,132.24005,9,-152.3921,0.01,-0.2,-140.55377,19,0.01,0.01,,-109.9057,16,,332,11.645606,152.3921,,,-0.39143673,-0.2,9,0.2,9.685916,8.829733e-05
1.605210542678833,35.4,,-124.93024,0.01,10.118963,inf,inf,,1299.3024,0.2,,129.93024,10,-152.3921,0.01,-0.2,-104.14198,19,0.01,0.01,,-104.14198,16,,354,11.540246,152.3921,,,0.0013300031,-0.2,10,0.2,10.413204,7.152084e-05
1.7276995182037354,33.36363636363637,,-123.27693,0.01,10.14161,inf,inf,,1411.0463,-0.2,,128.27693,11,-152.3921,0.01,-0.2,-106.743935,13,0.01,0.01,,-104.14198,16,,367,11.444936,152.3921,,,-0.015474901,0.2,11,0.2,11.321178,5.9108123e-05
1.862961769104004,32.666666666666664,,-122.821266,0.01,10.155866,inf,inf,,1533.8552,0.2,,127.821266,12,-152.3921,0.01,-0.2,-117.809,13,0.01,0.01,,-104.14198,16,,392,11.3579235,152.3921,,,0.4217001,0.2,12,0.2,11.269801,4.966725e-05
2.0084891319274902,31.846153846153847,,-122.47369,0.01,10.174968,inf,inf,,1657.158,-0.2,,127.47369,13,-152.3921,0.01,0.2,-118.3027,13,0.01,0.01,,-104.14198,16,,414,11.277882,152.3921,,,0.032460272,-0.2,13,0.2,11.364701,4.232002e-05
2.1476352214813232,31.214285714285715,,-121.44746,0.01,10.124135,inf,inf,,1770.2644,0.2,,126.44746,14,-152.3921,0.01,0.2,-108.10644,13,0.01,0.01,,-104.14198,16,,437,11.2037735,152.3921,,,0.43419474,-0.2,14,0.2,10.426714,3.649022e-05
2.2733778953552246,30.133333333333333,,-120.65346,0.01,9.878817,inf,inf,,1884.8019,-0.2,,125.65346,15,-152.3921,0.01,0.2,-109.53747,13,0.01,0.01,,-104.14198,16,,452,11.134781,152.3921,,,0.41879386,0.2,15,0.2,7.4102664,3.178704e-05
