AvgEpLen,InvPendulum_mu3_higher,TimestepsSoFar,ReturnMean,DenMISEMeanLog,GridSize,DenMISELogFirst,Bound,InvPendulum_mu2_higher,ReturnMin,InvPendulum_mu1_higher,Iteration,IWMax,IWLastEpisode,ReturnLastEpisode,InvPendulum_std2_higher,IWMean,InvPendulum_std3_higher,ActionIn1,InvPendulum_mu0_higher,Regret,Delta,NumTrainableParams,IWMin,Regret/t,NumTrajectories,TimeElapsed,InvPendulum_std1_higher,ReturnAbsMax,MinEpLen,BoundBonus,DenMISELogLast,IWFirstEpisode,BoundMISE,ReturnMax,InvPendulum_std0_higher
28.22222222222222,-0.2,508,-116.08127,9.669964,16,7.8504777,733.9418,-0.2,-143.11214,0.2,18,17.999992,,-110.26836,0.01,0.9999996,0.01,0.0033134818,0.2,2179.463,2.2074333e-05,,,121.08127,18,2.847470998764038,0.01,143.11214,15,818.88873,12.056257,,-84.94693,-106.80533,0.01
27.42105263157895,-0.2,521,-115.52105,9.786079,16,7.7964106,737.6535,0.2,-143.11214,0.2,19,19.0,,-105.436966,0.01,1.0,0.01,0.41514307,0.2,2289.9,1.9811867e-05,,,120.52105,19,2.991422653198242,0.01,143.11214,13,823.008,12.156241,,-85.35447,-105.436966,0.01
27.95,-0.2,559,-115.94855,9.874971,16,7.745117,741.52814,0.2,-143.11214,0.2,20,20.0,,-124.07121,0.01,1.0,0.01,-0.032489464,-0.2,2418.971,1.788021e-05,,,120.94855,20,3.1658055782318115,0.01,143.11214,13,826.8971,11.8453455,,-85.36896,-105.436966,0.01
27.523809523809526,0.2,578,-115.74347,9.870394,16,7.696327,743.77515,0.2,-143.11214,0.2,21,20.999996,,-111.64167,0.01,0.9999998,0.01,0.40965378,-0.2,2535.6128,1.6217875e-05,,,120.74347,21,3.3271071910858154,0.01,143.11214,13,830.57947,10.061493,,-86.8043,-105.436966,0.01
27.09090909090909,0.2,596,-115.66079,9.86745,16,7.649807,747.2528,-0.2,-143.11214,0.2,22,22.000002,,-113.924736,0.01,1.0000001,0.01,-0.011484757,-0.2,2654.5374,1.4777031e-05,,,120.66079,22,3.476310968399048,0.01,143.11214,13,834.0753,10.089399,,-86.8225,-105.436966,0.01
26.652173913043477,0.2,613,-115.503586,9.913802,16,7.6053553,750.54785,-0.2,-143.11214,0.2,23,23.0,,-112.04536,0.01,1.0,0.01,0.38365462,0.2,2771.5825,1.3520007e-05,,,120.503586,23,3.618595838546753,0.01,143.11214,13,837.4021,11.218345,,-86.854225,-105.436966,0.01
26.291666666666668,-0.2,631,-115.39713,9.97013,16,7.5627956,752.42206,0.2,-143.11214,-0.2,24,24.0,,-112.94877,0.01,1.0,0.01,-0.39146698,-0.2,2889.5312,1.2416813e-05,,,120.39713,24,3.7567436695098877,0.01,143.11214,13,840.575,11.551379,,-88.15296,-105.436966,0.01
27.2,0.2,680,-115.55,10.023419,16,7.5219736,753.43225,0.2,-143.11214,-0.2,25,25.000002,,-119.21857,0.01,1.0000001,0.01,0.37969196,0.2,3013.75,1.1443334e-05,,,120.55,25,3.9526166915893555,0.01,143.11214,13,843.6071,11.588938,,-90.174866,-105.436966,0.01
27.5,-0.2,715,-116.22181,9.993627,16,7.482753,752.30286,-0.2,-143.11214,-0.2,26,26.000004,,-133.01701,0.01,1.0000001,0.01,-0.7973028,-0.2,3151.767,1.0580005e-05,,,121.22181,26,4.121266841888428,0.01,143.11214,13,846.5101,9.536217,,-94.207184,-105.436966,0.01
28.14814814814815,-0.2,760,-116.56416,9.971008,16,7.4450126,755.0391,0.2,-143.11214,-0.2,27,27.000002,,-125.46529,0.01,1.0000001,0.01,-0.014238462,0.2,3282.2324,9.810813e-06,,,121.56416,27,4.30817174911499,0.01,143.11214,13,849.29407,9.671019,,-94.25494,-105.436966,0.01
27.75,0.2,777,-116.274956,10.016913,16,7.408645,757.1601,0.2,-143.11214,0.2,28,28.00001,,-108.466515,0.01,1.0000004,0.01,0.783503,0.2,3395.6987,9.122555e-06,,,121.274956,28,4.456134557723999,0.01,143.11214,13,851.96826,11.545111,,-94.80818,-105.436966,0.01
