IWFirstEpisode,BoundMISE,InvPendulum_mu0_higher,BoundBonus,DenMISELogLast,ReturnLastEpisode,IWLastEpisode,InvPendulum_mu3_higher,Regret/t,InvPendulum_mu1_higher,ActionIn1,IWMax,Regret,MinEpLen,GridSize,NumTrainableParams,IWMean,InvPendulum_std3_higher,InvPendulum_std1_higher,DenMISELogFirst,InvPendulum_mu2_higher,Bound,ReturnMax,ReturnMean,Iteration,Delta,TimestepsSoFar,InvPendulum_std0_higher,ReturnAbsMax,NumTrajectories,IWMin,TimeElapsed,DenMISEMeanLog,ReturnMin,AvgEpLen,InvPendulum_std2_higher
,,-0.2,inf,13.894467,-99.79039,,-0.2,104.79039,-0.2,-0.8263967,,104.79039,24,1,4,,0.01,0.01,13.894467,-0.2,inf,-99.79039,-99.79039,1,0.060792707,24,0.01,99.79039,1,,0.07691740989685059,13.894467,-99.79039,24.0,0.01
,,-0.2,inf,12.569809,-104.78255,,0.2,107.28647,-0.2,-0.39898974,,214.57294,18,16,,,0.01,0.01,13.201321,-0.2,inf,-99.79039,-102.28647,2,0.001788021,42,0.01,104.78255,2,,0.46076464653015137,12.885565,-104.78255,21.0,0.01
,,-0.2,inf,13.252232,-131.5602,,-0.2,117.04437,-0.2,-0.3832733,,351.13312,18,16,,,0.01,0.01,12.7958555,0.2,inf,-99.79039,-112.04437,3,0.000794676,83,0.01,131.5602,3,,0.6679935455322266,12.737477,-131.5602,27.666666666666668,0.01
,,-0.2,inf,9.240247,-128.337,,0.2,121.11754,-0.2,-0.0040162206,,484.47015,18,16,,,0.01,0.01,12.508173,0.2,inf,-99.79039,-116.11754,4,0.00044700524,123,0.01,131.5602,4,,0.8372962474822998,11.647408,-131.5602,30.75,0.01
,,0.2,inf,11.93027,-136.8801,,-0.2,125.27004,-0.2,-0.40711123,,626.3502,18,16,,,0.01,0.01,12.285029,-0.2,inf,-99.79039,-120.27004,5,0.00028608335,163,0.01,136.8801,5,,0.9977452754974365,11.525465,-136.8801,32.6,0.01
,,0.2,inf,12.095903,-108.01644,,0.2,123.22778,-0.2,-0.00050245225,,739.3667,18,16,,,0.01,0.01,12.102708,-0.2,inf,-99.79039,-118.22778,6,0.000198669,181,0.01,136.8801,6,,1.1335196495056152,11.468604,-136.8801,30.166666666666668,0.01
,,0.2,inf,12.443948,-122.14721,,-0.2,123.7877,-0.2,-0.03487408,,866.51385,18,16,,,0.01,0.01,11.948557,0.2,inf,-99.79039,-118.7877,7,0.00014596088,207,0.01,136.8801,7,,1.2718250751495361,11.475809,-136.8801,29.571428571428573,0.01
,,0.2,inf,9.888032,-104.13933,,0.2,121.95665,-0.2,0.39318138,,975.6532,18,16,,,0.01,0.01,11.815026,0.2,inf,-99.79039,-116.95665,8,0.00011175131,225,0.01,136.8801,8,,1.4034252166748047,11.160497,-136.8801,28.125,0.01
,,-0.2,inf,10.1348715,-132.91469,,-0.2,123.72977,0.2,-0.41146964,,1113.5679,18,16,,,0.01,0.01,11.697243,-0.2,inf,-99.79039,-118.72977,9,8.829733e-05,260,0.01,136.8801,9,,1.5609910488128662,10.941843,-136.8801,28.88888888888889,0.01
,,-0.2,inf,11.924532,-112.60441,,0.2,123.11723,0.2,0.0057526976,,1231.1724,18,16,,,0.01,0.01,11.591883,-0.2,inf,-99.79039,-118.11723,10,7.152084e-05,294,0.01,136.8801,10,,1.7148239612579346,10.945288,-136.8801,29.4,0.01
,,-0.2,inf,11.597959,-122.88777,,-0.2,123.55091,0.2,-0.023388818,,1359.06,18,16,,,0.01,0.01,11.4965725,0.2,inf,-99.79039,-118.55091,11,5.9108123e-05,330,0.01,136.8801,11,,1.8720922470092773,10.917975,-136.8801,30.0,0.01
,,-0.2,inf,8.956805,-107.75633,,0.2,122.65137,0.2,0.44726685,,1471.8164,16,16,,,0.01,0.01,11.409561,0.2,inf,-99.79039,-117.65137,12,4.966725e-05,346,0.01,136.8801,12,,2.0047357082366943,10.674785,-136.8801,28.833333333333332,0.01
,,0.2,inf,8.118834,-121.54653,,-0.2,122.951004,0.2,0.0073577166,,1598.363,16,16,,,0.01,0.01,11.329518,-0.2,inf,-99.79039,-117.951004,13,4.232002e-05,373,0.01,136.8801,13,,2.150189161300659,10.404287,-136.8801,28.692307692307693,0.01
,,0.2,inf,11.194252,-102.36588,,0.2,121.837776,0.2,0.4100889,,1705.7289,11,16,,,0.01,0.01,11.25541,-0.2,inf,-99.79039,-116.837776,14,3.649022e-05,384,0.01,136.8801,14,,2.280090093612671,10.391898,-136.8801,27.428571428571427,0.01
,,0.2,inf,11.702154,-112.38317,,-0.2,121.5408,0.2,0.43095753,,1823.112,11,16,,,0.01,0.01,11.186418,0.2,inf,-99.79039,-116.5408,15,3.178704e-05,408,0.01,136.8801,15,,2.4161157608032227,10.414856,-136.8801,27.2,0.01
,,0.2,inf,10.177334,-115.50445,,0.2,121.47603,0.2,0.79668623,,1943.6165,11,16,,,0.01,0.01,11.121879,0.2,inf,-99.79039,-116.47603,16,2.7937827e-05,429,0.01,136.8801,16,,2.557572364807129,10.339506,-136.8801,26.8125,0.01
,-80.689705,0.2,779.04205,9.771084,-119.605034,,-0.2,121.66009,0.2,0.00379771,17.000008,2068.2214,11,16,,1.0000005,0.01,0.01,11.0612545,-0.2,698.35236,-99.79039,-116.66009,17,2.4747693e-05,455,0.01,136.8801,17,,2.7239205837249756,10.24901,-136.8801,26.764705882352942,0.01
,-82.087616,0.2,783.22894,11.974428,-108.73998,,-0.2,121.22008,-0.2,-0.022493258,17.999992,2181.9614,11,16,,0.9999996,0.01,0.01,11.004096,0.2,701.14136,-99.79039,-116.22008,18,2.2074333e-05,469,0.01,136.8801,18,,2.8654181957244873,10.329393,-136.8801,26.055555555555557,0.01
,-82.594635,-0.2,787.1689,10.973297,-108.991066,,-0.2,120.839615,-0.2,-0.7973602,19.0,2295.9526,11,16,,1.0,0.01,0.01,10.950028,-0.2,704.5742,-99.79039,-115.839615,19,1.9811867e-05,483,0.01,136.8801,19,,3.0082690715789795,10.348541,-136.8801,25.42105263157895,0.01
,-84.93871,-0.2,790.8886,10.608873,-103.15498,,-0.2,120.20537,0.2,0.02239421,20.0,2404.1074,11,16,,1.0,0.01,0.01,10.898735,0.2,705.9499,-99.79039,-115.20537,20,1.788021e-05,503,0.01,136.8801,20,,3.1524083614349365,10.347487,-136.8801,25.15,0.01
,-85.14374,0.2,794.4106,9.938571,-103.93642,,-0.2,119.66876,-0.2,-0.39978716,20.999996,2513.044,11,16,,0.9999998,0.01,0.01,10.849945,-0.2,709.26685,-99.79039,-114.66876,21,1.6217875e-05,524,0.01,136.8801,21,,3.3124008178710938,10.314555,-136.8801,24.952380952380953,0.01
,-88.58581,0.2,797.7542,11.643109,-110.0349,,0.2,119.45813,0.2,0.35988575,22.000002,2628.0789,11,16,,1.0000001,0.01,0.01,10.803425,-0.2,709.1684,-99.79039,-114.45813,22,1.4777031e-05,540,0.01,136.8801,22,,3.4477455615997314,10.362045,-136.8801,24.545454545454547,0.01
,-88.76019,-0.2,800.93616,10.15069,-116.1789,,-0.2,119.53295,0.2,-0.40443182,23.0,2749.2578,11,16,,1.0,0.01,0.01,10.758973,-0.2,712.17596,-99.79039,-114.53295,23,1.3520007e-05,563,0.01,136.8801,23,,3.597512722015381,10.340474,-136.8801,24.47826086956522,0.01
,-91.04615,0.2,803.9709,11.633063,-106.734024,,-0.2,119.207985,0.2,0.41738403,24.0,2860.9917,11,16,,1.0,0.01,0.01,10.7164135,0.2,712.92474,-99.79039,-114.207985,24,1.2416813e-05,580,0.01,136.8801,24,,3.738866090774536,10.382426,-136.8801,24.166666666666668,0.01
,-94.27843,0.2,806.871,10.58472,-105.7646,,0.2,118.870255,0.2,0.77099913,25.000002,2971.7563,11,16,,1.0000001,0.01,0.01,10.675591,0.2,712.5925,-99.79039,-113.870255,25,1.1443334e-05,593,0.01,136.8801,25,,3.873032331466675,10.379055,-136.8801,23.72,0.01
,-95.80881,-0.2,809.6475,7.6728015,-111.590836,,0.2,118.782585,0.2,0.36504173,26.000004,3088.3472,11,16,,1.0000001,0.01,0.01,10.636371,0.2,713.83875,-99.79039,-113.782585,26,1.0580005e-05,610,0.01,136.8801,26,,4.021009206771851,10.263916,-136.8801,23.46153846153846,0.01
,-96.28229,0.2,812.31024,8.157919,-116.693855,,0.2,118.89041,-0.2,-0.0014901757,26.999989,3210.041,11,16,,0.9999996,0.01,0.01,10.598631,-0.2,716.02795,-99.79039,-113.89041,27,9.810813e-06,633,0.01,136.8801,27,,4.173145294189453,10.175245,-136.8801,23.444444444444443,0.01
,-96.866035,-0.2,814.868,9.211252,-109.50958,,0.2,118.733955,0.2,-0.0027121753,28.00001,3324.5508,11,16,,1.0000004,0.01,0.01,10.562263,-0.2,718.00195,-99.79039,-113.733955,28,9.122555e-06,648,0.01,136.8801,28,,4.32081151008606,10.130503,-136.8801,23.142857142857142,0.01
,-101.161385,-0.2,817.3283,11.680497,-128.97754,,-0.2,119.2596,-0.2,-0.41154486,28.999998,3458.5283,11,16,,0.99999994,0.01,0.01,10.527171,0.2,716.16693,-99.79039,-114.2596,29,8.504261e-06,693,0.01,136.8801,29,,4.5143914222717285,10.173971,-136.8801,23.896551724137932,0.01
,-103.70206,-0.2,819.6982,10.814633,-118.442635,,0.2,119.399025,-0.2,-0.3970534,30.000002,3581.9707,11,16,,1.0000001,0.01,0.01,10.49327,-0.2,715.9961,-99.79039,-114.399025,30,7.94676e-06,732,0.01,136.8801,30,,4.704359531402588,10.18566,-136.8801,24.4,0.01
,-104.76974,0.2,821.9839,8.484029,-136.29999,,0.2,120.10551,-0.2,0.38694367,31.000013,3723.2708,11,16,,1.0000005,0.01,0.01,10.46048,0.2,717.2142,-99.79039,-115.10551,31,7.4423347e-06,773,0.01,136.8801,31,,4.885949611663818,10.121397,-136.8801,24.93548387096774,0.01
,-107.89546,-0.2,824.191,11.311804,-124.96083,,0.2,120.41348,-0.2,-0.0270001,31.999985,3853.2314,11,16,,0.9999995,0.01,0.01,10.428732,0.2,716.29553,-99.79039,-115.41348,32,6.984457e-06,801,0.01,136.8801,32,,5.048133611679077,10.149501,-136.8801,25.03125,0.01
,,-0.2,inf,9.629797,-138.77785,,,121.12149,-0.2,-0.5809849,,3997.0093,11,81,,,0.01,0.01,10.39796,-0.2,inf,-99.79039,-116.12149,33,1.3615693e-06,846,0.01,138.77785,33,,5.2459142208099365,10.124918,-138.77785,25.636363636363637,0.01
,,-0.2,inf,10.358366,-135.2836,,-0.2,121.68509,-0.2,-0.58321166,,4137.293,11,81,,,0.01,0.01,10.368107,,inf,-99.79039,-116.68509,34,1.2826548e-06,891,0.01,138.77785,34,,9.088011741638184,10.102808,-138.77785,26.205882352941178,0.01
