ESSClassic,InitialBound,UncReturnMin,MaxIWNorm,Weights,TimeElapsed,D2,UndEpRewMean,UncReturnMean,BatchSize,EpLenMean,UncReturnMax,EpRewMean,InitialReturnMin,MeanIWNorm,InitialReturnStd,MeanIW,TimestepsSoFar,MinIW,ReturnMeanIw,InitialReturnMax,Bound,PlainReturnStd,ESSRenyi,PlainReturnMax,PlainReturnMean,NumTrajectories,StdIW,InitialReturnMean,PlainReturnMin,EpThisIter,StdIWNorm,MaxIW,Iteration,MinIWNorm,IterType,UncReturnStd
8.99999952312567,-1.0445013,-1.2880174710862489,0.111131355,[0.00587336 0.0142819 ],3.6134750843048096,3.826206e-08,-0.5509528429234747,-0.38867485451981637,5,600.0,-4.438760469401091e-05,-0.5509528429234747,-1.2880174710862489,0.11111111,0.46117138496771987,0.99992204,3000,0.9994911,-0.38863054,-4.438760469401091e-05,-1.044457,0.46117138496771987,5.0,-4.438760469401091e-05,-0.38867485451981637,5,0.0001809411,-0.38867485451981637,-1.2880174710862489,5,2.0106261e-05,1.0001042,,0.11106323,1,0.46117138496771987
7.478497657452866,-1.4451196,-1.6787304483382497,0.16548178,[0.00586633 0.01399703],5.985782623291016,0.24692786,-0.39179985835748965,-0.5903517443748572,5,600.0,-0.00017898271936809436,-0.39179985835748965,-1.6787304483382497,0.11111111,0.7710584130949977,0.9050474,6000,0.4321676,-0.309231,-0.00017898271936809436,-1.2763231,0.7710584130949977,3.9059852603978378,-0.00017898271936809436,-0.5903517443748572,10,0.4082259,-0.5903517443748572,-1.6787304483382497,5,0.050117187,1.3479197,1,0.05305647,1,0.7710584130949977
8.132235656219377,-0.93759364,-1.3325993411668935,0.15031648,[0.05754657 0.5511217 ],7.966922044754028,0.108789094,-0.35790743341871745,-0.25906728838539367,5,600.0,-2.6859551267586004e-05,-0.35790743341871745,-1.3325993411668935,0.1111111,0.3979955466352509,0.7045373,9000,0.27946556,-0.14886202,-2.6859551267586004e-05,-0.8653188,0.3979955466352509,4.484597848725184,-2.6859551267586004e-05,-0.25906728838539367,15,0.23014429,-0.25906728838539367,-1.3325993411668935,5,0.036295578,0.9531321,2,0.044073932,1,0.3979955466352509
6.700773262775705,-1.3423961,-1.459857296646839,0.23894863,[0.04453877 1.0284635 ],10.099490880966187,0.17208593,-0.606750854556243,-0.5990731721293155,5,600.0,-0.0005074334654021087,-0.606750854556243,-1.459857296646839,0.11111113,0.5968341086545317,0.6952919,12000,0.19765696,-0.37811133,-0.0005074334654021087,-1.1882242,0.5968341086545317,4.20953409435337,-0.0005074334654021087,-0.5990731721293155,20,0.4072824,-0.5990731721293155,-1.459857296646839,5,0.06508576,1.4952514,3,0.03158657,1,0.5968341086545317
9.0,-0.36699304,-0.4525024511028871,0.11111111,[0.02723232 1.6261607 ],11.829483985900879,,-0.13659293132981437,-0.13659005923446566,5,600.0,-0.00045207479476119805,-0.13659293132981437,-0.4525024511028871,0.11111111,0.16967033910075147,1.0,15000,1.0,-0.13659006,-0.00045207479476119805,-0.36699304,0.16967033910075147,5.0,-0.00045207479476119805,-0.13659005923446566,25,,-0.13659005923446566,-0.4525024511028871,5,,1.0,4,0.11111111,1,0.16967033910075147
9.0,-0.55103093,-0.6409688132171244,0.11111111,[0.02723232 1.6261607 ],13.653059482574463,,-0.18470450089919555,-0.22466556605594093,5,600.0,-3.284805636895177e-05,-0.18470450089919555,-0.6409688132171244,0.11111111,0.26263340112528266,1.0,18000,1.0,-0.22466558,-3.284805636895177e-05,-0.55103093,0.26263340112528266,5.0,-3.284805636895177e-05,-0.22466556605594093,30,,-0.22466556605594093,-0.6409688132171244,5,,1.0,5,0.11111111,1,0.26263340112528266
6.862913476349275,-0.67150795,-0.7036535719422721,0.22585027,[0.02723232 1.6261607 ],15.326693773269653,0.3444571,-0.30487437134494005,-0.3132250930813693,5,600.0,-0.00010391997195589032,-0.30487437134494005,-0.7036535719422721,0.111111104,0.31147746450362707,1.1653976,21000,0.50116116,-0.17086594,-0.00010391997195589032,-0.5964878,0.31147746450362707,3.5430248227750147,-0.00010391997195589032,-0.3132250930813693,35,0.65032595,-0.3132250930813693,-0.7036535719422721,5,0.062003244,2.3688483,6,0.04778161,1,0.31147746450362707
8.75778638264584,-1.8465252,-2.6667186010053,0.13357936,[0.08710335 0.98073494],17.046933889389038,0.07238201,-0.867421226913321,-0.4886986476360208,5,600.0,-0.00042470166036615855,-0.867421226913321,-2.6667186010053,0.11111113,0.9220834946775412,0.8945984,24000,0.6111225,-0.37607586,-0.00042470166036615855,-1.7839437,0.9220834946775412,4.650877376429967,-0.00042470166036615855,-0.4886986476360208,40,0.14877453,-0.4886986476360208,-2.6667186010053,5,0.018478127,1.0754989,7,0.07590277,1,0.9220834946775412
9.0,-0.77645767,-1.0861882221914076,0.11111111,[0.04867607 1.1039984 ],18.88183569908142,,-0.27394003795976396,-0.22339770899309708,5,600.0,-0.00022471564689011125,-0.27394003795976396,-1.0861882221914076,0.11111111,0.3356899241015635,1.0,27000,1.0,-0.22339772,-0.00022471564689011125,-0.77645767,0.3356899241015635,5.0,-0.00022471564689011125,-0.22339770899309708,45,,-0.22339770899309708,-1.0861882221914076,5,,1.0,8,0.11111111,1,0.3356899241015635
8.544845505856985,-1.6874044,-2.505983451503599,0.13442017,[0.04867607 1.1039984 ],20.575541019439697,0.08394653,-0.6617467434223274,-0.4114200787826443,5,600.0,-6.673037493169255e-05,-0.6617467434223274,-2.505983451503599,0.11111111,0.7623687611497312,0.9571307,30000,0.47524294,-0.2569566,-6.673037493169255e-05,-1.5876379,0.7623687611497312,4.5974018998805795,-6.673037493169255e-05,-0.4114200787826443,50,0.22090125,-0.4114200787826443,-2.505983451503599,5,0.02564392,1.157919,9,0.05516987,1,0.7623687611497312
