MeanIWNorm,UncReturnMin,UncReturnMean,MeanIW,Iteration,ReturnMean,UndEpRewMean,TimestepsSoFar,NumTrajectories,StdIWNorm,EpThisIter,ESSClassic,PlainReturnMin,ReturnMeanIw,InitialReturnMax,TimeElapsed,UncReturnMax,Bound,MaxIW,IterType,InitialReturnMin,UncReturnStd,EpLenMean,InitialReturnMean,MaxIWNorm,EpRewMean,ESSRenyi,InitialBound,PlainReturnMean,InitialReturnStd,Weights,PlainReturnMax,PlainReturnStd,MinIW,StdIW,BatchSize,D2,MinIWNorm
0.009999998,-3.2898224810268566,-0.5541486009796253,1.0,,-0.5541486009796253,-0.5541486009796253,99900,100,1.8626451e-09,100,100.0,-3.2898224810268566,-0.55414855,-0.0003271719815916508,27.94354510307312,-0.0003271719815916508,-1.0566772,1.0,1,-3.2898224810268566,0.6687982503253372,999.0,-0.5541486009796253,0.01,-0.5541486009796253,100.0,-1.0566772,-0.5541486009796253,0.6687982503253372,[0.00587336 0.0142819 ],-0.0003271719815916508,0.6687982503253372,1.0,,100,,0.01
0.009999998,-10.264666576586372,-0.6857219303148632,1.0159278,1,-0.6857219303148632,-0.6857219303148632,199800,200,0.0017092762,100,97.16133117553377,-10.264666576586372,-0.60329586,-8.560372897968405e-06,54.826117277145386,-8.560372897968405e-06,-2.1974368,1.390446,1,-10.264666576586372,1.3104667886774675,999.0,-0.6857219303148632,0.013686465,-0.6857219303148632,96.74152981926859,-2.2536757,-0.6857219303148632,1.3104667886774675,[0.00587336 0.0142819 ],-8.560372897968405e-06,1.3104667886774675,0.53642833,0.17365012,100,0.033127356,0.0052801818
0.01,-5.8555155975969955,-0.6285723601527288,0.9764583,2,-0.6285723601527288,-0.6285723601527288,299700,300,0.0018748272,100,96.60437335315561,-5.8555155975969955,-0.58989,-2.3518115500490222e-05,81.3819215297699,-2.3518115500490222e-05,-1.4971653,1.4899747,1,-5.8555155975969955,1.0094182992110143,999.0,-0.6285723601527288,0.01525897,-0.6285723601527288,97.19163415401093,-1.523017,-0.6285723601527288,1.0094182992110143,[-0.02006012 -0.07105263],-2.3518115500490222e-05,1.0094182992110143,0.5760003,0.18306904,100,0.028485574,0.0058988724
0.009999998,-4.841319873310253,-0.6342906893659961,1.0,3,-0.6342906893659961,-0.6342906893659961,399600,400,1.8626451e-09,100,100.0,-4.841319873310253,-0.6342907,-3.4613251536439405e-05,107.8847930431366,-3.4613251536439405e-05,-1.3738146,1.0,1,-4.841319873310253,0.9236429334702895,999.0,-0.6342906893659961,0.01,-0.6342906893659961,100.0,-1.3738146,-0.6342906893659961,0.9236429334702895,[-0.03539035 -0.27252454],-3.4613251536439405e-05,0.9236429334702895,1.0,,100,,0.01
0.009999998,-3.929662890563729,-0.6923940484717405,1.0,4,-0.6923940484717405,-0.6923940484717405,499500,500,1.8626451e-09,100,100.0,-3.929662890563729,-0.692394,-0.001457371225436105,134.3805797100067,-0.001457371225436105,-1.29266,1.0,1,-3.929662890563729,0.8985777763905789,999.0,-0.6923940484717405,0.01,-0.6923940484717405,100.0,-1.29266,-0.6923940484717405,0.8985777763905789,[-0.03539035 -0.27252454],-0.001457371225436105,0.8985777763905789,1.0,,100,,0.01
0.009999998,-5.004109730927076,-0.5286437512981705,1.0,5,-0.5286437512981705,-0.5286437512981705,599400,600,1.8626451e-09,100,100.0,-5.004109730927076,-0.5286438,-0.0011005195384234147,160.75533509254456,-0.0011005195384234147,-1.2930342,1.0,1,-5.004109730927076,0.7553905146356792,999.0,-0.5286437512981705,0.01,-0.5286437512981705,100.0,-1.2930342,-0.5286437512981705,0.7553905146356792,[-0.03539035 -0.27252454],-0.0011005195384234147,0.7553905146356792,1.0,,100,,0.01
0.009999999,-4.8368905276492695,-0.6958401863072623,1.0,6,-0.6958401863072623,-0.6958401863072623,699300,700,6.104249e-09,100,100.00001907348906,-4.8368905276492695,-0.69584006,-0.0015877536617408526,187.2590012550354,-0.0015877536617408526,-1.4346874,1.0000015,1,-4.8368905276492695,0.8701263840291849,999.0,-0.6958401863072623,0.010000016,-0.6958401863072623,100.0,-1.4346874,-0.6958401863072623,0.8701263840291849,[-0.03539035 -0.27252454],-0.0015877536617408526,0.8701263840291849,0.99999857,6.1387e-07,100,4.3264163e-13,0.009999986
0.009999998,-5.531417770111411,-0.6551690459610445,1.0,7,-0.6551690459610445,-0.6551690459610445,799200,800,1.8626451e-09,100,100.0,-5.531417770111411,-0.655169,-0.0001919920490340541,213.81919074058533,-0.0001919920490340541,-1.500107,1.0,1,-5.531417770111411,0.8404163895169502,999.0,-0.6551690459610445,0.01,-0.6551690459610445,100.0,-1.500107,-0.6551690459610445,0.8404163895169502,[-0.03539027 -0.27252495],-0.0001919920490340541,0.8404163895169502,1.0,,100,,0.01
0.01,-5.0378003090245675,0.23998929902985644,1.046789,8,0.23998929902985644,0.23998929902985644,899032,900,0.004028096,100,86.03958496365667,-5.0378003090245675,2.0197144,98.11178077285767,240.39289569854736,98.11178077285767,-14.183874,2.889505,1,-5.0378003090245675,9.889146298610143,998.32,0.23998929902985644,0.027603505,0.23998929902985644,85.54539548161739,-14.746832,0.23998929902985644,9.889146298610143,[-0.03539027 -0.27252495],98.11178077285767,9.889146298610143,0.35528433,0.42165667,100,0.15612298,0.0033940393
0.01,-5.332692980478212,1.2353490636315005,1.1884661,9,1.2353490636315005,1.2353490636315005,998510,1000,0.010863407,100,45.868695830051685,-5.332692980478212,11.715706,99.37573355177302,266.70256328582764,99.37573355177302,-10.937374,8.689845,1,-5.332692980478212,13.95046482486055,994.78,1.2353490636315005,0.07311816,1.2353490636315005,44.90378930964732,-13.944545,1.2353490636315005,13.95046482486055,[-0.06325202  0.2505897 ],99.37573355177302,13.95046482486055,0.091775134,1.2910789,100,0.800648,0.000772215
