InitialReturnMean,ESSClassic,MeanIW,StdIWNorm,Bound,InitialReturnMax,StdIW,MaxIW,D2,ESSRenyi,PlainReturnMax,PlainReturnMin,EpThisIter,UncReturnMax,MeanIWNorm,MinIW,IterType,BatchSize,Weights,UndEpRewMean,PlainReturnMean,EpLenMean,MinIWNorm,ReturnMeanIw,InitialReturnStd,UncReturnMean,Iteration,InitialReturnMin,MaxIWNorm,InitialBound,TimestepsSoFar,EpRewMean,UncReturnMin,PlainReturnStd,UncReturnStd,NumTrajectories,TimeElapsed
-0.3621360280325287,103.99999943533385,1.0,,-0.60729593,-0.007638538832062236,,1.0,,100.0,-0.007638538832062236,-1.636732182187417,100,-0.007638538832062236,0.009615385,1.0,1,100,[0.00587336 0.0142819 ],-0.3556958284522888,-0.3621360280325287,960.04,0.009615385,-0.36213607,0.37271631197954674,-0.3621360280325287,,-1.636732182187417,0.009615385,-0.60729593,96004,-0.3556958284522888,-1.636732182187417,0.37271631197954674,0.37271631197954674,100,27.59560775756836
-1.21409857979997,92.32783457220015,1.0161858,0.003418816,-2.4732404,-0.0012651371181276849,0.36131182,1.5939288,0.084104635,91.93350712635788,-0.0012651371181276849,-9.80574435671183,100,-0.0012651371181276849,0.009615385,0.3666679,1,100,[0.00587336 0.0142819 ],-1.2422278328110254,-1.21409857979997,960.04,0.0034694965,-0.9413935,1.8307850536610066,-1.21409857979997,1,-9.80574435671183,0.015082123,-2.6828637,192008,-1.2422278328110254,-9.80574435671183,1.8307850536610066,1.8307850536610066,200,56.28325915336609
-0.33893978733129243,103.99999943533385,1.0,,-0.5332631,-0.0010001839327379576,,1.0,,100.0,-0.0010001839327379576,-1.2973380191220607,100,-0.0010001839327379576,0.009615385,1.0,1,100,[-0.03689383 -0.06529275],-0.33611113200382836,-0.33893978733129243,960.04,0.009615385,-0.3389398,0.3457106212264682,-0.33893978733129243,2,-1.2973380191220607,0.009615385,-0.5332631,288012,-0.33611113200382836,-1.2973380191220607,0.3457106212264682,0.3457106212264682,300,82.44920349121094
-0.33574840536637257,103.99999943533385,1.0,,-0.61176074,-7.520517987650901e-05,,1.0,,100.0,-7.520517987650901e-05,-1.842708920321104,100,-7.520517987650901e-05,0.009615385,1.0,1,100,[-0.03689383 -0.06529275],-0.3352446030038017,-0.33574840536637257,960.04,0.009615385,-0.33574843,0.4519158331928029,-0.33574840536637257,3,-1.842708920321104,0.009615385,-0.61176074,384016,-0.3352446030038017,-1.842708920321104,0.4519158331928029,0.4519158331928029,400,108.69799637794495
-0.6875450330002644,90.6478654232075,1.0262129,0.0036903124,-1.1376619,-0.0008555295576651843,0.39385283,1.9610425,0.16271514,84.98332520674181,-0.0008555295576651843,-3.4285317903610957,100,-0.0008555295576651843,0.009615385,0.42524293,1,100,[-0.03689383 -0.06529275],-0.7002032176089013,-0.6875450330002644,960.04,0.0039844303,-0.58058774,0.8217097232323411,-0.6875450330002644,4,-3.4285317903610957,0.018374527,-1.2010918,480020,-0.7002032176089013,-3.4285317903610957,0.8217097232323411,0.8217097232323411,500,133.50771570205688
-0.3848556535470772,103.99999943533385,1.0,,-0.59249264,-0.003117895709282747,,1.0,,100.0,-0.003117895709282747,-1.3862225751815247,100,-0.003117895709282747,0.009615385,1.0,1,100,[ 0.01088681 -0.4365205 ],-0.38371724378313515,-0.3848556535470772,960.04,0.009615385,-0.38485566,0.40429148986603236,-0.3848556535470772,5,-1.3862225751815247,0.009615385,-0.59249264,576024,-0.38371724378313515,-1.3862225751815247,0.40429148986603236,0.40429148986603236,600,159.09468793869019
-0.5930304001912287,103.99999943533385,1.0,,-1.1057208,-3.40298340276753e-05,,1.0,,100.0,-3.40298340276753e-05,-3.422814534224527,100,-3.40298340276753e-05,0.009615385,1.0,1,100,[ 0.01088681 -0.4365205 ],-0.5962086272962298,-0.5930304001912287,960.04,0.009615385,-0.59303045,0.7772998041749897,-0.5930304001912287,6,-3.422814534224527,0.009615385,-1.1057208,672028,-0.5962086272962298,-3.422814534224527,0.7772998041749897,0.7772998041749897,700,184.81858801841736
-0.3818493556783504,103.99999943533385,1.0,,-0.60708857,-0.00020130089554788334,,1.0,,100.0,-0.00020130089554788334,-1.5037381912449057,100,-0.00020130089554788334,0.009615385,1.0,1,100,[ 0.01088681 -0.4365205 ],-0.36887665823243265,-0.3818493556783504,960.04,0.009615385,-0.38184935,0.38859986402648866,-0.3818493556783504,7,-1.5037381912449057,0.009615385,-0.60708857,768032,-0.36887665823243265,-1.5037381912449057,0.38859986402648866,0.38859986402648866,800,210.55378079414368
-0.5718116386175528,98.56882019666632,0.96933746,0.0022570626,-1.1846893,-0.0015101111529482803,0.22753695,1.5223857,0.08287046,92.04703451283183,-0.0015101111529482803,-4.69036073980475,100,-0.0015101111529482803,0.009615385,0.38541764,1,100,[ 0.01088681 -0.4365205 ],-0.5766475165595238,-0.5718116386175528,960.04,0.003823167,-0.45241627,0.9928069448906455,-0.5718116386175528,8,-4.69036073980475,0.01510137,-1.2743628,864036,-0.5766475165595238,-4.69036073980475,0.9928069448906455,0.9928069448906455,900,237.44069528579712
-0.5494795930886563,95.44722642501866,0.912167,0.0028783171,-1.2353518,-0.0003788951114216641,0.2730526,1.4126613,0.111549705,89.44469193612397,-0.0003788951114216641,-5.32685390419328,100,-0.0003788951114216641,0.009615385,0.3550152,1,100,[-0.02691047 -0.22772606],-0.5651690865508544,-0.5494795930886563,960.04,0.0037423053,-0.39169627,1.0396812262730222,-0.5494795930886563,9,-5.32685390419328,0.014891222,-1.3473685,960040,-0.5651690865508544,-5.32685390419328,1.0396812262730222,1.0396812262730222,1000,263.42644476890564
-0.547765328132905,87.9655861584386,1.1217916,0.0041052233,-0.8021518,-0.000497928308513203,0.47894126,2.135375,0.24325217,78.40738000371633,-0.000497928308513203,-2.451568006680558,100,-0.000497928308513203,0.009615385,0.4196443,1,100,[-0.07503955 -0.08863638],-0.5249694393227007,-0.547765328132905,960.04,0.0035969617,-0.38744876,0.6851390058597554,-0.547765328132905,10,-2.451568006680558,0.01830327,-0.91497636,1056044,-0.5249694393227007,-2.451568006680558,0.6851390058597554,0.6851390058597554,1100,289.48566150665283
-0.792860191588313,98.63197042818119,1.0243781,0.0022431887,-1.6147559,-0.00194275551244794,0.23897885,1.5647182,0.04599257,95.50490059011102,-0.00194275551244794,-5.912062714022228,100,-0.00194275551244794,0.009615385,0.5638156,1,100,[-0.00237442  0.05027065],-0.7973249532081244,-0.792860191588313,960.04,0.0052922876,-0.7086104,1.2472287923288432,-0.792860191588313,11,-5.912062714022228,0.014687318,-1.6784054,1152048,-0.7973249532081244,-5.912062714022228,1.2472287923288432,1.2472287923288432,1200,315.9356575012207
-0.6108934587821854,104.00000362776095,0.99999994,1.33295055e-08,-1.0390404,-0.000731908534860638,1.3819757e-06,1.0000035,1.9128464e-12,100.0,-0.000731908534860638,-2.8583900283561836,100,-0.000731908534860638,0.009615385,0.99999774,1,100,[-0.03310539 -0.04482943],-0.6281318261258589,-0.6108934587821854,960.04,0.009615364,-0.61089313,0.7242667490974904,-0.6108934587821854,12,-2.8583900283561836,0.0096154185,-1.0390408,1248052,-0.6281318261258589,-2.8583900283561836,0.7242667490974904,0.7242667490974904,1300,341.29377913475037
-0.616122837103511,96.52779025035724,0.8665977,0.002675252,-1.0584431,-0.00016746029856501838,0.24111019,1.402029,0.1530541,85.80833252267317,-0.00016746029856501838,-3.2614033631595523,100,-0.00016746029856501838,0.009615385,0.5241559,1,100,[-0.03310532 -0.04483139],-0.6247729556876417,-0.616122837103511,960.04,0.005815802,-0.53107774,0.720056531570723,-0.616122837103511,13,-3.2614033631595523,0.0155562945,-1.104636,1344056,-0.6247729556876417,-3.2614033631595523,0.720056531570723,0.720056531570723,1400,373.3344347476959
-0.8062587881507164,88.1968214609542,0.8987487,0.0040701674,-1.4579933,-0.002718277181864173,0.38043803,1.5147928,0.19504704,82.27959558017574,-0.002718277181864173,-5.623021830671685,100,-0.002718277181864173,0.009615385,0.28962457,1,100,[ 0.02208342 -0.2443106 ],-0.8174382547063597,-0.8062587881507164,960.04,0.0030985877,-0.5294646,1.1071239042974912,-0.8062587881507164,14,-5.623021830671685,0.016206216,-1.6485096,1440060,-0.8174382547063597,-5.623021830671685,1.1071239042974912,1.1071239042974912,1500,406.4858009815216
-0.9159654923311131,102.75332952566949,1.0014899,0.001059113,-1.6724441,-4.169098932874709e-06,0.110311866,1.2875528,0.009106612,99.09346915289612,-4.169098932874709e-06,-5.17504775269661,100,-4.169098932874709e-06,0.009615385,0.75730574,1,100,[-0.04166968 -0.42433822],-0.930363857872268,-0.9159654923311131,960.04,0.0072709527,-0.8937559,1.4402050254170877,-0.9159654923311131,15,-5.17504775269661,0.012361897,-1.6911161,1536064,-0.930363857872268,-5.17504775269661,1.4402050254170877,1.4402050254170877,1600,437.51408553123474
-0.4748204317079075,97.7135792538188,1.0368259,0.0024388824,-0.8333701,-0.0007902228894209578,0.26298442,1.652251,0.09451625,90.98129248712547,-0.0007902228894209578,-2.7158009701437953,100,-0.0007902228894209578,0.009615385,0.53809536,1,100,[-0.05597327 -0.42987102],-0.48333013921700874,-0.4748204317079075,960.04,0.0049902243,-0.4068951,0.6476537992573081,-0.4748204317079075,16,-2.7158009701437953,0.015322754,-0.8816099,1632068,-0.48333013921700874,-2.7158009701437953,0.6476537992573081,0.6476537992573081,1700,468.35297894477844
-0.5981763389465506,104.0000146941234,1.0000001,7.664403e-08,-1.0550165,-0.0014003484750820746,7.972733e-06,1.0000181,6.3473976e-11,100.0,-0.0014003484750820746,-3.049959671757504,100,-0.0014003484750820746,0.009615383,0.9999825,1,100,[-0.0098583  -0.42828697],-0.5875439393667081,-0.5981763389465506,960.04,0.0096152155,-0.5981748,0.8169101076186857,-0.5981763389465506,17,-3.049959671757504,0.009615558,-1.0550182,1728072,-0.5875439393667081,-3.049959671757504,0.8169101076186857,0.8169101076186857,1800,499.4457037448883
-0.5603800781525394,103.99999207143821,0.9999971,5.7347734e-07,-0.9372057,-6.136908558325235e-05,5.9638096e-05,1.000117,2.487946e-09,100.0,-6.136908558325235e-05,-2.5158256869951834,100,-6.136908558325235e-05,0.009615385,0.9998896,1,100,[-0.0098594  -0.42828223],-0.5498928665615496,-0.5603800781525394,960.04,0.009614351,-0.56036973,0.6950302923196569,-0.5603800781525394,18,-2.5158256869951834,0.009616537,-0.93721604,1824076,-0.5498928665615496,-2.5158256869951834,0.6950302923196569,0.6950302923196569,1900,527.3921356201172
-0.5617696444063174,99.85402740710798,1.039104,0.001959285,-0.96726096,-2.1679796717208908e-07,0.2117337,1.4227719,0.047514185,95.35969130617507,-2.1679796717208908e-07,-2.9609584269092015,100,-2.1679796717208908e-07,0.009615385,0.5636372,1,100,[-0.00985655 -0.4283514 ],-0.5721602642048712,-0.5617696444063174,960.04,0.0052156365,-0.51308763,0.7563338696763414,-0.5617696444063174,19,-2.9609584269092015,0.0131656695,-1.0052803,1920080,-0.5721602642048712,-2.9609584269092015,0.7563338696763414,0.7563338696763414,2000,558.4107439517975
