ReturnLastEpisode,LQGmu1_actor,Regret,ReturnMean,Iteration,Regret/t,LQGsigma_higher,TimeElapsed,LQGmu1_higher
0.9267451290332209,-1.1408191,0.03837487096677905,0.9267451290332209,1,0.03837487096677905,0.14999999,0.11402106285095215,-1.0
0.9318518345176371,-0.97445625,0.07164303644914194,0.9292984817754291,2,0.03582151822457097,0.14999999,0.1710042953491211,-0.97979796
0.9289188809942249,-1.0745825,0.10784415545491699,0.9291719481816944,3,0.03594805181830566,0.14999999,0.23452210426330566,-0.959596
0.9301725282257347,-1.041837,0.14279162722918226,0.9294220931927044,4,0.035697906807295565,0.14999999,0.2887086868286133,-0.93939394
0.9351106966178745,-0.7292486,0.17280093061130775,0.9305598138777385,5,0.03456018612226155,0.14999999,0.3339970111846924,-0.9191919
0.9344159756736551,-0.8120957,0.20350495493765264,0.9312025075103912,6,0.03391749248960877,0.14999999,0.39612483978271484,-0.8989899
0.9277631382160543,-1.1080091,0.24086181672159834,0.9307111690397717,7,0.034408830960228336,0.14999999,0.43900585174560547,-0.8787879
0.9326456579182554,-0.94318736,0.27333615880334294,0.9309529801495822,8,0.03416701985041787,0.14999999,0.4727311134338379,-0.85858583
0.9347919991845395,-0.6653695,0.30366415961880344,0.931379537820133,9,0.03374046217986705,0.14999999,0.5037832260131836,-0.83838385
0.9354498978251042,-0.7749774,0.3333342617936992,0.9317865738206301,10,0.03333342617936992,0.14999999,0.5353729724884033,-0.8181818
0.9357148838906018,-0.68100804,0.3627393779030974,0.9321436929179003,11,0.03297630708209976,0.14999999,0.5671710968017578,-0.7979798
0.9348538416430358,-0.7548859,0.3930055362600616,0.9323695386449949,12,0.03275046135500514,0.14999999,0.6044504642486572,-0.7777778
0.9338895149111819,-0.5186258,0.4242360213488797,0.93248645989624,13,0.032633540103759975,0.14999999,0.6407618522644043,-0.75757575
0.9356519100385167,-0.70953256,0.45370411131036303,0.9327125634778313,14,0.032407436522168785,0.14999999,0.674891471862793,-0.7373737
0.9310257629212935,-1.007818,0.48779834838906955,0.9326001101073955,15,0.03251988989260464,0.14999999,0.7029674053192139,-0.7171717
0.9344533870585525,-0.8742614,0.518464961330517,0.9327159399168428,16,0.03240406008315731,0.14999999,0.7367768287658691,-0.6969697
0.9356259136122319,-0.72105014,0.5479590477182851,0.9328871148401009,17,0.032232885159899125,0.14999999,0.7654216289520264,-0.67676765
0.9351515521049724,-0.8123656,0.5779274956133127,0.9330129169103716,18,0.03210708308962848,0.14999999,0.795886754989624,-0.65656567
0.9361350677691811,-0.4704367,0.6069124278441316,0.9331772406397827,19,0.031942759360217454,0.14999999,0.8251242637634277,-0.6363636
0.934928583122487,-0.45914376,0.6371038447216446,0.933264807763918,20,0.03185519223608223,0.14999999,0.8564488887786865,-0.61616164
0.936097393759307,-0.49000156,0.6661264509623376,0.9333996928113175,21,0.03172030718868274,0.14999999,0.8853511810302734,-0.5959596
0.9371309873632878,-0.56167954,0.6941154635990497,0.9335692971091344,22,0.031550702890865895,0.14999999,0.927868127822876,-0.57575756
0.9343233157175629,-0.4425688,0.7249121478814868,0.9336020805268922,23,0.03151791947310812,0.14999999,0.9651496410369873,-0.5555556
0.9351134361650485,-0.7611432,0.7549187117164383,0.9336650536784821,24,0.03145494632151826,0.14999999,0.9864442348480225,-0.53535354
0.9360213690764491,-0.66090477,0.7840173426399892,0.9337593062944007,25,0.03136069370559957,0.14999999,1.005035400390625,-0.5151515
0.935705523006752,-0.70524883,0.8134318196332372,0.9338341607833374,26,0.03128583921666297,0.14999999,1.024744987487793,-0.4949495
0.9352502685489518,-0.5194505,0.8433015510842854,0.9338866092191009,27,0.03123339078089946,0.14999999,1.0907399654388428,-0.47474748
0.9321299984314535,-0.36192316,0.8762915526528319,0.9338238731195421,28,0.03129612688045828,0.14999999,1.1262333393096924,-0.45454547
0.9347369219595637,-0.48496902,0.9066746306932681,0.9338553575623013,29,0.0312646424376989,0.14999999,1.1543562412261963,-0.43434343
0.934210935494534,-0.47034955,0.9375836951987341,0.9338672101600424,30,0.0312527898399578,0.14999999,1.1879527568817139,-0.41414142
0.9292127184006382,-0.31356785,0.9734909767980958,0.9337170652645778,31,0.031402934735422446,0.14999999,1.2262744903564453,-0.3939394
0.9343307446583344,-0.50629663,1.0042802321397613,0.9337362427456327,32,0.03138375725436754,0.14999999,1.2747504711151123,-0.37373737
0.9254263286432712,-0.24753028,1.0439739034964899,0.9334844271667733,33,0.03163557283322697,0.14999999,1.333104133605957,-0.35353535
0.9346448869009235,-0.38338092,1.0744490165955662,0.9335185583354247,34,0.03160144166457548,0.14999999,1.3787651062011719,-0.33333334
0.9367226958816278,-0.6425822,1.1028463207139385,0.9336101051224592,35,0.0315098948775411,0.14999999,1.4227728843688965,-0.3131313
0.9121895160872303,-0.15299438,1.1557768046267083,0.9330150887603695,36,0.03210491123963079,0.14999999,1.460719108581543,-0.2929293
0.8967179928895309,-0.075226575,1.2241788117371772,0.9320340861692658,37,0.03308591383073452,0.14999999,1.5104193687438965,-0.27272728
0.9333427040260632,-0.45106468,1.255956107711114,0.9320685234812867,38,0.03305147651871353,0.14999999,1.5584986209869385,-0.25252524
0.5372723253690758,0.07614425,1.6838037823420384,0.9219455440425119,39,0.043174455957488166,0.14999999,1.605126142501831,-0.23232323
0.92665203032118,-0.22614825,1.7222717520208584,0.9220632061994787,40,0.04305679380052146,0.14999999,1.6571693420410156,-0.21212122
0.9280620956872092,-0.22911413,1.7593296563336491,0.9222095205772282,41,0.04291047942277193,0.14999999,1.7062029838562012,-0.1919192
