IWFirstEpisode,InvPendulum_std3_higher,ReturnLastEpisode,MinEpLen,IWMean,DenMISEMeanLog,Iteration,ReturnMean,InvPendulum_mu0_higher,InvPendulum_mu2_higher,InvPendulum_std1_higher,BoundMISE,Bound,Regret/t,DenMISELogLast,ReturnAbsMax,IWLastEpisode,TimestepsSoFar,TimeElapsed,IWMin,AvgEpLen,IWMax,Regret,NumTrainableParams,GridSize,BoundBonus,InvPendulum_std2_higher,ReturnMin,NumTrajectories,Delta,InvPendulum_mu1_higher,DenMISELogFirst,ActionIn1,InvPendulum_mu3_higher,InvPendulum_std0_higher,ReturnMax
,0.0009999999,-110.34361,12,1.0000005,19.676226,17,-120.15151,-0.2,-0.2,0.0009999999,-82.60431,740.0043,125.15151,20.650059,144.53487,,473,2.983409881591797,,27.823529411764707,17.000008,2127.5757,,16,822.6086,0.0009999999,-144.53487,17,2.4747693e-05,0.2,20.518541,-0.39841518,-0.2,0.0009999999,-104.79482
,0.0009999999,-109.87466,12,0.9999996,19.695747,18,-119.58058,0.2,0.2,0.0009999999,-82.903244,744.12634,124.58058,20.306171,144.53487,,499,3.163888692855835,,27.72222222222222,17.999992,2242.4504,,16,827.0296,0.0009999999,-144.53487,18,2.2074333e-05,0.2,20.461384,0.39749312,-0.2,0.0009999999,-104.79482
,0.0009999999,-110.739235,12,1.0,19.733908,19,-119.11525,-0.2,-0.2,0.0009999999,-85.209854,745.98004,124.11525,20.700832,144.53487,,515,3.324209690093994,,27.105263157894736,19.0,2358.1897,,16,831.1899,0.0009999999,-144.53487,19,1.9811867e-05,0.2,20.407316,0.0007214546,0.2,0.0009999999,-104.79482
,0.0009999999,-117.76418,12,0.99999905,19.780735,20,-119.04769,0.2,-0.2,0.0009999999,-85.61409,749.50354,124.04769,20.951836,144.53487,,540,3.516186475753784,,27.0,19.99998,2480.9539,,16,835.1176,0.0009999999,-144.53487,20,1.788021e-05,0.2,20.356024,0.0007196218,-0.2,0.0009999999,-104.79482
,0.0009999999,-104.3324,12,1.0000008,19.828573,21,-118.34697,0.2,0.2,0.0009999999,-86.97813,751.8584,123.34697,21.068064,144.53487,,552,3.6707887649536133,,26.285714285714285,21.000017,2590.2864,,16,838.83655,0.0009999999,-144.53487,21,1.6217875e-05,0.2,20.307232,0.80396104,0.2,0.0009999999,-104.3324
,0.0009999999,-126.62859,12,0.9999991,19.783392,22,-118.7234,-0.2,0.2,0.0009999999,-88.81302,753.5542,123.7234,19.118313,144.53487,,587,3.8641934394836426,,26.681818181818183,21.99998,2721.9148,,16,842.3672,0.0009999999,-144.53487,22,1.4777031e-05,0.2,20.260714,0.0010353625,-0.2,0.0009999999,-104.3324
,0.0009999999,-109.592545,12,1.0,19.818052,23,-118.32641,-0.2,0.2,0.0009999999,-90.24081,755.48627,123.32641,20.865374,144.53487,,606,4.021907567977905,,26.347826086956523,23.0,2836.5073,,16,845.72705,0.0009999999,-144.53487,23,1.3520007e-05,-0.2,20.21626,0.0011092424,0.2,0.0009999999,-104.3324
,0.0009999999,-135.9039,12,0.99999905,19.84128,24,-119.0588,-0.2,0.2,0.0009999999,-92.5127,756.4188,124.0588,20.661234,144.53487,,644,4.2233099937438965,,26.833333333333332,23.999977,2977.4111,,16,848.9315,0.0009999999,-144.53487,24,1.2416813e-05,0.2,20.173702,0.39800355,0.2,0.0009999999,-104.3324
,0.0009999999,-115.401474,12,1.0000001,19.81344,25,-118.9125,0.2,-0.2,0.0009999999,-93.78433,758.2095,123.9125,19.431892,144.53487,,664,4.409759998321533,,26.56,25.000002,3097.8125,,16,851.9938,0.0009999999,-144.53487,25,1.1443334e-05,0.2,20.13288,0.4024461,0.2,0.0009999999,-104.3324
,0.0009999999,-110.08246,12,1.0000001,19.789543,26,-118.57288,0.2,-0.2,0.0009999999,-96.81874,758.1069,123.57288,19.479488,144.53487,,679,4.586986541748047,,26.115384615384617,26.000004,3212.895,,16,854.9256,0.0009999999,-144.53487,26,1.0580005e-05,-0.2,20.093658,-0.39975137,-0.2,0.0009999999,-104.3324
