TimestepsSoFar,NumTrajectories,DenMISELogLast,InvPendulum_std3_higher,DenMISEMeanLog,AvgEpLen,ReturnLastEpisode,IWMax,ReturnMin,GridSize,Regret/t,IWFirstEpisode,IWLastEpisode,InvPendulum_std2_higher,ActionIn1,InvPendulum_std0_higher,DenMISELogFirst,InvPendulum_mu2_higher,Bound,Regret,IWMin,Iteration,ReturnAbsMax,InvPendulum_mu3_higher,BoundBonus,ReturnMean,TimeElapsed,NumTrainableParams,ReturnMax,IWMean,InvPendulum_mu1_higher,InvPendulum_mu0_higher,InvPendulum_std1_higher,BoundMISE,Delta,MinEpLen
54,1,22.99131,0.0009999999,22.99131,54.0,-100.599815,,-100.599815,1,105.599815,,,0.0009999999,-0.8040607,0.0009999999,22.99131,-0.2,inf,105.599815,,1,100.599815,-0.2,inf,-100.599815,0.12194180488586426,4,-100.599815,,-0.2,-0.2,0.0009999999,,0.060792707,54
71,2,17.548159,0.0009999999,19.92316,35.5,-104.38896,,-104.38896,16,107.494385,,,0.0009999999,-0.39953405,0.0009999999,22.298162,-0.2,inf,214.98877,,2,104.38896,0.2,inf,-102.494385,0.4953482151031494,,-100.599815,,-0.2,-0.2,0.0009999999,,0.001788021,17
107,3,22.532808,0.0009999999,20.522734,35.666666666666664,-131.67863,,-131.67863,16,117.22247,,,0.0009999999,-0.40064383,0.0009999999,21.892698,0.2,inf,351.66742,,3,131.67863,-0.2,inf,-112.22247,0.7119176387786865,,-100.599815,,-0.2,-0.2,0.0009999999,,0.000794676,17
146,4,21.499722,0.0009999999,20.551218,36.5,-126.34811,,-131.67863,16,120.753876,,,0.0009999999,0.002060905,0.0009999999,21.605015,0.2,inf,483.0155,,4,131.67863,0.2,inf,-115.753876,0.8940527439117432,,-100.599815,,-0.2,-0.2,0.0009999999,,0.00044700524,17
188,5,18.337097,0.0009999999,19.92988,37.6,-138.61649,,-138.61649,16,125.3264,,,0.0009999999,-0.39993456,0.0009999999,21.381872,-0.2,inf,626.632,,5,138.61649,-0.2,inf,-120.3264,1.0746192932128906,,-100.599815,,-0.2,0.2,0.0009999999,,0.00028608335,17
202,6,21.03532,0.0009999999,19.962185,33.666666666666664,-108.173904,,-138.61649,16,123.30099,,,0.0009999999,-0.0020024776,0.0009999999,21.19955,-0.2,inf,739.8059,,6,138.61649,0.2,inf,-118.30099,1.2288475036621094,,-100.599815,,-0.2,0.2,0.0009999999,,0.000198669,14
243,7,18.440954,0.0009999999,19.612738,34.714285714285715,-136.8885,,-138.61649,16,125.95635,,,0.0009999999,-0.0017132163,0.0009999999,21.0454,0.2,inf,881.69446,,7,138.61649,-0.2,inf,-120.95635,1.4125134944915771,,-100.599815,,-0.2,0.2,0.0009999999,,0.00014596088,14
281,8,18.486256,0.0009999999,19.355087,35.125,-118.15902,,-138.61649,16,125.60668,,,0.0009999999,0.39727038,0.0009999999,20.91187,0.2,inf,1004.85345,,8,138.61649,0.2,inf,-120.60668,1.605875015258789,,-100.599815,,-0.2,0.2,0.0009999999,,0.00011175131,14
318,9,19.805561,0.0009999999,19.300444,35.333333333333336,-133.38931,,-138.61649,16,127.02696,,,0.0009999999,-0.40169108,0.0009999999,20.794085,-0.2,inf,1143.2427,,9,138.61649,-0.2,inf,-122.02696,1.7785468101501465,,-100.599815,,0.2,-0.2,0.0009999999,,8.829733e-05,14
330,10,20.406061,0.0009999999,19.316181,33.0,-104.34767,,-138.61649,16,125.25903,,,0.0009999999,0.002294153,0.0009999999,20.688725,-0.2,inf,1252.5903,,10,138.61649,0.2,inf,-120.25903,1.8941154479980469,,-100.599815,,0.2,-0.2,0.0009999999,,7.152084e-05,12
370,11,20.327541,0.0009999999,19.321478,33.63636363636363,-131.90376,,-138.61649,16,126.31765,,,0.0009999999,0.00026655197,0.0009999999,20.593414,0.2,inf,1389.4941,,11,138.61649,-0.2,inf,-121.31765,2.0803380012512207,,-100.599815,,0.2,-0.2,0.0009999999,,5.9108123e-05,12
384,12,20.435083,0.0009999999,19.334517,32.0,-107.62478,,-138.61649,16,125.176575,,,0.0009999999,0.40390587,0.0009999999,20.506403,0.2,inf,1502.1189,,12,138.61649,0.2,inf,-120.176575,2.226759910583496,,-100.599815,,0.2,-0.2,0.0009999999,,4.966725e-05,12
409,13,16.240997,0.0009999999,19.022667,31.46153846153846,-111.12244,,-138.61649,16,124.48011,,,0.0009999999,-0.00048457086,0.0009999999,20.426361,-0.2,inf,1618.2415,,13,138.61649,-0.2,inf,-119.48011,2.397866725921631,,-100.599815,,0.2,0.2,0.0009999999,,4.232002e-05,12
421,14,20.806803,0.0009999999,19.081293,30.071428571428573,-107.933586,,-138.61649,16,123.65536,,,0.0009999999,0.39937228,0.0009999999,20.352253,-0.2,inf,1731.175,,14,138.61649,0.2,inf,-118.65536,2.515442132949829,,-100.599815,,0.2,0.2,0.0009999999,,3.649022e-05,12
443,15,17.721962,0.0009999999,18.926277,29.533333333333335,-114.16814,,-138.61649,16,123.3562,,,0.0009999999,0.40122086,0.0009999999,20.28326,0.2,inf,1850.343,,15,138.61649,-0.2,inf,-118.3562,2.6524157524108887,,-100.599815,,0.2,0.2,0.0009999999,,3.178704e-05,12
486,16,19.416012,0.0009999999,18.896381,30.375,-117.90922,,-138.61649,16,123.32827,,,0.0009999999,0.7981057,0.0009999999,20.218721,0.2,inf,1973.2523,,16,138.61649,0.2,inf,-118.32827,2.8505563735961914,,-100.599815,,0.2,0.2,0.0009999999,,2.7937827e-05,12
517,17,19.811647,0.0009999999,18.893162,30.41176470588235,-122.066826,17.000008,-138.61649,16,123.54819,,,0.0009999999,-0.39917165,0.0009999999,20.158096,-0.2,706.6727,2100.3193,,17,138.61649,-0.2,788.92456,-118.54819,3.0394439697265625,,-100.599815,1.0000005,0.2,-0.2,0.0009999999,-82.25185,2.4747693e-05,12
533,18,21.155449,0.0009999999,19.003368,29.61111111111111,-109.09904,17.999992,-138.61649,16,123.02323,,,0.0009999999,-0.80154026,0.0009999999,20.100939,-0.2,710.88025,2214.4182,,18,138.61649,-0.2,793.1646,-118.02323,3.1959493160247803,,-100.599815,0.9999996,-0.2,-0.2,0.0009999999,-82.28439,2.2074333e-05,12
583,19,20.794819,0.0009999999,19.082916,30.68421052631579,-117.735374,19.0,-138.61649,16,123.00808,,,0.0009999999,0.0016872287,0.0009999999,20.046871,0.2,712.31946,2337.1536,,19,138.61649,-0.2,797.1545,-118.00808,3.4281933307647705,,-100.599815,1.0,0.2,-0.2,0.0009999999,-84.83502,1.9811867e-05,12
611,20,20.764141,0.0009999999,19.152905,30.55,-120.24887,19.99998,-138.61649,16,123.12012,,,0.0009999999,0.0033243746,0.0009999999,19.995577,-0.2,715.84296,2462.4023,,20,138.61649,-0.2,800.9214,-118.12012,3.616722822189331,,-100.599815,0.99999905,0.2,0.2,0.0009999999,-85.07844,1.788021e-05,12
631,21,19.450567,0.0009999999,19.15362,30.047619047619047,-107.367516,21.000017,-138.61649,16,122.60809,,,0.0009999999,-0.40270585,0.0009999999,19.946787,-0.2,719.22015,2574.77,,21,138.61649,-0.2,804.48804,-117.60809,3.7885613441467285,,-100.599815,1.0000008,-0.2,0.2,0.0009999999,-85.26786,1.6217875e-05,12
643,22,20.19751,0.0009999999,19.188171,29.227272727272727,-106.56514,22.000002,-138.61649,16,122.10615,,,0.0009999999,0.3977448,0.0009999999,19.900269,0.2,720.2821,2686.3352,,22,138.61649,0.2,807.87415,-117.10615,3.94012713432312,,-100.599815,1.0000001,0.2,-0.2,0.0009999999,-87.59203,1.4777031e-05,12
662,23,20.78647,0.0009999999,19.245281,28.782608695652176,-115.15893,23.0,-138.61649,16,122.021484,,,0.0009999999,0.39843988,0.0009999999,19.855816,-0.2,721.10364,2806.4941,,23,138.61649,0.2,811.09644,-117.021484,4.1197333335876465,,-100.599815,1.0,0.2,0.2,0.0009999999,-89.992805,1.3520007e-05,12
686,24,19.342892,0.0009999999,19.237442,28.583333333333332,-114.30329,24.000023,-138.61649,16,121.908226,,,0.0009999999,0.39760682,0.0009999999,19.813255,0.2,721.2279,2925.7974,,24,138.61649,-0.2,814.1696,-116.908226,4.309556484222412,,-100.599815,1.000001,0.2,0.2,0.0009999999,-92.9417,1.2416813e-05,12
703,25,17.656801,0.0009999999,19.162754,28.12,-105.21436,25.000002,-138.61649,16,121.44047,,,0.0009999999,0.0007829815,0.0009999999,19.772434,0.2,723.9679,3036.0117,,25,138.61649,-0.2,817.1065,-116.44047,4.480532646179199,,-100.599815,1.0000001,-0.2,0.2,0.0009999999,-93.13861,1.1443334e-05,12
729,26,21.241499,0.0009999999,19.231651,28.03846153846154,-118.84243,26.000004,-138.61649,16,121.532845,,,0.0009999999,0.79934776,0.0009999999,19.733213,0.2,723.69934,3159.854,,26,138.61649,0.2,819.9183,-116.532845,4.696098327636719,,-100.599815,1.0000001,0.2,0.2,0.0009999999,-96.218925,1.0580005e-05,12
747,27,20.679638,0.0009999999,19.27461,27.666666666666668,-113.80969,27.000015,-138.61649,16,121.431984,,,0.0009999999,-0.40091902,0.0009999999,19.695473,0.2,723.0212,3278.6636,,27,138.61649,-0.2,822.6148,-116.431984,4.889339923858643,,-100.599815,1.0000006,-0.2,-0.2,0.0009999999,-99.59364,9.810813e-06,12
781,28,20.674791,0.0009999999,19.314304,27.892857142857142,-122.02794,28.00001,-138.61649,16,121.63184,,,0.0009999999,-0.3999223,0.0009999999,19.659105,-0.2,721.40955,3405.6917,,28,138.61649,0.2,825.20496,-116.63184,5.104918718338013,,-100.599815,1.0000004,-0.2,-0.2,0.0009999999,-103.79542,9.122555e-06,12
816,29,20.605698,0.0009999999,19.348856,28.137931034482758,-131.61847,29.000011,-138.61649,16,122.14862,,,0.0009999999,0.0046289265,0.0009999999,19.624014,-0.2,723.7236,3542.31,,29,138.61649,0.2,827.6965,-117.14862,5.299546003341675,,-100.599815,1.0000004,0.2,-0.2,0.0009999999,-103.97288,8.504261e-06,12
