LQGmu1_higher,ReturnMean,TimeElapsed,Regret,LQGsigma_higher,Iteration,LQGmu1_actor,ReturnLastEpisode,Regret/t
-1.0,0.9071454171710895,0.34444236755371094,0.05797458282891044,0.14999999,1,-1.270925,0.9071454171710895,0.05797458282891044
-0.97979796,0.9117519569971424,0.38689708709716797,0.10673608600571516,0.14999999,2,-0.8313886,0.9163584968231953,0.05336804300285758
-0.959596,0.9125599081751559,0.48115110397338867,0.15768027547453234,0.14999999,3,-0.9152871,0.9141758105311828,0.05256009182484411
-0.93939394,0.9115238688093336,0.550555944442749,0.21438452476266567,0.14999999,4,-1.0479226,0.9084157507118666,0.05359613119066642
-0.9191919,0.9124366444518375,0.5669353008270264,0.26341677774081296,0.14999999,5,-0.86114216,0.9160877470218527,0.05268335554816259
-0.8989899,0.9128414330558696,0.6422758102416992,0.3136714016647826,0.14999999,6,-0.8886918,0.9148653760760304,0.05227856694413043
-0.8787879,0.9135009194092277,0.6912128925323486,0.36133356413540607,0.14999999,7,-0.7578086,0.9174578375293765,0.0516190805907723
-0.85858583,0.9143827619117092,0.7411038875579834,0.4058979047063265,0.14999999,8,-0.55290425,0.9205556594290796,0.05073723808829081
-0.83838385,0.9146437249359413,0.7770559787750244,0.45428647557652824,0.14999999,9,-0.81011015,0.9167314291297982,0.05047627506405869
-0.8181818,0.9150332888025151,0.8089733123779297,0.5008671119748485,0.14999999,10,-0.71603256,0.9185393636016798,0.05008671119748485
-0.7979798,0.9147076148256296,0.8547282218933105,0.5545362369180749,0.14999999,11,-0.9767355,0.9114508750567736,0.05041238517437044
-0.7777778,0.9144706969277091,0.8815515041351318,0.6077916368674908,0.14999999,12,-0.9648299,0.911864600050584,0.0506493030722909
-0.75757575,0.9146808002035596,0.9408330917358398,0.655709597353727,0.14999999,13,-0.81581813,0.9172020395137638,0.05043919979644054
-0.7373737,0.9148961736177862,0.9839813709259033,0.7031335693509945,0.14999999,14,-0.7976718,0.9176960280027325,0.05022382638221389
-0.7171717,0.9152345695751253,1.0259902477264404,0.7482814563731209,0.14999999,15,-0.64246523,0.9199721129778735,0.04988543042487473
-0.6969697,0.9154694387757586,1.0684247016906738,0.7944089795878629,0.14999999,16,-0.7119009,0.918992476785258,0.049650561224241434
-0.67676765,0.9155412948490186,1.1146776676177979,0.8428379875666838,0.14999999,17,-0.53907263,0.9166909920211791,0.0495787051509814
-0.65656567,0.9157616069552427,1.1589314937591553,0.8884510748056332,0.14999999,18,-0.5340646,0.9195069127610506,0.0493583930447574
-0.6363636,0.915788474521518,1.2074048519134521,0.9372989840911577,0.14999999,19,-0.83422816,0.9162720907144755,0.049331525478481984
-0.61616164,0.9158767757660332,1.2598929405212402,0.9848644846793375,0.14999999,20,-0.77699953,0.9175544994118202,0.049243224233966876
-0.5959596,0.9156867880154984,1.3045861721038818,1.0380974516745365,0.14999999,21,-0.37169474,0.9118870330048011,0.049433211984501735
-0.57575756,0.9158213975375543,1.3632140159606934,1.084569254173806,0.14999999,22,-0.57205963,0.9186481975007306,0.049298602462445724
-0.5555556,0.9158343821073395,1.4140512943267822,1.1335692115311962,0.14999999,23,-0.8523056,0.9161200426426097,0.049285617892660706
-0.53535354,0.9158663804108764,1.4654579162597656,1.1820868701389675,0.14999999,24,-0.50433236,0.9166023413922286,0.049253619589123644
-0.5151515,0.916040792736233,1.5165789127349854,1.226980181594177,0.14999999,25,-0.5799798,0.9202266885447905,0.04907920726376708
-0.4949495,0.9149822311123438,1.5702924728393555,1.3035819910790631,0.14999999,26,-0.20740864,0.8885181905151138,0.050137768887656274
-0.47474748,0.9151437486666367,1.6266608238220215,1.349358786000812,0.14999999,27,-0.612,0.9193432050782512,0.04997625133336341
-0.45454547,0.9152932708143237,1.6852688789367676,1.3951484171989423,0.14999999,28,-0.6061571,0.9193303688018697,0.04982672918567651
-0.43434343,0.9153582595712385,1.7377028465270996,1.4430904724340865,0.14999999,29,-0.49689072,0.9171779447648558,0.0497617404287616
-0.41414142,0.9155008810486689,1.789271354675293,1.488573568539934,0.14999999,30,-0.46610695,0.9196369038941525,0.04961911895133113
-0.3939394,0.9156193195810879,1.8447332382202148,1.5345210929862763,0.14999999,31,-0.6992751,0.9191724755536576,0.04950068041891214
-0.37373737,0.9157008555600266,1.8972768783569336,1.5814126220791511,0.14999999,32,-0.46198028,0.9182284709071251,0.04941914443997347
-0.35353535,0.9142699996162306,1.9491610527038574,1.6780500126643936,0.14999999,33,-0.15127614,0.8684826094147575,0.0508500003837695
-0.33333334,0.9144437209576954,2.001467227935791,1.7229934874383568,0.14999999,34,-0.603558,0.9201765252260368,0.05067627904230461
-0.3131313,0.9142544423289053,2.053286075592041,1.780294518488318,0.14999999,35,-0.2851771,0.9078189689500388,0.050865557671094803
-0.2929293,0.914182820325802,2.1041276454925537,1.8337384682711275,0.14999999,36,-0.31265557,0.9116760502171906,0.05093717967419799
-0.27272728,0.9138710297888013,2.155818223953247,1.8962118978143523,0.14999999,37,-0.2941,0.9026465704567752,0.05124897021119871
-0.25252524,0.9131257937009641,2.215167760848999,1.9757798393633594,0.14999999,38,-0.19976436,0.8855520584509927,0.051994206299035776
-0.23232323,0.9111803491905542,2.2716293334960938,2.103646381568381,0.14999999,39,-0.08379224,0.8372534577949788,0.05393965080944566
-0.21212122,0.910825299828509,2.323136568069458,2.1717880068596385,0.14999999,40,-0.21474876,0.8969783747087425,0.05429470017149096
-0.1919192,0.9095830404360562,2.3812108039855957,2.2770153421216963,0.14999999,41,-0.11669057,0.8598926647379421,0.05553695956394381
