LQGmu1_actor,LQGsigma_higher,Regret/t,ReturnMean,TimeElapsed,ReturnLastEpisode,Regret,LQGmu1_higher,Iteration
-1.0071009,0.14999999,0.03679369593612747,0.9283263040638725,0.2498157024383545,0.9283263040638725,0.03679369593612747,-1.0,1
-0.9866498,0.14999999,0.03648167444523159,0.9286383255547683,0.2703995704650879,0.9289503470456643,0.07296334889046319,-0.97979796,2
-0.8128973,0.14999999,0.03515682832292325,0.9299631716770768,0.28682827949523926,0.9326128639216934,0.10547048496876976,-0.959596,3
-0.6649207,0.14999999,0.034292804870976995,0.930827195129023,0.31665897369384766,0.9334192654848618,0.13717121948390798,-0.93939394,4
-0.9989539,0.14999999,0.03472553388756583,0.9303944661124343,0.35056471824645996,0.9286635500460788,0.17362766943782915,-0.9191919,5
-0.7284756,0.14999999,0.03410584873103315,0.9310141512689669,0.39126133918762207,0.9341125770516302,0.20463509238619892,-0.8989899,6
-0.85958576,0.14999999,0.033945428516154376,0.9311745714838456,0.43718433380126953,0.9321370927731183,0.2376179996130806,-0.8787879,7
-0.78864014,0.14999999,0.033680622256102286,0.9314393777438977,0.481325626373291,0.9332930215642623,0.2694449780488183,-0.85858583,8
-0.93193865,0.14999999,0.033754860081707104,0.931365139918293,0.5254426002502441,0.9307712373134543,0.3037937407353639,-0.83838385,9
-0.7882544,0.14999999,0.033578836454210746,0.9315411635457893,0.5681540966033936,0.9331253761932564,0.3357883645421075,-0.8181818,10
-0.7949422,0.14999999,0.03348090781355124,0.9316390921864489,0.6111443042755127,0.9326183785930439,0.3682899859490636,-0.7979798,11
-0.85228294,0.14999999,0.033448821820872325,0.9316711781791279,0.6541593074798584,0.9320241240985957,0.4013858618504679,-0.7777778,12
-0.8207175,0.14999999,0.03337246732183831,0.9317475326781619,0.6959187984466553,0.9326637866665698,0.43384207518389806,-0.75757575,13
-0.840246,0.14999999,0.03339692542014065,0.9317230745798595,0.7372231483459473,0.9314051193019289,0.4675569558819691,-0.7373737,14
-0.60466653,0.14999999,0.03327001563529479,0.9318499843647053,0.7776851654052734,0.9336267213525472,0.4990502345294219,-0.7171717,15
-0.60924935,0.14999999,0.03318227682123197,0.9319377231787682,0.8404462337493896,0.9332538053897104,0.5309164291397115,-0.6969697,16
-0.3144011,0.14999999,0.033256078191312086,0.9318639218086882,0.9084703922271729,0.930683099887406,0.5653533292523054,-0.67676765,17
-0.5573363,0.14999999,0.03315450907777397,0.9319654909222262,0.9471464157104492,0.9336921658523739,0.5967811633999315,-0.65656567,18
-0.8468041,0.14999999,0.033123707661259515,0.9319962923387407,0.9826290607452393,0.9325507178360006,0.6293504455639308,-0.6363636,19
-0.26242286,0.14999999,0.0333794640796136,0.9317405359203865,1.0166261196136475,0.9268811639716589,0.6675892815922719,-0.61616164,20
-0.6226403,0.14999999,0.03332543090749235,0.9317945690925078,1.046799659729004,0.9328752325349325,0.6998340490573394,-0.5959596,21
-0.578136,0.14999999,0.03316698912988389,0.9319530108701163,1.0787692070007324,0.9352802881998937,0.7296737608574456,-0.57575756,22
-0.56158054,0.14999999,0.03305774472768718,0.932062255272313,1.1163907051086426,0.9344656321206404,0.7603281287368052,-0.5555556,23
-0.4595153,0.14999999,0.033043439246279,0.9320765607537213,1.1465833187103271,0.9324055868261092,0.793042541910696,-0.53535354,24
-0.56027067,0.14999999,0.03296956983103133,0.932150430168969,1.1790344715118408,0.9339232961349127,0.8242392457757833,-0.5151515,25
-0.49332014,0.14999999,0.03291356306987446,0.9322064369301258,1.212773084640503,0.9336066059590473,0.855752639816736,-0.4949495,26
-0.39817324,0.14999999,0.03298241738743989,0.9321375826125603,1.2470192909240723,0.9303473703558588,0.8905252694608772,-0.47474748,27
-0.50976455,0.14999999,0.0329889724409892,0.932131027559011,1.2794127464294434,0.9319540411131796,0.9236912283476976,-0.45454547,28
-0.51444423,0.14999999,0.032951333895400885,0.9321686661045993,1.3111026287078857,0.9332225453810719,0.9555886829666257,-0.43434343,29
-0.01736334,0.14999999,0.0383379459372754,0.9267820540627247,1.3468682765960693,0.7705703048483634,1.1501383781182621,-0.41414142,30
-0.35279396,0.14999999,0.03823880526218969,0.9268811947378104,1.3771231174468994,0.9298554149903816,1.1854029631278804,-0.3939394,31
-0.38355803,0.14999999,0.0381511364535118,0.9269688635464883,1.4130206108093262,0.9296865966155028,1.2208363665123776,-0.37373737,32
-0.27564618,0.14999999,0.038237267341972324,0.9268827326580278,1.4457223415374756,0.9241265442272908,1.2618298222850868,-0.35353535,33
-0.48664224,0.14999999,0.038000751374160195,0.92711924862584,1.4794034957885742,0.9349242755636402,1.2920255467214465,-0.33333334,34
-0.13544355,0.14999999,0.038556248558343664,0.9265637514416566,1.510101318359375,0.9076768471794182,1.3494686995420282,-0.3131313,35
-0.3947414,0.14999999,0.038405275536274125,0.926714724463726,1.5442819595336914,0.9319987802361595,1.3825899193058686,-0.2929293,36
-0.42271286,0.14999999,0.03831821886572921,0.9268017811342709,1.574380874633789,0.9299358212738879,1.4177740980319808,-0.27272728,37
-0.094386205,0.14999999,0.039281433687046174,0.9258385663129539,1.6112260818481445,0.8901996179242262,1.4926944801077546,-0.25252524,38
-0.21953407,0.14999999,0.0394962115428385,0.9256237884571615,1.6392438411712646,0.9174622299370531,1.5403522501707014,-0.23232323,39
-0.21103436,0.14999999,0.039691752503083585,0.9254282474969164,1.6748535633087158,0.9178021500473578,1.5876701001233435,-0.21212122,40
-0.28925622,0.14999999,0.039664684209124244,0.9254553157908758,1.7068336009979248,0.9265380475492495,1.626252052574094,-0.1919192,41
