Regret/t,TimeElapsed,ReturnLastEpisode,LQGmu1_higher,LQGsigma_higher,Regret,ReturnMean,Iteration,LQGmu1_actor
0.015459768738233959,0.16049981117248535,0.949660231261766,-1.0,0.14999999,0.015459768738233959,0.949660231261766,1,-0.6594825
0.015401584002833923,0.19621682167053223,0.9497766007325661,-0.97979796,0.14999999,0.030803168005667847,0.9497184159971661,2,-0.8454614
0.015826736677768016,0.24427485466003418,0.9484429579723638,-0.959596,0.14999999,0.04748021003330405,0.949293263322232,3,-1.0573446
0.01611882623443514,0.2913486957550049,0.9481249050955635,-0.93939394,0.14999999,0.06447530493774056,0.9490011737655648,4,-1.070534
0.01765477312887618,0.3885488510131836,0.9413214392933597,-0.9191919,0.14999999,0.08827386564438089,0.9474652268711237,5,-1.451878
0.01742823055437026,0.43376708030700684,0.9488244823181593,-0.8989899,0.14999999,0.10456938332622157,0.9476917694456297,6,-0.99787915
0.01709570057735304,0.4705812931060791,0.9500194792847503,-0.8787879,0.14999999,0.11966990404147126,0.9480242994226469,7,-0.73569196
0.01676357697970024,0.5062055587768555,0.9506812882038693,-0.85858583,0.14999999,0.13410861583760192,0.9483564230202997,8,-0.47838962
0.016535619877800042,0.5423769950866699,0.9504080369374015,-0.83838385,0.14999999,0.1488205789002004,0.9485843801221999,9,-0.7327504
0.01640368296604868,0.5779168605804443,0.9499037492397135,-0.8181818,0.14999999,0.16403682966048683,0.9487163170339512,10,-0.8634978
0.016335991788878398,0.6147754192352295,0.9494609199828244,-0.7979798,0.14999999,0.17969590967766236,0.9487840082111215,11,-0.84506196
0.016208217812844417,0.6512494087219238,0.9503172959235293,-0.7777778,0.14999999,0.19449861375413302,0.9489117821871554,12,-0.5344349
0.016116001322384332,0.6873645782470703,0.9501105965631367,-0.75757575,0.14999999,0.20950801719099632,0.9490039986776156,13,-0.6450113
0.016043559922348214,0.7249670028686523,0.9500181782781213,-0.7373737,0.14999999,0.224609838912875,0.9490764400776517,14,-0.8050602
0.01598851773770959,0.7611443996429443,0.9499020728472312,-0.7171717,0.14999999,0.23982776606564382,0.9491314822622904,15,-0.765806
0.0160041202776824,0.797849178314209,0.9488818416227254,-0.6969697,0.14999999,0.2560659244429184,0.9491158797223176,16,-1.0116689
0.01592006904453321,0.8347642421722412,0.9505447506858539,-0.67676765,0.14999999,0.27064117375706453,0.9491999309554667,17,-0.63535345
0.015874513250997042,0.8704936504364014,0.9500199352391178,-0.65656567,0.14999999,0.28574123851794675,0.949245486749003,18,-0.54516256
0.015851749237009407,0.9066216945648193,0.949678003014768,-0.6363636,0.14999999,0.3011832355031787,0.9492682507629906,19,-0.5406698
0.015818141363965338,0.9431967735290527,0.9499404082238719,-0.61616164,0.14999999,0.31636282727930676,0.9493018586360347,20,-0.7887174
0.01581690457070084,0.9789779186248779,0.9493278312945891,-0.5959596,0.14999999,0.33215499598471765,0.9493030954292991,21,-0.46345645
0.01573987721481747,1.0160243511199951,0.9509976972587333,-0.57575756,0.14999999,0.34627729872598434,0.9493801227851825,22,-0.49517378
0.015764332372494787,1.0529394149780273,0.9488176541586042,-0.5555556,0.14999999,0.3625796445673801,0.949355667627505,23,-0.424703
0.015717626953027367,1.0895416736602783,0.9504765976947233,-0.53535354,0.14999999,0.37722304687265684,0.9494023730469725,24,-0.55219537
0.01567526876598424,1.126112699508667,0.9504613277230508,-0.5151515,0.14999999,0.391881719149606,0.9494447312340156,25,-0.6530777
0.016555686256473676,1.1637630462646484,0.9265538764812904,-0.4949495,0.14999999,0.4304478426683156,0.9485643137435262,26,-0.09363422
0.016530887473439452,1.1989059448242188,0.9492338808854504,-0.47474748,0.14999999,0.4463339617828652,0.9485891125265604,27,-0.49891543
0.01653298475314059,1.233161211013794,0.9485303886949287,-0.45454547,0.14999999,0.4629235730879365,0.9485870152468594,28,-0.35487026
0.016564612325172742,1.2862234115600586,0.947669815657927,-0.43434343,0.14999999,0.48037375743000954,0.9485553876748273,29,-0.29466325
0.01650522921828573,1.3347752094268799,0.9503368808814376,-0.41414142,0.14999999,0.4951568765485719,0.9486147707817143,30,-0.52420074
0.01645102037032856,1.3681764602661133,0.9502952450683865,-0.3939394,0.14999999,0.5099816314801854,0.9486689796296714,31,-0.58885765
0.01640829336225033,1.417112112045288,0.9500362438881748,-0.37373737,0.14999999,0.5250653875920106,0.9487117066377496,32,-0.4840436
0.016349151252017503,1.4631586074829102,0.950663396275433,-0.35353535,0.14999999,0.5395219913165776,0.9487708487479825,33,-0.45509812
0.01631712521427762,1.5112123489379883,0.9498597340311384,-0.33333334,0.14999999,0.5547822572854392,0.9488028747857223,34,-0.7747766
0.01630562237244993,1.5641181468963623,0.9492054742496916,-0.3131313,0.14999999,0.5706967830357476,0.94881437762755,35,-0.5391643
0.016254087020180944,1.620945692062378,0.9506696503092336,-0.2929293,0.14999999,0.585147132726514,0.9488659129798189,36,-0.5355075
0.01624752140693932,1.671187162399292,0.9491088406697591,-0.27272728,0.14999999,0.6011582920567549,0.9488724785930606,37,-0.27160713
0.016275309610579138,1.7078890800476074,0.9478165268547476,-0.25252524,0.14999999,0.6184617652020072,0.9488446903894207,38,-0.36531135
0.016258070359257068,1.7537567615509033,0.9495170211909816,-0.23232323,0.14999999,0.6340647440110256,0.9488619296407429,39,-0.31851205
0.016214646936342295,1.7911884784698486,0.9505988665573338,-0.21212122,0.14999999,0.6485858774536918,0.9489053530636576,40,-0.36751315
0.01625606446103797,1.8279914855957031,0.9472072345511351,-0.1919192,0.14999999,0.6664986429025567,0.948863935538962,41,-0.3503369
