Iteration,LQGmu1_actor,Regret/t,ReturnMean,TimeElapsed,LQGsigma_higher,LQGmu1_higher,ReturnLastEpisode,Regret
1,-0.80105674,0.0270763538405554,0.9380436461594446,0.17322325706481934,0.14999999,-1.0,0.9380436461594446,0.0270763538405554
2,-0.93843055,0.027900373748794283,0.9372196262512057,0.18688750267028809,0.14999999,-0.97979796,0.9363956063429668,0.055800747497588565
3,-1.1367114,0.029706954144655812,0.9354130458553441,0.21901655197143555,0.14999999,-0.959596,0.9317998850636211,0.08912086243396744
4,-0.9385485,0.02949197556129554,0.9356280244387044,0.25916385650634766,0.14999999,-0.93939394,0.9362729601887853,0.11796790224518217
5,-1.1450281,0.030313224583064978,0.9348067754169349,0.29126739501953125,0.14999999,-0.9191919,0.9315217793298572,0.1515661229153249
6,-0.8608739,0.029913697874615414,0.9352063021253846,0.3312406539916992,0.14999999,-0.8989899,0.9372039356676324,0.1794821872476925
7,-0.8701753,0.029582730150118856,0.9355372698498812,0.3660595417022705,0.14999999,-0.8787879,0.9375230761968605,0.207079111050832
8,-0.8822081,0.02933722422376024,0.9357827757762398,0.41638731956481934,0.14999999,-0.85858583,0.93750131726075,0.23469779379008193
9,-0.69878364,0.028997720414416877,0.9361222795855831,0.4536008834838867,0.14999999,-0.83838385,0.93883831006033,0.2609794837297519
10,-0.647207,0.028633289684222595,0.9364867103157775,0.47564005851745605,0.14999999,-0.8181818,0.9397665868875259,0.28633289684222596
11,-1.0912893,0.0290291527721615,0.9360908472278385,0.5106301307678223,0.14999999,-0.7979798,0.9321322163484494,0.3193206804937765
12,-0.92607945,0.029022327648213497,0.9360976723517865,0.5392613410949707,0.14999999,-0.7777778,0.9361727487152145,0.34826793177856197
13,-0.834987,0.028859404581136602,0.9362605954188634,0.5734391212463379,0.14999999,-0.75757575,0.9382156722237861,0.37517225955477584
14,-0.8221736,0.028712270298511644,0.9364077297014884,0.606513500213623,0.14999999,-0.7373737,0.9383204753756128,0.401971784179163
15,-0.8143098,0.028619237021725974,0.9365007629782741,0.6384003162384033,0.14999999,-0.7171717,0.9378032288532734,0.4292885553258896
16,-0.71394974,0.02846276851877671,0.9366572314812234,0.6678688526153564,0.14999999,-0.6969697,0.9390042590254623,0.45540429630042734
17,-0.4397048,0.028493650070999556,0.9366263499290005,0.7012674808502197,0.14999999,-0.67676765,0.9361322450934348,0.48439205120699247
18,-1.0120815,0.028603067434599585,0.9365169325654006,0.7338535785675049,0.14999999,-0.65656567,0.9346568373841999,0.5148552138227925
19,-0.749288,0.028481583611751134,0.936638416388249,0.7632837295532227,0.14999999,-0.6363636,0.938825125199521,0.5411500886232715
20,-0.35641822,0.02852496290719917,0.936595037092801,0.7953970432281494,0.14999999,-0.61616164,0.9357708304792881,0.5704992581439834
21,-0.4528997,0.028436282041488355,0.9366837179585117,0.82781982421875,0.14999999,-0.5959596,0.9384573352727279,0.5971619228712555
22,-0.5183451,0.028415590861133957,0.9367044091388661,0.8590474128723145,0.14999999,-0.57575756,0.9371389239263084,0.6251429989449471
23,-0.57907766,0.028302669118830923,0.9368173308811691,0.8882505893707275,0.14999999,-0.5555556,0.9393016092118358,0.6509613897331112
24,-0.4052266,0.028333879442908955,0.9367861205570911,0.9219181537628174,0.14999999,-0.53535354,0.9360682831032963,0.680013106629815
25,-0.6191722,0.02823422603599143,0.9368857739640086,0.9545490741729736,0.14999999,-0.5151515,0.9392774557300292,0.7058556508997857
26,-0.6454683,0.028147412389410882,0.9369725876105891,0.9872641563415527,0.14999999,-0.4949495,0.9391429287751027,0.731832722124683
27,-0.5347508,0.028069467838682565,0.9370505321613174,1.01904296875,0.14999999,-0.47474748,0.9390770904802537,0.7578756316444293
28,-0.46699527,0.027967259610957647,0.9371527403890424,1.0499794483184814,0.14999999,-0.45454547,0.9399123625376151,0.7830832691068141
29,-0.4819892,0.027892137718151196,0.9372278622818488,1.080399513244629,0.14999999,-0.43434343,0.9393312752804295,0.8088719938263846
30,-0.46793798,0.02783333607639139,0.9372866639236086,1.1210298538208008,0.14999999,-0.41414142,0.9389919115346429,0.8350000822917417
31,-0.5369412,0.02775244037735449,0.9373675596226456,1.1525990962982178,0.14999999,-0.3939394,0.9397944305937525,0.8603256516979892
32,-0.56531227,0.027676652232445434,0.9374433477675547,1.1857545375823975,0.14999999,-0.37373737,0.9397927802597353,0.8856528714382539
33,-0.5417322,0.027628263946405784,0.9374917360535943,1.2158219814300537,0.14999999,-0.35353535,0.939040161206863,0.9117327102313909
34,-0.23717281,0.027829426707319936,0.9372905732926802,1.247757911682129,0.14999999,-0.33333334,0.9306522021825131,0.9462005080488778
35,-0.39137012,0.027835100001109062,0.937284899998891,1.2788245677947998,0.14999999,-0.3131313,0.9370920080100605,0.9742285000388172
36,-0.5176302,0.02778272169524633,0.9373372783047537,1.315490484237671,0.14999999,-0.2929293,0.9391705190099495,1.0001779810288678
37,-0.42731255,0.027808321495039034,0.937311678504961,1.3476059436798096,0.14999999,-0.27272728,0.9363900857124235,1.0289078953164443
38,0.017746955,0.03395060999698451,0.9311693900030155,1.3774323463439941,0.14999999,-0.25252524,0.7039047154310328,1.2901231798854114
39,-0.26181647,0.03399695089603265,0.9311230491039674,1.410961389541626,0.14999999,-0.23232323,0.929362094940138,1.3258810849452733
40,-0.05255063,0.03581355490221462,0.9293064450977854,1.4443542957305908,0.14999999,-0.21212122,0.8584588888566885,1.4325421960885847
41,-0.38038933,0.03567986007550202,0.929440139924498,1.4763851165771484,0.14999999,-0.1919192,0.9347879329930017,1.4628742630955829
42,-0.17301768,0.035640760138598265,0.9294792398614017,1.5090582370758057,0.14999999,-0.17171717,0.9310823372744558,1.4969119258211272
43,-0.5031067,0.03544375025906655,0.9296762497409334,1.5377438068389893,0.14999999,-0.15151516,0.9379506646812658,1.5240812611398615
44,-0.16437373,0.03572239889632794,0.929397601103672,1.572739601135254,0.14999999,-0.13131313,0.917415709701432,1.5717855514384294
45,0.088474,0.044719268849305494,0.9204007311506945,1.6061558723449707,0.14999999,-0.11111111,0.5245384532196822,2.012367098218747
46,-0.16409379,0.044745521698576284,0.9203744783014237,1.6367018222808838,0.14999999,-0.09090909,0.9191931000842382,2.058293998134509
47,-0.06694177,0.04524223459076693,0.9198777654092329,1.6706233024597168,0.14999999,-0.07070707,0.8970289723684635,2.1263850257660457
48,-0.088673346,0.04563095935785919,0.9194890406421408,1.7000117301940918,0.14999999,-0.05050505,0.9012189765888046,2.1902860491772413
49,0.10208762,0.053688822428748506,0.9114311775712515,1.7340888977050781,0.14999999,-0.030303031,0.5246537501685649,2.6307522990086767
50,0.037720155,0.06034472415106446,0.9047752758489355,1.7675228118896484,0.14999999,-0.01010101,0.5786360914554535,3.017236207553223
51,0.4989957,0.07056823460741926,0.8945517653925807,1.7999694347381592,0.14999999,0.01010101,0.38337624257484054,3.5989799649783825
52,-0.09425711,0.07067974960790474,0.8944402503920952,1.8342490196228027,0.14999999,0.030303031,0.8887529853673355,3.6753469796110467
53,0.25951788,0.07857831211234738,0.8865416878876525,1.8673079013824463,0.14999999,0.05050505,0.4758164376566358,4.164650541954411
54,0.29092586,0.08637726016355098,0.8787427398364488,1.8962864875793457,0.14999999,0.07070707,0.46539849312265796,4.664372048831753
55,0.07263437,0.09264410139425851,0.8724758986057414,1.9246478080749512,0.14999999,0.09090909,0.5340664721475351,5.095425576684218
56,0.2521317,0.09970365320306204,0.8654163467969378,1.9571566581726074,0.14999999,0.11111111,0.4771409973127442,5.583404579371474
57,0.23721085,0.10640299041416074,0.8587170095858392,1.9853157997131348,0.14999999,0.13131313,0.48355412576431195,6.064970453607162
58,0.1629625,0.11251530018887852,0.8526046998111214,2.018001079559326,0.14999999,0.15151516,0.5042030426522079,6.5258874109549545
59,0.19079119,0.1186031585291083,0.8465168414708916,2.046678066253662,0.14999999,0.17171717,0.49342105773756467,6.99758635321739
60,0.37904462,0.12551089270618115,0.8396091072938188,2.0778846740722656,0.14999999,0.1919192,0.43205279084652026,7.530653562370869
61,-0.12376568,0.12448310378048644,0.8406368962195135,2.1059672832489014,0.14999999,0.21212122,0.9023042317611963,7.593469330609673
62,0.20235279,0.13016691748821704,0.8349530825117829,2.1377010345458984,0.14999999,0.23232323,0.48824044634021635,8.070348884269457
63,0.06978285,0.1348274713708689,0.8302925286291309,2.1693947315216064,0.14999999,0.25252524,0.5413381879047163,8.49413069636474
64,0.47604048,0.14164693174844778,0.8234730682515521,2.2000303268432617,0.14999999,0.27272728,0.3938470644640818,9.065403631900658
