LQGmu1_higher,Regret,LQGsigma_higher,Iteration,ReturnLastEpisode,Regret/t,TimeElapsed,LQGmu1_actor,ReturnMean
-1.0,0.009169605722717966,0.14999999,1,0.955950394277282,0.009169605722717966,0.25264978408813477,-1.0270102,0.955950394277282
-0.97979796,0.018333857161586642,0.14999999,2,0.9559557485611313,0.009166928580793321,0.27529358863830566,-0.87270397,0.9559530714192066
-0.959596,0.02737867689477802,0.14999999,3,0.9560751802668086,0.009126225631592674,0.32462644577026367,-0.92934656,0.9559937743684074
-0.93939394,0.0364458576788953,0.14999999,4,0.9560528192158827,0.009111464419723825,0.38057470321655273,-1.0660734,0.9560085355802762
-0.9191919,0.04562880640152478,0.14999999,5,0.9559370512773705,0.009125761280304956,0.46463751792907715,-0.97884804,0.9559942387196951
-0.8989899,0.054859908964075554,0.14999999,6,0.9558888974374492,0.009143318160679259,0.5684483051300049,-0.8383131,0.9559766818393208
-0.8787879,0.0638098783671841,0.14999999,7,0.9561700305968914,0.009115696909597728,0.6084909439086914,-0.990498,0.9560043030904024
-0.85858583,0.07294957367255961,0.14999999,8,0.9559803046946245,0.009118696709069951,0.6504127979278564,-0.927676,0.9560013032909301
-0.83838385,0.08202599419794365,0.14999999,9,0.9560435794746159,0.009113999355327073,0.6991007328033447,-0.8774134,0.956006000644673
-0.8181818,0.09111045135881346,0.14999999,10,0.9560355428391302,0.009111045135881346,0.7428116798400879,-0.60686696,0.9560089548641187
-0.7979798,0.10004124603852427,0.14999999,11,0.9561892053202892,0.009094658730774934,0.7748167514801025,-0.90375674,0.9560253412692251
-0.7777778,0.10890290766728639,0.14999999,12,0.9562583383712379,0.009075242305607198,0.812406063079834,-0.8066016,0.9560447576943929
-0.75757575,0.11779816981882929,0.14999999,13,0.9562247378484571,0.009061397678371485,0.8411760330200195,-0.7859937,0.9560586023216285
-0.7373737,0.12696233069201412,0.14999999,14,0.9559558391268151,0.009068737906572437,0.8699030876159668,-0.8873067,0.9560512620934276
-0.7171717,0.13591291224159485,0.14999999,15,0.9561694184504193,0.009060860816106324,0.8987648487091064,-0.71553016,0.9560591391838938
-0.6969697,0.14481952145686072,0.14999999,16,0.9562133907847341,0.009051220091053795,0.9376912117004395,-0.5903591,0.9560687799089463
-0.67676765,0.15392656113102487,0.14999999,17,0.9560129603258358,0.00905450359594264,0.9681808948516846,-0.75936896,0.9560654964040574
-0.65656567,0.162749716255696,0.14999999,18,0.9562968448753288,0.009041650903094223,1.006467580795288,-0.68870825,0.9560783490969058
-0.6363636,0.17150787536643164,0.14999999,19,0.9563618408892643,0.00902673028244377,1.0397076606750488,-0.4686849,0.9560932697175563
-0.61616164,0.18071006788431898,0.14999999,20,0.9559178074821126,0.009035503394215948,1.0759601593017578,-0.40272233,0.9560844966057841
