ReturnMean,LQGsigma_higher,ReturnLastEpisode,Regret/t,LQGmu1_actor,LQGmu1_higher,Iteration,TimeElapsed,Regret
0.9398150294610298,0.14999999,0.9398150294610298,0.025304970538970184,-1.0297719,-1.0,1,0.1866602897644043,0.025304970538970184
0.936313089933731,0.14999999,0.9328111504064321,0.02880691006626901,-1.2955934,-0.97979796,2,0.2299785614013672,0.05761382013253802
0.9371507794291642,0.14999999,0.9388261584200307,0.027969220570835767,-1.0851446,-0.959596,3,0.27995777130126953,0.0839076617125073
0.9376911578997983,0.14999999,0.9393122933117004,0.027428842100201717,-1.0695169,-0.93939394,4,0.32030582427978516,0.10971536840080687
0.9380703003443424,0.14999999,0.939586870122519,0.027049699655657577,-1.0407093,-0.9191919,5,0.37335801124572754,0.1352484982782879
0.9389271241254723,0.14999999,0.9432112430311219,0.02619287587452766,-0.79571944,-0.8989899,6,0.4115331172943115,0.15715725524716595
0.9395740896000907,0.14999999,0.9434558824478017,0.025545910399909184,-0.52820635,-0.8787879,7,0.46414661407470703,0.17882137279936428
0.9398638641441001,0.14999999,0.9418922859521651,0.02525613585589989,-0.8875615,-0.85858583,8,0.5101909637451172,0.20204908684719913
0.9402027510542619,0.14999999,0.9429138463355562,0.024917248945738102,-0.8364924,-0.83838385,9,0.5594375133514404,0.22425524051164292
0.9403615780213306,0.14999999,0.9417910207249495,0.024758421978669343,-0.90094286,-0.8181818,10,0.6063356399536133,0.24758421978669343
0.9405428520687642,0.14999999,0.9423555925430991,0.024577147931235846,-0.88748026,-0.7979798,11,0.6555044651031494,0.2703486272435943
0.9407571689472299,0.14999999,0.9431146546103532,0.024362831052770095,-0.5914913,-0.7777778,12,0.7065112590789795,0.29235397263324114
0.9409220770674946,0.14999999,0.9429009745106703,0.024197922932505445,-0.8126988,-0.75757575,13,0.7431166172027588,0.3145729981225708
0.9410776950739762,0.14999999,0.9431007291582373,0.02404230492602382,-0.6495161,-0.7373737,14,0.7826921939849854,0.3365922689643335
0.9412132491477331,0.14999999,0.9431110061803296,0.02390675085226692,-0.7420234,-0.7171717,15,0.8157641887664795,0.35860126278400384
0.9411262596358088,0.14999999,0.939821416956944,0.02399374036419124,-1.0325712,-0.6969697,16,0.8503170013427734,0.3838998458270598
0.9412036481790399,0.14999999,0.9424418648707384,0.02391635182096008,-0.7433295,-0.67676765,17,0.883751630783081,0.40657798095632136
0.9413089020700051,0.14999999,0.9430982182164122,0.023811097929994956,-0.74148244,-0.65656567,18,0.9278724193572998,0.4285997627399092
0.9413723949888811,0.14999999,0.9425152675286532,0.023747605011118732,-0.6258763,-0.6363636,19,0.9740605354309082,0.45120449521125594
0.9414683110305999,0.14999999,0.9432907158232546,0.023651688969400064,-0.44134748,-0.61616164,20,1.0186498165130615,0.4730337793880013
0.9415371127873273,0.14999999,0.9429131479218743,0.023582887212672713,-0.5773212,-0.5959596,21,1.0627830028533936,0.49524063146612696
0.941628361793251,0.14999999,0.9435445909176515,0.02349163820674888,-0.59738404,-0.57575756,22,1.1084787845611572,0.5168160405484754
0.9417097867188055,0.14999999,0.9435011350810041,0.023410213281194404,-0.65164167,-0.5555556,23,1.1518232822418213,0.5384349054674713
0.9417006521396128,0.14999999,0.9414905568181804,0.02341934786038712,-0.42417789,-0.53535354,24,1.1959209442138672,0.5620643486492909
0.9417612787966649,0.14999999,0.9432163185659177,0.023358721203334928,-0.5168616,-0.5151515,25,1.2382328510284424,0.5839680300833732
0.9417554869409275,0.14999999,0.9416106905474932,0.023364513059072303,-0.46126702,-0.4949495,26,1.2808222770690918,0.6074773395358799
0.9417847469319727,0.14999999,0.9425455066991458,0.02333525306802719,-0.5154837,-0.47474748,27,1.3426074981689453,0.630051832836734
0.9417849922403382,0.14999999,0.9417916155662047,0.023335007759661762,-0.34823743,-0.45454547,28,1.3781585693359375,0.6533802172705293
0.9415491166372084,0.14999999,0.9349445997495759,0.023570883362791496,-0.22008102,-0.43434343,29,1.401195764541626,0.6835556175209534
0.9415577099676891,0.14999999,0.941806916551629,0.023562290032310813,-0.452203,-0.41414142,30,1.4307661056518555,0.7068687009693244
0.9415292226005342,0.14999999,0.9406746015858897,0.023590777399465638,-0.354584,-0.3939394,31,1.4598884582519531,0.7313140993834347
0.9415705550248007,0.14999999,0.9428518601770608,0.023549444975199185,-0.49751058,-0.37373737,32,1.4874014854431152,0.7535822392063739
0.9416163971235252,0.14999999,0.9430833442827081,0.02350360287647472,-0.4499227,-0.35353535,33,1.508612871170044,0.7756188949236658
0.9416154439323927,0.14999999,0.9415839886250201,0.023504556067607225,-0.40903634,-0.33333334,34,1.5308945178985596,0.7991549062986456
0.9414405333044907,0.14999999,0.9354935719558252,0.023679466695509153,-0.1795954,-0.3131313,35,1.557356595993042,0.8287813343428204
0.9414758260244105,0.14999999,0.9427110712215993,0.023644173975589475,-0.38989326,-0.2929293,36,1.591742992401123,0.8511902631212211
0.9414369299763821,0.14999999,0.9400366722473608,0.023683070023617848,-0.384229,-0.27272728,37,1.6200249195098877,0.8762735908738604
0.9348295361853861,0.14999999,0.6903559659185382,0.030290463814613745,0.04399267,-0.25252524,38,1.6497323513031006,1.1510376249553222
0.9350491222571085,0.14999999,0.9433933929825602,0.030070877742891335,-0.44806367,-0.23232323,39,1.6782686710357666,1.172764231972762
0.9352561028268201,0.14999999,0.9433283450455805,0.029863897173179537,-0.42425174,-0.21212122,40,1.7068865299224854,1.1945558869271815
0.9352143976327918,0.14999999,0.9335461898716533,0.029905602367208003,-0.25154534,-0.1919192,41,1.729271411895752,1.2261296970555282
