LQGsigma_higher,LQGmu1_actor,ReturnLastEpisode,Regret,Iteration,ReturnMean,Regret/t,LQGmu1_higher,TimeElapsed
0.14999999,-1.0503803,0.9403548810706289,0.024765118929371055,1,0.9403548810706289,0.024765118929371055,-1.0,0.20462512969970703
0.14999999,-0.9185936,0.9422471533153507,0.04763796561402034,2,0.9413010171929899,0.02381898280701017,-0.97979796,0.22544264793395996
0.14999999,-1.2763419,0.9345841686309603,0.07817379698306004,3,0.9390620676723134,0.02605793232768668,-0.959596,0.2430415153503418
0.14999999,-1.0770818,0.9395442748171831,0.10374952216587696,4,0.9391826194585308,0.02593738054146924,-0.93939394,0.27241945266723633
0.14999999,-1.0636004,0.9398584670485245,0.12901105511735245,5,0.9393177889765296,0.025802211023470488,-0.9191919,0.2970855236053467
0.14999999,-0.7978195,0.9439232986436649,0.15020775647368756,6,0.9400853739210522,0.025034626078947925,-0.8989899,0.33487653732299805
0.14999999,-0.89322203,0.942307248808122,0.17302050766556554,7,0.940402784619205,0.024717215380795077,-0.8787879,0.38468122482299805
0.14999999,-0.8640137,0.9429627224381119,0.19517778522745366,8,0.9407227768465684,0.024397223153431707,-0.85858583,0.41439151763916016
0.14999999,-0.99699885,0.9411133127498519,0.21918447247760176,9,0.9407661697247109,0.024353830275289083,-0.83838385,0.44286036491394043
0.14999999,-0.7021697,0.9441423915709772,0.2401620809066245,10,0.9411037919093376,0.02401620809066245,-0.8181818,0.4706888198852539
0.14999999,-0.8475171,0.9426780866787834,0.2626039942278411,11,0.9412469096156509,0.02387309038434919,-0.7979798,0.5163733959197998
0.14999999,-0.71250874,0.9438172246948175,0.2839067695330235,12,0.9414611025389149,0.023658897461085293,-0.7777778,0.5603179931640625
0.14999999,-0.5805203,0.9442432514400841,0.30478351809293935,13,0.941675113992851,0.023444886007149182,-0.75757575,0.596543550491333
0.14999999,-0.6515253,0.9441570393418413,0.3257464787510981,14,0.9418523943749217,0.023267605625078434,-0.7373737,0.6278674602508545
0.14999999,-0.7009328,0.9436322209601914,0.34723425779090666,15,0.9419710494806064,0.023148950519393776,-0.7171717,0.6578168869018555
0.14999999,-0.5405861,0.9436615842022025,0.36869267358870417,16,0.9420767079007061,0.02304329209929401,-0.6969697,0.68511962890625
0.14999999,-0.6018086,0.9440318458444151,0.389780827744289,17,0.9421917160150419,0.022928283984958178,-0.67676765,0.7110731601715088
0.14999999,-0.675037,0.9437786393487002,0.4111221883955888,18,0.9422798784224674,0.02284012157753271,-0.65656567,0.7425839900970459
0.14999999,-0.40941218,0.9428049896720038,0.433437198723585,19,0.9423075158566536,0.02281248414334658,-0.6363636,0.7708330154418945
0.14999999,-0.4360382,0.9430672307076617,0.45548996801592323,20,0.942345501599204,0.02277449840079616,-0.61616164,0.8248279094696045
0.14999999,-0.60820735,0.944595172641644,0.47601479537427915,21,0.9424526287917012,0.02266737120829901,-0.5959596,0.8450851440429688
0.14999999,-0.7290832,0.9437034619261189,0.49743133344816026,22,0.9425094848432657,0.022610515156734557,-0.57575756,0.8737185001373291
0.14999999,-0.5192695,0.9436442500432307,0.5189070834049295,23,0.9425588224606555,0.02256117753934476,-0.5555556,0.8992888927459717
0.14999999,-0.5554069,0.9439303672462278,0.5400967161587017,24,0.9426159701600544,0.022504029839945903,-0.53535354,0.9303905963897705
0.14999999,-0.41276926,0.9440366280696547,0.561180088089047,25,0.9426727964764383,0.022447203523561877,-0.5151515,0.9526581764221191
0.14999999,-0.42498404,0.9417508907285584,0.5845491973604885,26,0.9426373385630584,0.022482661436941866,-0.4949495,0.9823181629180908
0.14999999,-0.27416462,0.9398006204973219,0.6098685768631665,27,0.9425322749309941,0.02258772506900617,-0.47474748,1.0189571380615234
0.14999999,-0.75326157,0.943838939127594,0.6311496377355725,28,0.9425789415094441,0.02254105849055616,-0.45454547,1.0467731952667236
0.14999999,-0.2872068,0.9413116917274593,0.6549579460081132,29,0.9425352432410998,0.022584756758900454,-0.43434343,1.0770516395568848
0.14999999,-0.46864024,0.9441411625429682,0.675936783465145,30,0.9425887738844955,0.022531226115504833,-0.41414142,1.1015980243682861
0.14999999,-0.5027435,0.9436060054808459,0.697450777984299,31,0.9426215878069584,0.022498412193041904,-0.3939394,1.1294991970062256
0.14999999,-0.47815478,0.9429567649143812,0.7196140130699178,32,0.9426320620915654,0.02248793790843493,-0.37373737,1.1531357765197754
0.14999999,-0.6645818,0.9441548007594625,0.7405792123104553,33,0.9426782056875622,0.02244179431243804,-0.35353535,1.1810142993927002
0.14999999,-0.23917829,0.9367858898061449,0.7689133225043104,34,0.9425049022792853,0.022615097720715013,-0.33333334,1.2031280994415283
0.14999999,-0.23259652,0.9383182160683963,0.7957151064359141,35,0.9423852826732599,0.022734717326740404,-0.3131313,1.2421669960021973
0.14999999,-0.19818443,0.9308431726259071,0.829991933810007,36,0.9420646685052778,0.023055331494722418,-0.2929293,1.2702665328979492
0.14999999,-0.22118084,0.9358270942857888,0.8592848395242182,37,0.9418960854182646,0.023223914581735627,-0.27272728,1.2959840297698975
0.14999999,-0.41330236,0.9428422454252794,0.8815625940989388,38,0.9419209843658178,0.0231990156341826,-0.25252524,1.3299221992492676
0.14999999,-0.1438322,0.9348366211681892,0.9118459729307495,39,0.941739334027417,0.02338066597258332,-0.23232323,1.367426872253418
0.14999999,-0.17538625,0.9336345459087669,0.9433314270219826,40,0.9415367143244507,0.023583285675549563,-0.21212122,1.4029052257537842
0.14999999,-0.068576954,0.9055630531516287,1.0028883738703538,41,0.940659307954382,0.024460692045618387,-0.1919192,1.4367029666900635
