Iteration,Regret,LQGmu1_actor,Regret/t,ReturnLastEpisode,TimeElapsed,ReturnMean,LQGsigma_higher,LQGmu1_higher
1,0.013207130050714166,-0.94710684,0.013207130050714166,0.9519128699492858,0.18828821182250977,0.9519128699492858,0.14999999,-1.0
2,0.027241376606637502,-1.0824441,0.013620688303318751,0.9510857534440766,0.20244598388671875,0.9514993116966812,0.14999999,-0.97979796
3,0.0411838187631316,-1.122518,0.013727939587710533,0.9511775578435059,0.21973204612731934,0.9513920604122895,0.14999999,-0.959596
4,0.05534724668848068,-1.058394,0.01383681167212017,0.9509565720746509,0.23850440979003906,0.9512831883278798,0.14999999,-0.93939394
5,0.07054964201300185,-1.1779695,0.014109928402600369,0.9499176046754788,0.2667968273162842,0.9510100715973996,0.14999999,-0.9191919
6,0.08362823613184178,-0.95912504,0.013938039355306964,0.95204140588116,0.2935006618499756,0.9511819606446931,0.14999999,-0.8989899
7,0.09635582406675725,-0.74863183,0.013765117723822464,0.9523924120650845,0.312253475189209,0.9513548822761776,0.14999999,-0.8787879
8,0.10838842032663853,-0.7126843,0.013548552540829817,0.9530874037401187,0.3545835018157959,0.9515714474591702,0.14999999,-0.85858583
9,0.12157291109713253,-0.97684395,0.013508101233014725,0.951935509229506,0.38587522506713867,0.9516118987669854,0.14999999,-0.83838385
10,0.1343971289676028,-0.7915898,0.01343971289676028,0.9522957821295297,0.4128236770629883,0.9516802871032398,0.14999999,-0.8181818
11,0.1472116541244185,-0.89119536,0.013382877647674409,0.9523054748431843,0.45037245750427246,0.9517371223523257,0.14999999,-0.7979798
12,0.1595037131586653,-0.41440734,0.013291976096555441,0.9528279409657532,0.4971306324005127,0.9518280239034446,0.14999999,-0.7777778
13,0.17203053222218,-0.8117783,0.013233117863244616,0.9525931809364853,0.5280613899230957,0.9518868821367554,0.14999999,-0.75757575
14,0.18460283697857027,-0.57171077,0.013185916927040733,0.9525476952436097,0.5461950302124023,0.9519340830729593,0.14999999,-0.7373737
15,0.19699050112148941,-0.73160976,0.013132700074765961,0.9527323358570808,0.5902447700500488,0.951987299925234,0.14999999,-0.7171717
16,0.2100239460865566,-0.2605642,0.013126496630409788,0.9520865550349328,0.6245665550231934,0.9519935033695902,0.14999999,-0.6969697
17,0.22260584012388074,-0.6596029,0.013094461183757691,0.9525381059626759,0.6629338264465332,0.9520255388162423,0.14999999,-0.67676765
18,0.23505923226590886,-0.6328763,0.013058846236994937,0.9526666078579719,0.7464292049407959,0.952061153763005,0.14999999,-0.65656567
19,0.24799023010394072,-0.8720765,0.013052117373891618,0.9521890021619681,0.796074390411377,0.9520678826261083,0.14999999,-0.6363636
20,0.26067544106430485,-0.75759494,0.013033772053215242,0.9524347890396359,0.8250491619110107,0.9520862279467848,0.14999999,-0.61616164
21,0.2731108763607534,-0.7830415,0.013005279826702541,0.9526845647035515,0.8725459575653076,0.9521147201732975,0.14999999,-0.5959596
22,0.28537830617452364,-0.53386444,0.012971741189751074,0.9528525701862297,0.8987023830413818,0.952148258810249,0.14999999,-0.57575756
23,0.2977331707902753,-0.5457547,0.012944920469142404,0.9527651353842483,0.9480032920837402,0.9521750795308577,0.14999999,-0.5555556
24,0.31030803120029293,-0.6885031,0.012929501300012206,0.9525451395899823,0.978506326675415,0.9521904986999878,0.14999999,-0.53535354
