IWMin,Iteration,MountainCar_std0_higher,GridSize,DenMISELogFirst,DenMISELogLast,IWMean,ActionIn1,Bound,NumTrainableParams,AvgEpLen,ReturnAbsMax,MountainCar_std1_higher,MountainCar_mu0_higher,IWMax,ReturnMax,MinEpLen,IWLastEpisode,ReturnStepMax,ReturnMin,DenMISEMeanLog,IWFirstEpisode,NumTrajectories,ReturnLastEpisode,Regret,TimestepsSoFar,TimeElapsed,ReturnMean,Regret/t,MountainCar_mu1_higher,Delta
,1,0.14999999,400,1.4733216,1.4733216,,-10.883442,inf,2,999.0,0.1404392,0.14999999,-1.0,,,999,,1.403307,-0.1404392,1.4733216,,1,-0.1404392,5.140439,999,0.4385955333709717,-0.1404392,5.140439,-10.0,0.0030396353
,2,0.14999999,400,0.7801743,0.6935811,2.87799e-17,-9.41374,inf,,999.0,1.395248,0.14999999,0.47368422,5.75598e-17,,999,5.75598e-17,14.241349,-1.395248,0.7368777,,2,-1.395248,11.535687,1998,1.9507098197937012,-0.7678436,5.7678437,-10.0,0.0007599088
,3,0.14999999,400,0.37470922,0.55534875,,-9.039968,inf,,999.0,1.395248,0.14999999,-1.0,,,999,,14.241349,-1.395248,0.40605798,,3,-0.69546765,17.231155,2997,3.6162283420562744,-0.7437183,5.743718,-7.894737,0.0003377373
,4,0.14999999,400,0.08702714,0.3355302,8.2611265e-24,-7.5203776,inf,,999.0,2.1234536,0.14999999,0.47368422,3.3044506e-23,,999,3.3044506e-23,21.315508,-2.1234536,0.1726645,,4,-2.1234536,24.354609,3996,5.150429964065552,-1.0886521,6.088652,-7.894737,0.0001899772
,5,0.14999999,400,-0.13611642,-0.0029800907,,-6.889888,inf,,999.0,2.1234536,0.14999999,-1.0,,,999,,21.315508,-2.1234536,-0.040979262,,5,-0.3707929,29.7254,4995,6.617213726043701,-0.9450803,5.9450803,-5.7894735,0.00012158541
,6,0.14999999,400,-0.31843796,0.039119266,1.3107695e-23,-5.3702297,inf,,999.0,2.1234536,0.14999999,0.47368422,7.864617e-23,,999,7.864617e-23,21.315508,-2.1234536,-0.17956413,,6,-2.1039498,36.829353,5994,8.197473287582397,-1.1382252,6.138225,-5.7894735,8.443432e-05
,7,0.14999999,400,-0.47258866,-0.3654799,,-4.7847958,inf,,999.0,2.1234536,0.14999999,-1.0,,,999,,21.315508,-2.1234536,-0.3382527,,7,-0.4064543,42.235806,6993,9.733848333358765,-1.0336865,6.0336866,-3.6842105,6.203337e-05
,8,0.14999999,400,-0.60612005,-1.7910421,8.540823e-18,-3.5045447,inf,,999.0,2.1234536,0.14999999,0.47368422,6.832658e-17,,999,6.832658e-17,21.315508,-2.1234536,-0.63669133,,8,-1.4889151,48.72472,7992,11.342331647872925,-1.09059,6.09059,-3.6842105,4.74943e-05
,9,0.14999999,400,-0.72390306,-1.3816602,1.0485326e-25,-2.803763,inf,,999.0,2.1234536,0.14999999,-1.0,9.436793e-25,,999,,21.315508,-2.1234536,-0.82416165,9.436793e-25,9,-0.20506293,53.929783,8991,12.924715518951416,-0.9921982,5.992198,-1.5789474,3.7526363e-05
,10,0.14999999,400,-0.82926357,-1.0318974,2.2779278e-23,-1.4917557,inf,,999.0,2.1234536,0.14999999,0.47368422,2.2188938e-22,,999,2.2188938e-22,21.315508,-2.1234536,-0.93975973,5.903415e-24,10,-2.119516,61.0493,9990,14.53818964958191,-1.1049299,6.10493,-1.5789474,3.0396353e-05
,11,0.14999999,400,-0.9245738,-2.1064503,3.715259e-35,0.4677031,inf,,999.0,2.1234536,0.14999999,-1.0,4.0867847e-34,,999,,21.315508,-2.1234536,-1.1324681,4.0867847e-34,11,-0.22109878,66.2704,10989,16.117523670196533,-1.0245816,6.0245814,1.5789474,2.5120953e-05
,12,0.14999999,400,-1.0115851,-1.1677426,2.730089e-26,2.222281,inf,,999.0,2.6450953,0.14999999,0.47368422,3.2761066e-25,,999,3.2761066e-25,29.598804,-2.6450953,-1.2151681,2.5100957e-33,12,-2.6450953,73.9155,11988,17.683757305145264,-1.1596245,6.1596246,1.5789474,2.110858e-05
,13,0.14999999,400,-1.0916278,-2.9470398,,2.7122145,inf,,999.0,2.6450953,0.14999999,-1.0,,,999,,29.598804,-2.6450953,-1.4222747,,13,-0.37680337,79.2923,12987,19.21739363670349,-1.0994073,6.099407,3.6842105,1.7986009e-05
,14,0.14999999,400,-1.1657358,-0.8923775,3.3575763e-23,3.9163797,inf,,981.2142857142857,2.6450953,0.14999999,0.47368422,4.700607e-22,,750,4.700607e-22,81.07702,-2.6450953,-1.4532393,,14,-2.1041884,86.396484,13737,20.588600873947144,-1.1711775,6.1711774,3.6842105,1.5508342e-05
,15,0.14999999,400,-1.2347287,-1.7543588,,4.374139,inf,,982.4,2.6450953,0.14999999,-1.0,,,750,,81.07702,-2.6450953,-1.5377072,,15,-0.73278093,92.129265,14736,22.215333700180054,-1.141951,6.141951,5.7894735,1.3509492e-05
,16,0.14999999,400,-1.2992672,-3.3465438,2.9903873e-24,6.50889,inf,,963.625,2.6450953,0.14999999,0.47368422,4.7846197e-23,,682,4.7846197e-23,81.07702,-2.6450953,-1.7112645,,16,-2.1633427,99.29261,15418,23.623929262161255,-1.2057881,6.205788,5.7894735,1.1873575e-05
,17,0.14999999,400,-1.3598919,-1.7217348,,6.7641335,inf,,965.7058823529412,2.6450953,0.14999999,-1.0,,,682,,81.07702,-2.6450953,-1.7689389,,17,-2.2025113,106.49512,16417,25.060452699661255,-1.2644188,6.2644186,7.894737,1.0517769e-05
,18,0.14999999,400,-1.4170502,-1.3642378,1.889465e-21,8.4411335,inf,,930.1666666666666,2.6450953,0.14999999,0.47368422,3.401037e-20,1.699959,326,3.401037e-20,91.72495,-2.6450953,-1.8004384,,18,1.699959,109.795166,16743,26.295743703842163,-1.0997312,6.0997314,7.894737,9.381591e-06
,19,0.14999999,400,-1.4711175,-1.1574767,,8.826963,inf,,933.7894736842105,2.6450953,0.14999999,-1.0,,1.699959,326,,91.72495,-2.6450953,-1.81782,,19,-1.4533135,116.248474,17742,27.766637802124023,-1.1183407,6.1183405,10.0,8.420043e-06
,20,0.14999999,400,-1.5224108,-1.5135498,9.4302294e-26,10.834292,inf,,896.35,12.822414,0.14999999,0.47368422,1.886046e-24,12.822414,185,1.886046e-24,93.07032,-2.6450953,-1.8513349,,20,12.822414,108.42606,17927,28.855512142181396,-0.42130303,5.421303,10.0,7.5990883e-06
,21,0.14999999,400,-1.571201,-4.0433755,3.6572223e-14,-9.145628,3.3140638e+17,,901.2380952380952,12.822414,0.14999999,-0.2631579,6.523873e-13,12.822414,185,,93.07032,-3.1890204,-2.0021846,,21,-3.1890204,116.61508,18926,30.31181049346924,-0.55309916,5.553099,-8.947369,6.892597e-06
,22,0.14999999,400,-1.617721,-1.4635904,2.0470245e-14,-6.7462006,3.3270105e+17,,905.6818181818181,12.822414,0.14999999,-0.2631579,4.425258e-13,12.822414,185,1.3306299e-37,93.07032,-3.1890204,-2.0221086,,22,-0.22377442,121.83885,19925,31.920974254608154,-0.5381298,5.53813,-6.8421054,6.2802383e-06
,23,0.14999999,400,-1.6621727,-2.6759942,1.0151631e-13,6.5646634,3.3393343e+17,,909.7391304347826,12.822414,0.14999999,-0.2631579,2.3344716e-12,12.822414,185,,93.07032,-3.1890204,-2.0930574,,23,-0.0071158195,126.84597,20924,33.456061363220215,-0.51504225,5.5150423,6.8421054,5.7460034e-06
,24,0.14999999,400,-1.7047323,-1.5568147,8.316597e-18,8.820078,3.3510912e+17,,889.1666666666666,12.822414,0.14999999,-0.2631579,1.05974535e-16,12.822414,185,,97.53408,-3.1890204,-2.1115005,,24,1.1494414,130.69653,21340,34.74516320228577,-0.44568872,5.4456887,8.947369,5.277145e-06
,25,0.14999999,400,-1.7455543,-2.2250578,4.7374615e-10,-2.7663388,3.3623103e+17,,878.56,12.822414,0.14999999,-0.2631579,1.1842651e-08,12.822414,185,,97.53408,-3.1890204,-2.1552317,,25,-0.07953873,135.77606,21964,36.18176054954529,-0.4310428,5.4310427,-2.631579,4.8634165e-06
,26,0.14999999,400,-1.784775,-1.5032848,8.812131e-09,2.0673528,3.373073e+17,,883.1923076923077,12.822414,0.14999999,-0.2631579,2.2895802e-07,12.822414,185,,97.53408,-3.1890204,-2.167869,,26,-0.12062638,140.8967,22963,37.67790246009827,-0.41910368,5.4191036,2.631579,4.4965022e-06
,27,0.14999999,400,-1.8225154,-2.3989224,6.89636e-10,-4.884113,3.383393e+17,,887.4814814814815,12.822414,0.14999999,-0.2631579,1.8463883e-08,12.822414,185,,97.53408,-3.1890204,-2.212769,,27,-0.3672054,146.2639,23962,39.22151446342468,-0.41718152,5.4171815,-4.736842,4.1695957e-06
,28,0.14999999,400,-1.858883,-1.8482903,2.4595865e-11,4.763846,3.393311e+17,,891.4642857142857,12.822414,0.14999999,-0.2631579,6.886587e-10,12.822414,185,,97.53408,-3.1890204,-2.2348208,,28,-0.039738964,151.30363,24961,40.85993003845215,-0.40370136,5.4037013,4.736842,3.8770854e-06
,29,0.14999999,400,-1.8939743,-2.9017894,9.4582875e-20,1.6358167,1846685000000000.0,,892.1379310344828,12.822414,0.14999999,1.0,2.6881465e-18,12.822414,185,,97.75092,-3.1890204,-2.2917008,2.6881465e-18,29,-0.12192114,156.42557,25872,42.46723771095276,-0.39398482,5.393985,0.5263158,3.6143113e-06
,30,0.14999999,400,-1.9278759,-1.6998544,9.14215e-12,-7.961074,1309346400000000.0,,895.7,12.822414,0.14999999,1.0,2.7424002e-10,12.822414,185,,97.75092,-4.435967,-2.3047445,,30,-4.435967,165.86153,26871,44.08464455604553,-0.52871764,5.5287175,-8.947369,3.377373e-06
,31,0.14999999,400,-1.9606657,-1.5193943,8.057755e-11,-5.657845,1312749800000000.0,,899.0322580645161,12.822414,0.14999999,1.0,2.497671e-09,12.822414,185,,97.75092,-4.435967,-2.3111424,,31,-3.8455017,174.70703,27870,45.63956379890442,-0.6357106,5.6357107,-6.8421054,3.162992e-06
,32,0.14999999,400,-1.9924144,-2.3991773,5.5816355e-11,7.9886646,1316036800000000.0,,902.15625,12.822414,0.14999999,1.0,1.766647e-09,12.822414,185,,97.75092,-6.9828653,-2.3446503,,32,-6.9828653,186.6899,28869,47.200753688812256,-0.83405924,5.8340592,6.8421054,2.9683938e-06
,33,0.14999999,400,-2.023186,-1.7795346,2.6289584e-10,9.983019,1319214800000000.0,,905.0909090909091,12.822414,0.14999999,1.0,8.669906e-09,12.822414,185,,97.75092,-6.9828653,-2.3573647,,33,-5.904432,197.59433,29868,48.70054316520691,-0.98770696,5.987707,8.947369,2.7912172e-06
,34,0.14999999,400,-2.053039,-3.4939551,1.8545992e-12,-1.4813818,1322285700000000.0,,907.8529411764706,12.822414,0.14999999,1.0,6.289686e-11,12.822414,185,,103.47918,-10.282942,-2.4197686,,34,-10.282942,212.87727,30867,50.15155243873596,-1.2610961,6.261096,-2.631579,2.6294422e-06
,35,0.14999999,400,-2.0820265,-1.9429767,2.798604e-09,3.5797408,1325265400000000.0,,910.4571428571429,12.822414,0.14999999,1.0,8.4586915e-08,12.822414,185,,103.47918,-10.282942,-2.4343054,,35,-4.690886,222.56815,31866,51.542850732803345,-1.3590901,6.35909,2.631579,2.481335e-06
,36,0.14999999,400,-2.1101975,-1.7379899,1.3042882e-12,-3.9456358,1328152300000000.0,,912.9166666666666,12.822414,0.14999999,1.0,4.4615527e-11,12.822414,185,,103.47918,-10.282942,-2.4423516,,36,-3.8203032,231.38846,32865,53.0483660697937,-1.4274572,6.4274573,-4.736842,2.3453977e-06
,37,0.14999999,400,-2.1375964,-2.3435702,1.9821583e-13,5.372202,1330956500000000.0,,915.2432432432432,12.822414,0.14999999,1.0,7.2381797e-12,12.822414,185,,103.47918,-10.282942,-2.4663403,,37,-2.6883357,239.0768,33864,54.61668276786804,-1.4615351,6.461535,4.736842,2.2203328e-06
,38,0.14999999,400,-2.1642647,-3.191485,1.3772094e-13,0.13202256,4881737000000.0,,917.4473684210526,12.822414,0.14999999,0.8947368,3.9658016e-12,12.822414,185,,103.47918,-10.282942,-2.5113895,1.2675295e-12,38,-3.3704379,247.44724,34863,56.24168848991394,-1.5117693,6.5117693,-0.5263158,2.1050107e-06
,39,0.14999999,400,-2.1902401,-2.3651915,1.299592e-10,-0.61116946,3978924400000.0,,919.5384615384615,12.822414,0.14999999,-1.0,4.994468e-09,12.822414,185,,103.47918,-10.282942,-2.5329504,4.994468e-09,39,-2.1530993,254.60034,35862,57.74661469459534,-1.5282137,6.5282135,0.5263158,1.9984454e-06
,40,0.14999999,400,-2.215558,-2.2524252,1.8098694e-07,-1.4419785,301381940000.0,,921.525,12.822414,0.14999999,-1.0,7.2390712e-06,12.822414,185,4.060557e-10,103.47918,-10.282942,-2.550622,7.2390712e-06,40,-2.486634,262.08698,36861,59.186386823654175,-1.5521742,6.552174,-0.5263158,1.8997721e-06
,41,0.14999999,400,-2.2402503,-1.847267,2.7024429e-05,-9.666905,14155942.0,,923.4146341463414,12.822414,0.14999999,-1.0,0.0011079789,12.822414,185,,103.47918,-10.282942,-2.5575573,,41,-1.8914975,268.97845,37860,60.64219403266907,-1.5604503,6.5604506,-8.947369,1.8082306e-06
,42,0.14999999,400,-2.264348,-3.0565174,4.7244493e-09,-7.6321445,14181715.0,,925.2142857142857,12.822414,0.14999999,-1.0,1.9444853e-07,12.822414,185,,103.47918,-10.282942,-2.5929606,,42,-1.1771711,275.15564,38859,62.156421184539795,-1.5513246,6.551325,-6.8421054,1.7231492e-06
,43,0.14999999,400,-2.2878785,-2.506753,1.3997712e-06,-5.5885844,14206839.0,,926.9302325581396,12.822414,0.14999999,-1.0,5.7916965e-05,12.822414,185,8.555328e-35,103.47918,-10.282942,-2.613939,,43,-1.7718688,281.9275,39858,63.71007990837097,-1.5564536,6.5564537,-4.736842,1.6439349e-06
,44,0.14999999,400,-2.310868,-2.143774,1.4145758e-06,-3.6648083,14231340.0,,928.5681818181819,12.822414,0.14999999,-1.0,6.0212053e-05,12.822414,185,3.2647212e-37,103.47918,-10.282942,-2.6257205,,44,-1.801342,288.72885,40857,65.23226714134216,-1.5620192,6.5620193,-2.631579,1.5700596e-06
