TimeElapsed,ActionIn1,MountainCar_std0_higher,ReturnMean,ReturnStepMax,IWFirstEpisode,AvgEpLen,Iteration,IWMax,Regret,DenMISELogFirst,DenMISEMeanLog,Bound,IWMean,ReturnLastEpisode,Delta,TimestepsSoFar,Regret/t,MountainCar_std1_higher,IWLastEpisode,ReturnAbsMax,ReturnMax,MountainCar_mu0_higher,IWMin,NumTrainableParams,MinEpLen,GridSize,DenMISELogLast,NumTrajectories,MountainCar_mu1_higher,ReturnMin
28.05169177055359,10.5726595,0.14999999,-1.241561,84.38177,,927.75,20,3.7615826e-24,124.83122,-1.7713482,-1.8836132,inf,1.8807913e-25,-1.612769,7.5990883e-06,18555,6.241561,0.14999999,3.7615826e-24,2.5305247,,0.47368422,,,487,400,-1.5383434,20,10.0,-2.5305247
29.446225881576538,-9.117212,0.14999999,-1.2690241,84.38177,,931.1428571428571,21,5.561085e-12,131.6495,-1.8201383,-1.9011734,6.5403603e+16,2.6666972e-13,-1.8182851,6.892597e-06,19554,6.269024,0.14999999,,2.5305247,,-0.2631579,,,487,400,-1.2765741,21,-8.947369,-2.5305247
30.864660024642944,-7.252552,0.14999999,-1.2186233,84.38177,,934.2272727272727,22,3.4717804e-14,136.80971,-1.8666583,-1.9169754,6.56591e+16,2.4695921e-15,-0.16020647,6.2802383e-06,20553,6.218623,0.14999999,,2.5305247,,-0.2631579,,,487,400,-1.2718995,22,-6.8421054,-2.5305247
32.36659264564514,6.459223,0.14999999,-1.1782647,84.38177,,937.0434782608696,23,6.9576864e-13,142.1001,-1.9111102,-1.9384825,6.5902317e+16,3.7356718e-14,-0.29037842,5.7460034e-06,21552,6.1782646,0.14999999,,2.5305247,,-0.2631579,,,487,400,-1.4337006,23,6.8421054,-2.5305247
33.71583962440491,8.407848,0.14999999,-1.1362644,96.97537,,928.7083333333334,24,1.7090364e-13,147.27036,-1.9536698,-1.9564945,6.613434e+16,7.125165e-15,-0.17025654,5.277145e-06,22289,6.1362643,0.14999999,,2.5305247,,-0.2631579,,,487,400,-1.391896,24,8.947369,-2.5305247
34.99488973617554,-2.3207107,0.14999999,-1.0837811,96.97537,,910.92,25,3.3166352e-13,152.09453,-1.9944917,-2.0115843,6.6355754e+16,1.3425481e-14,0.17582022,4.8634165e-06,22773,6.0837812,0.14999999,,2.5305247,0.17582022,-0.2631579,,,484,400,-2.3540137,25,-2.631579,-2.5305247
36.587496519088745,2.5269418,0.14999999,-1.0426495,96.97537,,914.3076923076923,26,4.233635e-09,157.10889,-2.0337124,-2.1764307,6.656815e+16,1.6283212e-10,-0.014360384,4.4965022e-06,23772,6.0426493,0.14999999,,2.5305247,0.17582022,-0.2631579,,,484,400,-5.317076,26,2.631579,-2.5305247
38.048372745513916,-4.930837,0.14999999,-1.0062946,96.97537,,917.4444444444445,27,9.429493e-09,162.16995,-2.0714529,-2.193941,6.677182e+16,3.4924047e-10,-0.06106759,4.1695957e-06,24771,6.0062947,0.14999999,,2.5305247,0.17582022,-0.2631579,,,484,400,-1.6679575,27,-4.736842,-2.5305247
39.57826590538025,4.284047,0.14999999,-0.97621024,96.97537,,920.3571428571429,28,7.79551e-13,167.3339,-2.1078205,-2.2021458,6.6967564e+16,3.549488e-14,-0.16393268,3.8770854e-06,25770,5.97621,0.14999999,,2.5305247,0.17582022,-0.2631579,,,484,400,-1.4417502,28,4.736842,-2.5305247
40.89611530303955,1.0990961,0.14999999,-0.9496448,96.97537,1.6830171e-11,908.2413793103449,29,1.8314483e-06,172.5397,-2.1429117,-2.234914,364446360000000.0,6.315397e-08,-0.20581348,3.6143113e-06,26339,5.949645,0.14999999,,2.5305247,0.17582022,1.0,,,484,400,-2.169871,29,0.5263158,-2.5305247
42.42413282394409,-8.174003,0.14999999,-1.0141984,96.97537,,911.2666666666667,30,1.2653973e-07,180.42595,-2.1768134,-2.3113627,294726330000000.0,4.217999e-09,-2.8862514,3.377373e-06,27338,6.0141983,0.14999999,,2.8862514,0.17582022,1.0,,,484,400,-3.5452158,30,-8.947369,-2.8862514
43.944355726242065,-6.014044,0.14999999,-1.058058,96.97537,,914.0967741935484,31,2.2281111e-13,187.7998,-2.209603,-2.3469524,295492400000000.0,7.189959e-15,-2.373845,3.162992e-06,28337,6.058058,0.14999999,,2.8862514,0.17582022,1.0,,,484,400,-2.4309597,31,-6.8421054,-2.8862514
45.50793647766113,7.4533825,0.14999999,-1.1312546,96.97537,,916.75,32,7.227109e-14,196.20015,-2.2413518,-2.3618069,348996930000000.0,3.1617256e-15,-3.400348,2.9683938e-06,29336,6.1312547,0.14999999,,3.400348,0.17582022,1.0,,,484,400,-1.8380792,32,6.8421054,-3.400348
47.02140474319458,9.624793,0.14999999,-1.1702132,96.97537,,919.2424242424242,33,8.6755e-12,203.61703,-2.2721236,-2.435988,349839680000000.0,2.652806e-13,-2.41689,2.7912172e-06,30335,6.170213,0.14999999,,3.400348,0.17582022,1.0,,,484,400,-3.8250973,33,8.947369,-3.400348
48.56013894081116,-1.5732961,0.14999999,-1.245574,96.97537,,921.5882352941177,34,8.994592e-10,212.34952,-2.3019764,-2.4769866,384904870000000.0,3.3242912e-11,-3.7324839,2.6294422e-06,31334,6.245574,0.14999999,,3.7324839,0.17582022,1.0,,,484,400,-2.8447924,34,-2.631579,-3.7324839
50.045912981033325,3.6649468,0.14999999,-1.4194683,96.97537,,923.8,35,7.7546875e-12,224.6814,-2.330964,-2.5157166,757788200000000.0,4.027881e-13,-7.33187,2.481335e-06,32333,6.4194684,0.14999999,,7.33187,0.17582022,1.0,,,484,400,-2.8469517,35,2.631579,-7.33187
51.49587321281433,-3.7322216,0.14999999,-1.5801129,96.97537,,925.8888888888889,36,3.3797774e-11,236.88406,-2.359135,-2.523805,759438940000000.0,1.1356419e-12,-7.202678,2.3453977e-06,33332,6.580113,0.14999999,,7.33187,0.17582022,1.0,,,484,400,-1.820924,36,-4.736842,-7.33187
52.9464795589447,5.4582934,0.14999999,-1.7194569,96.97537,,927.8648648648649,37,2.9619797e-14,248.6199,-2.3865337,-2.5653198,761042400000000.0,8.0080327e-16,-6.735833,2.2203328e-06,34331,6.7194567,0.14999999,,7.33187,0.17582022,1.0,,,484,400,-3.0734904,37,4.736842,-7.33187
54.51932406425476,0.2944346,0.14999999,-1.7610439,96.97537,1.0345108e-06,929.7368421052631,38,0.0001956447,256.91968,-2.413202,-2.591165,2791382500000.0,5.1757684e-06,-3.2997687,2.1050107e-06,35330,6.761044,0.14999999,,7.33187,0.17582022,0.8947368,,,484,400,-2.5607157,38,-0.5263158,-7.33187
56.14448094367981,-0.32042706,0.14999999,-1.7968024,96.97537,2.5501545e-14,931.5128205128206,39,2.024456e-06,265.0753,-2.4391775,-2.5954018,2275153300000.0,5.190913e-08,-3.1556256,1.9984454e-06,36329,6.7968025,0.14999999,,7.33187,0.17582022,-1.0,,,484,400,-1.7693332,39,0.5263158,-7.33187
57.68685007095337,-1.50282,0.14999999,-1.7856976,96.97537,2.0851614e-11,933.2,40,1.2786082e-06,271.42792,-2.4644954,-2.6172261,172330520000.0,3.204112e-08,-1.3526014,1.8997721e-06,37328,6.7856975,0.14999999,3.015756e-09,7.33187,0.17582022,-1.0,,,484,400,-2.4809716,40,-0.5263158,-7.33187
59.1674530506134,-9.536026,0.14999999,-1.7801583,96.97537,,934.8048780487804,41,0.0001375657,277.98648,-2.489188,-2.6310663,8094383.0,3.3552856e-06,-1.5585915,1.8082306e-06,38327,6.780158,0.14999999,,7.33187,0.17582022,-1.0,,,484,400,-2.196975,41,-8.947369,-7.33187
