IWMean,DenMISELogFirst,Regret/t,AvgEpLen,ReturnAbsMax,IWLastEpisode,ActionIn1,DenMISELogLast,ReturnMean,MountainCar_mu1_higher,TimeElapsed,ReturnMax,DenMISEMeanLog,MountainCar_mu0_higher,NumTrajectories,NumTrainableParams,IWMin,TimestepsSoFar,Iteration,IWFirstEpisode,IWMax,ReturnMin,MountainCar_std1_higher,ReturnLastEpisode,Bound,MountainCar_std0_higher,MinEpLen,Delta,GridSize,Regret,ReturnStepMax
,1.4356552,5.0001564,999.0,0.00015651323,,-11.526329,1.4356552,-0.00015651323,-10.0,0.4897022247314453,,1.4356552,-1.0,1,2,,999,1,,,-0.00015651323,0.14999999,-0.00015651323,inf,0.14999999,999,0.0030396353,400,5.0001564,0.001456627
2.7359597e-25,0.7425081,6.159796,999.0,2.3194363,5.4719194e-25,-9.567748,-2.6427298,-1.1597964,-10.0,2.149996280670166,,-0.9501108,0.47368422,2,,,1998,2,,5.4719194e-25,-2.3194363,0.14999999,-2.3194363,inf,0.14999999,999,0.0007599088,400,12.319592,23.050936
,0.337043,6.0835814,999.0,2.3194363,,-8.83037,0.5442413,-1.0835816,-7.894737,3.6098382472991943,,-0.72230357,-1.0,3,,,2997,3,,,-2.3194363,0.14999999,-0.931152,inf,0.14999999,999,0.0003377373,400,18.250744,23.050936
1.18916214e-23,0.049360912,6.3375325,999.0,2.3194363,4.7566486e-23,-7.1880813,0.068196,-1.3375325,-7.894737,5.2218756675720215,,-0.7404402,0.47368422,4,,,3996,4,,4.7566486e-23,-2.3194363,0.14999999,-2.0993848,inf,0.14999999,999,0.0001899772,400,25.35013,23.050936
4.4530664e-38,-0.17378265,6.412424,999.0,2.3194363,,-6.7567916,-0.6558075,-1.4124238,-5.7894735,6.777592182159424,,-0.90202844,-1.0,5,,,4995,5,,2.2265332e-37,-2.3194363,0.14999999,-1.7119894,inf,0.14999999,999,0.00012158541,400,32.06212,23.050936
1.6619571e-22,-0.3561042,6.5070558,999.0,2.3194363,9.971743e-22,-5.6274476,0.06207525,-1.5070559,-5.7894735,8.229646682739258,,-0.89327925,0.47368422,6,,,5994,6,,9.971743e-22,-2.3194363,0.14999999,-1.9802166,inf,0.14999999,999,8.443432e-05,400,39.042336,23.050936
,-0.51025486,6.3376083,999.0,2.3194363,,-4.537047,-1.0703261,-1.3376086,-3.6842105,9.693447828292847,,-1.0507008,-1.0,7,,,6993,7,,,-2.3194363,0.14999999,-0.32092515,inf,0.14999999,999,6.203337e-05,400,44.36326,23.050936
1.183177e-18,-0.64378625,6.3663926,999.0,2.3194363,9.465416e-18,-3.2545636,-0.41219768,-1.3663926,-3.6842105,11.180941104888916,,-1.0877278,0.47368422,8,,,7992,8,,9.465416e-18,-2.3194363,0.14999999,-1.5678797,inf,0.14999999,999,4.74943e-05,400,50.93114,23.050936
2.163115e-28,-0.7615693,6.286447,999.0,2.3194363,,-2.1325712,-0.26696452,-1.2864469,-1.5789474,12.7641282081604,,-1.1012279,-1.0,9,,,8991,9,1.9468036e-27,1.9468036e-27,-2.3194363,0.14999999,-0.64688116,inf,0.14999999,999,3.7526363e-05,400,56.578022,23.050936
1.293599e-15,-0.8669298,6.284462,999.0,2.3194363,1.2935885e-14,-1.0421615,-2.5643544,-1.2844622,-1.5789474,14.397433042526245,,-1.342365,0.47368422,10,,,9990,10,1.0529297e-19,1.2935885e-14,-2.3194363,0.14999999,-1.2666013,inf,0.14999999,999,3.0396353e-05,400,62.844624,23.050936
,-0.96224,6.2778196,999.0,2.3194363,,0.7464504,-0.7778217,-1.2778195,1.5789474,15.884950637817383,,-1.3776885,-1.0,11,,,10989,11,,,-2.3194363,0.14999999,-1.2113918,inf,0.14999999,999,2.5120953e-05,400,69.056015,23.050936
4.9252143e-20,-1.0492513,6.314226,999.0,2.3194363,5.910257e-19,2.1392808,-0.869595,-1.3142262,1.5789474,17.451865434646606,,-1.4151078,0.47368422,12,,,11988,12,2.1850486e-32,5.910257e-19,-2.3194363,0.14999999,-1.7146986,inf,0.14999999,999,2.110858e-05,400,75.77071,23.050936
,-1.129294,6.2611775,999.0,2.3194363,,2.8015118,-1.0143932,-1.2611777,3.6842105,18.950300693511963,,-1.4581692,-1.0,13,,,12987,13,,6.112366e-38,-2.3194363,0.14999999,-0.62459695,inf,0.14999999,999,1.7986009e-05,400,81.39531,23.050936
3.1308892e-19,-1.203402,6.288937,999.0,2.3194363,4.383245e-18,4.243761,-0.8695861,-1.288937,3.6842105,20.41493797302246,,-1.4849422,0.47368422,14,,,13986,14,,4.383245e-18,-2.3194363,0.14999999,-1.649808,inf,0.14999999,999,1.5508342e-05,400,88.04512,23.050936
,-1.2723949,6.25326,999.0,2.3194363,,4.950736,-1.1369205,-1.2532601,5.7894735,22.006667375564575,,-1.5261341,-1.0,15,,,14985,15,,,-2.3194363,0.14999999,-0.75378424,inf,0.14999999,999,1.3509492e-05,400,93.798904,23.050936
1.1208189e-11,-1.3369335,6.231206,999.0,2.3194363,1.7933102e-10,6.643236,-4.375042,-1.2312059,5.7894735,23.556639671325684,,-1.7646956,0.47368422,16,,,15984,16,,1.7933102e-10,-2.3194363,0.14999999,-0.9003916,inf,0.14999999,999,1.1873575e-05,400,99.699295,23.050936
,-1.3975581,6.266138,999.0,2.3194363,,6.804334,-2.4819787,-1.2661378,7.894737,24.913216829299927,,-1.8639472,-1.0,17,,,16983,17,,,-2.3194363,0.14999999,-1.8250487,inf,0.14999999,999,1.0517769e-05,400,106.524345,24.65968
4.7257212e-26,-1.4547164,6.3282022,993.8333333333334,2.3832932,8.506298e-25,8.989352,-1.5459973,-1.328202,7.894737,26.35220742225647,,-1.9002664,0.47368422,18,,,17889,18,,8.506298e-25,-2.3832932,0.14999999,-2.3832932,inf,0.14999999,906,9.381591e-06,400,113.90764,72.28126
,-1.5087837,6.3993206,994.1052631578947,2.6794512,,8.71995,-5.294188,-1.3993204,10.0,27.841500520706177,,-2.1301153,-1.0,19,,,18888,19,,,-2.6794512,0.14999999,-2.6794512,inf,0.14999999,906,8.420043e-06,400,121.58709,72.28126
2.1036696e-20,-1.560077,6.3824835,968.95,2.6794512,4.2073392e-19,10.503485,-3.4337308,-1.3824836,10.0,28.984344244003296,,-2.2440248,0.47368422,20,,,19379,20,,4.2073392e-19,-2.6794512,0.14999999,-1.0625829,inf,0.14999999,491,7.5990883e-06,400,127.64967,88.1059
1.9991097e-19,-1.6088672,6.3856835,970.3809523809524,2.6794512,,-9.211653,-1.100449,-1.3856837,-8.947369,30.3729727268219,,-2.2360356,-0.2631579,21,,,20378,21,,2.825656e-18,-2.6794512,0.14999999,-1.4496865,6.925273e+16,0.14999999,491,6.892597e-06,400,134.09937,88.1059
