IWMax,GridSize,MountainCar_std1_higher,Regret,DenMISEMeanLog,MountainCar_mu1_higher,IWLastEpisode,ReturnStepMax,NumTrajectories,DenMISELogFirst,Regret/t,ActionIn1,TimeElapsed,Iteration,MountainCar_std0_higher,IWMin,DenMISELogLast,ReturnMin,IWFirstEpisode,AvgEpLen,MinEpLen,MountainCar_mu0_higher,NumTrainableParams,Bound,ReturnLastEpisode,ReturnAbsMax,ReturnMax,TimestepsSoFar,Delta,IWMean,ReturnMean
1.8691609e-35,400,0.14999999,69.55887,-1.5326722,1.5789474,,25.045341,11,-1.0018861,6.323533,0.45992357,15.342983961105347,11,0.14999999,,-0.51024336,-2.5007553,1.8691609e-35,999.0,999,-1.0,,inf,-0.7670308,2.5007553,,10989,2.5120953e-05,1.6992372e-36,-1.3235332
1.00482754e-19,400,0.14999999,76.356834,-1.572229,1.5789474,1.00482754e-19,25.045341,12,-1.0888975,6.3630695,2.384759,16.835972547531128,12,0.14999999,,-1.0502288,-2.5007553,1.4858382e-26,999.0,999,0.47368422,,inf,-1.7979681,2.5007553,,11988,2.110858e-05,8.373564e-21,-1.3630694
,400,0.14999999,83.59219,-1.7167194,3.6842105,,25.045341,13,-1.1689402,6.430168,2.855451,18.30967617034912,13,0.14999999,,-2.4900913,-2.5007553,,999.0,999,-1.0,,inf,-2.2353582,2.5007553,,12987,1.7986009e-05,,-1.4301684
7.482423e-25,400,0.14999999,90.81624,-1.9136112,3.6842105,7.482423e-25,82.71978,14,-1.2430482,6.4868746,4.3100142,19.561047315597534,14,0.14999999,,-3.5098007,-2.5007553,,966.4285714285714,543,0.47368422,,inf,-2.2240536,2.5007553,,13530,1.5508342e-05,5.344588e-26,-1.4868745
3.3187535e-29,400,0.14999999,96.4376,-1.9662482,5.7894735,,82.71978,15,-1.312041,6.4291735,4.6137824,21.11440920829773,15,0.14999999,,-1.7372664,-2.5007553,,968.6,543,-1.0,,inf,-0.6213583,2.5007553,,14529,1.3509492e-05,2.2125023e-30,-1.4291734
5.427023e-23,400,0.14999999,102.85352,-1.9763126,5.7894735,5.427023e-23,86.89569,16,-1.3765795,6.428345,6.0971475,22.405845165252686,16,0.14999999,,-1.1592032,-2.5007553,,937.0625,464,0.47368422,,inf,-1.4159212,2.5007553,,14993,1.1873575e-05,3.3918893e-24,-1.4283452
,400,0.14999999,108.0207,-2.0783465,7.894737,,86.89569,17,-1.4372041,6.354159,7.211475,23.850724458694458,17,0.14999999,,-2.7408943,-2.5007553,,940.7058823529412,464,-1.0,,inf,-0.1671749,2.5007553,,15992,1.0517769e-05,,-1.3541588
5.428395e-21,400,0.14999999,107.548904,-2.208999,7.894737,5.428395e-21,92.37439,18,-1.4943626,5.9749393,8.284163,24.944262742996216,18,0.14999999,,-3.4583962,-2.5007553,,902.5555555555555,254,0.47368422,,inf,5.47179,5.47179,5.47179,16246,9.381591e-06,3.015775e-22,-0.97493935
1.502325e-28,400,0.14999999,113.72603,-2.221175,10.0,,92.37439,19,-1.5484298,5.9855804,8.919786,26.416154623031616,19,0.14999999,,-1.467136,-2.5007553,,907.6315789473684,254,-1.0,,inf,-1.1771247,5.47179,5.47179,17245,8.420043e-06,7.906974e-30,-0.9855806
1.8484348e-20,400,0.14999999,117.758194,-2.2175097,10.0,1.8484348e-20,92.37439,20,-1.5997231,5.8879094,10.434905,27.595296382904053,20,0.14999999,,-1.1732918,-2.5007553,,879.15,254,0.47368422,,inf,0.96784127,5.47179,5.47179,17583,7.5990883e-06,9.242174e-22,-0.88790953
4.964155e-12,400,0.14999999,123.72831,-2.2119772,-8.947369,,92.37439,21,-1.6485132,5.8918242,-9.050412,29.02416205406189,21,0.14999999,,-1.1255246,-2.5007553,,884.8571428571429,254,-0.2631579,,1.4142314e+17,-0.9701195,5.47179,5.47179,18582,6.892597e-06,2.371658e-13,-0.89182425
6.265204e-10,400,0.14999999,128.75996,-2.230403,-6.8421054,,92.37439,22,-1.6950333,5.852726,-6.7051716,30.458070755004883,22,0.14999999,,-1.6404245,-2.5007553,,890.0454545454545,254,-0.2631579,,1.4197561e+17,-0.03165527,5.47179,5.47179,19581,6.2802383e-06,2.8645579e-11,-0.85272574
2.448591e-09,400,0.14999999,133.82077,-2.321392,6.8421054,,92.37439,23,-1.739485,5.8182945,6.6281743,31.93581771850586,23,0.14999999,,-3.3452144,-2.5007553,,894.7826086956521,254,-0.2631579,,1.4250152e+17,-0.06080567,5.47179,5.47179,20580,5.7460034e-06,1.0647307e-10,-0.81829447
1.0055464e-08,400,0.14999999,138.4566,-2.3208761,8.947369,,98.431145,24,-1.7820446,5.7690253,8.707488,33.18170738220215,24,0.14999999,,-1.3301351,-2.5007553,,879.6666666666666,254,-0.2631579,,1.4300323e+17,0.36416876,5.47179,5.47179,21112,5.277145e-06,4.1898243e-10,-0.76902515
1.0155633e-12,400,0.14999999,142.83078,-2.3299541,-2.631579,,98.431145,25,-1.8228667,5.713231,-2.7549589,34.44874334335327,25,0.14999999,,-1.5681059,-2.5007553,,864.0,254,-0.2631579,,1.4348199e+17,0.6258248,5.47179,5.47179,21600,4.8634165e-06,4.2867524e-14,-0.7132312
7.483221e-18,400,0.14999999,147.99892,-2.3445418,2.631579,,98.431145,26,-1.8620874,5.692266,2.4889495,36.07630681991577,26,0.14999999,,-1.72871,-2.5007553,,869.1923076923077,254,-0.2631579,,1.4394127e+17,-0.16813807,5.47179,5.47179,22599,4.4965022e-06,4.0978073e-19,-0.69226605
4.036459e-09,400,0.14999999,153.16617,-2.3551579,-4.736842,,98.431145,27,-1.8998277,5.6728206,-4.769764,37.56089520454407,27,0.14999999,,-1.6499292,-2.5007553,,874.0,254,-0.2631579,,1.4438167e+17,-0.16724196,5.47179,5.47179,23598,4.1695957e-06,1.4949852e-10,-0.67282075
2.5079525e-10,400,0.14999999,158.20364,-2.3774376,4.736842,,98.431145,28,-1.9361954,5.6501303,4.281079,39.05177640914917,28,0.14999999,,-1.9970645,-2.5007553,,878.4642857142857,254,-0.2631579,,1.448049e+17,-0.037483834,5.47179,5.47179,24597,3.8770854e-06,1.1913979e-11,-0.65013015
1.289984e-10,400,0.14999999,163.22415,-2.3923223,0.5263158,,98.431145,29,-1.9712867,5.628419,1.985754,40.40550661087036,29,0.14999999,,-1.8265386,-2.5007553,6.804626e-11,867.8965517241379,254,1.0,,788047500000000.0,-0.020512162,5.47179,5.47179,25169,3.6143113e-06,6.7946434e-12,-0.62841916
5.6116247e-11,400,0.14999999,177.79877,-2.4750204,-8.947369,,101.21664,30,-2.0051882,5.9266253,-8.036045,41.87861704826355,30,0.14999999,,-3.8901145,-9.574608,,872.2666666666667,254,1.0,,977700300000000.0,-9.574608,9.574608,5.47179,26168,3.377373e-06,1.8816767e-12,-0.92662543
6.1826294e-10,400,0.14999999,188.1464,-2.504051,-6.8421054,,101.21664,31,-2.037978,6.069238,-5.705011,43.41649627685547,31,0.14999999,,-2.3912723,-9.574608,,876.3548387096774,254,1.0,,980241700000000.0,-5.3476243,9.574608,5.47179,27167,3.162992e-06,2.040326e-11,-1.0692382
2.8710756e-09,400,0.14999999,198.83723,-2.5128365,6.8421054,,101.21664,32,-2.0697267,6.2136636,7.7347383,44.931060552597046,32,0.14999999,,-1.8009797,-9.574608,,880.1875,254,1.0,,982696100000000.0,-5.6908455,9.574608,5.47179,28166,2.9683938e-06,8.9748826e-11,-1.2136636
1.0127416e-11,400,0.14999999,210.6088,-2.542558,8.947369,,101.21664,33,-2.1004984,6.382085,9.874267,46.320807456970215,33,0.14999999,,-2.5089507,-9.574608,,883.7878787878788,254,1.0,,985069140000000.0,-6.77157,9.574608,5.47179,29165,2.7912172e-06,3.8416611e-13,-1.382085
2.1345974e-11,400,0.14999999,220.5788,-2.5533423,-2.631579,,101.21664,34,-2.1303513,6.4876113,-1.4086622,47.810519218444824,34,0.14999999,,-1.9240785,-9.574608,,887.1764705882352,254,1.0,,987362100000000.0,-4.9699845,9.574608,5.47179,30164,2.6294422e-06,6.28249e-13,-1.4876114
1.0093876e-08,400,0.14999999,232.39238,-2.571604,2.631579,,101.21664,35,-2.159339,6.6397824,3.9616413,49.36244010925293,35,0.14999999,,-2.2069337,-9.574608,,890.3714285714286,254,1.0,,989587200000000.0,-6.813591,9.574608,5.47179,31163,2.481335e-06,2.8839692e-10,-1.6397823
0.0019238011,400,0.14999999,246.54651,-2.6188238,-4.736842,,104.930954,36,-2.1875098,6.848514,-3.8739464,50.80386257171631,36,0.14999999,,-3.2855306,-9.574608,,893.3888888888889,254,1.0,,991742900000000.0,-9.154136,9.574608,5.47179,32162,2.3453977e-06,5.3438922e-05,-1.8485141
