ReturnAbsMax,AvgEpLen,MinEpLen,TimeElapsed,IWMean,NumTrajectories,ReturnMin,ReturnLastEpisode,IWFirstEpisode,ReturnStepMax,MountainCar_std0_higher,Bound,DenMISEMeanLog,DenMISELogFirst,NumTrainableParams,GridSize,Regret,IWMin,IWLastEpisode,TimestepsSoFar,Delta,IWMax,ReturnMax,MountainCar_mu1_higher,Regret/t,ActionIn1,ReturnMean,DenMISELogLast,Iteration,MountainCar_mu0_higher,MountainCar_std1_higher
0.0060331584,999.0,999,0.531728982925415,,1,-0.0060331584,-0.0060331584,,0.06036518,0.14999999,inf,1.8915925,1.8915925,2,400,5.006033,,,999,0.0030396353,,,-10.0,5.006033,-10.912985,-0.0060331584,1.8915925,1,-1.0,0.14999999
1.6309966,999.0,999,2.0560858249664307,1.8294854e-19,2,-1.6309966,-1.6309966,,16.516508,0.14999999,inf,1.1621599,1.1984453,,400,11.63703,,3.658971e-19,1998,0.0007599088,3.658971e-19,,-10.0,5.818515,-9.5885725,-0.8185149,1.1258744,2,0.47368422,0.14999999
1.6309966,999.0,999,3.4722647666931152,,3,-1.6309966,-0.70360494,,16.516508,0.14999999,inf,0.7701722,0.79298025,,400,17.340635,,,2997,0.0003377373,,,-7.894737,5.7802114,-8.38365,-0.7802116,0.79712695,3,-1.0,0.14999999
1.6309966,999.0,999,4.8482725620269775,2.1795917e-15,4,-1.6309966,-1.222436,,16.516508,0.14999999,inf,-0.23414695,0.50529814,,400,23.56307,,8.718367e-15,3996,0.0001899772,8.718367e-15,,-7.894737,5.8907676,-7.400192,-0.8907677,-2.384058,4,0.47368422,0.14999999
1.6309966,999.0,999,6.3273279666900635,9.930448e-32,5,-1.6309966,-0.84656835,,16.516508,0.14999999,inf,-0.30333596,0.28215462,,400,29.40964,,,4995,0.00012158541,4.965224e-31,,-5.7894735,5.881928,-6.770381,-0.88192785,0.31248218,5,-1.0,0.14999999
1.6521655,999.0,999,7.784840822219849,2.1486363e-19,6,-1.6521655,-1.6521655,,16.517317,0.14999999,inf,-0.4153155,0.09983306,,400,36.061806,,1.2891818e-18,5994,8.443432e-05,1.2891818e-18,,-5.7894735,6.0103006,-5.3598685,-1.0103008,-0.063605376,6,0.47368422,0.14999999
1.6521655,999.0,999,9.244239091873169,,7,-1.6521655,-0.82821447,,16.517317,0.14999999,inf,-0.5013307,-0.054317627,,400,41.89002,,,6993,6.203337e-05,,,-3.6842105,5.984288,-4.7405148,-0.9842884,-0.09251754,7,-1.0,0.14999999
2.0399625,999.0,999,10.795791149139404,5.796393e-23,8,-2.0399625,-2.0399625,,20.384254,0.14999999,inf,-0.57685155,-0.18784901,,400,48.92998,,4.637114e-22,7992,4.74943e-05,4.637114e-22,,-3.6842105,6.1162477,-3.0397055,-1.1162477,-0.170778,8,0.47368422,0.14999999
2.0399625,999.0,999,12.32615327835083,7.1501343e-31,9,-2.0399625,-0.7817343,6.435121e-30,20.384254,0.14999999,inf,-0.70713776,-0.30563205,,400,54.711716,,,8991,3.7526363e-05,6.435121e-30,,-1.5789474,6.0790796,-2.2293985,-1.0790795,-0.8071626,9,-1.0,0.14999999
2.0399625,999.0,999,13.929661512374878,2.4272361e-12,10,-2.0399625,-0.96104467,1.0043273e-23,20.384254,0.14999999,inf,-1.0066799,-0.41099256,,400,60.67276,,2.4272362e-11,9990,3.0396353e-05,2.4272362e-11,,-1.5789474,6.067276,-1.1948042,-1.067276,-2.7543159,10,0.47368422,0.14999999
2.0399625,999.0,999,15.416954755783081,2.4950384e-36,11,-2.0399625,-1.4394433,2.7445423e-35,20.384254,0.14999999,inf,-1.2046517,-0.5063028,,400,67.112206,,,10989,2.5120953e-05,2.7445423e-35,,1.5789474,6.1011095,0.6101773,-1.1011094,-2.231267,11,-1.0,0.14999999
2.0399625,999.0,999,16.913069248199463,2.4406773e-22,12,-2.0399625,-1.9719715,4.2055205e-29,20.384254,0.14999999,inf,-1.2344831,-0.5933141,,400,74.084175,,2.9288127e-21,11988,2.110858e-05,2.9288127e-21,,1.5789474,6.1736813,1.8393052,-1.1736813,-0.6055033,12,0.47368422,0.14999999
2.0399625,999.0,999,18.39112639427185,,13,-2.0399625,-0.9335587,,20.384254,0.14999999,inf,-1.381063,-0.67335683,,400,80.01773,,,12987,1.7986009e-05,,,3.6842105,6.1552105,2.7178483,-1.1552103,-2.17951,13,-1.0,0.14999999
2.0399625,967.2142857142857,554,19.643751859664917,3.4329062e-20,14,-2.0399625,-1.5802611,,86.883125,0.14999999,inf,-1.4049481,-0.74746484,,400,86.59799,,4.806069e-19,13541,1.5508342e-05,4.806069e-19,,3.6842105,6.185571,4.3643937,-1.1855711,-0.75205034,14,0.47368422,0.14999999
2.0399625,969.3333333333334,554,21.326792001724243,,15,-2.0399625,-0.8801629,,86.883125,0.14999999,inf,-1.4918474,-0.8164577,,400,92.47816,,,14540,1.3509492e-05,,,5.7894735,6.1652107,4.7798843,-1.1652105,-1.7425368,15,-1.0,0.14999999
2.0399625,943.0625,549,22.610692501068115,5.198207e-22,16,-2.0399625,-1.6913545,,86.883125,0.14999999,inf,-1.5103115,-0.8809962,,400,99.16951,,8.3171314e-21,15089,1.1873575e-05,8.3171314e-21,,5.7894735,6.1980944,6.345921,-1.1980946,-0.81919456,16,0.47368422,0.14999999
2.0399625,946.3529411764706,549,24.035489082336426,,17,-2.0399625,-0.8634632,,86.883125,0.14999999,inf,-1.5377595,-0.9416208,,400,105.032974,,,16088,1.0517769e-05,,,7.894737,6.1784105,6.7989244,-1.1784104,-1.0069342,17,-1.0,0.14999999
2.0399625,915.4444444444445,390,25.248705625534058,4.6890833e-28,18,-2.0399625,-0.91895765,,86.883125,0.14999999,inf,-1.640364,-0.99877924,,400,110.951935,,8.44035e-27,16478,9.381591e-06,8.44035e-27,,7.894737,6.163996,8.283833,-1.1639962,-2.412947,18,0.47368422,0.14999999
3.1779168,884.8421052631579,334,26.38105607032776,2.69968e-38,19,-2.0399625,3.1779168,,98.23413,0.14999999,inf,-1.7477103,-1.0528464,,400,112.77402,,,16812,8.420043e-06,5.129392e-37,3.1779168,10.0,5.9354744,8.767887,-0.9354746,-2.7067327,19,-1.0,0.14999999
