Iteration,LQGsigma_higher,Regret,Regret/t,LQGmu1_actor,LQGmu1_higher,ReturnMean,TimeElapsed,ReturnLastEpisode
1,0.01831564,0.010254456537313272,0.010254456537313272,-1.0149614,-1.0,0.9548655434626867,0.036119699478149414,0.9548655434626867
2,0.01831564,0.01980758825182749,0.009903794125913745,-0.7713108,-0.7777778,0.9552162058740863,0.05374789237976074,0.9555668682854858
3,0.01831564,0.029584389839361958,0.00986146327978732,-0.59315664,-0.5555556,0.9552585367202128,0.0702822208404541,0.9553431984124655
4,0.01831564,0.03921474655775492,0.00980368663943873,-0.32379588,-0.33333334,0.9553163133605613,0.08802986145019531,0.955489643281607
5,0.01831564,0.0505966011389124,0.01011932022778248,-0.08658773,-0.11111111,0.9550006797722176,0.10500073432922363,0.9537381454188425
6,0.01831564,0.19594416546845772,0.03265736091140962,0.10973713,0.11111111,0.9324626390885905,0.11972975730895996,0.8197724356704547
7,0.01831564,0.5885486663639844,0.08407838090914063,0.34659785,0.33333334,0.8810416190908594,0.13594698905944824,0.5725154991044733
8,0.01831564,1.1174627665102772,0.13968284581378465,0.58259004,0.5555556,0.8254371541862154,0.15230774879455566,0.43620589985370717
9,0.01831564,1.787989382974574,0.1986654869971749,0.77954227,0.7777778,0.7664545130028251,0.168365478515625,0.2945933835357031
10,0.01831564,2.6250706324099546,0.2625070632409955,1.0044252,1.0,0.7026129367590046,0.18605875968933105,0.12803875056461927
11,0.0285655,2.6353357698212956,0.23957597907466324,-0.96268654,-1.0,0.7255440209253368,0.20424818992614746,0.9548548625886591
12,0.0285655,2.6451161436919435,0.22042634530766195,-0.76243544,-0.7777778,0.7446936546923381,0.22231841087341309,0.955339626129352
13,0.0285655,2.655001431433518,0.20423087934103987,-0.51913285,-0.5555556,0.7608891206589602,0.23925185203552246,0.9552347122584254
14,0.0285655,2.6652119842295994,0.19037228458782854,-0.32938147,-0.33333334,0.7747477154121716,0.2563810348510742,0.9549094472039188
15,0.0285655,2.6762100661653987,0.1784140044110266,-0.13069797,-0.11111111,0.7867059955889736,0.2745180130004883,0.9541219180642009
16,0.0285655,2.8583060801512845,0.17864413000945528,0.10255933,0.11111111,0.7864758699905449,0.29195690155029297,0.7830239860141143
17,0.0285655,3.271118144281091,0.19241871436947594,0.35248002,0.33333334,0.7727012856305242,0.3149094581604004,0.5523079358701936
18,0.0285655,3.7806024849691258,0.21003347138717365,0.55776614,0.5555556,0.7550865286128264,0.3317985534667969,0.4556356593119652
19,0.0285655,4.479821012716801,0.23578005330088428,0.82494795,0.7777778,0.7293399466991158,0.3489212989807129,0.2659014722523241
20,0.0285655,5.3270828356795885,0.2663541417839794,1.0625612,1.0,0.6987658582160206,0.36549806594848633,0.11785817703721237
21,0.044551425,5.337454532473057,0.254164501546336,-0.94742393,-1.0,0.710955498453664,0.38288307189941406,0.9547483032065318
22,0.044551425,5.347086145861526,0.24304937026643303,-0.732976,-0.7777778,0.7220706297335671,0.4009079933166504,0.9554883866115305
23,0.044551425,5.35706562315801,0.23291589665904391,-0.4954005,-0.5555556,0.7322041033409562,0.4190092086791992,0.9551405227035166
24,0.044551425,5.367137495493143,0.22363072897888095,-0.34015167,-0.33333334,0.7414892710211191,0.4355008602142334,0.9550481276648667
25,0.044551425,5.3788461181729055,0.21515384472691623,-0.12583643,-0.11111111,0.7499661552730837,0.4534006118774414,0.9534113773202373
26,0.044551425,5.602260852741055,0.21547157125927136,0.12541364,0.11111111,0.7496484287407287,0.4702930450439453,0.7417052654318506
27,0.044551425,5.970618689021336,0.22113402551930875,0.3121374,0.33333334,0.7439859744806911,0.48836636543273926,0.5967621637197186
28,0.044551425,6.505218255333798,0.2323292234047785,0.5711673,0.5555556,0.7327907765952214,0.5054566860198975,0.43052043368753806
29,0.044551425,7.149916564413482,0.24654884704874078,0.76310194,0.7777778,0.7185711529512592,0.5227508544921875,0.3204216909203153
30,0.044551425,7.992390130325322,0.2664130043441774,0.9986308,1.0,0.6987069956558225,0.5404353141784668,0.12264643408815974
31,0.069483444,8.002370263020968,0.25814097622648285,-0.94227535,-1.0,0.7069790237735171,0.5590677261352539,0.9551398673043552
32,0.069483444,8.012119133016746,0.2503787229067733,-0.7830647,-0.7777778,0.7147412770932265,0.5771298408508301,0.9553711300042216
33,0.069483444,8.021840459568232,0.24308607453237066,-0.5586422,-0.5555556,0.7220339254676292,0.5954313278198242,0.955398673448514
34,0.069483444,8.03291465072579,0.23626219560958206,-0.33030725,-0.33333334,0.7288578043904178,0.6135327816009521,0.9540458088424424
35,0.069483444,8.043648697991182,0.2298185342283195,-0.15162127,-0.11111111,0.7353014657716803,0.6303799152374268,0.9543859527346066
36,0.069483444,8.067079883633436,0.224085552323151,0.007385932,0.11111111,0.7410344476768489,0.6484920978546143,0.941688814357746
37,0.069483444,8.372007849213027,0.2262704824111629,0.20276463,0.33333334,0.738849517588837,0.6659557819366455,0.6601920344204089
38,0.069483444,8.83153690501721,0.2324088659215055,0.44700474,0.5555556,0.7327111340784943,0.6849260330200195,0.5055909441958166
39,0.069483444,9.500825122290632,0.24361090057155466,0.7746935,0.7777778,0.7215090994284451,0.7011082172393799,0.2958317827265781
40,0.069483444,10.347442581871386,0.25868606454678467,1.0219578,1.0,0.7064339354532152,0.7177619934082031,0.11850254041924517
41,0.10836801,10.357533280445518,0.25262276293769553,-0.99607724,-1.0,0.7124972370623043,0.73520827293396,0.9550293014258686
42,0.10836801,10.366862460665825,0.24683005858728155,-0.6633585,-0.7777778,0.7182899414127183,0.7520978450775146,0.9557908197796932
43,0.10836801,10.376625402975955,0.24131686983665013,-0.5034057,-0.5555556,0.7238031301633497,0.7687549591064453,0.9553570576898687
44,0.10836801,10.386564826632654,0.2360582915143785,-0.34040672,-0.33333334,0.7290617084856215,0.7855422496795654,0.9551805763433023
45,0.10836801,10.406184392893723,0.23124854206430495,-0.031677723,-0.11111111,0.7338714579356949,0.8034975528717041,0.9455004337389317
46,0.10836801,10.434517668588274,0.22683734062148422,0.072393246,0.11111111,0.7382826593785157,0.8212080001831055,0.9367867243054487
47,0.10836801,10.829777611754796,0.23042080025010206,0.33986774,0.33333334,0.7346991997498978,0.8381147384643555,0.5698600568334785
48,0.10836801,11.357038240399051,0.2366049633416469,0.58373713,0.5555556,0.7285150366583529,0.8560824394226074,0.43785937135574465
49,0.10836801,11.863913483107941,0.2421206833287335,0.5317769,0.7777778,0.7229993166712664,0.874305248260498,0.45824475729111036
50,0.10836801,12.688671034596197,0.25377342069192393,0.97939694,1.0,0.7113465793080759,0.8923475742340088,0.14036244851174356
51,0.1690133,12.699257165597796,0.2490050424627019,-1.164797,-1.0,0.716114957537298,0.909649133682251,0.9545338689984013
52,0.1690133,12.709206971591609,0.2444078263767617,-0.9079359,-0.7777778,0.7207121736232381,0.9263253211975098,0.9551701940061876
53,0.1690133,12.719121100671513,0.23998341699380213,-0.784938,-0.5555556,0.7251365830061978,0.9429154396057129,0.9552058709200963
54,0.1690133,12.736807436072763,0.23586680437171784,-0.04461336,-0.33333334,0.7292531956282821,0.9605851173400879,0.9474336645987512
55,0.1690133,12.753246167193199,0.23187720303987633,0.0033113137,-0.11111111,0.7332427969601235,0.9805793762207031,0.9486812688795635
56,0.1690133,12.891520072394112,0.23020571557846628,0.08685648,0.11111111,0.7349142844215335,0.9975481033325195,0.8268460947990866
57,0.1690133,13.211810026681638,0.2317861408189761,0.21155855,0.33333334,0.7333338591810237,1.0137240886688232,0.644830045712474
58,0.1690133,13.821238032687386,0.23829720746012734,0.70723367,0.5555556,0.7268227925398725,1.0301623344421387,0.35569199399425216
59,0.1690133,14.614102166751874,0.24769664689409956,0.9415508,0.7777778,0.7174233531059002,1.0467824935913086,0.1722558659355124
60,0.1690133,15.466681345949782,0.25777802243249637,1.1286054,1.0,0.7073419775675034,1.0634419918060303,0.11254082080209202
61,0.26359713,15.476748707000143,0.2537171919180351,-1.0200585,-1.0,0.7114028080819645,1.079397439956665,0.9550526389496391
62,0.26359713,15.486617900603756,0.24978415968715736,-0.6956914,-0.7777778,0.7153358403128424,1.09909987449646,0.9552508063963869
63,0.26359713,15.496396309323309,0.24597454459243348,-0.614791,-0.5555556,0.7191454554075661,1.1188509464263916,0.9553415912804469
64,0.26359713,15.506813418510923,0.24229395966423317,-0.15646473,-0.33333334,0.7228260403357665,1.138535976409912,0.9547028908123861
65,0.26359713,15.517158793329491,0.23872551989737678,-0.27542534,-0.11111111,0.7263944801026229,1.1563434600830078,0.9547746251814317
66,0.26359713,15.962170174508355,0.2418510632501266,0.43932876,0.11111111,0.723268936749873,1.1754913330078125,0.5201086188211365
67,0.26359713,16.312320719107454,0.24346747341951425,0.26805043,0.33333334,0.7216525265804854,1.197808027267456,0.6149694554009005
68,0.26359713,16.860371590253635,0.24794664103314168,0.6118996,0.5555556,0.7171733589668579,1.220163345336914,0.417069128853818
69,0.26359713,17.433142350954682,0.2526542369703577,0.64998144,0.7777778,0.7124657630296418,1.243018388748169,0.39234923929895177
70,0.26359713,18.243705650408828,0.26062436643441184,0.9590128,1.0,0.7044956335655878,1.2648975849151611,0.1545567005458545
