ReturnMin,Delta,MinEpLen,MountainCar_mu1_higher,MountainCar_std1_higher,DenMISELogLast,ReturnAbsMax,DenMISEMeanLog,Regret/t,MountainCar_std0_higher,ReturnStepMax,TimestepsSoFar,DenMISELogFirst,ActionIn1,NumTrainableParams,IWMean,IWLastEpisode,Bound,TimeElapsed,IWMax,Regret,GridSize,ReturnMax,Iteration,NumTrajectories,ReturnMean,AvgEpLen,IWMin,ReturnLastEpisode,MountainCar_mu0_higher,IWFirstEpisode
-0.00038532767,0.060792707,999,-10.0,1.5,-24.882326,0.00038532767,-24.882326,5.0003853,0.14999999,0.002481208,999,-24.882326,-15.123173,2,2.4162014e-07,2.4162014e-07,inf,0.5450296401977539,2.4162014e-07,5.0003853,1,,1,1,-0.00038532767,999.0,,-0.00038532767,-1.0,2.4162014e-07
-2.324667,0.0060792705,999,-10.0,1.5,-55.95519,2.324667,-40.76533,6.162526,0.14999999,23.056314,1998,-25.575474,-11.960412,,1.4233406e+22,2.8466812e+22,inf,1.223414659500122,2.8466812e+22,12.325052,4,,2,2,-1.1625261,999.0,,-2.324667,-1.0,4.832405e-07
-2.324667,0.0027018983,999,-10.0,1.5,-21.700294,2.324667,-34.68063,6.3382154,0.14999999,23.056314,2997,-25.980938,-9.734519,,1.4233392e+22,1373411500.0,inf,1.7267446517944336,4.2700177e+22,19.014647,4,,3,3,-1.3382154,999.0,,-1.6895938,-1.0,7.248601e-07
-2.324667,0.0015198176,999,-10.0,1.5,-38.01694,2.324667,-35.629105,6.526771,0.14999999,23.056314,3996,-26.268621,-10.572122,,1.4233443e+22,1.3874737e+16,inf,2.23002028465271,5.693376e+22,26.107084,4,,4,4,-1.5267711,999.0,,-2.0924382,-1.0,9.664815e-07
-2.324667,0.00048634165,999,-10.0,1.5,-0.30130523,2.324667,-28.626984,6.4692125,0.14999999,23.056314,4995,-26.491764,-10.413768,,1.4233401e+22,0.3507612,inf,2.7044765949249268,7.1166994e+22,32.34606,9,,5,5,-1.4692127,999.0,,-1.2389789,-1.0,1.2081008e-06
-2.324667,0.0003377373,999,-10.0,1.5,-6.6509533,2.324667,-25.004675,6.5530076,0.14999999,23.056314,5994,-26.674086,-12.767188,,1.4233427e+22,493.8359,inf,3.2132692337036133,8.540055e+22,39.318047,9,,6,6,-1.5530077,999.0,,-1.9719828,-1.0,1.4497209e-06
-2.3382614,0.00024813347,999,-10.0,1.5,-56.302067,2.3382614,-29.503675,6.665187,0.14999999,23.767483,6993,-26.828236,-10.487859,,1.1124859e+23,6.791064e+23,inf,3.6774041652679443,6.791064e+23,46.656307,9,,7,7,-1.6651868,999.0,,-2.3382614,-1.0,1.69134e-06
-2.3382614,0.0001899772,999,-10.0,1.5,-2.084305,2.3382614,-26.104187,6.651952,0.14999999,23.767483,7992,-26.961767,-11.151091,,1.0248511e+23,4.2586994,inf,4.12861180305481,7.060135e+23,53.215614,9,,8,8,-1.6519516,999.0,,-1.5593054,-1.0,1.9329602e-06
-2.3382614,0.00015010545,999,-10.0,1.5,1.5012071,2.3382614,-23.057823,6.6871247,0.14999999,23.767483,8991,-27.07955,-8.457192,,9.517352e+22,0.15358022,inf,4.59533429145813,7.284609e+23,60.184124,9,,9,9,-1.6871248,999.0,,-1.9685112,-1.0,2.1745793e-06
-2.3382614,7.152084e-05,999,-10.0,1.5,-57.56463,2.3382614,-26.524698,6.64345,0.14999999,23.767483,9990,-27.184912,-11.382499,,1.6594974e+23,7.696899e+23,inf,5.069202423095703,7.696899e+23,66.434494,16,,10,10,-1.6434498,999.0,,-1.2503749,-1.0,2.4162027e-06
-2.3382614,5.9108123e-05,999,-10.0,1.5,-3.8682153,2.3382614,-24.487494,6.6320515,0.14999999,23.767483,10989,-27.280222,-9.847635,,1.606374e+23,24.184313,inf,5.557305335998535,8.466589e+23,72.95257,16,,11,11,-1.6320516,999.0,,-1.5180688,-1.0,2.6578232e-06
-2.3382614,4.966725e-05,999,-10.0,1.5,-24.816092,2.3382614,-24.533318,6.640845,0.14999999,23.767483,11988,-27.367233,-9.756915,,1.5602986e+23,30130944000.0,inf,5.9756505489349365,9.236261e+23,79.69014,16,,12,12,-1.6408447,999.0,,-1.7375692,-1.0,2.8994432e-06
-2.3382614,4.232002e-05,999,-10.0,1.5,-34.85239,2.3382614,-25.34249,6.6688333,0.14999999,23.767483,12987,-27.447275,-10.6038,,1.5199578e+23,645057700000000.0,inf,6.397418737411499,1.0005961e+24,86.69483,16,,13,13,-1.6688333,999.0,,-2.0046945,-1.0,3.141061e-06
-2.3382614,3.649022e-05,999,-10.0,1.5,-0.41730785,2.3382614,-23.575165,6.665029,0.14999999,23.767483,13986,-27.521383,-9.784242,,1.4843442e+23,0.8906481,inf,6.817892551422119,1.0775651e+24,93.31041,16,,14,14,-1.6650292,999.0,,-1.6155772,-1.0,3.3826816e-06
-2.3382614,3.178704e-05,999,-10.0,1.5,-33.172493,2.3382614,-24.22618,6.6896877,0.14999999,23.767483,14985,-27.590376,-12.554231,,1.4526736e+23,122733470000000.0,inf,7.231821537017822,1.1545338e+24,100.345314,16,,15,15,-1.6896875,999.0,,-2.0349035,-1.0,3.6243007e-06
-2.3382614,2.7937827e-05,999,-10.0,1.5,-58.03463,2.3382614,-26.348913,6.6405253,0.14999999,23.767483,15984,-27.654915,-8.90317,,1.6257224e+23,3.22243e+23,inf,7.652590990066528,1.2315009e+24,106.248405,16,,16,16,-1.6405252,999.0,,-0.9030911,-1.0,3.8659223e-06
-2.3382614,1.6181184e-05,999,-10.0,1.5,-58.095257,2.3382614,-28.22864,6.621251,0.14999999,23.767483,16983,-27.71554,-10.522609,,3.0210222e+23,2.4153963e+24,inf,8.07670283317566,2.4153963e+24,112.56127,25,,17,17,-1.6212512,999.0,,-1.3128694,-1.0,4.1075446e-06
-2.3977416,1.4433218e-05,999,-10.0,1.5,-7.4690595,2.3977416,-27.089561,6.6643896,0.14999999,23.928894,17982,-27.772697,-7.7858467,,2.997912e+23,672.3964,inf,8.737233638763428,2.5574713e+24,119.959015,25,,18,18,-1.6643897,999.0,,-2.3977416,-1.0,4.349161e-06
