ReturnStepMax,Regret/t,ReturnMean,AvgEpLen,Iteration,MountainCar_mu0_higher,GridSize,ReturnMax,IWLastEpisode,IWMin,DenMISELogLast,ReturnAbsMax,NumTrajectories,MountainCar_mu1_higher,DenMISEMeanLog,IWFirstEpisode,MountainCar_std0_higher,Delta,NumTrainableParams,MountainCar_std1_higher,TimeElapsed,Bound,IWMax,TimestepsSoFar,IWMean,DenMISELogFirst,ReturnLastEpisode,ActionIn1,ReturnMin,MinEpLen,Regret
0.067981154,5.0068483,-0.0068483828,999.0,1,-1.0,1,,1.3022397e-19,,-5.6232686,0.0068483828,1,-10.0,-5.6232686,1.3022397e-19,0.14999999,0.060792707,2,1.5,0.4274294376373291,inf,1.3022397e-19,999,1.3022397e-19,-5.6232686,-0.0068483828,-9.943268,-0.0068483828,999,5.0068483
22.422834,6.1211386,-1.1211388,999.0,2,-1.0,4,,1881068800000.0,,-29.172567,2.2354293,2,-10.0,-17.744492,2.6044756e-19,0.14999999,0.0060792705,,1.5,1.047511100769043,inf,1881068800000.0,1998,940534400000.0,-6.316416,-2.2354293,-12.281057,-2.2354293,999,12.242277
22.422834,6.356217,-1.356217,999.0,3,-1.0,4,,1285647700000000.0,,-35.509193,2.2354293,3,-10.0,-23.70532,3.906725e-19,0.14999999,0.0027018983,,1.5,1.4752402305603027,inf,1285647700000000.0,2997,429019500000000.0,-6.721881,-1.8263737,-10.182238,-2.2354293,999,19.068651
22.422834,6.2697997,-1.2697996,999.0,4,-1.0,4,,42.695545,,-6.235061,2.2354293,4,-10.0,-19.350784,5.2089636e-19,0.14999999,0.0015198176,,1.5,1.9120049476623535,inf,1142798500000000.0,3996,286013100000000.0,-7.009563,-1.0105472,-10.0960455,-2.2354293,999,25.079199
22.422834,6.326914,-1.3269136,999.0,5,-1.0,9,,173543.61,,-12.785149,2.2354293,5,-10.0,-18.043562,6.511211e-19,0.14999999,0.00048634165,,1.5,2.3626511096954346,inf,1071375160000000.0,4995,214510160000000.0,-7.2327065,-1.5553691,-14.016916,-2.2354293,999,31.634567
25.029785,6.520283,-1.5202831,999.0,6,-1.0,9,,3.290427e+23,,-57.053802,2.4871304,6,-10.0,-24.54844,7.8134385e-19,0.14999999,0.0003377373,,1.5,2.815528631210327,inf,3.290427e+23,5994,5.4840454e+22,-7.415028,-2.4871304,-11.777303,-2.4871304,999,39.121696
25.029785,6.599512,-1.5995119,999.0,7,-1.0,9,,9525.012,,-9.702939,2.4871304,7,-10.0,-22.4556,9.11569e-19,0.14999999,0.00024813347,,1.5,3.2665131092071533,inf,3.838822e+23,6993,5.484031e+22,-7.5691786,-2.074885,-9.659172,-2.4871304,999,46.196583
25.029785,6.6401825,-1.6401826,999.0,8,-1.0,9,,4.1679883e+16,,-39.028435,2.4871304,8,-10.0,-24.5477,1.0417913e-18,0.14999999,0.0001899772,,1.5,3.7252964973449707,inf,4.387234e+23,7992,5.484043e+22,-7.70271,-1.9248774,-14.741287,-2.4871304,999,53.12146
25.029785,6.6210375,-1.6210377,999.0,9,-1.0,9,,1.6529852e+23,,-57.459267,2.4871304,9,-10.0,-28.220219,1.1720146e-18,0.14999999,0.00015010545,,1.5,4.172499656677246,inf,4.935636e+23,8991,7.3206904e+22,-7.820493,-1.4678786,-12.714096,-2.4871304,999,59.58934
25.029785,6.700309,-1.7003088,999.0,10,-1.0,16,,1.2435612e+22,,-52.332073,2.4871304,10,-10.0,-30.655558,1.3022404e-18,0.14999999,7.152084e-05,,1.5,4.6206748485565186,inf,5.484048e+23,9990,7.4450577e+22,-7.9258537,-2.4137495,-11.551128,-2.4871304,999,67.00309
