MinEpLen,IWMin,IWMean,MountainCar_mu0_higher,ReturnLastEpisode,ReturnStepMax,Bound,Regret/t,Iteration,TimestepsSoFar,NumTrajectories,Regret,IWFirstEpisode,GridSize,DenMISELogLast,TimeElapsed,ActionIn1,AvgEpLen,Delta,DenMISELogFirst,MountainCar_std0_higher,IWLastEpisode,MountainCar_std1_higher,ReturnMax,IWMax,ReturnMin,DenMISEMeanLog,ReturnMean,ReturnAbsMax,MountainCar_mu1_higher,NumTrainableParams
999,,1.1134098e-12,-1.0,-0.14093085,1.402732,inf,5.1409307,1,999,1,5.1409307,1.1134098e-12,1,-5.1927404,0.5910460948944092,-11.232451,999.0,0.060792707,-5.1927404,0.14999999,1.1134098e-12,1.5,,1.1134098e-12,-0.14093085,-5.1927404,-0.14093085,0.14093085,-10.0,2
999,,2.7340343,-1.0,-1.3934602,14.239214,inf,5.7671957,2,1998,2,11.534391,2.2268164e-12,4,-2.6147816,1.196504831314087,-9.83816,999.0,0.0060792705,-5.8858876,0.14999999,5.4680686,1.5,,5.4680686,-1.3934602,-4.2503347,-0.7671955,1.3934602,-10.0,
999,,484698620000.0,-1.0,-1.9000374,19.060976,inf,6.1448092,3,2997,3,18.43443,3.3402278e-12,4,-28.65403,1.6942014694213867,-11.780437,999.0,0.0027018983,-6.2913527,0.14999999,1454095900000.0,1.5,,1454095900000.0,-1.9000374,-12.42416,-1.1448094,1.9000374,-10.0,
999,,323131930000.0,-1.0,-2.1178796,21.309307,inf,6.388077,4,3996,4,25.552307,4.453635e-12,4,-9.524798,2.214085340499878,-10.88453,999.0,0.0015198176,-6.579035,0.14999999,7662.07,1.5,,1292527700000.0,-2.1178796,-11.712349,-1.388077,2.1178796,-10.0,
999,,242349330000.0,-1.0,-2.2709496,22.893787,inf,6.5646515,5,4995,5,32.823257,5.5670386e-12,9,0.13020648,2.7043254375457764,-11.395708,999.0,0.00048634165,-6.8021784,0.14999999,0.43765083,1.5,,1211746600000.0,-2.2709496,-9.349744,-1.5646515,2.2709496,-10.0,
999,,193879260000.0,-1.0,-2.0781963,22.893787,inf,6.6502423,6,5994,6,39.90145,6.680459e-12,9,-0.7198061,3.2394869327545166,-10.508775,999.0,0.0003377373,-6.9845,0.14999999,1.2815881,1.5,,1163275500000.0,-2.2709496,-7.9145927,-1.6502422,2.2709496,-10.0,
999,,161565930000.0,-1.0,-2.2394094,22.893787,inf,6.7344093,7,6993,7,47.14086,7.793864e-12,9,-6.6607714,3.7739479541778564,-13.236959,999.0,0.00024813347,-7.1386504,0.14999999,379.40958,1.5,,1130961600000.0,-2.2709496,-7.737375,-1.7344091,2.2709496,-10.0,
999,,1.3342889e+23,-1.0,-1.4350164,22.893787,inf,6.6969852,8,7992,8,53.575882,8.907274e-12,9,-57.341484,4.270085334777832,-12.043905,999.0,0.0001899772,-7.272182,0.14999999,1.06743115e+24,1.5,,1.06743115e+24,-2.2709496,-13.939116,-1.696985,2.2709496,-10.0,
999,,1.3342884e+23,-1.0,-2.5696642,25.834408,inf,6.793949,9,8991,9,61.145542,1.0020679e-11,9,-14.575371,4.696832895278931,-12.712056,999.0,0.00015010545,-7.389965,0.14999999,483278.97,1.5,,1.20085955e+24,-2.5696642,-14.025486,-1.7939491,2.5696642,-10.0,
999,,4.1616453e+23,-1.0,-2.0409644,25.834408,inf,6.8186507,10,9990,10,68.18651,1.1134083e-11,16,-57.333282,5.165270805358887,-13.028551,999.0,7.152084e-05,-7.4953256,0.14999999,2.8273552e+24,1.5,,2.8273552e+24,-2.5696642,-18.36864,-1.8186508,2.5696642,-10.0,
999,,5.4365787e+23,-1.0,-2.5557637,25.834408,inf,6.885661,11,10989,11,75.74227,1.2247491e-11,16,-57.65994,5.793063163757324,-10.655633,999.0,5.9108123e-05,-7.590636,0.14999999,1.4721996e+24,1.5,,3.040318e+24,-2.5696642,-21.958113,-1.885661,2.5696642,-10.0,
999,,5.3759332e+23,-1.0,-2.407665,25.834408,inf,6.9291615,12,11988,12,83.14993,1.3360899e-11,16,-4.407876,6.3917787075042725,-8.148852,999.0,4.966725e-05,-7.677647,0.14999999,30.644558,1.5,,3.2439415e+24,-2.5696642,-20.517908,-1.9291614,2.5696642,-10.0,
999,,6.0003295e+23,-1.0,-2.3227334,25.834408,inf,6.9594364,13,12987,13,90.47267,1.4474323e-11,16,-57.826992,6.978825569152832,-10.240778,999.0,4.232002e-05,-7.75769,0.14999999,8.871657e+23,1.5,,3.438816e+24,-2.5696642,-23.406507,-1.9594363,2.5696642,-10.0,
999,,5.9447277e+23,-1.0,-2.038228,25.834408,inf,6.965064,14,13986,14,97.510895,1.5587734e-11,16,-12.8496065,7.60186243057251,-13.132195,999.0,3.649022e-05,-7.8317976,0.14999999,218316.5,1.5,,3.6254969e+24,-2.5696642,-22.674002,-1.9650642,2.5696642,-10.0,
999,,8.4866905e+23,-1.0,-1.9902382,25.834408,inf,6.9667425,15,14985,15,104.50114,1.670114e-11,16,-57.970093,8.153614521026611,-14.341848,999.0,3.178704e-05,-7.9007907,0.14999999,3.8929153e+24,1.5,,3.8929153e+24,-2.5696642,-25.045618,-1.9667424,2.5696642,-10.0,
999,,8.9988175e+23,-1.0,-2.1479714,25.834408,inf,6.9780693,16,15984,16,111.64911,1.7814522e-11,16,-58.03463,8.669553518295288,-10.211511,999.0,2.7937827e-05,-7.965329,0.14999999,9.012671e+23,1.5,,4.152437e+24,-2.5696642,-27.127851,-1.9780693,2.5696642,-10.0,
999,,8.949693e+23,-1.0,-1.3679693,25.834408,inf,6.942181,17,16983,17,118.017075,1.8927976e-11,25,-6.9502077,9.314453125,-12.380652,999.0,1.6181184e-05,-8.025954,0.14999999,317.063,1.5,,4.4119746e+24,-2.5696642,-25.96265,-1.9421811,2.5696642,-10.0,
999,,8.902442e+23,-1.0,-1.8281385,25.834408,inf,6.9358454,18,17982,18,124.845215,2.004133e-11,25,-40.97259,10.222887992858887,-11.049159,999.0,1.4433218e-05,-8.083112,0.14999999,2.8639268e+17,1.5,,4.6714895e+24,-2.5696642,-26.815748,-1.9358453,2.5696642,-10.0,
