IWFirstEpisode,ReturnMin,DenMISELogLast,ReturnStepMax,delta,ReturnLastEpisode,DenMISELogFirst,ReturnMax,IWMin,Bound,IWMax,DenMISEMeanLog,LQGmu1_higher,TimeElapsed,LQGmu1_actor,TimestepsSoFar,ReturnAbsMax,IWLastEpisode,ReturnMean,Iteration,LQGsigma_higher,IWMean
0.47260204,,-0.8059591,19.202347,1.1492007e-06,17.200592,-0.84751046,17.414082,,83.77307,5.0314245,-0.904945,-0.35353535,17.38351035118103,-0.23623115,460,17.414082,0.00022399565,12.090224,23,0.14999999,1.2832626
5.429043,,-0.5624596,19.202347,1.055429e-06,17.010298,-0.8697305,17.414082,,83.28519,5.429043,-0.88219243,0.07070707,18.12047004699707,0.15184861,480,17.414082,0.57525676,12.295228,24,0.14999999,0.78226477
0.13569719,,-0.831127,19.202347,9.726833e-07,8.894718,-0.70662427,17.414082,,83.3694,7.6877346,-0.8904608,0.3939394,18.9057354927063,0.3468305,500,17.414082,1.6601524,12.159207,25,0.14999999,0.9440615
2.4982979e-05,,-0.83544284,19.202347,8.993004e-07,8.009441,-0.7404318,17.414082,,82.45108,6.196692,-0.8935543,-0.75757575,19.63357377052307,-0.89818645,520,17.414082,1.03802834e-11,11.999601,26,0.14999999,0.80246395
7.879599e-05,,-0.6823021,19.202347,8.3391916e-07,17.289642,-0.7781712,17.414082,,80.951195,7.9094744,-0.8946132,0.6969697,20.391618013381958,0.7427467,540,17.414082,1.4587138e-24,12.195528,27,0.14999999,1.1251452
3.4340804,,-0.91133785,19.202347,7.754171e-07,4.081865,-0.8145359,17.414082,,78.734146,5.177471,-0.8937849,-0.17171717,21.14951992034912,-0.1654089,560,17.414082,5.623741e-08,11.905754,28,0.14999999,1.0964965
0.008014485,,-0.60031307,19.202347,7.2286224e-07,16.626053,-0.7339391,17.414082,,78.1728,5.321253,-0.8819824,-0.5555556,21.88674306869507,-0.5066676,580,17.414082,0.16463101,12.068523,29,0.14999999,0.928894
2.2841669e-09,,-0.57706505,19.202347,6.754746e-07,17.397614,-0.7675643,17.414082,,76.63485,9.172544,-0.8753301,-1.0,22.633681058883667,-0.83479935,600,17.414082,0.021213269,12.24616,30,0.14999999,1.0205742
1.5524484,,-0.67317,19.202347,6.325984e-07,17.327085,-0.8003541,17.414082,,75.882324,6.0121875,-0.8708774,0.23232323,23.342294931411743,0.2720908,620,17.414082,5.334608e-11,12.410061,31,0.14999999,0.8457426
7.229577e-10,,-0.83136994,19.202347,5.936788e-07,8.430605,-0.78323746,17.414082,,74.651535,10.695578,-0.8756928,1.0,24.092812538146973,0.8465381,640,17.414082,4.702015e-05,12.285703,32,0.14999999,0.8697423
6.8117333e-06,,-1.0054595,19.202347,5.582434e-07,2.5800147,-0.8140091,17.414082,,73.61877,5.3856907,-0.8855889,-0.7979798,24.981003522872925,-0.8160729,660,17.414082,5.767273e-26,11.991591,33,0.14999999,0.8762676
0.83683455,,-0.6151462,19.202347,5.258885e-07,17.346125,-0.8438619,17.414082,,73.537766,5.145977,-0.88227487,-0.3131313,25.74220061302185,-0.45851153,680,17.414082,0.017813645,12.149077,34,0.14999999,1.1819934
0.0077643986,,-0.6125568,19.202347,4.9626703e-07,17.310287,-0.8485347,17.414082,,73.18228,7.842371,-0.87077165,0.53535354,26.532575845718384,0.38478994,700,17.414082,1.4385055e-09,12.29654,35,0.14999999,0.9006605
0.014905989,,-0.89536625,19.202347,4.6907957e-07,7.756588,-0.87648374,17.414082,,72.50391,5.2249804,-0.87517726,-0.53535354,27.330297708511353,-0.5769004,720,17.414082,4.390622e-08,12.17043,36,0.14999999,1.0606041
6.521391,,-0.5937819,19.202347,4.4406656e-07,17.401276,-0.9034687,17.414082,,71.51151,6.521391,-0.8668909,-0.030303031,28.025336027145386,-0.037881292,740,17.414082,0.0062991455,12.311805,37,0.14999999,0.9150926
1.2270378e-06,,-0.74904245,19.202347,4.2100217e-07,13.198845,-0.76780224,17.414082,,70.19757,8.016995,-0.867061,0.8181818,28.751602172851562,1.1958642,760,17.414082,4.7583117e-07,12.335148,38,0.14999999,1.3042946
0.0005940277,,-2.338363,19.202347,3.996891e-07,,-0.79377776,17.414082,,68.71839,4.964297,-0.89934725,-0.65656567,29.603448152542114,-0.5562046,780,17.414082,2.1038753e-32,12.018862,39,0.14999999,0.99325305
2.4049207e-09,,-0.5641227,19.202347,3.799544e-07,17.380852,-0.8190803,17.414082,,68.16473,9.282829,-0.8918648,-1.0,30.3357036113739,-0.9132727,800,17.414082,0.058750257,12.152911,40,0.14999999,0.90057784
0.119918086,,-0.675198,19.202347,3.6164613e-07,17.275211,-0.8437729,17.414082,,68.19311,4.7918324,-0.89025545,-0.43434343,31.14445662498474,-0.573578,820,17.414082,0.03194295,12.277845,41,0.14999999,1.1656785
0.7879523,,-0.53797936,19.202347,3.4462983e-07,17.400063,-0.86494994,17.414082,,68.23671,7.445873,-0.87881744,0.2929293,31.992655038833618,0.2501685,840,17.414082,2.583213e-07,12.399803,42,0.14999999,1.0405129
3.528099e-06,,-0.90019965,19.202347,3.2878697e-07,8.534845,-0.86989343,17.414082,,66.72474,5.264869,-0.8796612,-0.8181818,32.768961906433105,-0.6643033,860,17.414082,6.315351e-11,12.309921,43,0.14999999,0.9501789
4.761772,,-0.568353,19.202347,3.140119e-07,17.391016,-0.8928828,17.414082,,66.394135,5.6486626,-0.87435603,-0.13131313,33.594017028808594,-0.20650288,880,17.414082,0.008511627,12.4254,44,0.14999999,0.98018396
0.0052793575,,-0.65617925,19.202347,3.0021093e-07,16.90896,-0.8125987,17.414082,,66.011566,4.7396755,-0.870695,-0.57575756,34.49179983139038,-0.43221807,900,17.414082,0.24767987,12.525035,45,0.14999999,1.1729605
4.3478727,,-0.5287183,19.202347,2.8730017e-07,17.342346,-0.8344603,17.414082,,64.848885,6.6496973,-0.8602177,0.11111111,35.19266724586487,0.24462277,920,17.414082,0.0063885534,12.629758,46,0.14999999,0.8667057
0.7738794,,-0.8860916,19.202347,2.7520463e-07,8.559828,-0.7656516,17.414082,,64.654915,4.789153,-0.8641012,-0.3131313,35.98303580284119,-0.4241109,940,17.414082,0.006416843,12.543163,47,0.14999999,1.1039594
0.018541668,,-0.503118,19.202347,2.6385726e-07,17.253351,-0.77037346,17.414082,,64.23547,7.8751264,-0.85499024,0.4949495,36.82604718208313,0.26631847,960,17.414082,3.1002738e-08,12.641294,48,0.14999999,0.8687318
0.051467784,,-0.89800227,19.202347,2.531974e-07,8.4589,-0.7906066,17.414082,,63.435707,4.450875,-0.859109,-0.47474748,37.558597564697266,-0.432093,980,17.414082,3.2711258e-05,12.555938,49,0.14999999,1.2255996
7.423883e-10,,-0.45858794,19.202347,2.4317083e-07,17.33749,-0.8097595,17.414082,,62.946686,15.066692,-0.84721375,1.0,38.40856218338013,0.87037414,1000,17.414082,6.774254e-20,12.651569,50,0.14999999,0.99930274
2.4302589e-09,,-1.1133224,19.202347,2.3372819e-07,2.2074127,-0.8295621,17.414082,,62.12136,9.505822,-0.8538672,-1.0,39.274598598480225,-0.96486694,1020,17.414082,1.4004723e-33,12.446782,51,0.14999999,0.82649994
