Iteration,ReturnMean,MinEpLen,VarJ,BatchSize,StepSize,MountainCar_mu0_higher,NumTrajectories,AvgRet,MountainCar_mu1_higher,ActionIn1,NatGrad2Norm,MountainCar_std0_higher,TimestepsSoFar,AvgEpLen,NatGradInftyNorm,ReturnMax,MountainCar_std1_higher,J
27,-0.3266359348105115,498,6.0883632442743995e-05,100,1.0,-0.04354021,2700,-0.7437309612429918,0.42543235,-0.21535367,0.008345658,0.14999999,2688885,995.8833333333333,0.008059296,0.5342079559486856,1.5,-0.06991745036247868
28,-0.31782531295160094,498,0.00015642055557711916,100,1.0,-0.041372776,2800,0.16647973039193414,0.41737306,0.066023916,0.028058998,0.14999999,2788589,995.9246428571429,0.027992953,0.5342079559486856,1.5,-0.07993852276101515
29,-0.3089749685345473,498,7.310285390359762e-05,100,1.0,-0.039448723,2900,0.35572970899561507,0.3893801,-0.08598602,0.01530929,0.14999999,2888368,995.9889655172414,0.014260467,0.5342079559486856,1.5,-0.06116532485704612
30,-0.30080426737581856,498,7.876139899514778e-05,100,1.0,-0.03387975,3000,0.34743642152651155,0.40364057,-0.67672026,0.033508588,0.14999999,2988057,996.019,0.033493947,0.5342079559486856,1.5,-0.06385393377268438
31,-0.29302100957368027,498,5.8315102200332723e-05,100,1.0,-0.03487021,3100,-0.630409944616464,0.4371345,1.3173578,0.00920907,0.14999999,3087957,996.1151612903226,0.008477423,0.5342079559486856,1.5,-0.059523275509532195
32,-0.2860043904717406,498,0.0001206835153796375,100,1.0,-0.03127295,3200,0.26881749556866597,0.42865708,0.82241267,0.005649785,0.14999999,3187663,996.1446875,0.0044007064,0.5342079559486856,1.5,-0.06848919831161171
33,-0.279558593073613,498,9.634621744723292e-05,100,1.0,-0.034816094,3300,0.20572713779458238,0.42425638,-0.009559758,0.034624767,0.14999999,3287408,996.1842424242424,0.034528762,0.5342079559486856,1.5,-0.07329307633352945
34,-0.27304163640541496,498,5.1069833877559554e-05,100,1.0,-0.037392735,3400,-0.6079475711103813,0.38972762,1.2558634,0.008332226,0.14999999,3387308,996.2670588235294,0.008332146,0.5342079559486856,1.5,-0.057982066354878424
35,-0.267017659246365,498,7.966072091431676e-05,100,1.0,-0.037356157,3500,-0.6542684837728708,0.3813955,-2.1467602,0.009409943,0.14999999,3487208,996.3451428571428,0.009406642,0.5342079559486856,1.5,-0.062202435838668774
36,-0.26130644557451854,498,8.753364209608412e-05,100,1.0,-0.037605368,3600,1.3356526318781405,0.37198883,0.33191815,0.0069591897,0.14999999,3586865,996.3513888888889,0.006958059,0.5342079559486856,1.5,-0.06141396705989056
37,-0.2566815115052115,498,0.000139916676730361,100,1.0,-0.030647308,3700,0.06111181898918,0.3718634,-2.1119537,0.034277093,0.14999999,3686567,996.3694594594594,0.034276415,0.5342079559486856,1.5,-0.0901838850101585
38,-0.25176269646095667,498,0.0001006173221291124,100,1.0,-0.030431757,3800,-0.7309554848481413,0.40613982,3.0442367,0.002828765,0.14999999,3786467,996.4386842105263,0.0027605288,0.5342079559486856,1.5,-0.06976653982352689
39,-0.2472012434835577,498,0.00011682734776581872,100,1.0,-0.033192284,3900,-0.7647756216939631,0.40675738,1.1544074,0.010155546,0.14999999,3886367,996.504358974359,0.009964556,0.5342079559486856,1.5,-0.07386603034239811
40,-0.24226694018390893,498,4.1031909081321255e-05,100,1.0,-0.04315684,4000,-0.5210747611894834,0.40871766,0.9986778,0.015582721,0.14999999,3986267,996.56675,0.015125177,0.5342079559486856,1.5,-0.049829111497606486
41,-0.23782481669113567,498,7.144494657826057e-05,100,1.0,-0.0469052,4100,1.3478070085432126,0.42384285,-0.13449982,0.0134176565,0.14999999,4085782,996.5321951219512,0.012367806,0.5342079559486856,1.5,-0.060139876980205086
42,-0.2335795928125439,498,5.507651055994819e-05,100,1.0,-0.041702233,4200,-0.6248080382192462,0.41147503,0.31139064,0.005498952,0.14999999,4185682,996.5909523809523,0.0038998998,0.5342079559486856,1.5,-0.05952541379028191
43,-0.22957541948366333,498,6.33679609334716e-05,100,1.0,-0.037802335,4300,-0.635467963124945,0.4075983,-1.1617044,0.0130063845,0.14999999,4285582,996.6469767441861,0.012307943,0.5342079559486856,1.5,-0.061400139670679935
44,-0.22568026138099986,498,5.5505204085649576e-05,100,1.0,-0.033597507,4400,0.3533132932256555,0.41990623,-1.3375624,0.006186734,0.14999999,4385163,996.6279545454546,0.005866692,0.5342079559486856,1.5,-0.058188462966468714
45,-0.22211812266675077,498,8.424309247326056e-05,100,1.0,-0.03163343,4500,0.3255161836191745,0.41403952,3.4108183,0.009001051,0.14999999,4484829,996.6286666666666,0.0073308647,0.5342079559486856,1.5,-0.06538401923979201
46,-0.21905713509408062,498,0.00014636614179035787,100,1.0,-0.026410658,4600,-0.8515807526664237,0.4213704,0.9496793,0.04303629,0.14999999,4584729,996.6802173913044,0.042858947,0.5342079559486856,1.5,-0.08131269432392164
47,-0.21576244783598666,498,5.607707024519027e-05,100,1.0,-0.030313589,4700,0.30866745086666475,0.37851143,-0.0282837,0.009764779,0.14999999,4684393,996.6793617021276,0.009753152,0.5342079559486856,1.5,-0.0642068339636654
48,-0.21238647755849333,498,5.2160405037968045e-05,100,1.0,-0.030789979,4800,1.4181195099516373,0.38826457,0.21088997,0.0037087826,0.14999999,4783952,996.6566666666666,0.0032588304,0.5342079559486856,1.5,-0.05371587451630795
49,-0.209188441911941,498,6.195492668656692e-05,100,1.0,-0.032560598,4900,-0.5890378285413592,0.38500574,0.979182,0.009936184,0.14999999,4883852,996.7044897959183,0.008136591,0.5342079559486856,1.5,-0.05568273087742855
50,-0.20593154730027963,498,3.6997239350122904e-05,100,1.0,-0.02685765,5000,0.4908482318416994,0.37686914,-2.5039032,0.008138346,0.14999999,4983531,996.7062,0.0074665216,0.5342079559486856,1.5,-0.04634371132887452
