ReturnMax,TimestepsSoFar,NumTrajectories,VarJ,MountainCar_std0_higher,MountainCar_mu0_higher,BatchSize,Iteration,NatGradInftyNorm,MountainCar_std1_higher,AvgEpLen,NatGrad2Norm,StepSize,MinEpLen,J,ActionIn1,ReturnMean,MountainCar_mu1_higher,AvgRet
-0.00010294598060912095,99884,100,0.0005603398039534953,0.14999999,-0.4416444,100,1,0.02476654,1.5,998.84,0.024786048,0.01,983,-0.4592097442001307,3.768553,-0.4592097442001307,-0.8971903,-3.5970573518188496
-0.00010294598060912095,199784,200,0.00092927690651809,0.14999999,-0.44139674,100,2,0.10666892,1.5,998.92,0.12063312,0.01,983,-0.5281243880499654,-1.0502129,-0.49366706612504807,-0.89718044,-5.296536625456936
-0.00010294598060912095,299684,300,0.0006892218139089526,0.14999999,-0.44083336,100,3,0.043551873,1.5,998.9466666666667,0.04460372,0.01,983,-0.5127438447025309,-1.478547,-0.5000259923175423,-0.89611375,-5.125378093518406
-0.00010294598060912095,399584,400,0.0005957520915646357,0.14999999,-0.44039783,100,4,0.06673238,1.5,998.96,0.0704438,0.01,983,-0.4426119286989176,1.6050364,-0.4856724764128862,-0.8962101,-4.434795303853222
-0.00010294598060912095,499484,500,0.0010592261947030732,0.14999999,-0.4401722,100,5,0.18192016,1.5,998.968,0.19118093,0.01,983,-0.5185768626941798,-3.7155752,-0.49225335366914486,-0.8968774,-5.1793127191605
-0.00010294598060912095,599334,600,0.000827178307884222,0.14999999,-0.43958437,100,6,0.032606047,1.5,998.89,0.03341564,0.01,949,-0.44544038823580595,-2.0643005,-0.4844511927635884,-0.8950582,-3.4566454392209796
-0.00010294598060912095,699234,700,0.0010335932041131764,0.14999999,-0.4392583,100,7,0.19144122,1.5,998.9057142857143,0.19903977,0.01,949,-0.499434705774097,-1.5971892,-0.48659169462223245,-0.8949851,-4.9849586968973405
-0.00010294598060912095,799134,800,0.001028066114361934,0.14999999,-0.4387136,100,8,0.09698017,1.5,998.9175,0.11079135,0.01,949,-0.4973063202612634,-0.4611576,-0.4879310228271113,-0.89307064,-4.973268713056992
-0.00010294598060912095,899034,900,0.0008647517723137134,0.14999999,-0.4381779,100,9,0.15950279,1.5,998.9266666666666,0.16636448,0.01,949,-0.49803745020963286,-0.47784725,-0.4890539592029471,-0.8921008,-4.986071703215254
-0.00010294598060912095,998934,1000,0.0008111533183646213,0.14999999,-0.43770504,100,10,0.0901536,1.5,998.934,0.10072904,0.01,949,-0.4962598437261178,-2.0332935,-0.4897745476552641,-0.89369583,-4.984999882599454
-0.00010294598060912095,1098834,1100,0.0007258344707830807,0.14999999,-0.43725574,100,11,0.059577875,1.5,998.94,0.0708515,0.01,949,-0.483479078771779,-0.30522114,-0.48920223230222004,-0.89459735,-4.8276878055715216
-0.00010294598060912095,1198734,1200,0.0008334913737508888,0.14999999,-0.43687227,100,12,0.045323696,1.5,998.945,0.045346897,0.01,949,-0.49231473575473667,-1.6175122,-0.4894616075899298,-0.89400154,-4.9204018726771475
-0.00010294598060912095,1298634,1300,0.0007399087363648013,0.14999999,-0.43641904,100,13,0.055000883,1.5,998.9492307692308,0.061704814,0.01,949,-0.43167820308899635,-2.286087,-0.48501673032062714,-0.89398706,-4.311461671824417
-0.00010294598060912095,1398534,1400,0.0007322874914829241,0.14999999,-0.43613932,100,14,0.15227179,1.5,998.9528571428572,0.1597596,0.01,949,-0.5147161585845041,-2.144599,-0.48713811805376117,-0.893437,-5.143799715953062
-0.00010294598060912095,1498434,1500,0.0006785592127155805,0.14999999,-0.43565595,100,15,0.15443406,1.5,998.956,0.1570391,0.01,949,-0.4418660235322035,-2.3068147,-0.48411997841899074,-0.89495975,-4.41142198313801
-0.00010294598060912095,1598334,1600,0.0006234684455834568,0.14999999,-0.4353711,100,16,0.040742062,1.5,998.95875,0.056402028,0.01,949,-0.5019120545357816,-1.5384634,-0.4852319831762902,-0.8934154,-5.0194913984197616
