Iteration,ActionIn1,TimestepsSoFar,NatGrad2Norm,MountainCar_std0_higher,MountainCar_std1_higher,StepSize,NumTrajectories,ReturnMean,VarJ,MountainCar_mu0_higher,ReturnMax,AvgEpLen,MountainCar_mu1_higher,AvgRet,J,NatGradInftyNorm,MinEpLen,BatchSize
1,0.8603903,99900,0.08537567,0.14999999,1.5,0.01,100,-0.6828887434751951,0.0028128427766349385,0.40025148,-0.05460916047047352,999.0,0.9164054,-7.277001327402595,-0.6828887434751951,0.0850155,999,100
2,4.850387,199800,0.2595301,0.14999999,1.5,0.01,200,-0.6495042420039243,0.002865033286675209,0.39940134,-7.47151437307256e-06,999.0,0.91632706,-6.767041934892765,-0.6161197405326536,0.25052974,999,100
3,-3.470065,299700,0.18883812,0.14999999,1.5,0.01,300,-0.6800574002539389,0.003982536544197352,0.39872378,-7.47151437307256e-06,999.0,0.91382176,-8.02048347617582,-0.7411637167539685,0.15152878,999,100
4,2.8286722,399600,0.11554975,0.14999999,1.5,0.01,400,-0.6644864733423361,0.0027597147632657084,0.3975969,-7.47151437307256e-06,999.0,0.9123065,-6.575491373208342,-0.6177736926075275,0.092875086,999,100
5,0.92104244,499500,0.07057483,0.14999999,1.5,0.01,500,-0.6572921581510368,0.002540146709309693,0.39690945,-7.47151437307256e-06,999.0,0.91323525,-6.740272187248832,-0.6285148973858399,0.070499025,999,100
6,0.4523457,599400,0.102403514,0.14999999,1.5,0.01,600,-0.654139867949163,0.0029844350716801502,0.39620444,-7.47151437307256e-06,999.0,0.9132025,-6.678760734461247,-0.6383784169397939,0.08033752,999,100
7,2.5331516,699300,0.06961657,0.14999999,1.5,0.01,700,-0.6545743918596526,0.0019285550560562631,0.39540106,-7.47151437307256e-06,999.0,0.91383755,-6.925126208043968,-0.6571815353225905,0.0673337,999,100
8,1.8231368,799200,0.21689488,0.14999999,1.5,0.01,800,-0.6443819044184476,0.001957203575800856,0.39472774,-7.47151437307256e-06,999.0,0.91366076,-6.2353259064004805,-0.5730344923300114,0.2115089,999,100
9,-0.10410032,899100,0.084962316,0.14999999,1.5,0.01,900,-0.6368696744188564,0.0017566673166242589,0.39424738,-7.47151437307256e-06,999.0,0.9115457,-6.150394865788972,-0.5767718344221286,0.06875077,999,100
10,0.6791402,999000,0.07720906,0.14999999,1.5,0.01,1000,-0.6343843774731699,0.0021253466169298026,0.3937482,-7.47151437307256e-06,999.0,0.9122332,-6.501136564785314,-0.6120167049619902,0.0607967,999,100
11,-0.11771229,1098900,0.15915127,0.14999999,1.5,0.01,1100,-0.6358818353267345,0.002340824699607468,0.39314023,-7.47151437307256e-06,999.0,0.9127091,-6.9697918952755264,-0.6508564138623797,0.14116794,999,100
