NatGrad2Norm,TimestepsSoFar,MountainCar_mu0_higher,AvgEpLen,Iteration,MountainCar_std1_higher,NatGradInftyNorm,ReturnMean,BatchSize,MinEpLen,MountainCar_std0_higher,ReturnMax,ActionIn1,AvgRet,J,StepSize,NumTrajectories,MountainCar_mu1_higher,VarJ
0.09162099,99597,-0.79315424,995.97,1,1.5,0.091190845,-1.3810896576193576,100,803,0.14999999,-0.6130144525885233,-1.5687647,-11.012050541595217,-1.3810896576193576,0.001,100,0.60902077,0.001792268049773481
0.29887953,198995,-0.79306304,994.975,2,1.5,0.28881824,-1.3720882725451273,100,702,0.14999999,-0.6031506866571856,-1.1026572,-9.872316983499452,-1.3630868874708968,0.001,200,0.60902965,0.0016645282389238054
0.12838379,297885,-0.79298615,992.95,3,1.5,0.116304286,-1.3516323710446863,100,550,0.14999999,-0.45088483455807593,-0.19496086,-8.134024925364333,-1.3107205680438043,0.001,300,0.6087408,0.0016495582868239402
0.07953759,397073,-0.7929318,992.6825,4,1.5,0.07043977,-1.352539484068119,100,550,0.14999999,-0.45088483455807593,1.4643645,-9.723301622535029,-1.3552608231384162,0.001,400,0.6088571,0.0016430365882510404
0.360905,496019,-0.79286134,992.038,5,1.5,0.35221633,-1.3541621369868302,100,550,0.14999999,-0.45088483455807593,-2.3053713,-9.69624018647068,-1.3606527486616746,0.001,500,0.60882014,0.0018181866740525367
0.37229672,593888,-0.7927826,989.8133333333334,6,1.5,0.367203,-1.3456514390056142,100,550,0.14999999,-0.45088483455807593,1.3407669,-4.25877515816729,-1.303097949099534,0.001,600,0.60917234,0.0021640097931247353
0.05901201,692634,-0.7927212,989.4771428571429,7,1.5,0.05729468,-1.3395458203748347,100,547,0.14999999,-0.2794188661394267,2.0940788,-8.080494135664498,-1.3029121085901598,0.001,700,0.6088051,0.0019468190507975504
0.08518255,791851,-0.79266393,989.81375,8,1.5,0.077247135,-1.3417323159472054,100,547,0.14999999,-0.2794188661394267,-0.25082725,-9.7108281517488,-1.3570377849537973,0.001,800,0.60881925,0.001742637454662457
0.059188396,890973,-0.7925867,989.97,9,1.5,0.05602787,-1.3315109905640117,100,547,0.14999999,-0.2794188661394267,0.59593785,-7.620506903726027,-1.249740387498463,0.001,900,0.6088551,0.0014500243535226268
0.1065468,990120,-0.7925676,990.12,10,1.5,0.09274205,-1.337212281966908,100,547,0.14999999,-0.2794188661394267,-0.42690682,-11.009228601172628,-1.3885239045929756,0.001,1000,0.6087991,0.0017388405493216374
0.18106373,1089751,-0.79247487,990.6827272727272,11,1.5,0.16943674,-1.3341783026288514,100,547,0.14999999,-0.2794188661394267,-2.0862236,-11.20904011671462,-1.3038385092482832,0.001,1100,0.60874665,0.0021739179463349948
0.2041048,1188570,-0.792411,990.475,12,1.5,0.16060437,-1.3414114688229837,100,547,0.14999999,-0.2794188661394267,-0.8788769,-9.27092335541459,-1.4209762969584399,0.001,1200,0.6089161,0.002441931250253522
0.061949182,1287409,-0.7922851,990.3146153846154,13,1.5,0.06186306,-1.3374313059926097,100,409,0.14999999,0.1551717511816042,-1.4886416,-9.130739015505531,-1.2896693520281217,0.001,1300,0.6087555,0.0022917454038387207
0.16010107,1386560,-0.7922232,990.4,14,1.5,0.14866525,-1.3369577421909165,100,409,0.14999999,0.1551717511816042,-1.398555,-10.47802186714315,-1.3308014127689072,0.001,1400,0.6087588,0.0014710294086334164
0.2907428,1485619,-0.7921638,990.4126666666667,15,1.5,0.27648488,-1.3390186255508856,100,409,0.14999999,0.1551717511816042,-1.214195,-9.795973195612254,-1.3678709925904535,0.001,1500,0.60861015,0.002059318578296294
