MountainCar_std0_higher,NatGradInftyNorm,MountainCar_mu1_higher,TimestepsSoFar,J,VarJ,Iteration,ActionIn1,NumTrajectories,StepSize,BatchSize,MountainCar_std1_higher,AvgRet,ReturnMax,NatGrad2Norm,AvgEpLen,MountainCar_mu0_higher,MinEpLen,ReturnMean
0.14999999,0.012692106,-0.99866194,99900,-0.06351052579224079,9.044112149623775e-05,1,-0.32980525,100,0.0001,100,1.5,-0.6417014323948209,-6.94081277032086e-06,0.013257336,999.0,0.05171383,999,-0.06351052579224079
0.14999999,0.027943686,-0.9986607,199800,-0.10012763110122831,0.000252931323619603,2,-3.9230382,200,0.0001,100,1.5,-1.0171746332716685,-6.906000878172034e-06,0.034055308,999.0,0.051713448,999,-0.08181907844673454
0.14999999,0.0027048574,-0.9986635,299700,-0.05873876767761549,5.763861672832716e-05,3,-0.24901032,300,0.0001,100,1.5,-0.5918898121815983,-6.906000878172034e-06,0.0027127627,999.0,0.0517115,999,-0.07412564152369486
0.14999999,0.015734704,-0.9986635,399600,-0.0912509046594009,0.00017060592631617,4,-0.39575875,400,0.0001,100,1.5,-0.9204804878276398,-3.159537341090619e-06,0.019607533,999.0,0.051711228,999,-0.07840695730762137
0.14999999,0.011238476,-0.99866194,499500,-0.07596606070578678,0.00011873489820860865,5,-2.4608083,500,0.0001,100,1.5,-0.7637245874590497,-3.159537341090619e-06,0.012448526,999.0,0.051710058,999,-0.07791877798725445
0.14999999,0.008283107,-0.9986625,599400,-0.08775528142225687,0.00011207594798416048,6,0.68044597,600,0.0001,100,1.5,-0.888769829983492,-3.159537341090619e-06,0.008322117,999.0,0.051708933,999,-0.07955819522642152
0.14999999,0.012352356,-0.99866253,699300,-0.0829463513958838,0.00010251422578692373,7,-0.2542364,700,0.0001,100,1.5,-0.8320001738069399,-3.159537341090619e-06,0.014782748,999.0,0.051708106,999,-0.0800422175363447
0.14999999,0.043629907,-0.9986613,799200,-0.06978818872634841,0.00011484330679507495,8,-2.473021,800,0.0001,100,1.5,-0.7037441018036229,-3.159537341090619e-06,0.044359896,999.0,0.051707294,999,-0.07876046393509517
0.14999999,0.0028015256,-0.99866563,899100,-0.052335200499767975,4.4218885482536066e-05,9,-0.6967664,900,0.0001,100,1.5,-0.5206461585470596,-3.159537341090619e-06,0.003428292,999.0,0.051706493,999,-0.07582432355339215
0.14999999,0.011672012,-0.99866533,999000,-0.09130191824096713,0.00017016791218610848,10,-2.3242078,1000,0.0001,100,1.5,-0.9239460402055444,-3.159537341090619e-06,0.013886128,999.0,0.051706295,999,-0.07737208302214964
0.14999999,0.014412196,-0.9986661,1098900,-0.08379348095751979,0.00012925588007094062,11,-0.121372044,1100,0.0001,100,1.5,-0.845807651261481,-3.159537341090619e-06,0.019457616,999.0,0.05170513,999,-0.07795584647081966
0.14999999,0.006080015,-0.9986674,1198800,-0.06764881301395798,0.0001224018183853321,12,-1.0839856,1200,0.0001,100,1.5,-0.6773120578390683,-3.159537341090619e-06,0.0063635535,999.0,0.051703688,999,-0.07709692701608119
0.14999999,0.039707232,-0.9986676,1298700,-0.08122422337047645,0.00012627767571215723,13,-2.5344903,1300,0.0001,100,1.5,-0.8193115369678011,-3.159537341090619e-06,0.041859332,999.0,0.05170308,999,-0.07741441135103466
0.14999999,0.018038563,-0.9986716,1398488,-0.0712884888601306,8.70584566875989e-05,14,-2.868088,1400,0.0001,100,1.5,0.2743819444524733,-3.159537341090619e-06,0.018884992,998.92,0.051701754,887,-0.07697684545882723
0.14999999,0.017543187,-0.9986734,1498388,-0.0912028704624398,0.00018908097377537438,15,-5.1235914,1500,0.0001,100,1.5,-0.9186402156299514,-3.159537341090619e-06,0.01865355,998.9253333333334,0.051701196,887,-0.07792524712573473
0.14999999,0.028739864,-0.9986727,1598288,-0.06298945990868433,6.459226313456503e-05,16,-1.3219756,1600,0.0001,100,1.5,-0.6361950697588796,-3.159537341090619e-06,0.029426252,998.93,0.05169944,887,-0.07699176042466908
0.14999999,0.014123702,-0.9986756,1698188,-0.08919573691947309,0.00015211213141299982,17,0.705501,1700,0.0001,100,1.5,-0.9037488913693335,-3.159537341090619e-06,0.016483761,998.9341176470588,0.051698808,887,-0.07770964139495166
0.14999999,0.013084997,-0.99867475,1797883,-0.0731990788714742,9.883141321007887e-05,18,-1.0331568,1800,0.0001,100,1.5,0.25791778899768064,0.00993246492890502,0.013861802,998.8238888888889,0.051697396,794,-0.07745905458809182
0.14999999,0.028296536,-0.99867606,1897783,-0.08106688826631134,0.00017313899493525447,19,-0.44595632,1900,0.0001,100,1.5,-0.8133096640628901,0.00993246492890502,0.03120532,998.8331578947368,0.051696938,794,-0.077648940571156
0.14999999,0.016825652,-0.99867886,1997683,-0.0629519563573888,6.780893604588006e-05,20,1.8786265,2000,0.0001,100,1.5,-0.6309537635537491,0.00993246492890502,0.017872892,998.8415,0.051695623,794,-0.07691409136046763
0.14999999,0.006887403,-0.9986772,2097583,-0.06942049351948704,8.666816239795346e-05,21,-3.9763498,2100,0.0001,100,1.5,-0.7000965884547496,0.00993246492890502,0.00696242,998.8490476190476,0.05169502,794,-0.07655725336803999
0.14999999,0.0066600037,-0.9986779,2197483,-0.07006013599458123,0.00011119077788459055,22,0.00547342,2200,0.0001,100,1.5,-0.7036667262787651,0.00993246492890502,0.0088569205,998.8559090909091,0.05169492,794,-0.07626192985106459
0.14999999,0.010029994,-0.9986773,2297383,-0.07657977771451238,9.070513391475107e-05,23,1.8904587,2300,0.0001,100,1.5,-0.7674001553115635,0.00993246492890502,0.011701826,998.8621739130435,0.05169425,794,-0.0762757493233884
0.14999999,0.027880464,-0.9986783,2397283,-0.069994532351591,0.00013960299083823655,24,0.19886929,2400,0.0001,100,1.5,-0.7026851035693733,0.00993246492890502,0.028927853,998.8679166666667,0.051693648,794,-0.07601403194956352
