ReturnMean,ReturnMax,NatGrad2Norm,Iteration,MinEpLen,MountainCar_std0_higher,AvgRet,VarJ,TimestepsSoFar,NatGradInftyNorm,J,NumTrajectories,AvgEpLen,BatchSize,MountainCar_std1_higher,MountainCar_mu0_higher,MountainCar_mu1_higher,ActionIn1,StepSize
-0.6828887434751951,-0.05460916047047352,0.08537567,1,999,0.14999999,-7.277001327402595,0.0028128427766349385,99900,0.0850155,-0.6828887434751951,100,999.0,100,1.5,0.40025148,0.9164054,0.8603903,0.001
-0.6506483707468758,-1.599959991221562e-05,0.26038155,2,999,0.14999999,-6.792801732957696,0.002877744219918216,199800,0.25136942,-0.6184079980185563,200,999.0,100,1.5,0.40016645,0.9163976,4.851223,0.001
-0.682377391784195,-1.599959991221562e-05,0.18969159,3,999,0.14999999,-8.073059065613947,0.0040129787153406205,299700,0.15222009,-0.7458354338588334,300,999.0,100,1.5,0.40009853,0.9161462,-3.4663658,0.001
-0.668040579593753,-1.599959991221562e-05,0.11646835,4,999,0.14999999,-6.653733637555348,0.0027984418332030266,399600,0.093651526,-0.625030143022427,400,999.0,100,1.5,0.39998534,0.915994,2.8347483,0.001
-0.6619751176514158,-1.599959991221562e-05,0.071274824,5,999,0.14999999,-6.84102652665712,0.0025877854710295665,499500,0.07116828,-0.6377132698820669,500,999.0,100,1.5,0.3999161,0.9160876,0.9269014,0.001
-0.6599005723250367,-1.599959991221562e-05,0.10344342,6,999,0.14999999,-6.796137907929612,0.0030471042981122633,599400,0.081229545,-0.6495278456931425,600,999.0,100,1.5,0.39984494,0.91608375,0.45886743,0.001
-0.6615004944066891,-1.599959991221562e-05,0.07057334,7,999,0.14999999,-7.075996508233804,0.001980656717655654,699300,0.068357244,-0.6711000268966029,700,999.0,100,1.5,0.3997637,0.9161478,2.5398245,0.001
-0.6522653793302406,-1.599959991221562e-05,0.22142388,8,999,0.14999999,-6.394766761217171,0.0020167910436413574,799200,0.2159933,-0.5876195737951008,800,999.0,100,1.5,0.39969534,0.9161303,1.8305739,0.001
-0.6456327468218563,-1.599959991221562e-05,0.0865816,9,999,0.14999999,-6.324264236782709,0.0018172181486358718,899100,0.070149414,-0.5925716867547814,900,999.0,100,1.5,0.3996466,0.9159143,-0.09433249,0.001
-0.6440567234155538,-1.599959991221562e-05,0.07896297,10,999,0.14999999,-6.696231308535763,0.0022023987876678176,999000,0.0619402,-0.6298725127588307,1000,999.0,100,1.5,0.39959586,0.91598445,0.6887391,0.001
-0.6465118130011243,-1.599959991221562e-05,0.16373634,11,999,0.14999999,-7.1923089871342,0.002433470770407842,1098900,0.14550835,-0.6710627088568303,1100,999.0,100,1.5,0.39953393,0.91603345,-0.10799426,0.001
-0.6485687189049127,-1.599959991221562e-05,0.366669,12,999,0.14999999,-7.2417943115207155,0.0035578682325144335,1198800,0.35520753,-0.6711946838465872,1200,999.0,100,1.5,0.39945886,0.91588795,0.92343056,0.001
-0.644391246677776,-1.599959991221562e-05,0.13381597,13,999,0.14999999,-6.298696815764699,0.0023790262809392335,1298700,0.11886869,-0.5942615799521337,1300,999.0,100,1.5,0.3993679,0.91553277,3.3079915,0.001
-0.6463827140420149,-1.599959991221562e-05,0.1444736,14,999,0.14999999,-7.3598114178206275,0.004006725090293016,1398600,0.10630268,-0.6722717897771193,1400,999.0,100,1.5,0.39930645,0.9154139,1.778791,0.001
