AvgRet,MinEpLen,MountainCar_mu0_higher,ActionIn1,TimestepsSoFar,MountainCar_std0_higher,VarJ,ReturnMax,NumTrajectories,NatGrad2Norm,ReturnMean,MountainCar_mu1_higher,J,MountainCar_std1_higher,NatGradInftyNorm,StepSize,AvgEpLen,Iteration,BatchSize
-11.012050541595217,803,-0.79315424,-1.5687647,99597,0.14999999,0.001792268049773481,-0.6130144525885233,100,0.09162099,-1.3810896576193576,0.60902077,-1.3810896576193576,1.5,0.091190845,0.0001,995.97,1,100
-9.87470434346675,702,-0.7931451,-1.1027472,198995,0.14999999,0.0016647285834689705,-0.6033226782587354,200,0.298926,-1.3722055744323893,0.60902166,-1.3633214912454212,1.5,0.28886452,0.0001,994.975,2,100
-8.138445041611268,550,-0.79313743,-0.19486019,297885,0.14999999,0.001649951016650492,-0.4511685170244732,300,0.12841195,-1.3518530414978265,0.60899276,-1.3111479756287,1.5,0.1163325,0.0001,992.95,3,100
-9.729238352664355,550,-0.793132,1.4643116,397073,0.14999999,0.0016435057028249672,-0.4511685170244732,400,0.07954914,-1.3528486676939915,0.6090044,-1.3558355462824878,1.5,0.070453964,0.0001,992.6825,4,100
-9.703949087356483,550,-0.793125,-2.3054545,496019,0.14999999,0.001818908202014529,-0.4511685170244732,500,0.3610602,-1.3545607829196205,0.6090007,-1.3614092438221355,1.5,0.3523705,0.0001,992.038,5,100
-4.2684603948240545,550,-0.7931171,1.3402958,593888,0.14999999,0.002165156949978002,-0.4511685170244732,600,0.372528,-1.3461405960791804,0.6090359,-1.3040396618769796,1.5,0.36743554,0.0001,989.8133333333334,6,100
-8.09157956282585,547,-0.79311097,2.093883,692635,0.14999999,0.0019480164497849613,-0.28001841932009236,700,0.059009556,-1.3401223578933419,0.6089992,-1.304012928778311,1.5,0.05730711,0.0001,989.4785714285714,7,100
-9.723699034114077,547,-0.79310524,-0.2510872,791852,0.14999999,0.0017437505136847333,-0.28001841932009236,800,0.08522028,-1.3423941236986587,0.6090006,-1.3582964843358767,1.5,0.07728267,0.0001,989.815,8,100
-7.634940978403501,547,-0.7930975,0.59557605,890974,0.14999999,0.0014512774247316309,-0.28001841932009236,900,0.05923003,-1.33225716817439,0.6090042,-1.2511615239802403,1.5,0.05607689,0.0001,989.9711111111111,9,100
-11.024782471837437,547,-0.7930956,-0.4272353,990121,0.14999999,0.0017403089851293274,-0.28001841932009236,1000,0.10661247,-1.3380358117570699,0.6089986,-1.3900436040011888,1.5,0.09280274,0.0001,990.121,10,100
-11.226748819006307,547,-0.7930863,-2.0865884,1089752,0.14999999,0.0021760612425476985,-0.28001841932009236,1100,0.18127418,-1.3350825404340274,0.60899335,-1.3055498272036028,1.5,0.16965337,0.0001,990.6836363636363,11,100
-9.290924227893305,547,-0.7930799,-0.8794516,1188572,0.14999999,0.0024444734733930144,-0.28001841932009236,1200,0.20433745,-1.3424018947048924,0.60901034,-1.422914791684405,1.5,0.16081811,0.0001,990.4766666666667,12,100
-9.153002687455173,409,-0.79306734,-1.4891851,1287411,0.14999999,0.0022941461343033366,0.1525817653631829,1300,0.061973646,-1.3385144661406918,0.60899425,-1.2918653233702855,1.5,0.061889887,0.0001,990.3161538461538,13,100
-10.502142210338286,409,-0.79306114,-1.3991573,1386562,0.14999999,0.0014728991734691982,0.1525817653631829,1400,0.16045226,-1.3381334046402922,0.60899454,-1.3331796051351,1.5,0.14902443,0.0001,990.4014285714286,14,100
-9.822268708744955,409,-0.7930552,-1.2147169,1485621,0.14999999,0.0020621598647755273,0.1525817653631829,1500,0.29141903,-1.340285901756647,0.60897964,-1.3704208613856128,1.5,0.27716777,0.0001,990.414,15,100
-6.769058360402264,409,-0.7930462,-2.1608067,1583734,0.14999999,0.0020696130779780855,0.1525817653631829,1600,0.16410781,-1.3420707735976236,0.60900736,-1.3688438512122694,1.5,0.13461538,0.0001,989.83375,16,100
-6.883346625840085,409,-0.7930368,-2.315361,1682421,0.14999999,0.0019473980299180614,0.1525817653631829,1700,0.046963833,-1.3380560227057536,0.6089939,-1.2738200084358366,1.5,0.043253627,0.0001,989.6594117647059,17,100
-6.478691403935289,409,-0.79303247,-1.4723144,1780744,0.14999999,0.0014252513802620853,0.1525817653631829,1800,0.07338711,-1.3379584694257358,0.60899574,-1.3363000636654363,1.5,0.056785338,0.0001,989.3022222222222,18,100
-5.27183315173513,409,-0.7930268,1.1757135,1878829,0.14999999,0.0016651714838262235,0.1525817653631829,1900,0.25290993,-1.3369389415385868,0.6089911,-1.318587439569905,1.5,0.24643552,0.0001,988.8573684210527,19,100
-5.98386505487849,409,-0.79302114,-0.68158627,1977451,0.14999999,0.001971142653841313,0.1525817653631829,2000,0.09126054,-1.3389692670009286,0.60896647,-1.3775454507854195,1.5,0.09042186,0.0001,988.7255,20,100
-9.049146252413642,409,-0.7930121,0.4643436,2076574,0.14999999,0.0018156338438725847,0.1525817653631829,2100,0.0872629,-1.3366539876374173,0.6089677,-1.2903484003671974,1.5,0.07162324,0.0001,988.8447619047619,21,100
-13.476493618813446,409,-0.7930071,-0.36305383,2176474,0.14999999,0.002074090393950075,0.1525817653631829,2200,0.34550336,-1.3367771656969167,0.6089749,-1.3393639049463975,1.5,0.33642805,0.0001,989.3063636363636,22,100
-5.4121357165268975,409,-0.7929992,3.3354754,2274200,0.14999999,0.002169540687053916,0.1525817653631829,2300,0.15529525,-1.3360304789323734,0.6090085,-1.3196033701124166,1.5,0.1378381,0.0001,988.7826086956521,23,100
-7.118858675859233,409,-0.79299206,-0.35071537,2372574,0.14999999,0.001986798834246563,0.1525817653631829,2400,0.13577773,-1.3347955822315112,0.6089947,-1.3063929581116824,1.5,0.121863,0.0001,988.5725,24,100
-11.216803409073655,409,-0.7929861,1.3066694,2471878,0.14999999,0.0016191450047128514,0.1525817653631829,2500,0.3893666,-1.334271367827165,0.60898256,-1.3216902221228601,1.5,0.38509044,0.0001,988.7512,25,100
-7.572721375208083,409,-0.7929803,-1.7443025,2570601,0.14999999,0.00215080428448649,0.1525817653631829,2600,0.30442515,-1.3344353758715013,0.60902107,-1.3385355769799026,1.5,0.29416335,0.0001,988.6926923076923,26,100
-11.013607740427023,409,-0.7929725,-0.7812267,2669985,0.14999999,0.0019880261783646338,0.1525817653631829,2700,0.06998069,-1.332916813601403,0.6089916,-1.2934341945788483,1.5,0.054819617,0.0001,988.8833333333333,27,100
-10.417601644841165,409,-0.792967,-0.49394742,2769202,0.14999999,0.0021831410922281357,0.1525817653631829,2800,0.19724996,-1.332813389120019,0.608996,-1.3300209281226545,1.5,0.18107983,0.0001,989.0007142857143,28,100
-6.500861088435363,409,-0.7929592,-0.6198988,2867752,0.14999999,0.0018043034587218586,0.1525817653631829,2900,0.095686466,-1.3329993737984516,0.60897785,-1.3382069447945653,1.5,0.06822281,0.0001,988.88,29,100
-10.110938704535393,409,-0.7929525,-1.2304626,2967545,0.14999999,0.0018011483548668408,0.1525817653631829,3000,0.46334735,-1.3316721584448667,0.60897106,-1.2931829131909067,1.5,0.46094254,0.0001,989.1816666666666,30,100
-9.344184415699939,409,-0.79294777,0.7311629,3067059,0.14999999,0.0017200027831688544,0.1525817653631829,3100,0.058162626,-1.3312271982344714,0.60901713,-1.3178783919226087,1.5,0.058162257,0.0001,989.3738709677419,31,100
-8.26391080765584,409,-0.7929419,0.24110371,3166144,0.14999999,0.0018318729903544174,0.1525817653631829,3200,0.07914031,-1.3305304927584913,0.60901713,-1.3089326230031104,1.5,0.056739394,0.0001,989.42,32,100
-5.7357991150654115,409,-0.7929364,-0.58292496,3264302,0.14999999,0.0020915155283170333,0.1525817653631829,3300,0.45596418,-1.3282997166892705,0.6090115,-1.2569148824742031,1.5,0.45405275,0.0001,989.1824242424242,33,100
-9.099484162679792,409,-0.7929322,0.7195625,3363649,0.14999999,0.0016652732213228633,0.1525817653631829,3400,0.13718441,-1.3271483355797997,0.60896605,-1.2891527589672749,1.5,0.13065116,0.0001,989.3085294117647,34,100
-9.040205398469942,409,-0.79292804,-2.6747746,3462781,0.14999999,0.001719273907380787,0.1525817653631829,3500,0.14902088,-1.3260714760282766,0.608953,-1.289458251276485,1.5,0.14189862,0.0001,989.366,35,100
-8.567235336859136,409,-0.7929235,-0.18642163,3561639,0.14999999,0.001847097053993513,0.1525817653631829,3600,0.23138121,-1.3264775529917512,0.6089672,-1.3406902467133608,1.5,0.22057457,0.0001,989.3441666666666,36,100
-8.546704557016128,409,-0.79291654,-2.6371412,3660438,0.14999999,0.002590278512650445,0.1525817653631829,3700,0.15150307,-1.3268726855369894,0.60894513,-1.3410974571655638,1.5,0.11971526,0.0001,989.3075675675676,37,100
-8.826495959717542,409,-0.79290724,2.4845781,3759907,0.14999999,0.0019439528958315711,0.1525817653631829,3800,0.1540039,-1.3251878053237631,0.6089571,-1.2628472374343969,1.5,0.14892183,0.0001,989.4492105263158,38,100
-10.4497605138276,409,-0.7929033,0.5969109,3859308,0.14999999,0.0018349815173594065,0.1525817653631829,3900,0.066759944,-1.3228358304954617,0.608972,-1.2334607870200067,1.5,0.061772455,0.0001,989.5661538461538,39,100
-6.277340179669765,409,-0.7929008,0.4491943,3958161,0.14999999,0.001307406213043351,0.1525817653631829,4000,0.0035893566,-1.3200968612188562,0.6089782,-1.2132770594312412,1.5,0.003428437,0.0001,989.54025,40,100
