Iteration,J,TimestepsSoFar,AvgEpLen,BatchSize,ReturnMean,StepSize,NumTrajectories,MountainCar_std1_higher,NatGradInftyNorm,ActionIn1,MountainCar_std0_higher,ReturnMax,MountainCar_mu1_higher,NatGrad2Norm,VarJ,MinEpLen,AvgRet,MountainCar_mu0_higher
1,-1.3558000237078949,97860,978.6,100,-1.3558000237078949,1.0,100,1.5,0.12872155,-0.78957117,0.14999999,-0.23502592011730064,0.57150435,0.13711542,0.0019298220107818258,467,-6.579903367128953,-0.820599
2,-1.224269645968387,197331,986.655,100,-1.2900348348381407,1.0,200,1.5,0.13983719,-1.0584546,0.14999999,-0.23502592011730064,0.44278282,0.14449275,0.0015207512208918563,467,-8.404440712546023,-0.7733613
3,-1.1297530416056898,297231,990.77,100,-1.2366075704273238,1.0,300,1.5,0.102014944,0.28901953,0.14999999,-0.23502592011730064,0.3029456,0.105344966,0.0010964878711746688,467,-11.382221929036664,-0.7369785
4,-1.0577661620493672,396553,991.3825,100,-1.1918972183328347,1.0,400,1.5,0.040661942,1.0705192,0.14999999,-0.23502592011730064,0.20093067,0.044018168,0.0015040137921931845,467,-7.640383761315275,-0.71070087
5,-0.9744687701087394,496418,992.836,100,-1.1484115286880159,1.0,500,1.5,0.04975429,-0.48648643,0.14999999,-0.12994036165267717,0.18407227,0.06903759,0.0014667511665046255,467,-8.794820759743587,-0.67003894
6,-0.8916832468368645,596318,993.8633333333333,100,-1.1056234817128239,1.0,600,1.5,0.057550676,-1.2074243,0.14999999,-0.06377230501099167,0.2319335,0.057559963,0.0012141830533405299,467,-8.997280408389743,-0.6202847
7,-0.7583093788440727,695696,993.8514285714285,100,-1.0560071813030023,1.0,700,1.5,0.20767741,-1.5416412,0.14999999,-0.06377230501099167,0.23089959,0.21551777,0.0012158197694412732,467,-2.7590577939895384,-0.562734
8,-0.633433692191224,795508,994.385,100,-1.00318549516403,1.0,800,1.5,0.1362589,-1.3176214,0.14999999,-0.010643000333885374,0.023222178,0.14807971,0.001154241944323192,467,-5.428388225343723,-0.5051319
9,-0.5094588163621587,895256,994.7288888888888,100,-0.9483269752971555,1.0,900,1.5,0.05442557,-1.3780489,0.14999999,-0.003888883402652507,-0.11303672,0.06754301,0.0007353515814887226,467,-3.1482130190592477,-0.44715682
10,-0.388110827520096,995156,995.156,100,-0.8923053605194495,1.0,1000,1.5,0.19467713,1.2859641,0.14999999,-0.0032297180722087194,-0.05861115,0.19638138,0.0005962202168122389,467,-3.8854435022669116,-0.40715787
11,-0.41209455655192917,1094942,995.4018181818182,100,-0.8486498328860386,1.0,1100,1.5,0.18516077,-1.0607995,0.14999999,-0.0032297180722087194,0.13606597,0.18906008,0.0005243194557955647,467,-2.1553571259146933,-0.38134196
12,-0.34498057139109617,1194634,995.5283333333333,100,-0.8066773944281268,1.0,1200,1.5,0.11787626,-3.1484585,0.14999999,-0.0032297180722087194,0.32122675,0.12486484,0.000635516869636492,467,-2.4875159448502675,-0.34314245
13,-0.26509151422338934,1294516,995.7815384615385,100,-0.7650169421046854,1.0,1300,1.5,0.06204398,-0.9432211,0.14999999,-0.00014283968655880652,0.439103,0.06829357,0.00042388669190048753,467,-1.709607801502876,-0.3019549
14,-0.20785611952116162,1394103,995.7878571428571,100,-0.7252197404915766,1.0,1400,1.5,0.124890275,2.1385014,0.14999999,-0.00014283968655880652,0.37705904,0.12736428,0.0004103731079435884,467,-0.11780339279800078,-0.27341446
15,-0.18211037381315046,1494003,996.002,100,-0.6890124493796814,1.0,1500,1.5,0.07340675,0.0013240278,0.14999999,-4.962797505933786e-05,0.25216877,0.07778707,0.00038490333937495395,467,-1.834905472433002,-0.24843293
16,-0.161947258385201,1593725,996.078125,100,-0.6560708749425264,1.0,1600,1.5,0.016835831,-0.9018616,0.14999999,-3.469376370084831e-05,0.32557553,0.018980399,0.00022016550530275128,467,0.3412124532046878,-0.22269817
