StepSize,NatGrad2Norm,VarJ,J,NatGradInftyNorm,Iteration,AvgRet,TimestepsSoFar,MountainCar_mu1_higher,ReturnMean,NumTrajectories,MountainCar_std0_higher,ActionIn1,MinEpLen,AvgEpLen,BatchSize,MountainCar_mu0_higher,ReturnMax,MountainCar_std1_higher
0.1,0.09162099,0.001792268049773481,-1.3810896576193576,0.091190845,1,-11.012050541595217,99597,0.60902077,-1.3810896576193576,100,0.14999999,-1.5687647,803,995.97,100,-0.79315424,-0.6130144525885233,1.5
0.1,0.29379335,0.0016424866000607447,-1.3373753500814718,0.2837541,2,-9.611038639653858,198995,0.6099075,-1.3592325038504145,200,0.14999999,-1.0927515,702,994.975,100,-0.78403515,-0.5843668348411407,1.5
0.1,0.11804498,0.0016389123280587422,-1.2670983045867354,0.10482728,3,-7.734438516661887,298143,0.5815321,-1.3285211040958549,300,0.14999999,-0.20560399,640,993.81,100,-0.7764206,-0.42026922915356535,1.5
0.1,0.07833748,0.0015921340431621154,-1.292923338141562,0.06889161,4,-9.10661569055799,397415,0.59201485,-1.3196216626072816,400,0.14999999,1.469461,640,993.5375,100,-0.770993,-0.42026922915356535,1.5
0.1,0.34349588,0.0017411650419999756,-1.2793839416895185,0.33489904,5,-9.913948669129093,496523,0.5882856,-1.311574118423729,500,0.14999999,-2.2971482,638,993.046,100,-0.76410383,-0.42026922915356535,1.5
0.1,0.34722662,0.0020389899633682447,-1.2023333024685416,0.34199086,6,-3.224041398696108,594394,0.6217755,-1.2933673157645311,600,0.14999999,1.3896855,552,990.6566666666666,100,-0.75646704,-0.41575380134784196,1.5
0.1,0.058636945,0.001816617278990232,-1.1865727073577563,0.055855725,7,-7.96129228803755,693308,0.58757645,-1.278110943134992,700,0.14999999,2.1151114,545,990.44,100,-0.7504599,-0.21776863686777365,1.5
0.1,0.08097449,0.0016207216087938034,-1.2233799702314692,0.07336725,8,-8.365415654760746,792607,0.5893609,-1.2712695715220514,800,0.14999999,-0.22249603,545,990.75875,100,-0.74487436,-0.21776863686777365,1.5
0.1,0.054922096,0.0013118226888944823,-1.1003321135274524,0.05097216,9,-7.130484482343848,891889,0.59278744,-1.2522765206337625,900,0.14999999,0.63491917,545,990.9877777777778,100,-0.7375376,-0.21776863686777365,1.5
0.1,0.099248,0.001579299867368433,-1.2278413246322013,0.086173244,10,-9.366502258109676,991020,0.58769023,-1.2498330010336067,1000,0.14999999,-0.39094055,545,991.02,100,-0.73549247,-0.21776863686777365,1.5
0.1,0.15830542,0.00194496157491961,-1.1256502558355856,0.14594404,11,-10.411867392066299,1090788,0.5827665,-1.2385436605610591,1100,0.14999999,-2.046604,545,991.6254545454545,100,-0.7268751,-0.21776863686777365,1.5
0.1,0.18067151,0.002182667491497899,-1.2195481018893413,0.13934249,12,-7.240830373576611,1189678,0.59736085,-1.236960697338416,1200,0.14999999,-0.81876355,545,991.3983333333333,100,-0.72074246,-0.21776863686777365,1.5
0.1,0.05910447,0.0020284046005079213,-1.065021135142587,0.058697443,13,-6.890134022966469,1288685,0.5834266,-1.2237345771695063,1300,0.14999999,-1.4309275,410,991.2961538461539,100,-0.7092421,0.4066167414149733,1.5
0.1,0.13267475,0.0012391842048844243,-1.090236165681767,0.121274695,14,-9.073457957253273,1388086,0.584119,-1.2141989763489534,1400,0.14999999,-1.334344,410,991.49,100,-0.70337236,0.4066167414149733,1.5
0.1,0.22173236,0.0017662024580064647,-1.1092757400693989,0.2064714,15,-7.1683953953109665,1487208,0.57199156,-1.2072040939303164,1500,0.14999999,-1.1566415,410,991.472,100,-0.6979918,0.4066167414149733,1.5
0.1,0.14360964,0.0017295894756307673,-1.0867733581837618,0.117129795,16,-3.9779409298069264,1585537,0.59263873,-1.1996771729461568,1600,0.14999999,-2.074037,410,990.960625,100,-0.68990797,0.4066167414149733,1.5
0.1,0.04924309,0.0015805486710292126,-0.980125110899782,0.04222432,17,-5.92053860446749,1684495,0.58092576,-1.1867623457669583,1700,0.14999999,-2.2319913,410,990.8794117647059,100,-0.6815987,0.4066167414149733,1.5
0.1,0.06450991,0.001148944600638901,-1.0244229344084628,0.049842767,18,-3.3844999508693,1783320,0.5834595,-1.177743489580375,1800,0.14999999,-1.3821943,410,990.7333333333333,100,-0.6773763,0.4066167414149733,1.5
0.1,0.18849473,0.0013433304702455528,-0.9950721589143616,0.18138783,19,-3.0483941239083983,1881560,0.5793641,-1.168129209019006,1900,0.14999999,1.2667212,410,990.2947368421053,100,-0.672392,0.4066167414149733,1.5
