NumTrajectories,MinEpLen,ReturnMax,AvgEpLen,MountainCar_mu0_higher,MountainCar_std0_higher,StepSize,MountainCar_mu1_higher,AvgRet,NatGradInftyNorm,TimestepsSoFar,ReturnMean,ActionIn1,BatchSize,MountainCar_std1_higher,NatGrad2Norm,J,VarJ,Iteration
100,999,-0.05460916047047352,999.0,0.40025148,0.14999999,1.0,0.9164054,-7.277001327402595,0.0850155,99900,-0.6828887434751951,0.8603903,100,1.5,0.08537567,-0.6828887434751951,0.0028128427766349385,1
200,999,-0.0004579582041622251,999.0,0.31523597,0.14999999,1.0,0.9085715,-4.379526271646086,0.17074358,199800,-0.5403339148017203,4.758466,100,1.5,0.17832442,-0.3977790861282456,0.0017174960401242648,2
300,999,-0.0004579582041622251,999.0,0.2637945,0.14999999,1.0,0.7378279,-3.97867110467048,0.09482316,299700,-0.4845720880908207,-3.7809885,100,1.5,0.117827184,-0.37304843466902143,0.0017846746198011015,3
400,999,-0.0004579582041622251,999.0,0.19385299,0.14999999,1.0,0.6430047,-1.9688222525440948,0.036019113,399600,-0.4100834788383919,2.3556266,100,1.5,0.048353452,-0.1866176510811056,0.0006957428219265295,4
500,999,-3.688683458668819e-05,999.0,0.16159342,0.14999999,1.0,0.6790238,-1.7131765025255938,0.025723087,499500,-0.3596253334084458,0.4515149,100,1.5,0.026728604,-0.15779275168866164,0.00041785800146011595,5
600,999,-3.688683458668819e-05,999.0,0.13587034,0.14999999,1.0,0.6862861,-1.4788272933916498,0.029258732,599400,-0.3228367447697549,-0.034904838,100,1.5,0.03989233,-0.13889380157629982,0.0004760911949446251,6
700,999,-3.688683458668819e-05,999.0,0.108753465,0.14999999,1.0,0.7155448,-1.105737344715726,0.015872067,699300,-0.2919156266598593,2.0482113,100,1.5,0.02174602,-0.10638891800048597,0.00018766642632590778,7
800,999,-1.8239530419761142e-05,999.0,0.0928814,0.14999999,1.0,0.70067984,-0.809395531625694,0.03784601,799200,-0.26461566369532113,1.3083096,100,1.5,0.039732877,-0.0735159229435539,0.00017781334866780334,8
900,999,-4.845450513079504e-06,999.0,0.08078259,0.14999999,1.0,0.6628338,-0.7771015568847471,0.009269431,899100,-0.24334617245132278,-0.666277,100,1.5,0.0129427975,-0.07319024249933627,0.00010071841952560816,9
1000,999,-4.845450513079504e-06,999.0,0.07174967,0.14999999,1.0,0.6721032,-0.7969253585674332,0.011911543,999000,-0.22640450423006628,0.11701168,100,1.5,0.013777458,-0.07392949023875767,0.00014090743595619544,10
1100,999,-4.845450513079504e-06,999.0,0.05983813,0.14999999,1.0,0.6790266,-0.8637477405486235,0.011416942,1098900,-0.2131293258053455,-0.6846969,100,1.5,0.013342512,-0.08037754155813762,0.00014745017173283003,11
1200,999,-4.845450513079504e-06,999.0,0.04842119,0.14999999,1.0,0.6721218,0.018945298321946035,0.058640063,1198800,-0.20292040484301035,0.3286268,100,1.5,0.060242493,-0.09062227425732361,0.00029209562811337455,12
1300,999,-4.845450513079504e-06,999.0,0.034618974,0.14999999,1.0,0.61348176,-0.7909531196634613,0.0041402746,1298700,-0.19312953479844217,2.6411915,100,1.5,0.004361931,-0.07563909426362407,0.00010570300395019174,13
1400,876,-4.845450513079504e-06,998.9121428571428,0.03324618,0.14999999,1.0,0.617622,0.006986441838508733,0.022093657,1398477,-0.1859233465468848,1.1149389,100,1.5,0.025117295,-0.09224289927663885,0.00023890173807170726,14
1500,876,-4.845450513079504e-06,998.918,0.021298427,0.14999999,1.0,0.59552836,-0.7976590694516884,0.025119144,1498377,-0.17844785561360163,2.7134795,100,1.5,0.025233893,-0.07379098254763722,0.00011831626077291168,15
1600,876,-4.845450513079504e-06,998.898125,0.018894691,0.14999999,1.0,0.57040924,0.32232518324742143,0.00048790505,1598237,-0.17126361371844354,2.4387145,100,1.5,0.00049794355,-0.06349998529107233,6.125539332844677e-05,16
1700,694,0.021205965483379788,998.724705882353,0.018994171,0.14999999,1.0,0.5699213,0.29141546161090365,0.011339245,1697832,-0.16507671605877008,3.339104,100,1.5,0.011656836,-0.06608635350399489,8.424004393366598e-05,17
1800,694,0.021205965483379788,998.74,0.016291702,0.14999999,1.0,0.58126056,-0.666744670514745,0.0009963915,1797732,-0.1594356672441306,0.39643833,100,1.5,0.0012451756,-0.06353783739525971,5.616869080336968e-05,18
1900,694,0.021205965483379788,998.7536842105263,0.017288094,0.14999999,1.0,0.58200735,-0.7260594869807805,0.0067532137,1897632,-0.15460489391727994,0.87532616,100,1.5,0.006854567,-0.06765097403396797,9.883111847987259e-05,19
2000,694,0.021205965483379788,998.766,0.010534881,0.14999999,1.0,0.58318174,-0.7749239977166537,0.009894815,1997532,-0.15055064625948777,0.20684333,100,1.5,0.010583274,-0.07351994076143621,9.727604610551938e-05,20
2100,694,0.021205965483379788,998.7771428571428,0.006780106,0.14999999,1.0,0.57328695,-0.649280849717194,0.013449985,2097432,-0.14630747301284064,1.9372874,100,1.5,0.013632891,-0.061444008079898235,6.856121243273711e-05,21
2200,694,0.021205965483379788,998.7872727272727,0.009005782,0.14999999,1.0,0.5867369,-0.5884398703349213,0.010808713,2197332,-0.1420642075601779,-0.40083343,100,1.5,0.010977479,-0.052955633054259835,6.682970950106217e-05,22
2300,694,0.021205965483379788,998.7965217391304,0.0070882924,0.14999999,1.0,0.5759282,-0.7497373929783937,0.020276861,2297232,-0.13893198319578176,-0.19794303,100,1.5,0.02165188,-0.07002304717906697,0.00010803480414701669,23
2400,694,0.021205965483379788,998.7754166666666,-0.0005046539,0.14999999,1.0,0.59620506,0.3542566448667349,0.008092093,2397061,-0.1357066026690277,2.2279606,100,1.5,0.008361652,-0.06152285055368439,6.518262123083143e-05,24
2500,694,0.021205965483379788,998.7844,-0.0026106562,0.14999999,1.0,0.60429716,-0.48354828964247404,0.015485122,2496961,-0.1321089923992833,2.6563556,100,1.5,0.015536465,-0.04576634592541829,4.237827035368809e-05,25
2600,694,0.021205965483379788,998.7926923076923,-0.0013486221,0.14999999,1.0,0.61978227,-0.7712907320721097,0.01704356,2596861,-0.12978125920908418,0.82116336,100,1.5,0.017750813,-0.0715879294541053,0.00010921241671339763,26
2700,694,0.021205965483379788,998.8003703703704,-0.006309308,0.14999999,1.0,0.6368258,-0.6601541412693192,0.013017959,2696761,-0.1272859216250803,0.37789026,100,1.5,0.013083546,-0.06240714444097976,8.939920106118379e-05,27
2800,694,0.021205965483379788,998.7542857142857,-0.0076177167,0.14999999,1.0,0.64984375,0.33764454280291245,0.017187858,2796512,-0.12492583216325552,-0.427336,100,1.5,0.017234985,-0.06120341669398616,0.00013732455058741057,28
2900,694,0.021205965483379788,998.7627586206896,-0.008891383,0.14999999,1.0,0.6326559,-0.7589846961680169,0.0026896314,2896412,-0.12307271523334273,-0.17986202,100,1.5,0.0035078262,-0.07118544119578483,0.00012414221150993483,29
3000,694,0.021205965483379788,998.7706666666667,-0.011143211,0.14999999,1.0,0.62996626,-0.6222210576375401,0.011584967,2996312,-0.12093070411462706,1.7735531,100,1.5,0.011698128,-0.05881238167187225,3.73643967001066e-05,30
3100,694,0.021205965483379788,998.778064516129,-0.009520026,0.14999999,1.0,0.61838126,-0.6584590976618467,0.008234398,3096212,-0.11893038099511365,-2.310516,100,1.5,0.008488125,-0.058920687409711736,5.9437834101660496e-05,31
3200,694,0.03657126790589106,998.6921875,-0.011579869,0.14999999,1.0,0.6101469,0.21177477220544091,0.0072107683,3195815,-0.1175130703924057,-1.346485,100,1.5,0.008663258,-0.07357644170845927,0.00010778605292915055,32
