MinEpLen,VarJ,NatGradInftyNorm,MountainCar_mu0_higher,AvgRet,NumTrajectories,ReturnMax,ReturnMean,Iteration,AvgEpLen,StepSize,J,ActionIn1,MountainCar_std1_higher,MountainCar_mu1_higher,MountainCar_std0_higher,TimestepsSoFar,BatchSize,NatGrad2Norm
771,5.7840285824304487e-05,0.0008215098,-0.02600026,-0.522509503470958,3700,-3.1735030942961456e-07,-0.06304838455416531,37,998.8610810810811,1.0,-0.05212912192614689,-4.0079303,1.5,-1.2528784,0.14999999,3695786,100,0.0010606978
771,0.00019278349651651025,0.015363233,-0.02667123,-0.7406157505963702,3800,-3.1735030942961456e-07,-0.06333371347599152,38,998.8647368421052,1.0,-0.07389088358356127,-0.5531258,1.5,-1.2536999,0.14999999,3795686,100,0.015445282
771,8.428373413141436e-05,0.032806445,-0.028261136,-0.6496000362310953,3900,-3.1735030942961456e-07,-0.0633745022744632,39,998.8682051282051,1.0,-0.06492447661638749,-1.2433649,1.5,-1.2690631,0.14999999,3895586,100,0.032947883
771,9.80164532032938e-05,0.01819914,-0.02521151,-0.668456354604187,4000,-3.1735030942961456e-07,-0.06345098880572879,40,998.8715,1.0,-0.06643396352508626,1.1428734,1.5,-1.2362567,0.14999999,3995486,100,0.018810458
771,0.00012122578145750273,0.040840227,-0.029968048,-0.8466501352471887,4100,-3.1735030942961456e-07,-0.0639350450338028,41,998.8746341463415,1.0,-0.08329729415676358,-2.5533986,1.5,-1.2180576,0.14999999,4095386,100,0.04205544
771,8.419532671532369e-05,0.006855237,-0.040004775,-0.6334382846693573,4200,-3.1735030942961456e-07,-0.06391521870973614,42,998.8776190476191,1.0,-0.06310233942300278,-1.5655516,1.5,-1.2588979,0.14999999,4195286,100,0.007514578
771,7.24035698388943e-05,0.0010640362,-0.03692669,-0.6863972331670424,4300,-3.1735030942961456e-07,-0.06402468550342844,43,998.8804651162791,1.0,-0.0686222908385044,-3.5131924,1.5,-1.2657531,0.14999999,4295186,100,0.0010748256
771,7.165046009269958e-05,0.012521095,-0.037990727,-0.6823284882336449,4400,-3.1735030942961456e-07,-0.06411836271001771,44,998.8831818181818,1.0,-0.0681464825933568,1.1937965,1.5,-1.265905,0.14999999,4395086,100,0.012523904
771,5.4754127758710666e-05,0.018273797,-0.037725445,-0.4929700940089591,4500,-3.1735030942961456e-07,-0.06379551808224884,45,998.8857777777778,1.0,-0.0495903544604192,-2.229722,1.5,-1.2784262,0.14999999,4494986,100,0.018308805
771,0.00013620526192444898,0.035906475,-0.03659377,-0.7381139869132974,4600,-3.1735030942961456e-07,-0.06401472333081751,46,998.8882608695652,1.0,-0.07387895951640723,-1.3709238,1.5,-1.2601523,0.14999999,4594886,100,0.036948893
771,0.00011941451674518257,0.0052813604,-0.027879085,-0.8336398773751218,4700,-3.1735030942961456e-07,-0.06443084894465519,47,998.8906382978723,1.0,-0.08357262718118783,-0.26818937,1.5,-1.2960588,0.14999999,4694786,100,0.005350511
771,0.00011542831957776207,0.015091795,-0.027021646,0.2641800562117295,4800,-3.1735030942961456e-07,-0.06460434598938379,48,998.878125,1.0,-0.07275870709162945,-3.697948,1.5,-1.2907774,0.14999999,4794615,100,0.015097217
771,3.797341204785386e-05,0.024004357,-0.027426247,-0.5073431470117886,4900,-3.1735030942961456e-07,-0.06432247054837759,49,998.880612244898,1.0,-0.05079244938007845,0.6928023,1.5,-1.2756857,0.14999999,4894515,100,0.02400588
771,0.00014056355121872658,0.045029096,-0.027155736,-0.7406984652158356,5000,-3.1735030942961456e-07,-0.06451568844554617,50,998.883,1.0,-0.07398336540680797,-1.3227812,1.5,-1.29969,0.14999999,4994415,100,0.045672804
