NatGradInftyNorm,ActionIn1,BatchSize,TimestepsSoFar,NumTrajectories,MountainCar_mu1_higher,ReturnMean,MountainCar_mu0_higher,AvgRet,StepSize,MinEpLen,ReturnMax,NatGrad2Norm,J,AvgEpLen,MountainCar_std1_higher,VarJ,MountainCar_std0_higher,Iteration
0.02476654,3.768553,100,99884,100,-0.8971903,-0.4592097442001307,-0.4416444,-3.5970573518188496,1.0,983,-0.00010294598060912095,0.024786048,-0.4592097442001307,998.84,1.5,0.0005603398039534953,0.14999999,1
0.09981718,-1.0247207,100,199784,200,-0.8962071,-0.47074637725413754,-0.41687787,-4.836289901403839,1.0,983,-0.00010294598060912095,0.113294855,-0.48228301030814413,998.92,1.5,0.0008590827884794955,0.14999999,2
0.036351934,-1.3012743,100,299684,300,-0.79638994,-0.43901643100702215,-0.36328444,-3.7570199562457094,1.0,983,-0.00010294598060912095,0.036708254,-0.37555653851279147,998.9466666666667,1.5,0.0005131367966184447,0.14999999,3
0.042623412,1.8132197,100,399579,400,-0.80149215,-0.39511297639358534,-0.3269325,-1.6435480445771433,1.0,983,-0.00010294598060912095,0.04664575,-0.2634026125532747,998.9475,1.5,0.0003635170733960584,0.14999999,4
0.119803324,-3.5306242,100,499479,500,-0.84411556,-0.37629834380324473,-0.30798334,-3.0060284208098937,1.0,983,-0.00010294598060912095,0.12748002,-0.30103981344188235,998.958,1.5,0.0006524612397624313,0.14999999,5
0.023219854,-1.7183837,100,599379,600,-0.72431225,-0.34595555554088403,-0.26441363,-1.9477827932695635,1.0,983,-0.00010294598060912095,0.026074449,-0.1942416142290804,998.965,1.5,0.0003716878348239614,0.14999999,6
0.08741729,-1.2403141,100,699279,700,-0.7361746,-0.32632475959190055,-0.24119377,-2.0824293390150057,1.0,983,-0.00010294598060912095,0.09322977,-0.20853998389799996,998.97,1.5,0.00041909296982586554,0.14999999,7
0.061859675,0.013079435,100,799179,800,-0.6487573,-0.30717133675603475,-0.20878994,-1.7360782095392793,1.0,983,-0.00010294598060912095,0.068128765,-0.17309737690497426,998.97375,1.5,0.00035037804532222485,0.14999999,8
0.05126085,0.08529052,100,899079,900,-0.5868976,-0.28877081622623285,-0.18024333,-1.4264901615268852,1.0,983,-0.00010294598060912095,0.05569814,-0.14156665198781787,998.9766666666667,1.5,0.00022936410608477423,0.14999999,9
0.03574189,-1.4985089,100,998979,1000,-0.63815844,-0.27209796277545006,-0.15845783,-1.2243006110595613,1.0,983,-0.00010294598060912095,0.039941926,-0.12204228171840478,998.979,1.5,0.00017955285607153354,0.14999999,10
0.02491826,0.21210283,100,1098879,1100,-0.6739003,-0.25629838461372123,-0.1406288,-0.9809975232288578,1.0,983,-4.430313721322069e-05,0.029070206,-0.09830260299643236,998.9809090909091,1.5,0.0001441510845832984,0.14999999,11
0.015004975,-1.0612774,100,1198779,1200,-0.64898205,-0.24320837868707745,-0.12565692,-0.9926144602692959,1.0,983,-8.58841263912699e-06,0.015107082,-0.09921831349399626,998.9825,1.5,0.00015490496190737543,0.14999999,12
0.020663753,-1.7170683,100,1298679,1300,-0.6507355,-0.23044411377867163,-0.11065194,-0.771136114284743,1.0,983,-8.58841263912699e-06,0.021544736,-0.07727293487780179,998.9838461538461,1.5,9.994951703594802e-05,0.14999999,13
0.026381483,-1.5496485,100,1398579,1400,-0.63007176,-0.2209452118316666,-0.104554,-0.9748339723851107,1.0,983,-8.58841263912699e-06,0.02770004,-0.09745948652060134,998.985,1.5,0.00012859718435832655,0.14999999,14
0.025385872,-1.7287617,100,1498479,1500,-0.65645325,-0.21095546742810745,-0.096109495,-0.7108711745308384,1.0,983,-8.58841263912699e-06,0.025827311,-0.07109904577827927,998.986,1.5,7.278776112616082e-05,0.14999999,15
0.010193249,-0.932099,100,1598379,1600,-0.6310674,-0.2023012683615575,-0.091354765,-0.7256612108578634,1.0,983,-8.58841263912699e-06,0.010641352,-0.0724882823633084,998.986875,1.5,7.655707119061724e-05,0.14999999,16
0.018148495,-1.6020172,100,1698279,1700,-0.6280119,-0.19615385176639186,-0.081161514,-0.9781035468041318,1.0,983,-8.58841263912699e-06,0.019829161,-0.09779518624374144,998.9876470588235,1.5,0.00018689851621912795,0.14999999,17
0.007308516,-0.7331538,100,1798179,1800,-0.6360011,-0.18941822456782467,-0.06301302,-0.7531180859831831,1.0,983,-5.850227676355844e-06,0.007466474,-0.07491256219218217,998.9883333333333,1.5,6.847985044777537e-05,0.14999999,18
0.0071541155,-0.55402064,100,1898079,1900,-0.6375288,-0.18330498617243346,-0.0557045,-0.7429052980385523,1.0,983,-2.655682191500303e-06,0.0072637857,-0.0732666950553914,998.988947368421,1.5,0.00011371218531819613,0.14999999,19
0.003239135,-1.2166965,100,1997979,2000,-0.63878626,-0.17682376236461309,-0.048550386,-0.5357573797845658,1.0,983,-2.655682191500303e-06,0.0035313244,-0.053680510016026625,998.9895,1.5,3.889632065905757e-05,0.14999999,20
0.0029458723,-0.7494239,100,2097879,2100,-0.64019275,-0.1725199546609461,-0.04531125,-0.8761688065330011,1.0,983,-2.655682191500303e-06,0.002982878,-0.08644380058760602,998.99,1.5,0.00019409605489361246,0.14999999,21
