Iteration,ActionIn1,ReturnMean,MountainCar_std0_higher,StepSize,J,NatGrad2Norm,MinEpLen,NumTrajectories,NatGradInftyNorm,AvgRet,MountainCar_mu1_higher,ReturnMax,AvgEpLen,MountainCar_mu0_higher,BatchSize,TimestepsSoFar,MountainCar_std1_higher,VarJ
20,-0.50229686,-1.2509852552878407,0.14999999,0.1,-1.0739144467066553,0.21688981,467,2000,0.2124291,-8.830655094229861,0.5613554,-0.21637398538841932,992.6015,-0.70949847,100,1985203,1.5,0.0013771155227945916
21,-1.235528,-1.2422150213932217,0.14999999,0.1,-1.0668103435008423,0.06570998,467,2100,0.05724158,-7.886045730452165,0.5825983,-0.20587559766646077,992.7061904761905,-0.7051223,100,2084683,1.5,0.001819321779826562
22,-1.7021332,-1.2333415475833849,0.14999999,0.1,-1.0469985975768121,0.2082926,467,2200,0.20267662,-7.619484768501435,0.5793716,-0.20587559766646077,992.8759090909091,-0.69939816,100,2184327,1.5,0.0015102213725119787
23,-0.7838262,-1.2270791593427068,0.14999999,0.1,-1.0893066180477953,0.14706962,467,2300,0.11898108,-5.98129709123506,0.59963924,-0.14623509096039974,992.6730434782609,-0.694594,100,2283148,1.5,0.002059022906907293
24,1.4325166,-1.217109666541437,0.14999999,0.1,-0.9878113321122295,0.042011514,467,2400,0.03275333,-5.024116303574124,0.58774114,-0.14623509096039974,992.535,-0.6859494,100,2382084,1.5,0.0012812482349105353
25,-0.39527723,-1.2094152227200499,0.14999999,0.1,-1.0247485710067559,0.0794431,467,2500,0.06158551,-3.322036235080938,0.5903721,-0.14623509096039974,992.1928,-0.68267405,100,2480482,1.5,0.0012917726709197525
26,-2.1397674,-1.2023760130400993,0.14999999,0.1,-1.026395771041339,0.18419151,467,2600,0.17475803,-0.40085013849961043,0.5965306,-0.14623509096039974,991.7911538461539,-0.67765564,100,2578657,1.5,0.0014042709623902682
27,1.7979853,-1.1972140929216106,0.14999999,0.1,-1.0630041698409034,0.13411766,467,2700,0.103122436,-8.762674849295665,0.57905483,-0.14623509096039974,991.8955555555556,-0.67183656,100,2678118,1.5,0.0016090100117849512
28,-2.1684866,-1.1869640741883443,0.14999999,0.1,-0.9102135683901555,0.05040102,467,2800,0.044409733,-6.192121930051361,0.5687426,-0.14623509096039974,991.8325,-0.6632614,100,2777131,1.5,0.0011532983937149232
29,0.21957153,-1.1802975807214293,0.14999999,0.1,-0.9936357636478081,0.12038294,467,2900,0.10596452,-8.029324897744834,0.5643016,-0.14623509096039974,991.9572413793103,-0.66087806,100,2876676,1.5,0.001245078917322838
30,1.6906744,-1.1724234072296695,0.14999999,0.1,-0.9440723759686326,0.08915114,467,3000,0.07688508,-8.575029704012248,0.57489806,-0.14623509096039974,992.175,-0.6551653,100,2976525,1.5,0.0012691531063151336
31,-0.26685628,-1.1638082230034628,0.14999999,0.1,-0.9053526962172604,0.057284493,467,3100,0.045818705,-7.200681420972827,0.5825866,-0.14623509096039974,992.2635483870968,-0.6506524,100,3076017,1.5,0.0012427586284869923
32,-0.45636165,-1.15589426172403,0.14999999,0.1,-0.9105614620616161,0.1365732,467,3200,0.13073552,-6.241523269482482,0.5780047,-0.14520356526379383,992.41625,-0.6472142,100,3175732,1.5,0.001254742909653326
33,1.0277722,-1.149500512674229,0.14999999,0.1,-0.944900543080601,0.07050463,467,3300,0.06941036,-5.55920491581332,0.5910783,-0.06293628096060498,992.4578787878788,-0.64326394,100,3275111,1.5,0.0016403927326579864
34,-1.3893085,-1.1427891824917438,0.14999999,0.1,-0.9213152864697253,0.18756144,467,3400,0.17669882,-7.295646149004731,0.5923156,-0.06293628096060498,992.5008823529412,-0.6363229,100,3374503,1.5,0.0014564850756153137
35,2.0292835,-1.1345195410920006,0.14999999,0.1,-0.8533517335007298,0.044056825,467,3500,0.03697398,-5.630923332257035,0.6099855,-0.06293628096060498,992.5994285714286,-0.6300326,100,3474098,1.5,0.0012706988571386517
36,2.035969,-1.1282990359426164,0.14999999,0.1,-0.9105813557141726,0.19113149,467,3600,0.17717613,-7.252029229518489,0.6075898,-0.06293628096060498,992.7530555555555,-0.6263352,100,3573911,1.5,0.0016605273974557124
37,0.94613457,-1.1206155706384977,0.14999999,0.1,-0.8440108196902263,0.2741591,467,3700,0.27105042,0.41982529968028875,0.6253074,-0.06293628096060498,992.5186486486487,-0.6191659,100,3672319,1.5,0.0012341604512373277
38,1.5206262,-1.1130047298435295,0.14999999,0.1,-0.8314036204297068,0.18885788,467,3800,0.18431774,-6.373822366003317,0.59820235,-0.05523344804231542,992.6578947368421,-0.615049,100,3772100,1.5,0.0012170849610321248
39,0.297548,-1.1055203276338479,0.14999999,0.1,-0.8211130436659455,0.035356957,467,3900,0.035165388,-3.2959130100784453,0.61663413,-0.05523344804231542,992.5146153846154,-0.6109328,100,3870807,1.5,0.0010143487321342356
40,0.08082557,-1.0984656830619064,0.14999999,0.1,-0.8233345447561854,0.15721674,467,4000,0.14864512,-6.370301604414766,0.6170017,-0.05523344804231542,992.55,-0.6074163,100,3970200,1.5,0.0014294990073840854
41,-0.96107495,-1.0907707262157071,0.14999999,0.1,-0.7829724523677384,0.0595478,467,4100,0.05155762,-6.9366147682123,0.6021372,-0.05523344804231542,992.6,-0.602296,100,4069660,1.5,0.0010411968343053235
42,0.74566406,-1.0849925625429029,0.14999999,0.1,-0.8480878519579328,0.08791927,467,4200,0.06341286,-5.605845364816172,0.60729295,-0.05523344804231542,992.6666666666666,-0.5993165,100,4169200,1.5,0.0013836130268409532
43,0.17309749,-1.0793306012531165,0.14999999,0.1,-0.8415282270820906,0.1871636,467,4300,0.17556335,-4.553052297713834,0.60120314,-0.05523344804231542,992.6760465116279,-0.5929752,100,4268507,1.5,0.001310205982384566
44,2.5640082,-1.071462051355871,0.14999999,0.1,-0.7331144057743131,0.032178853,467,4400,0.029421344,-5.427398479119728,0.61875945,-0.05523344804231542,992.7875,-0.5864885,100,4368265,1.5,0.0011222837295935145
45,0.7743896,-1.0653079035023292,0.14999999,0.1,-0.794525397946485,0.274887,467,4500,0.26966614,-4.03301397119908,0.61745614,-0.05523344804231542,992.7784444444444,-0.58354634,100,4467503,1.5,0.0012088165697845563
46,-0.004148692,-1.0585579640982103,0.14999999,0.1,-0.754810690912855,0.18422881,467,4600,0.1797723,-5.609620323897832,0.64442277,-0.05523344804231542,992.7558695652174,-0.57821435,100,4566677,1.5,0.001039246277291672
47,-2.218477,-1.0519639398933245,0.14999999,0.1,-0.7486388264685842,0.12826103,467,4700,0.12031812,-3.6615591640264404,0.6624,-0.05523344804231542,992.8112765957446,-0.57418674,100,4666213,1.5,0.0011754761556154768
48,-0.29127795,-1.0448948378165115,0.14999999,0.1,-0.7126470402063001,0.1164269,467,4800,0.10830572,-4.249692148825611,0.6744318,-0.04859728360582,992.8370833333333,-0.5697433,100,4765618,1.5,0.0013214839371331053
49,1.3869122,-1.0392159062003257,0.14999999,0.1,-0.7666271886234058,0.12473143,467,4900,0.11120182,-3.7797243331516603,0.6636012,-0.04859728360582,992.7891836734694,-0.5654712,100,4864667,1.5,0.001116785720078127
50,-0.9660681,-1.0338941343007055,0.14999999,0.1,-0.773127311219329,0.06281154,467,5000,0.0544389,-4.8695541789087375,0.6747214,-0.04859728360582,992.896,-0.5598213,100,4964480,1.5,0.0009128617269522593
