ReturnMax,BatchSize,MountainCar_std1_higher,StepSize,MinEpLen,J,NumTrajectories,VarJ,ActionIn1,MountainCar_std0_higher,AvgRet,Iteration,MountainCar_mu1_higher,MountainCar_mu0_higher,NatGrad2Norm,ReturnMean,AvgEpLen,TimestepsSoFar,NatGradInftyNorm
-0.6130144525885233,100,1.5,0.01,803,-1.3810896576193576,100,0.001792268049773481,-1.5687647,0.14999999,-11.012050541595217,1,0.60902077,-0.79315424,0.09162099,-1.3810896576193576,995.97,99597,0.091190845
-0.6014335128154324,100,1.5,0.01,702,-1.3607421242999869,200,0.0016625275373362569,-1.1017567,0.14999999,-9.848453208459382,2,0.60910946,-0.79224235,0.29841587,-1.3709158909596721,994.975,198995,0.28835657
-0.44805342382314606,100,1.5,0.01,551,-1.3067603947217237,300,0.0016442013716438328,-0.19596365,0.14999999,-8.10911465172668,3,0.6062259,-0.79147404,0.127153,-1.3495307255470228,993.2566666666667,297977,0.11498437
-0.44805342382314606,100,1.5,0.01,551,-1.349523515093801,400,0.0016383458753421356,1.4648836,0.14999999,-9.664418850173483,4,0.60737574,-0.7909312,0.07942274,-1.3495289229337173,992.9125,397165,0.0702981
-0.44805342382314606,100,1.5,0.01,551,-1.3530974412551922,500,0.001810984944168534,-2.3045523,0.14999999,-9.619293446845166,5,0.60700613,-0.79022825,0.35937688,-1.3502426265980123,992.22,496110,0.35069895
-0.44805342382314606,100,1.5,0.01,551,-1.2937131797661425,600,0.0021525176377020106,1.3454468,0.14999999,-4.16201602320586,6,0.61051315,-0.78944325,0.3699973,-1.340821052126034,989.9633333333334,593978,0.36489078
-0.2734647049800591,100,1.5,0.01,546,-1.291935356807446,700,0.0019340344611102917,2.0960283,0.14999999,-7.970670773562988,7,0.6068642,-0.78883064,0.05902454,-1.3338373813662356,989.6071428571429,692725,0.057153113
-0.2734647049800591,100,1.5,0.01,546,-1.3444957103061903,800,0.0017314698074965224,-0.24822998,0.14999999,-9.582862903657775,8,0.6070117,-0.7882591,0.08480704,-1.3351696724837303,989.9275,791942,0.0768914
-0.2734647049800591,100,1.5,0.01,546,-1.2355781633964666,900,0.0014373188875264993,0.5995485,0.14999999,-7.476887175454911,9,0.6073694,-0.7874902,0.058720995,-1.324103949251812,990.0711111111111,891064,0.055484515
-0.2734647049800591,100,1.5,0.01,546,-1.373371852775314,1000,0.0017241870551319852,-0.42362165,0.14999999,-10.853615876891693,10,0.60681456,-0.7872979,0.105860956,-1.329030739604162,990.208,990208,0.092135966
-0.2734647049800591,100,1.5,0.01,546,-1.2868167594116184,1100,0.0021525274806480418,-2.0825787,0.14999999,-11.03293156687678,11,0.60629326,-0.78637654,0.17896907,-1.3251931050412036,990.7627272727273,1089839,0.1672803
-0.2734647049800591,100,1.5,0.01,546,-1.4017289965237019,1200,0.0024178820079919783,-0.87315625,0.14999999,-9.07388862815834,12,0.60796607,-0.7857404,0.20183627,-1.3315710959980784,990.5475,1188657,0.15852347
0.18088215617372283,100,1.5,0.01,409,-1.2678600845884511,1300,0.0022677079774902115,-1.4832222,0.14999999,-8.90968919824335,13,0.6063808,-0.78449106,0.061704572,-1.3266702489665687,990.3807692307693,1287495,0.06159199
0.18088215617372283,100,1.5,0.01,409,-1.3072649618717986,1400,0.0014511452915633152,-1.3925478,0.14999999,-10.238678936092194,14,0.6064181,-0.78387517,0.15686862,-1.3252841570312277,990.4621428571429,1386647,0.14537793
0.18088215617372283,100,1.5,0.01,409,-1.3431563793736014,1500,0.002040973238639163,-1.2089629,0.14999999,-9.578329058050686,15,0.6049643,-0.78328586,0.28271073,-1.3264756385207195,990.528,1485792,0.26826096
0.18088215617372283,100,1.5,0.01,409,-1.338445026297633,1600,0.0020340371592566216,-2.1515145,0.14999999,-6.461778882341421,16,0.60764694,-0.7823936,0.16166654,-1.3272237252567765,989.94125,1583906,0.13241588
0.18088215617372283,100,1.5,0.01,409,-1.241789540553152,1700,0.0019109087075959291,-2.3064616,0.14999999,-7.556494900009117,17,0.60632277,-0.7814661,0.04754292,-1.322198184980093,989.7782352941176,1682623,0.04322763
0.18088215617372283,100,1.5,0.01,409,-1.3035090627871595,1800,0.0013887731840283581,-1.4627907,0.14999999,-6.175700343227087,18,0.60652065,-0.7810339,0.074556775,-1.321159900413819,989.515,1781127,0.05596485
