MountainCar_std1_higher,VarJ,NatGradInftyNorm,AvgEpLen,ReturnMean,MountainCar_mu0_higher,MountainCar_std0_higher,MinEpLen,NumTrajectories,StepSize,Iteration,J,TimestepsSoFar,BatchSize,MountainCar_mu1_higher,ActionIn1,ReturnMax,NatGrad2Norm,AvgRet
1.5,0.0005603398039534953,0.02476654,998.84,-0.4592097442001307,-0.4416444,0.14999999,983,100,0.001,1,-0.4592097442001307,99884,100,-0.8971903,3.768553,-0.00010294598060912095,0.024786048,-3.5970573518188496
1.5,0.000929919085758117,0.10673181,998.92,-0.49387994717963596,-0.44161963,0.14999999,983,200,0.001,2,-0.5285501501591411,199784,100,-0.8971893,-1.0504446,-0.00010294598060912095,0.12070036,-5.30081199908344
1.5,0.0006909301768651815,0.043618895,998.9466666666667,-0.5006301098356633,-0.44156328,0.14999999,983,300,0.001,3,-0.5141304351477181,299684,100,-0.89708257,-1.4802457,-0.00010294598060912095,0.044679105,-5.139201993270479
1.5,0.00059819621023896,0.067007996,998.96,-0.4866255071267912,-0.44151965,0.14999999,983,400,0.001,4,-0.4446116990001747,399584,100,-0.8970922,1.6030324,-0.00010294598060912095,0.07071324,-4.454832813173966
1.5,0.001063545575962269,0.1826175,998.968,-0.49351281992465024,-0.44149706,0.14999999,983,500,0.001,5,-0.5210620711160865,499484,100,-0.8971592,-3.7171817,-0.00010294598060912095,0.19188969,-5.204151698436574
1.5,0.0008325119208716698,0.032674063,998.8883333333333,-0.48604371912202615,-0.44143814,0.14999999,948,600,0.001,6,-0.44869821510890584,599333,100,-0.8969766,-2.0680726,-0.00010294598060912095,0.033562165,-3.489150047812106
1.5,0.0010410713092278482,0.19280913,998.9042857142857,-0.4885173492701736,-0.44140548,0.14999999,948,700,0.001,7,-0.5033591301590582,699233,100,-0.8969689,-1.6013203,-0.00010294598060912095,0.20041385,-5.024093534157715
1.5,0.0010369849670478371,0.097511046,998.91625,-0.4902203119809006,-0.4413508,0.14999999,948,800,0.001,8,-0.5021410509559895,799133,100,-0.8967761,-0.4675002,-0.00010294598060912095,0.11137764,-5.021433008840937
1.5,0.0008737913938556617,0.16102982,998.9255555555555,-0.49173380657631677,-0.44129696,0.14999999,948,900,0.001,9,-0.5038417633396463,899033,100,-0.89667857,-0.48554406,-0.00010294598060912095,0.16790673,-5.044015927468571
1.5,0.0008209691846197769,0.09103615,998.933,-0.4928464169653937,-0.4412494,0.14999999,948,1000,0.001,10,-0.5028599104670863,998933,100,-0.8968396,-2.0399816,-0.00010294598060912095,0.101655975,-5.051297087361038
1.5,0.0007352216342137804,0.05995906,998.939090909091,-0.4926620372858722,-0.44120416,0.14999999,948,1100,0.001,11,-0.490818240490656,1098833,100,-0.89693063,-0.31150287,-0.00010294598060912095,0.07131826,-4.90091668701272
1.5,0.000845328276440082,0.045687,998.9441666666667,-0.49329623968814756,-0.44116554,0.14999999,948,1200,0.001,12,-0.5002724661131782,1198733,100,-0.8968707,-1.6246746,-0.00010294598060912095,0.045708608,-4.9998757782640375
1.5,0.000752862187767847,0.055234585,998.9484615384615,-0.4891845191640699,-0.44111985,0.14999999,948,1300,0.001,13,-0.4398438728751366,1298633,100,-0.89686924,-2.2936702,-0.00010294598060912095,0.061977707,-4.393022340448857
1.5,0.0007455122632696573,0.15458272,998.9521428571428,-0.4916755802423909,-0.44109175,0.14999999,948,1400,0.001,14,-0.524059374260564,1398533,100,-0.896814,-2.1529284,-0.00010294598060912095,0.16213003,-5.237133811297879
1.5,0.0006923780458554716,0.15770584,998.9553333333333,-0.4889885619135651,-0.44104284,0.14999999,948,1500,0.001,15,-0.45137030531000427,1498433,100,-0.89696854,-2.3142104,-0.00010294598060912095,0.16029489,-4.506263806858698
