MountainCar_std1_higher,J,MountainCar_mu0_higher,NatGradInftyNorm,ActionIn1,NatGrad2Norm,MinEpLen,AvgRet,NumTrajectories,ReturnMax,TimestepsSoFar,ReturnMean,MountainCar_std0_higher,Iteration,MountainCar_mu1_higher,AvgEpLen,VarJ,StepSize,BatchSize
1.5,-0.06351052579224079,0.05171383,0.012692106,-0.32980525,0.013257336,999,-0.6417014323948209,100,-6.94081277032086e-06,99900,-0.06351052579224079,0.14999999,1,-0.99866194,999.0,9.044112149623775e-05,0.001,100
1.5,-0.1001261004796711,0.051710002,0.027943512,-3.9230304,0.034054797,999,-1.0171592008013686,200,-6.935559134204796e-06,199800,-0.08181831313595594,0.14999999,2,-0.99864924,999.0,0.00025292200120063507,0.001,100
1.5,-0.058733703225524445,0.051690537,0.0027026106,-0.249045,0.0027106698,999,-0.5918385166635397,300,-6.935559134204796e-06,299700,-0.07412344316581211,0.14999999,3,-0.9986772,999.0,5.762663582393567e-05,0.001,100
1.5,-0.09124088744943475,0.051687837,0.01573082,-0.39579558,0.019602075,999,-0.9203791064123208,400,-3.2759784277929218e-06,399600,-0.07840280423671776,0.14999999,4,-0.99867696,999.0,0.0001705671241220282,0.001,100
1.5,-0.07594925817691059,0.051676143,0.011233983,-2.4608414,0.012442953,999,-0.7635552343934733,500,-3.2759784277929218e-06,499500,-0.07791209502475632,0.14999999,5,-0.9986612,999.0,0.00011868912473726468,0.001,100
1.5,-0.08773620088355623,0.051664907,0.0082761375,0.68039787,0.008314845,999,-0.8885763510958133,600,-3.2759784277929218e-06,599400,-0.07954944600122299,0.14999999,6,-0.9986666,999.0,0.00011202656125143575,0.001,100
1.5,-0.0829257755667688,0.05165663,0.012348008,-0.2542927,0.01477485,999,-0.8317933328989295,700,-3.2759784277929218e-06,699300,-0.08003177879630097,0.14999999,7,-0.99866736,999.0,0.00010245614428592805,0.001,100
1.5,-0.06976547003360016,0.051648516,0.043608908,-2.4730737,0.04433793,999,-0.7035138645665251,800,-3.2759784277929218e-06,799200,-0.07874849020096336,0.14999999,8,-0.998655,999.0,0.00011477551550387879,0.001,100
1.5,-0.052319525338065186,0.05164051,0.002804791,-0.69686544,0.0034274068,999,-0.5204876064051746,900,-3.2759784277929218e-06,899100,-0.07581193854953022,0.14999999,9,-0.99869865,999.0,4.418997589691545e-05,0.001,100
1.5,-0.09126994645830604,0.05163854,0.011660795,-2.324306,0.013873969,999,-0.92362006637362,1000,-3.2759784277929218e-06,999000,-0.07735773934040781,0.14999999,10,-0.99869585,999.0,0.00017006029530154787,0.001,100
1.5,-0.0837498057068547,0.05162688,0.014400754,-0.12148754,0.019447507,999,-0.8453638087016553,1100,-3.2759784277929218e-06,1098900,-0.07793883628281208,0.14999999,11,-0.99870336,999.0,0.0001291281990080336,0.001,100
