MountainCar_std1_higher,TimestepsSoFar,AvgRet,NatGradInftyNorm,MinEpLen,StepSize,ReturnMean,ActionIn1,NatGrad2Norm,MountainCar_mu1_higher,MountainCar_mu0_higher,BatchSize,J,NumTrajectories,ReturnMax,AvgEpLen,VarJ,MountainCar_std0_higher,Iteration
1.5,97860,-6.579903367128953,0.12872155,467,0.01,-1.3558000237078949,-0.78957117,0.13711542,0.57150435,-0.820599,100,-1.3558000237078949,100,-0.23502592011730064,978.6,0.0019298220107818258,0.14999999,1
1.5,197000,-9.702724566258262,0.15669212,467,0.01,-1.3550303425903507,-0.97778565,0.16087632,0.57021713,-0.82012665,100,-1.3542606614728072,200,-0.23502592011730064,985.0,0.0016299902469859334,0.14999999,2
1.5,296822,-12.813637702566643,0.12324341,467,0.01,-1.3569910540562629,0.47194052,0.12605773,0.5686502,-0.8197621,100,-1.3609124769880876,300,-0.23502592011730064,989.4066666666666,0.0012751470046169055,0.14999999,3
1.5,395663,-9.637703047855554,0.041556682,467,0.01,-1.3559426386402973,1.3282101,0.041931804,0.56741774,-0.8194972,100,-1.3527973923924004,400,-0.23502592011730064,989.1575,0.0018058932176356732,0.14999999,4
1.5,495450,-11.88403505603183,0.055020973,467,0.01,-1.359687683441766,-0.25223964,0.07573703,0.5673618,-0.81908166,100,-1.3746678626476418,500,-0.23502592011730064,990.9,0.0019122552828807762,0.14999999,5
1.5,594972,-12.332727229360962,0.07260416,467,0.01,-1.369884144471095,-1.0697222,0.0785073,0.56788224,-0.81853145,100,-1.4208664496177392,600,-0.23502592011730064,991.62,0.001773984344112906,0.14999999,6
1.5,693280,-5.489327125456771,0.40670803,467,0.01,-1.3770319199412746,-1.4594314,0.4138977,0.5681809,-0.8178054,100,-1.4199185727623516,700,-0.23502592011730064,990.4,0.002009863919911982,0.14999999,7
1.5,792221,-9.278653819689792,0.26939073,467,0.01,-1.381321403113593,-1.0886351,0.28226286,0.56411386,-0.8170373,100,-1.4113477853198224,800,-0.23502592011730064,990.27625,0.0022818934086146726,0.14999999,8
1.5,891384,-10.24232047141115,0.067900285,467,0.01,-1.3841534946482146,-1.0726299,0.09457972,0.56141996,-0.8161946,100,-1.4068102269251852,900,-0.23502592011730064,990.4266666666666,0.0017416399990646757,0.14999999,9
1.5,991111,-11.282558007226053,0.5227802,467,0.01,-1.3776485935363578,1.498296,0.52363366,0.562099,-0.8155362,100,-1.3191044835296493,1000,-0.23502592011730064,991.111,0.0018200125055887612,0.14999999,10
1.5,1090718,-11.571972618030795,0.62459713,467,0.01,-1.3834914491560681,-1.063434,0.62971395,0.5673268,-0.81523734,100,-1.4419200053531693,1100,-0.23502592011730064,991.5618181818181,0.0014830874511695335,0.14999999,11
1.5,1190408,-11.407878879163542,0.4005801,467,0.01,-1.3868286856456788,-3.3674064,0.40929112,0.57357275,-0.8144362,100,-1.4235382870314006,1200,-0.23502592011730064,992.0066666666667,0.001949382383755169,0.14999999,12
1.5,1289743,-10.001952627613553,0.35889533,467,0.01,-1.3864172341095329,-1.3163869,0.3638932,0.57757854,-0.81359625,100,-1.381479815675778,1300,-0.23502592011730064,992.11,0.0017898638217074257,0.14999999,13
1.5,1388819,-9.47023248853007,0.53131956,467,0.01,-1.382603399508641,1.7958512,0.5328012,0.57398957,-0.8129952,100,-1.3330235496970473,1400,-0.23502592011730064,992.0135714285715,0.0017427818696902127,0.14999999,14
1.5,1488709,-12.253800457220951,0.3928121,467,0.01,-1.377986049105478,-0.2463336,0.39524648,0.56867635,-0.8125981,100,-1.3133431434611975,1500,-0.23502592011730064,992.4726666666667,0.0022268049348498358,0.14999999,15
1.5,1587374,-6.604234332738103,0.062103633,467,0.01,-1.3760423941933464,-1.2442946,0.07724768,0.5726045,-0.81216013,100,-1.3468875705113685,1600,-0.23502592011730064,992.10875,0.0016615972926013114,0.14999999,16
1.5,1686114,-8.627210477497748,0.13857812,467,0.01,-1.3799286519975238,0.5283687,0.17129263,0.57198346,-0.81170076,100,-1.44210877686436,1700,-0.23502592011730064,991.8317647058824,0.002076344213601044,0.14999999,17
1.5,1785114,-9.158307095478284,0.14079422,467,0.01,-1.3809016532089484,0.31848174,0.16238713,0.57059765,-0.8106939,100,-1.3974426738031676,1800,-0.23502592011730064,991.73,0.002197232495801575,0.14999999,18
1.5,1884260,-10.062868506424842,0.13715777,467,0.01,-1.381628906495381,-2.5723522,0.16058618,0.57200557,-0.8098848,100,-1.394719465651172,1900,-0.23502592011730064,991.7157894736843,0.002220694111677468,0.14999999,19
1.5,1983916,-11.54220175322192,0.2611787,467,0.01,-1.3797964924090822,-0.5925694,0.26527134,0.570634,-0.8090496,100,-1.3449806247694067,2000,-0.23502592011730064,991.958,0.001622423448613605,0.14999999,20
1.5,2083150,-8.65007250530953,0.060876958,467,0.01,-1.3782448447699327,-1.3483436,0.07725144,0.5732458,-0.8085854,100,-1.3472118919869391,2100,-0.23502592011730064,991.9761904761905,0.002181390619808661,0.14999999,21
1.5,2182621,-9.572276561200074,0.25787133,467,0.01,-1.3765460187804155,-1.817313,0.26285827,0.57277024,-0.80797666,100,-1.340870673000552,2200,-0.23502592011730064,992.1004545454546,0.0018124726243717493,0.14999999,22
1.5,2281403,-8.073447556470587,0.1396174,467,0.01,-1.3774834321100815,-0.92098945,0.16993901,0.575349,-0.80746704,100,-1.398106525362741,2300,-0.23502592011730064,991.914347826087,0.0025024850233466506,0.14999999,23
1.5,2380093,-6.239445679565186,0.033056136,467,0.01,-1.3747268021462034,1.2981794,0.036634523,0.5739528,-0.8064982,100,-1.311324312977,2400,-0.23502592011730064,991.7054166666667,0.0015918354224532993,0.14999999,24
