J,BatchSize,ReturnMean,MountainCar_std0_higher,MountainCar_std1_higher,NumTrajectories,MountainCar_mu1_higher,Iteration,TimestepsSoFar,ReturnMax,StepSize,VarJ,AvgRet,AvgEpLen,NatGradInftyNorm,NatGrad2Norm,MountainCar_mu0_higher,MinEpLen,ActionIn1
-1.3511105167025772,100,-1.3921452069490707,0.14999999,1.5,3100,0.57169205,31,3072128,-0.23502592011730064,0.001,0.0016574957468063608,-9.679504635068206,991.0090322580645,0.064437784,0.073221974,-0.8187825,467,-0.44588092
-1.3667894474260944,100,-1.391352839463978,0.14999999,1.5,3200,0.5716276,32,3171703,-0.23502592011730064,0.001,0.001703668025064685,-10.84495271300268,991.1571875,0.20979743,0.21415804,-0.81874776,467,-0.63427234
-1.4145336574450351,100,-1.3920552884937067,0.14999999,1.5,3300,0.5718374,33,3270924,-0.23502592011730064,0.001,0.002266109666682278,-10.266107855456921,991.189090909091,0.08291276,0.082976505,-0.8187048,467,0.8330904
-1.40156616183202,100,-1.3923350200624809,0.14999999,1.5,3400,0.5718407,34,3370244,-0.23502592011730064,0.001,0.0020968557686905052,-11.164719047903539,991.2482352941176,0.29858816,0.30806616,-0.8186219,467,-1.5920823
-1.346789015001211,100,-1.391033705632159,0.14999999,1.5,3500,0.57213926,35,3469592,-0.23502592011730064,0.001,0.0017841913408251633,-9.610346073731757,991.312,0.03809433,0.050839588,-0.81854606,467,1.8029239
-1.42215360463092,100,-1.3918981472710135,0.14999999,1.5,3600,0.5721056,36,3569082,-0.23502592011730064,0.001,0.0023275120369395555,-11.358635317589409,991.4116666666666,0.24914773,0.26399708,-0.81850797,467,1.8083122
-1.3676065061341638,100,-1.391241616429477,0.14999999,1.5,3700,0.57235473,37,3667380,-0.23502592011730064,0.001,0.001780914864925231,-5.802978669929961,991.1837837837838,0.4164408,0.41896954,-0.81842065,467,0.69392705
-1.360876654318733,100,-1.3904425384791943,0.14999999,1.5,3800,0.5719383,38,3766986,-0.23502592011730064,0.001,0.0018181163895044598,-11.708063862050915,991.312105263158,0.29488555,0.29842502,-0.8183747,467,1.2910364
-1.3633414568633517,100,-1.389747638950583,0.14999999,1.5,3900,0.57223314,39,3865565,-0.23502592011730064,0.001,0.001516866806907901,-8.747437926492848,991.1705128205128,0.03981417,0.041945033,-0.81832886,467,0.045750976
-1.3709579831707108,100,-1.389277897556086,0.14999999,1.5,4000,0.57221997,40,3964655,-0.23502592011730064,0.001,0.0020746808391074885,-9.89378322885188,991.16375,0.2562074,0.26276398,-0.81828904,467,-0.17482895
-1.34267139458893,100,-1.3881411535812773,0.14999999,1.5,4100,0.5719638,41,4064043,-0.23502592011730064,0.001,0.001608461378766272,-11.613324242587357,991.23,0.0840229,0.08933022,-0.8182307,467,-1.2071831
-1.427784020079305,100,-1.38908503135504,0.14999999,1.5,4200,0.5720478,42,4163327,-0.23502592011730064,0.001,0.0020884115673297913,-10.489159778715923,991.2683333333333,0.08759753,0.11938588,-0.81820035,467,0.49153513
-1.4357659310718824,100,-1.390170633674036,0.14999999,1.5,4300,0.5719602,43,4262187,-0.23502592011730064,0.001,0.0019951184586393662,-7.536900850287543,991.2062790697674,0.3063598,0.31800976,-0.8181192,467,-0.08128941
-1.3187584489289206,100,-1.3885476294752834,0.14999999,1.5,4400,0.5722666,44,4361617,-0.23502592011730064,0.001,0.0017660398119231486,-10.31079906776325,991.2765909090909,0.026780458,0.03381853,-0.81803393,467,2.28597
-1.4050312359909471,100,-1.3889139318422983,0.14999999,1.5,4500,0.57224596,45,4460541,-0.23502592011730064,0.001,0.0018359919155062623,-9.161347711204199,991.2313333333333,0.46243426,0.467386,-0.8180072,467,0.49471867
-1.3720150128054833,100,-1.3885465640371502,0.14999999,1.5,4600,0.57270837,46,4559626,-0.23502592011730064,0.001,0.0016228102757183992,-11.775407595364902,991.2230434782608,0.32006672,0.32368213,-0.81793934,467,-0.31558812
-1.3734850505087257,100,-1.3882261063025028,0.14999999,1.5,4700,0.57302845,47,4658558,-0.23502592011730064,0.001,0.0019109525438416072,-6.961025145719525,991.1825531914893,0.17953077,0.18721984,-0.8178911,467,-2.551553
-1.3351060843844014,100,-1.3871194391792088,0.14999999,1.5,4800,0.573208,48,4757516,-0.23502592011730064,0.001,0.002167697912995965,-7.511353320024446,991.1491666666667,0.2479146,0.25211465,-0.817838,467,-0.6405965
-1.4207419293081305,100,-1.387805612447146,0.14999999,1.5,4900,0.5729601,49,4856517,-0.23502592011730064,0.001,0.0018469819915272417,-10.350711151063972,991.1259183673469,0.16429111,0.18146542,-0.8177922,467,1.0439502
-1.4494967983562057,100,-1.3890394361653273,0.14999999,1.5,5000,0.57312435,50,4956082,-0.23502592011730064,0.001,0.0014817153731336275,-11.670083710655595,991.2164,0.079097845,0.09033714,-0.8177151,467,-1.3255589
