MountainCar_std1_higher,Iteration,AvgRet,ReturnMean,BatchSize,NumTrajectories,ActionIn1,StepSize,MountainCar_mu0_higher,NatGradInftyNorm,TimestepsSoFar,MountainCar_std0_higher,J,VarJ,NatGrad2Norm,MountainCar_mu1_higher,AvgEpLen,ReturnMax,MinEpLen
1.5,1,-6.579903367128953,-1.3558000237078949,100,100,-0.78957117,0.0001,-0.820599,0.12872155,97860,0.14999999,-1.3558000237078949,0.0019298220107818258,0.13711542,0.57150435,978.6,-0.23502592011730064,467
1.5,2,-9.71720930538673,-1.3557002116352492,100,200,-0.97697896,0.0001,-0.8205943,0.1569065,197000,0.14999999,-1.3556003995626034,0.0016311263684828199,0.16108525,0.5714915,985.0,-0.23502592011730064,467
1.5,3,-12.839818565472065,-1.3582373379664292,100,300,0.47393757,0.0001,-0.8205907,0.12346592,296822,0.14999999,-1.3633115906287896,0.0012769392085328888,0.12627521,0.5714758,989.4066666666666,-0.23502592011730064,467
1.5,4,-9.672184369682633,-1.3576638337923177,100,400,1.3311648,0.0001,-0.82058805,0.041562032,395665,0.14999999,-1.355943321269983,0.0018089566791592117,0.041938644,0.57146347,989.1625,-0.23502592011730064,467
1.5,5,-11.928776730318837,-1.3619254141756054,100,500,-0.2496407,0.0001,-0.8205839,0.05506564,495453,0.14999999,-1.3789717357087574,0.0019167255653609364,0.07578835,0.5714629,990.906,-0.23502592011730064,467
1.5,6,-12.395077644224862,-1.3727420881547765,100,600,-1.0681834,0.0001,-0.8205784,0.072752886,594975,0.14999999,-1.4268254580506312,0.0017797746031295366,0.078780286,0.5714681,991.625,-0.23502592011730064,467
1.5,7,-5.576199991248542,-1.38063763782221,100,700,-1.4589069,0.0001,-0.8205711,0.4093003,693284,0.14999999,-1.4280109358268112,0.002018300073068114,0.41648036,0.57147115,990.4057142857143,-0.23502592011730064,467
1.5,8,-9.389177460034134,-1.3857553039741533,100,800,-1.0848448,0.0001,-0.82056344,0.27124166,792227,0.14999999,-1.4215789670377574,0.002295025792361073,0.28410903,0.5714302,990.28375,-0.23502592011730064,467
1.5,9,-10.37705456177318,-1.3895104312138558,100,900,-1.0670073,0.0001,-0.820555,0.067722924,891395,0.14999999,-1.4195514491314756,0.001754057376293919,0.094646774,0.5714031,990.4388888888889,-0.23502592011730064,467
1.5,10,-11.430492376418599,-1.3838912265520045,100,1000,1.5025947,0.0001,-0.82054836,0.5274164,991123,0.14999999,-1.3333183845953434,0.0018359023358020172,0.5282574,0.5714099,991.123,-0.23502592011730064,467
1.5,11,-11.730737803851357,-1.390580192688388,100,1100,-1.0646062,0.0001,-0.8205454,0.63129175,1090731,0.14999999,-1.4574698540522224,0.001494561453720052,0.63641953,0.57146263,991.5736363636364,-0.23502592011730064,467
1.5,12,-11.586499788520847,-1.3948018304945027,100,1200,-3.3755543,0.0001,-0.8205373,0.40485463,1190415,0.14999999,-1.4412398463617657,0.0019658691176754465,0.4135795,0.57152575,992.0125,-0.23502592011730064,467
1.5,13,-10.20296834343282,-1.3953102803994566,100,1300,-1.3293319,0.0001,-0.82052886,0.3644837,1289748,0.14999999,-1.401411679258903,0.0018083763082376641,0.3694539,0.5715662,992.1138461538461,-0.23502592011730064,467
1.5,14,-9.69109232193399,-1.3923905523251334,100,1400,1.7858636,0.0001,-0.82052284,0.53895473,1388825,0.14999999,-1.3544340873589313,0.0017628989813051736,0.54041654,0.57152975,992.0178571428571,-0.23502592011730064,467
1.5,15,-12.481060144821113,-1.3886061093885558,100,1500,-0.25145483,0.0001,-0.82051885,0.39858866,1488717,0.14999999,-1.335623908276466,0.002253594109725155,0.40097758,0.57147586,992.478,-0.23502592011730064,467
