ReturnMax,AvgEpLen,MinEpLen,AvgRet,MountainCar_std0_higher,StepSize,J,MountainCar_mu1_higher,MountainCar_mu0_higher,ActionIn1,NatGrad2Norm,Iteration,NatGradInftyNorm,ReturnMean,BatchSize,NumTrajectories,VarJ,TimestepsSoFar,MountainCar_std1_higher
-6.94081277032086e-06,999.0,999,-0.6417014323948209,0.14999999,0.01,-0.06351052579224079,-0.99866194,0.05171383,-0.32980525,0.013257336,1,0.012692106,-0.06351052579224079,100,100,9.044112149623775e-05,99900,1.5
-6.94081277032086e-06,999.0,999,-1.0170050002196889,0.14999999,0.01,-0.1001107757876893,-0.99853504,0.051675532,-3.9229507,0.034049552,2,0.027941624,-0.08181065078996504,100,200,0.0002528286235552629,199800,1.5
-6.94081277032086e-06,999.0,999,-0.5913267914457649,0.14999999,0.01,-0.05868318125913844,-0.99881446,0.051480945,-0.24939185,0.0026898405,3,0.002680149,-0.07410149427968951,100,300,5.750708844651748e-05,299700,1.5
-4.603815213735739e-06,999.0,999,-0.9193679619620027,0.14999999,0.01,-0.09114098521016699,-0.9988122,0.051454145,-0.39616454,0.019547526,4,0.01569196,-0.07836136701230888,100,400,0.00017018017060227637,399600,1.5
-4.603815213735739e-06,999.0,999,-0.761865751354578,0.14999999,0.01,-0.07578190713922445,-0.99865526,0.05133758,-2.461174,0.012387315,5,0.011189109,-0.07784547503769199,100,500,0.00011823320877789114,499500,1.5
-4.603815213735739e-06,999.0,999,-0.8866522838717021,0.14999999,0.01,-0.08754646721017924,-0.9987084,0.05122569,0.6799168,0.008242377,6,0.008206654,-0.07946230706643986,100,600,0.00011153592465424779,599400,1.5
-4.603815213735739e-06,999.0,999,-0.8297407519728209,0.14999999,0.01,-0.0827215877010184,-0.9987161,0.05114362,-0.25485447,0.014696205,7,0.012304685,-0.07992791858566538,100,700,0.00010188007423475839,699300,1.5
-4.603815213735739e-06,999.0,999,-0.7012326221274507,0.14999999,0.01,-0.0695403708813268,-0.9985931,0.051063262,-2.4735968,0.044119578,8,0.043400254,-0.07862947512262304,100,800,0.00011410358240214822,799200,1.5
-4.603815213735739e-06,999.0,999,-0.518923594233956,0.14999999,0.01,-0.052164914739718383,-0.9990271,0.050983917,-0.69785047,0.003419551,9,0.0028375096,-0.07568896841341143,100,900,4.390514083461969e-05,899100,1.5
-4.603815213735739e-06,999.0,999,-0.9203939121698416,0.14999999,0.01,-0.09095355846840202,-0.9989987,0.050964832,-2.3252826,0.013753182,10,0.011549361,-0.07721542741891048,100,1000,0.00016899565825114916,999000,1.5
