NatGrad2Norm,NumTrajectories,MinEpLen,TimestepsSoFar,Iteration,AvgEpLen,BatchSize,NatGradInftyNorm,AvgRet,MountainCar_std1_higher,VarJ,ReturnMax,MountainCar_std0_higher,J,ReturnMean,ActionIn1,StepSize,MountainCar_mu1_higher,MountainCar_mu0_higher
0.08537567,100,999,99900,1,999.0,100,0.0850155,-7.277001327402595,1.5,0.0028128427766349385,-0.05460916047047352,0.14999999,-0.6828887434751951,-0.6828887434751951,0.8603903,0.0001,0.9164054,0.40025148
0.2604659,200,999,199800,2,999.0,100,0.25145257,-6.795184743328786,1.5,0.002879017881284452,-1.7029586367329033e-05,0.14999999,-0.6186369507670598,-0.6507628471211275,4.8513064,0.0001,0.9164046,0.40024298
0.18977644,300,999,299700,3,999.0,100,0.15228851,-8.078196892634471,1.5,0.004016033838281316,-1.7029586367329033e-05,0.14999999,-0.7463040444784322,-0.6826099129068957,-3.465995,0.0001,0.91637945,0.4002362
0.11656651,400,999,399600,4,999.0,100,0.0937375,-6.6609314357000935,1.5,0.002802265156872136,-1.7029586367329033e-05,0.14999999,-0.625757435084234,-0.6683967934512302,2.8353581,0.0001,0.91636425,0.40022486
0.07134702,500,999,499500,5,999.0,100,0.071236424,-6.852535019361248,1.5,0.0025926766118817474,-1.7029586367329033e-05,0.14999999,-0.6386465779908861,-0.6624467503591615,0.9274892,0.0001,0.9163736,0.40021795
0.103553966,600,999,599400,6,999.0,100,0.08131941,-6.807871035490309,1.5,0.003053451878939729,-1.7029586367329033e-05,0.14999999,-0.6506535118141826,-0.660481210601665,0.45952275,0.0001,0.9163732,0.40021083
0.07067011,700,999,699300,7,999.0,100,0.06846074,-7.091045507008406,1.5,0.001985960247781084,-1.7029586367329033e-05,0.14999999,-0.6725110907665075,-0.6621997649109281,2.5404954,0.0001,0.91637963,0.4002027
0.22188188,800,999,799200,8,999.0,100,0.21644677,-6.4109986150080625,1.5,0.0020228702206910912,-1.7029586367329033e-05,0.14999999,-0.589101926541715,-0.6530625351147765,1.831322,0.0001,0.9163779,0.40019584
0.08674456,900,999,899100,9,999.0,100,0.07028982,-6.341824459452118,1.5,0.0018234110346622525,-1.7029586367329033e-05,0.14999999,-0.594180632232571,-0.6465201014611982,-0.09334618,0.0001,0.91635627,0.40019095
0.079146855,1000,999,999000,10,999.0,100,0.062055778,-6.716208195904194,1.5,0.002210253066319653,-1.7029586367329033e-05,0.14999999,-0.631690266139941,-0.6450371179290725,0.689708,0.0001,0.9163633,0.40018585
0.16420229,1100,999,1098900,11,999.0,100,0.14594938,-7.213263045817955,1.5,0.002442966746175345,-1.7029586367329033e-05,0.14999999,-0.6731256235397418,-0.6475906184391332,-0.10701379,0.0001,0.9163682,0.40017965
0.36771855,1200,999,1198800,12,999.0,100,0.35623875,-7.265882319419195,1.5,0.003572477047953574,-1.7029586367329033e-05,0.14999999,-0.6734445608696618,-0.6497451136416773,0.92460954,0.0001,0.9163536,0.40017214
0.13418175,1300,999,1298700,13,999.0,100,0.11920292,-6.32449553840723,1.5,0.002391010799622878,-1.7029586367329033e-05,0.14999999,-0.596566658087892,-0.6456544632144631,3.309572,0.0001,0.91631794,0.40016302
0.14487278,1400,999,1398600,14,999.0,100,0.10660569,-7.389278248900974,1.5,0.00402709658798633,-1.7029586367329033e-05,0.14999999,-0.6749461840185755,-0.6477467289861853,1.7805336,0.0001,0.916306,0.40015686
0.13203235,1500,999,1498500,15,999.0,100,0.11374175,-6.64455591447843,1.5,0.002741294923444441,-1.7029586367329033e-05,0.14999999,-0.6084204646979512,-0.6451249780336364,3.413095,0.0001,0.91629535,0.40014705
0.07833887,1600,999,1598400,16,999.0,100,0.057846416,-6.508369333479354,1.5,0.0019564384879807543,-1.7029586367329033e-05,0.14999999,-0.6137268910817705,-0.6431625975991448,3.165835,0.0001,0.91628397,0.40014035
0.102466315,1700,999,1698300,17,999.0,100,0.082047045,-6.45211414066605,1.5,0.0022862843163814705,-1.7029586367329033e-05,0.14999999,-0.6045038862618544,-0.6408885557557749,4.0666018,0.0001,0.91627866,0.40013456
