ReturnMean,LQGsigma_higher,Regret,LQGmu1_actor,Regret/t,Iteration,ReturnLastEpisode,LQGmu1_higher,TimeElapsed
0.9884439353264804,0.01831564,0.20107552531924,-1.003298,0.20107552531924,1,17.19892447468076,-1.0,0.06341886520385742
0.9897790653172726,0.01831564,0.3556885269589145,-0.94610703,0.17784426347945725,2,17.245386998360324,-0.9591837,0.08088111877441406
0.9909086051836525,0.01831564,0.47457080941333984,-0.91467375,0.15819026980444661,3,17.281117717545573,-0.9183673,0.09742140769958496
0.9916828401748462,0.01831564,0.5788743238307035,-0.89301914,0.14471858095767587,4,17.295696485582635,-0.877551,0.11277103424072266
0.992374139614763,0.01831564,0.6634498535156155,-0.844019,0.1326899707031231,5,17.315424470315087,-0.8367347,0.1296067237854004
0.9932718681559861,0.01831564,0.7024169645150451,-0.7885094,0.11706949408584084,6,17.36103288900057,-0.79591835,0.15128326416015625
0.9940155380359847,0.01831564,0.728907467217045,-0.7687423,0.10412963817386357,7,17.373509497298,-0.75510204,0.1708385944366455
0.9945439555662947,0.01831564,0.7594813851717674,-0.72272193,0.09493517314647093,8,17.369426082045276,-0.71428573,0.18770217895507812
0.9948910231560836,0.01831564,0.8000657737573142,-0.67823505,0.08889619708414603,9,17.35941561141445,-0.67346936,0.20705795288085938
0.9955090082631101,0.01831564,0.7814325622188427,-0.6068506,0.07814325622188427,10,17.41863321153847,-0.63265306,0.22455120086669922
0.9958690775203002,0.01831564,0.7906585626145528,-0.6047526,0.07187805114677753,11,17.39077399960429,-0.59183675,0.24155592918395996
0.9962167268940201,0.01831564,0.78994742452862,-0.5545399,0.06582895204405166,12,17.40071113808593,-0.5510204,0.25624656677246094
0.9964637488145219,0.01831564,0.7999000181551601,-0.513674,0.06153077062732001,13,17.39004740637346,-0.5102041,0.27265286445617676
0.9966681245157771,0.01831564,0.8116448679567263,-0.48769522,0.05797463342548045,14,17.388255150198432,-0.46938777,0.2991971969604492
0.996494604493657,0.01831564,0.914908227155582,-0.42837098,0.06099388181037213,15,17.296736640801143,-0.42857143,0.3181920051574707
0.9961317230792269,0.01831564,1.0769282947432792,-0.3747375,0.06730801842145495,16,17.2379799324123,-0.3877551,0.3451993465423584
0.9959536278694957,0.01831564,1.1969168762032432,-0.35702476,0.07040687507077902,17,17.280011418540035,-0.3469388,0.3710498809814453
0.995611920553662,0.01831564,1.3743464825931504,-0.3100472,0.07635258236628613,18,17.22257039361009,-0.30612245,0.39102792739868164
0.9945061194758069,0.01831564,1.8162769012983162,-0.24483183,0.09559352112096402,19,16.958069581294833,-0.26530612,0.4075033664703369
0.9934247785686441,0.01831564,2.2881770581119127,-0.19842795,0.11440885290559563,20,16.928099843186402,-0.2244898,0.4266548156738281
0.9918754674304169,0.01831564,2.9687042009257567,-0.1812117,0.14136686671075033,21,16.719472857186155,-0.18367347,0.44695520401000977
0.9894912587742222,0.01831564,4.022746141227859,-0.12910664,0.18285209732853905,22,16.345958059697896,-0.14285715,0.46712493896484375
0.9857819950184346,0.01831564,5.690045593622601,-0.09710282,0.24739328667924354,23,15.732700547605257,-0.10204082,0.4906644821166992
0.9798090079465731,0.01831564,8.431758281511181,-0.05413342,0.3513232617296325,24,14.658287312111419,-0.06122449,0.5087542533874512
0.9669391456814673,0.01831564,14.38147162856179,-0.018418368,0.5752588651424716,25,11.450286652949389,-0.020408163,0.5317902565002441
0.950501943472313,0.01831564,22.39292077312571,0.01529887,0.8612661835817581,26,9.388550855436081,0.020408163,0.5555419921875
0.9346556501478048,0.01831564,30.698775560561423,0.050610527,1.136991687428201,27,9.094145212564284,0.06122449,0.5772128105163574
0.9197259503627547,0.01831564,39.109516983265976,0.11257992,1.3967684636880706,28,8.989258577295447,0.10204082,0.6030874252319336
0.9057152161488257,0.01831564,47.576101931302624,0.13714136,1.6405552390104352,29,8.933415051963351,0.14285715,0.6244924068450928
0.8924087874962839,0.01831564,56.1626129269399,0.1788287,1.8720870975646633,30,8.813489004362724,0.18367347,0.6466617584228516
0.8795936898611991,0.01831564,64.94716368886927,0.2317999,2.0950697964151375,31,8.615449238070624,0.2244898,0.6701810359954834
0.8669042087519729,0.01831564,74.10773656690155,0.3082713,2.3158667677156735,32,8.239427121967719,0.26530612,0.6948962211608887
0.854636332796342,0.01831564,83.46781770834048,0.3419707,2.5293278093436506,33,8.039918858561073,0.30612245,0.7180576324462891
0.8427823313661292,0.01831564,93.00997276379802,0.37005657,2.7355874342293536,34,7.857844944542462,0.3469388,0.7445619106292725
0.8311553348891418,0.01831564,102.8264010525127,0.40873754,2.9378971729289343,35,7.583571711285315,0.3877551,0.7681214809417725
0.8201612897312596,0.01831564,112.65096811233909,0.4098296,3.1291935586760857,36,7.575432940173604,0.42857143,0.7951903343200684
0.80892695216063,0.01831564,123.01282819898645,0.47641715,3.3246710324050395,37,7.038139913352632,0.46938777,0.8254377841949463
0.7972311712305041,0.01831564,134.07074958239068,0.5508398,3.5281776205892283,38,6.342078616595766,0.5102041,0.8568100929260254
0.7857322049924647,0.01831564,145.4021256921135,0.57745916,3.728259633131115,39,6.068623890277195,0.5510204,0.8836467266082764
0.7745026283380739,0.01831564,156.94617067670055,0.5973419,3.923654266917514,40,5.855955015412941,0.59183675,0.9120104312896729
0.7631718384184029,0.01831564,168.95321047231147,0.6384903,4.120810011519792,41,5.392960204389087,0.63265306,0.9459490776062012
0.7517631278792073,0.01831564,181.41150614587534,0.67619014,4.319321574901794,42,4.941704326436119,0.67346936,0.9781639575958252
