LQGmu1_higher,TimeElapsed,LQGsigma_higher,ReturnMean,Regret,Regret/t,LQGmu1_actor,ReturnLastEpisode,Iteration
-1.0,0.16827654838562012,0.14999999,1.0005387531235934,-0.00937430435052633,-0.00937430435052633,-0.6594825,17.409374304350525,1
-0.97979796,0.1930677890777588,0.14999999,0.9980156798119826,0.06905434254300502,0.03452717127150251,-0.8454614,17.321571353106467,2
-0.959596,0.2393345832824707,0.14999999,0.9949127529350008,0.2655542967929527,0.08851809893098424,-1.0573446,17.20350004575005,3
-0.93939394,0.28867053985595703,0.14999999,0.9932778186478726,0.4678638221080611,0.11696595552701528,-1.070534,17.19769047468489,4
-0.9191919,0.33340024948120117,0.14999999,0.99219453592379,0.6790753746302514,0.13581507492605027,-1.451878,17.18878844747781,5
-0.8989899,0.36604952812194824,0.14999999,0.9916079147183949,0.8761337033995602,0.1460222838999267,-0.99787915,17.20294167123069,6
-0.8787879,0.4093925952911377,0.14999999,0.9926397164125655,0.8964825409495027,0.12806893442135753,-0.73569196,17.379651162450056,7
-0.85858583,0.4506185054779053,0.14999999,0.9931456526383622,0.9541251527399695,0.11926564409249618,-0.47838962,17.342357388209532,8
-0.83838385,0.4913303852081299,0.14999999,0.9937197156893163,0.9834925230530658,0.1092769470058962,-0.7327504,17.370632629686902,9
-0.8181818,0.5325520038604736,0.14999999,0.9937565808969164,1.086354923936515,0.10863549239365149,-0.8634978,17.29713759911655,10
-0.7979798,0.5755407810211182,0.14999999,0.9939663607551125,1.1548385514714496,0.10498532286104088,-0.84506196,17.331516372465064,11
-0.7777778,0.622169017791748,0.14999999,0.9943615684957132,1.177304498095058,0.09810870817458817,-0.5344349,17.37753405337639,12
-0.75757575,0.6596980094909668,0.14999999,0.9947730171147549,1.182343528642427,0.09094950220326362,-0.6450113,17.39496096945263,13
-0.7373737,0.7039306163787842,0.14999999,0.9949337158136764,1.2341468277883827,0.08815334484202733,-0.8050602,17.348196700854043,14
-0.7171717,0.7394754886627197,0.14999999,0.9951028369569257,1.2781595542423645,0.08521063694949096,-0.765806,17.355987273546017,15
-0.6969697,0.7684779167175293,0.14999999,0.9947044661493039,1.474276624033756,0.09214228900210975,-1.0116689,17.203882930208607,16
-0.67676765,0.7968075275421143,0.14999999,0.9949426291023675,1.4959703115196064,0.08799825361880037,-0.63535345,17.378306312514148,17
-0.65656567,0.8246786594390869,0.14999999,0.9951853949081185,1.5079343147771844,0.08377412859873247,-0.54516256,17.38803599674242,18
-0.6363636,0.8596773147583008,0.14999999,0.9954974052634082,1.488557819917169,0.0783451484166931,-0.5406698,17.419376494860014,19
-0.61616164,0.8984944820404053,0.14999999,0.9955754842046287,1.5397314967891482,0.07698657483945741,-0.7887174,17.34882632312802,20
-0.5959596,0.9452981948852539,0.14999999,0.9957416571821415,1.5559984656454589,0.07409516503073614,-0.46345645,17.383733031143688,21
-0.57575756,0.9832983016967773,0.14999999,0.9957036378888063,1.64464741616489,0.07475670073476773,-0.49517378,17.311351049480567,22
-0.5555556,1.0200486183166504,0.14999999,0.9957829523100862,1.6876624855035054,0.07337662980450023,-0.424703,17.356984930661383,23
-0.53535354,1.0593764781951904,0.14999999,0.9959396119036034,1.6956180690552394,0.07065075287730165,-0.55219537,17.392044416448265,24
-0.5151515,1.0880696773529053,0.14999999,0.9960712232532319,1.7090178848441582,0.06836071539376633,-0.6530777,17.38660018421108,25
-0.4949495,1.1195449829101562,0.14999999,0.992873306793492,3.224116006624289,0.12400446179324189,-0.09363422,15.884901878219868,26
-0.47474748,1.150897741317749,0.14999999,0.9931361327611978,3.2246448287893053,0.11943128995515945,-0.49891543,17.399471177834982,27
-0.45454547,1.1813087463378906,0.14999999,0.993090800697102,3.366161900371946,0.12022006787042663,-0.35487026,17.258482928417358,28
-0.43434343,1.2137467861175537,0.14999999,0.9928793897930892,3.5930599104071987,0.12389861760024823,-0.29466325,17.173101989964746,29
-0.41414142,1.245218276977539,0.14999999,0.9930775065371172,3.6135415876248693,0.12045138625416231,-0.52420074,17.379518322782328,30
-0.3939394,1.268817663192749,0.14999999,0.9932650238464803,3.632846137208592,0.1171885850712449,-0.58885765,17.380695450416276,31
-0.37373737,1.3053109645843506,0.14999999,0.9933967966834795,3.6766636066387335,0.11489573770746042,-0.4840436,17.356182530569857,32
-0.35353535,1.3368384838104248,0.14999999,0.9934488018131352,3.7616979988978194,0.11399084845144908,-0.45509812,17.314965607740913,33
-0.33333334,1.3686251640319824,0.14999999,0.9935812393574729,3.797338796119039,0.11168643517997173,-0.7747766,17.36435920277878,34
-0.3131313,1.3975365161895752,0.14999999,0.9938026328154379,3.774196615398367,0.1078341890113819,-0.5391643,17.42314218072067,35
-0.2929293,1.4308931827545166,0.14999999,0.9939332892504892,3.8001876134936623,0.10556076704149062,-0.5355075,17.374009001904703,36
-0.27272728,1.459482192993164,0.14999999,0.9934223163901542,4.234712708018787,0.11445169481131856,-0.27160713,16.965474905474874,37
-0.25252524,1.4899559020996094,0.14999999,0.9934707042629224,4.317170341355766,0.11360974582515174,-0.36531135,17.31754236666302,38
-0.23232323,1.5207383632659912,0.14999999,0.9932225982117194,4.5991448535273065,0.11792679111608478,-0.31851205,17.118025487828458,39
-0.21212122,1.5532042980194092,0.14999999,0.9930919474084856,4.808004603694194,0.12020011509235484,-0.36751315,17.19114024983311,40
-0.1919192,1.582866907119751,0.14999999,0.9931617648608619,4.878396948261244,0.11898529142100596,-0.3503369,17.329607655432948,41
