Iteration,LQGmu1_higher,TimeElapsed,LQGsigma_higher,ReturnMean,LQGmu1_actor,Regret/t,ReturnLastEpisode,Regret
1,-1.0,0.16398239135742188,0.14999999,0.9886545306460912,-1.0529442,0.1974111667580125,17.202588833241986,0.1974111667580125
2,-0.97979796,0.21922779083251953,0.14999999,0.9880739339560967,-1.2992253,0.2075135491639184,17.182384068430174,0.4150270983278368
3,-0.959596,0.3096742630004883,0.14999999,0.9881577822628804,-1.0982202,0.20605458862587986,17.196863332450196,0.6181637658776395
4,-0.93939394,0.3301377296447754,0.14999999,0.989005866677998,-0.9447875,0.19129791980283528,17.252972086666297,0.7651916792113411
5,-0.9191919,0.39013195037841797,0.14999999,0.9894886366387101,-0.94376826,0.1828977224864417,17.25070306677913,0.9144886124322085
6,-0.8989899,0.4137446880340576,0.14999999,0.9910272662447813,-0.52745676,0.15612556734080366,17.377735208387385,0.936753404044822
7,-0.8787879,0.4627714157104492,0.14999999,0.991376077443844,-0.906398,0.15005625247711304,17.28635963670503,1.0503937673397914
8,-0.85858583,0.500483512878418,0.14999999,0.9910026291171544,-1.0275049,0.15655425336151296,17.197959740447686,1.2524340268921037
9,-0.83838385,0.5351388454437256,0.14999999,0.9917066864742652,-0.77318233,0.14430365534778783,17.35370112876201,1.2987328981300905
10,-0.8181818,0.5856795310974121,0.14999999,0.9924072667827891,-0.6881062,0.13211355797947064,17.377597318335383,1.3211355797947064
11,-0.7979798,0.6227166652679443,0.14999999,0.9928128641014837,-0.79850054,0.1250561646341837,17.345517768818684,1.3756178109760206
12,-0.7777778,0.6965970993041992,0.14999999,0.992651096662141,-0.9560237,0.12787091807874726,17.241166794031052,1.534451016944967
13,-0.75757575,0.7678463459014893,0.14999999,0.9928779965246813,-0.86406887,0.12392286047054586,17.32345383082787,1.6109971861170962
14,-0.7373737,0.8501191139221191,0.14999999,0.9931595181902433,-0.45593792,0.11902438348976599,17.34465581726037,1.666341368856724
15,-0.7171717,0.9086422920227051,0.14999999,0.9930373295210797,-0.94912255,0.12115046633321261,17.249084373858533,1.8172569949981892
16,-0.6969697,0.9638540744781494,0.14999999,0.9934599932866423,-0.53250074,0.11379611681242485,17.39651912599939,1.8207378689987976
17,-0.67676765,1.0052483081817627,0.14999999,0.9937590209418241,-0.73996997,0.10859303561226262,17.37465626359033,1.8460816054084646
18,-0.65656567,1.0369439125061035,0.14999999,0.9940661912361693,-0.71850634,0.1032482724906557,17.38761270057666,1.8584689048318026
19,-0.6363636,1.1251301765441895,0.14999999,0.9942843486466821,-0.5312033,0.0994523335477309,17.368874567424914,1.889594337406887
