Iteration,ReturnLastEpisode,ReturnMean,Regret,LQGsigma_higher,LQGmu1_higher,LQGmu1_actor,Regret/t,TimeElapsed
1,17.19847055723983,0.9884178481172317,0.20152944276016882,0.14999999,-1.0,-1.2107719,0.20152944276016882,0.22876191139221191
2,17.184087249164993,0.9880045346668054,0.41744219359517487,0.14999999,-0.97979796,-1.194314,0.20872109679758744,0.24245285987854004
3,17.19395827382862,0.9880558636060047,0.6234839197665529,0.14999999,-0.959596,-1.1269941,0.20782797325551763,0.26953554153442383
4,17.248259585524412,0.9888617193356015,0.7752243342421394,0.14999999,-0.93939394,-0.94979936,0.19380608356053486,0.29418468475341797
5,17.304681261863237,0.9899937577887483,0.8705430723789007,0.14999999,-0.9191919,-0.85757357,0.17410861447578013,0.3271195888519287
6,17.279304775354433,0.9905053802967005,0.9912382970244664,0.14999999,-0.8989899,-0.90045786,0.16520638283741107,0.3559725284576416
7,17.286555790213956,0.9909303570869417,1.1046825068105086,0.14999999,-0.8787879,-0.89787686,0.15781178668721552,0.38628125190734863
8,17.2719002582159,0.9911438056853836,1.2327822485946065,0.14999999,-0.85858583,-0.9159025,0.1540977810743258,0.41205406188964844
9,17.19600575322633,0.9908251820219139,1.4367764953682745,0.14999999,-0.83838385,-1.0090616,0.15964183281869715,0.43775224685668945
10,17.340503600862682,0.9914007304913472,1.4962728945055908,0.14999999,-0.8181818,-0.8060191,0.1496272894505591,0.47263360023498535
11,17.366125749074783,0.9920055008075717,1.5301471454308064,0.14999999,-0.7979798,-0.5850923,0.13910428594825514,0.5023467540740967
12,17.41422553813768,0.9927398390455311,1.5159216072931265,0.14999999,-0.7777778,-0.67421514,0.12632680060776055,0.5243873596191406
13,17.2716597281182,0.9927309377578475,1.6442618791749268,0.14999999,-0.75757575,-0.9237757,0.12648168301345591,0.5545153617858887
14,17.395965712178352,0.9932335953735774,1.6482961669965732,0.14999999,-0.7373737,-0.71263933,0.11773544049975523,0.5840969085693359
15,17.354712621384284,0.9935111741547423,1.693583545612288,0.14999999,-0.7171717,-0.78736436,0.11290556970748587,0.6087338924407959
16,17.347556533928177,0.9937283512511348,1.7460270116841095,0.14999999,-0.6969697,-0.6250131,0.10912668823025684,0.6480114459991455
17,17.377319843599935,0.9940205978090463,1.7687071680841733,0.14999999,-0.67676765,-0.5482762,0.10404159812259843,0.6820859909057617
