Iteration,ReturnMean,Regret/t,LQGsigma_higher,ReturnLastEpisode,Regret,LQGmu1_higher,TimeElapsed,LQGmu1_actor
1,0.988471472034018,0.20059638660808687,0.14999999,17.19940361339191,0.20059638660808687,-1.0,0.24381589889526367,-1.0095
2,0.991130516969396,0.1543290047325101,0.14999999,17.291938377143065,0.3086580094650202,-0.97979796,0.2560234069824219,-0.88594407
3,0.9923923694096736,0.13237277227168084,0.14999999,17.311539692649976,0.3971183168150425,-0.959596,0.2898743152618408,-0.8649946
4,0.9914005499505989,0.14963043085958017,0.14999999,17.19859659337672,0.5985217234383207,-0.93939394,0.3488755226135254,-0.9938687
5,0.9917136408221386,0.14418264969478756,0.14999999,17.27760847496438,0.7209132484739378,-0.9191919,0.4065542221069336,-0.9129844
6,0.9911646587985933,0.1537349369044788,0.14999999,17.198503627047064,0.9224096214268727,-0.8989899,0.450000524520874,-1.0287776
7,0.991111350379743,0.1546625033924737,0.14999999,17.239772097679555,1.0826375237473158,-0.8787879,0.5064210891723633,-0.95567876
8,0.9912572078667193,0.15212458311908428,0.14999999,17.26564085879464,1.2169966649526742,-0.85858583,0.5825693607330322,-0.9303576
9,0.9921033975291791,0.13740088299228267,0.14999999,17.38038871802213,1.236607946930544,-0.83838385,0.6222541332244873,-0.63484085
10,0.992679666129263,0.12737380935082604,0.14999999,17.362869853422282,1.2737380935082605,-0.8181818,0.6649465560913086,-0.48682147
11,0.9925118262091378,0.13029422396100251,0.14999999,17.24050162993723,1.4332364635710277,-0.7979798,0.7169229984283447,-0.96273214
12,0.9929598446775469,0.12249870261068481,0.14999999,17.36325203224281,1.4699844313282178,-0.7777778,0.7638983726501465,-0.7871769
13,0.9935607166999214,0.11204352942136818,0.14999999,17.41341854885043,1.4565658824777863,-0.75757575,0.8010814189910889,-0.56842214
14,0.9939807510937583,0.10473493096860739,0.14999999,17.39027684891728,1.4662890335605034,-0.7373737,0.8393986225128174,-0.7037404
15,0.9941455683938535,0.10186710994695077,0.14999999,17.33828238435624,1.5280066492042614,-0.7171717,0.9030196666717529,-0.8095517
16,0.9945111646337653,0.09550573537248419,0.14999999,17.399914883244513,1.528091765959747,-0.6969697,0.9812657833099365,-0.6872268
17,0.9947031974770617,0.09216436389912819,0.14999999,17.361297579674567,1.566794186285179,-0.67676765,1.0323121547698975,-0.6955958
18,0.9948148462676384,0.09022167494309347,0.14999999,17.342804037309495,1.6239901489756825,-0.65656567,1.0840835571289062,-0.78233886
19,0.9950772068365726,0.0856566010436374,0.14999999,17.39651472914657,1.6274754198291106,-0.6363636,1.153088092803955,-0.6324106
20,0.9952283927539073,0.08302596608201558,0.14999999,17.366956098188798,1.6605193216403116,-0.61616164,1.2028884887695312,-0.5328297
21,0.9953535084476716,0.08084895301051563,0.14999999,17.362691308419482,1.6978280132208283,-0.5959596,1.2479772567749023,-0.55857104
22,0.9954509399650727,0.0791536446077354,0.14999999,17.356447831850648,1.7413801813701788,-0.57575756,1.2908611297607422,-0.48065442
23,0.9956236875595311,0.07614783646415747,0.14999999,17.389979942694556,1.7514002386756218,-0.5555556,1.3395826816558838,-0.6641531
24,0.9958191975423986,0.07274596276226308,0.14999999,17.405497132381306,1.745903106294314,-0.53535354,1.3855652809143066,-0.5030544
25,0.9958176145318107,0.0727735071464916,0.14999999,17.326565427632023,1.81933767866229,-0.5151515,1.4285845756530762,-0.38854766
26,0.9958242494764751,0.07265805910933268,0.14999999,17.33022814181964,1.8891095368426498,-0.4949495,1.4725964069366455,-0.46162578
27,0.9959103064077992,0.07116066850429184,0.14999999,17.36777148722677,1.9213380496158798,-0.47474748,1.5121312141418457,-0.7004727
28,0.9959872751190636,0.06982141292829246,0.14999999,17.36633848762369,1.9549995619921887,-0.45454547,1.5455470085144043,-0.608428
29,0.9960790951660279,0.06822374411111407,0.14999999,17.37651098276988,1.978488579222308,-0.43434343,1.578869342803955,-0.53419644
30,0.995999010456657,0.06961721805416883,0.14999999,17.28997203759724,2.088516541625065,-0.41414142,1.6183161735534668,-0.35356757
31,0.9959901360423351,0.06977163286336818,0.14999999,17.32559592286065,2.1629206187644137,-0.3939394,1.6761677265167236,-0.41821212
32,0.9960240107834949,0.06918221236718824,0.14999999,17.34908982301439,2.213830795750024,-0.37373737,1.7323048114776611,-0.49953765
33,0.9947200382540354,0.09187133437978416,0.14999999,16.582076761217145,3.0317540345328773,-0.35353535,1.7661716938018799,-0.19382039
34,0.9943704224087938,0.09795465008698677,0.14999999,17.101295931575326,3.33045810295755,-0.33333334,1.800915241241455,-0.27943712
35,0.9842940684117973,0.273283209634725,0.14999999,11.165545765742174,9.564912337215375,-0.3131313,1.8347020149230957,-0.01741162
36,0.9845685802490178,0.2685067036670884,0.14999999,17.29867100520019,9.666241332015183,-0.2929293,1.8697304725646973,-0.4021485
37,0.9841056633237357,0.27656145816699707,0.14999999,16.83346737983629,10.232773952178892,-0.27272728,1.9049489498138428,-0.21342662
38,0.9837750770205086,0.28231365984314943,0.14999999,16.90485487813921,10.72791907403968,-0.25252524,1.939554214477539,-0.2282537
39,0.9821245490624958,0.31103284631257316,0.14999999,15.997638067849325,12.130281006190353,-0.23232323,1.974548101425171,-0.10520235
40,0.9823939673304352,0.30634496845042725,0.14999999,17.27648226817326,12.25379873801709,-0.21212122,2.0107038021087646,-0.37790796
41,0.982501004639772,0.30448251926796593,0.14999999,17.170015448030487,12.483783289986603,-0.1919192,2.0442512035369873,-0.30224442
