Iteration,ReturnLastEpisode,LQGmu1_higher,TimeElapsed,Regret,Regret/t,LQGmu1_actor,ReturnMean,LQGsigma_higher
1,17.19636782384279,-1.0,0.18630051612854004,0.20363217615720686,0.20363217615720686,-1.0071009,0.9882970013702754,0.14999999
2,17.210477867699655,-0.97979796,0.21108365058898926,0.3931543084575502,0.1965771542287751,-0.9866498,0.9887024624006451,0.14999999
3,17.343444965907064,-0.959596,0.2857389450073242,0.44970934255048434,0.14990311418349478,-0.8128973,0.9913848784952014,0.14999999
4,17.373782945251378,-0.93939394,0.3485238552093506,0.475926397299105,0.11898159932477625,-0.6649207,0.9931619770503002,0.14999999
5,17.199653793799605,-0.9191919,0.4046785831451416,0.6762726034994984,0.13525452069989968,-0.9989539,0.9922267516839138,0.14999999
6,17.388901939132676,-0.8989899,0.46466779708862305,0.6873706643668207,0.11456177739447011,-0.7284756,0.9934159898049155,0.14999999
7,17.318438604083507,-0.8787879,0.5184268951416016,0.7689320602833121,0.1098474371833303,-0.85958576,0.9936869288975098,0.14999999
8,17.36045408519791,-0.85858583,0.5800673961639404,0.808477975085399,0.10105974688567487,-0.78864014,0.9941919685697889,0.14999999
9,17.26878203147522,-0.83838385,0.6314210891723633,0.9396959436101788,0.10441066040113098,-0.93193865,0.9939993873332684,0.14999999
10,17.356380155487244,-0.8181818,0.6759123802185059,0.9833157881229333,0.09833157881229333,-0.7882544,0.994348759838374,0.14999999
11,17.343141703649593,-0.7979798,0.7349989414215088,1.040174084473339,0.09456128040666717,-0.7949422,0.9945654436547894,0.14999999
12,17.318958831554774,-0.7777778,0.7937736511230469,1.1212152529185637,0.09343460440988031,-0.85228294,0.9946301951488575,0.14999999
13,17.340043701512155,-0.75757575,0.833381175994873,1.1811715514064076,0.0908593501081852,-0.8207175,0.9947781982696446,0.14999999
14,17.306611599413678,-0.7373737,0.8809137344360352,1.2745599519927282,0.09103999657090915,-0.840246,0.9947678162890284,0.14999999
15,17.382251390904944,-0.7171717,0.9291722774505615,1.2923085610877827,0.08615390407251884,-0.60466653,0.995048626202729,0.14999999
16,17.372421247767907,-0.6969697,0.9655318260192871,1.3198873133198745,0.08249295708249216,-0.60924935,0.9952590254550294,0.14999999
17,17.24579693557619,-0.67676765,0.9952447414398193,1.474090377743682,0.08671119869080482,-0.3144011,0.9950165977763907,0.14999999
18,17.382273733363686,-0.65656567,1.028517246246338,1.4918166443799947,0.08287870246555526,-0.5573363,0.9952368561801408,0.14999999
19,17.33210527436169,-0.6363636,1.0584723949432373,1.5597113700183023,0.08209007210622643,-0.8468041,0.9952821797640101,0.14999999
20,17.106985239026425,-0.61616164,1.0910327434539795,1.8527261309918757,0.09263630654959379,-0.26242286,0.9946760743362304,0.14999999
21,17.363072590187695,-0.5959596,1.1254370212554932,1.8896535408041792,0.08998350194305615,-0.6226403,0.9948285343710889,0.14999999
22,17.42321028536103,-0.57575756,1.1596910953521729,1.8664432554431478,0.08483832979287036,-0.578136,0.9951242339199502,0.14999999
23,17.40048809773316,-0.5555556,1.1894621849060059,1.8659551577099869,0.08112848511782551,-0.56158054,0.9953374433840331,0.14999999
24,17.34052705755364,-0.53535354,1.2213740348815918,1.9254281001563456,0.08022617083984773,-0.4595153,0.9953893005264457,0.14999999
25,17.38572504020986,-0.5151515,1.2605159282684326,1.9397030599464848,0.0775881223978594,-0.56027067,0.9955409125058702,0.14999999
26,17.375937822794267,-0.4949495,1.2934651374816895,1.9637652371522165,0.07552943219816217,-0.49332014,0.9956592280345884,0.14999999
27,17.26666237931401,-0.47474748,1.3289272785186768,2.0971028578382054,0.07767047621622983,-0.39817324,0.9955361795278029,0.14999999
28,17.332375406218738,-0.45454547,1.363429069519043,2.1647274516194663,0.07731169470069522,-0.50976455,0.9955567991551325,0.14999999
29,17.365808287556185,-0.43434343,1.3955202102661133,2.1989191640632804,0.07582479876080277,-0.51444423,0.9956422529447814,0.14999999
30,11.501758151119565,-0.41414142,1.430053472518921,8.097161012943713,0.2699053670981238,-0.01736334,0.9844881972932112,0.14999999
31,17.24050977904488,-0.3939394,1.4625818729400635,8.25665123389883,0.26634358819028486,-0.35279396,0.9846928972304433,0.14999999
32,17.248049620243503,-0.37373737,1.4957630634307861,8.408601613655327,0.26276880042672895,-0.38355803,0.9848983448030615,0.14999999
33,17.04764670861274,-0.35353535,1.5284974575042725,8.760954905042587,0.2654834819709875,-0.27564618,0.984742328622357,0.14999999
34,17.40793916628083,-0.33333334,1.5608148574829102,8.753015738761755,0.25744163937534575,-0.48664224,0.9852045034841755,0.14999999
35,16.397716319101423,-0.3131313,1.595961332321167,9.75529941966033,0.27872284056172375,-0.13544355,0.9839814459447285,0.14999999
36,17.311665029599546,-0.2929293,1.643357276916504,9.843634390060783,0.27343428861279956,-0.3947414,0.984285385711908,0.14999999
37,17.26609232016571,-0.27272728,1.689110279083252,9.97754206989507,0.2696632991863533,-0.42271286,0.9845021092421636,0.14999999
38,15.746387172884454,-0.25252524,1.731342077255249,11.631154897010616,0.3060830236055425,-0.094386205,0.9824090216318655,0.14999999
39,16.819492456140843,-0.23232323,1.7812306880950928,12.211662440869771,0.31311954976589157,-0.21953407,0.9820046235766731,0.14999999
40,16.817096501315707,-0.21212122,1.824770212173462,12.794565939554063,0.3198641484888516,-0.21103436,0.9816170029604111,0.14999999
41,17.119994661455813,-0.1919192,1.876373052597046,13.074571278098249,0.3188919823926402,-0.28925622,0.9816728745751357,0.14999999
42,17.173597898116284,-0.17171717,1.9288432598114014,13.300973379981963,0.31668984238052295,-0.28396818,0.9817994343459472,0.14999999
