LQGmu1_actor,TimeElapsed,Regret,LQGsigma_higher,ReturnLastEpisode,Iteration,ReturnMean,LQGmu1_higher,Regret/t
-1.0297719,0.2090909481048584,0.2034071931225938,0.14999999,17.196592806877405,1,0.988309931429736,-1.0,0.2034071931225938
-1.2955934,0.2409048080444336,0.40613367358925956,0.14999999,17.197273519533333,2,0.9883294921382397,-0.97979796,0.20306683679462978
-1.0851446,0.30373430252075195,0.6088742788511965,0.14999999,17.19725939473806,3,0.9883357417844598,-0.959596,0.20295809295039882
-1.0695169,0.3658168315887451,0.8073751004329175,0.14999999,17.201499178418278,4,0.988399783039757,-0.93939394,0.20184377510822937
-1.0407093,0.42925405502319336,1.0102099630091281,0.14999999,17.197165137423788,5,0.9883883912297801,-0.9191919,0.20204199260182562
-0.79571944,0.46993494033813477,1.0710522289923539,0.14999999,17.339157734016773,6,0.9897408790326403,-0.8989899,0.17850870483205897
-0.52820635,0.5082392692565918,1.100043347905153,0.14999999,17.3710088810872,7,0.9909684454194979,-0.8787879,0.15714904970073615
-0.8875615,0.5400941371917725,1.1965153298382027,0.14999999,17.30352801806695,8,0.9914043438948404,-0.85858583,0.14956441622977534
-0.8364924,0.6128482818603516,1.2770772837979862,0.14999999,17.319438046040215,9,0.9918449726449681,-0.83838385,0.14189747597755403
-0.90094286,0.658397912979126,1.3978112264396323,0.14999999,17.279266057358353,10,0.9919666021468986,-0.8181818,0.13978112264396322
-0.88748026,0.7084128856658936,1.50159495420354,0.14999999,17.29621627223609,11,0.9921546763103263,-0.7979798,0.13650863220032183
-0.5914913,0.7442092895507812,1.482663408292165,0.14999999,17.418931545911374,12,0.9928991216077961,-0.7777778,0.12355528402434708
-0.8126988,0.7816116809844971,1.5328455079182213,0.14999999,17.349817900373942,13,0.9932234946599549,-0.75757575,0.11791119291678626
-0.6495161,0.8054308891296387,1.5294005474624477,0.14999999,17.403444960455772,14,0.9937216726294645,-0.7373737,0.10924289624731769
-0.7420234,0.8820164203643799,1.5445061584316697,0.14999999,17.384894389030777,15,0.9940823518834035,-0.7171717,0.10296707722877799
-1.0325712,0.9946143627166748,1.7458586310684758,0.14999999,17.198647527363192,16,0.9937289560665644,-0.6969697,0.10911616444177974
-0.7433295,1.0625605583190918,1.7577854632784842,0.14999999,17.38807316778999,17,0.9940575204081187,-0.67676765,0.10339914489873436
-0.74148244,1.121985912322998,1.7820570274957923,0.14999999,17.37572843578269,18,0.9943101627474591,-0.65656567,0.09900316819421068
-0.6258763,1.182654619216919,1.7543504766165405,0.14999999,17.42770655087925,19,0.9946934347349771,-0.6363636,0.09233423561139686
-0.44134748,1.2546520233154297,1.8261092429333594,0.14999999,17.32824123368318,20,0.994752559646743,-0.61616164,0.09130546214666797
-0.5773212,1.3385546207427979,1.813041573681165,0.14999999,17.413067669252193,21,0.9950382004004346,-0.5959596,0.08633531303243643
-0.59738404,1.415050745010376,1.8225445513119638,0.14999999,17.3904970223692,22,0.9952389118304285,-0.57575756,0.0828429341505438
-0.65164167,1.4895074367523193,1.820358229166846,0.14999999,17.402186322145116,23,0.9954513787377139,-0.5555556,0.07914600996377592
-0.42417789,1.5598299503326416,1.8628320109384795,0.14999999,17.357526218228365,24,0.995539195376105,-0.53535354,0.07761800045576998
-0.5168616,1.6291630268096924,1.876072998611324,0.14999999,17.386759012327154,25,0.9956871885089393,-0.5151515,0.07504291994445296
-0.46126702,1.7124323844909668,1.879763405856611,0.14999999,17.39630959275471,26,0.9958449084751179,-0.4949495,0.07229859253294658
-0.5154837,1.7700769901275635,1.866960635287743,0.14999999,17.412802770568867,27,0.9960260522875951,-0.47474748,0.06914669019584234
-0.34823743,1.7940855026245117,2.044233225555299,0.14999999,17.222727409732443,28,0.9958041189951655,-0.45454547,0.07300832948411783
-0.22008102,1.8269898891448975,2.5637876198995464,0.14999999,16.88044560565575,29,0.9949191684108212,-0.43434343,0.0884064696517085
-0.452203,1.8738338947296143,2.585548767464246,0.14999999,17.3782388524353,30,0.9950468414416392,-0.41414142,0.08618495891547487
-0.354584,1.924401044845581,2.7233018065479584,0.14999999,17.262246960916286,31,0.9949512387716944,-0.3939394,0.08784844537251478
-0.49751058,1.9620745182037354,2.749204956514003,0.14999999,17.374096850033954,32,0.9950624910982147,-0.37373737,0.08591265489106259
-0.4499227,1.997847080230713,2.811075796594384,0.14999999,17.338129159919617,33,0.9951043612041197,-0.35353535,0.08518411504831466
-0.40903634,2.0326409339904785,2.8907672349876385,0.14999999,17.320308561606744,34,0.9951136456474177,-0.33333334,0.08502256573493054
-0.1795954,2.0680854320526123,3.840297139909108,0.14999999,16.45047009507853,35,0.9936940933663231,-0.3131313,0.10972277542597451
-0.38989326,2.103801965713501,3.995388523483161,0.14999999,17.244908616425946,36,0.9936216658309655,-0.2929293,0.11098301454119891
-0.384229,2.1402382850646973,4.066574048822044,0.14999999,17.328814474661115,37,0.9936834823721309,-0.27272728,0.10990740672492012
0.04399267,2.1777069568634033,12.379541663458397,0.14999999,9.087032385363646,38,0.9812771602186047,-0.25252524,0.3257774121962736
-0.44806367,2.213285446166992,12.453137133141702,0.14999999,17.326404530316694,39,0.9816487811182701,-0.23232323,0.31931120854209494
-0.42425174,2.248384475708008,12.557235235591907,0.14999999,17.295901897549793,40,0.9819579953511607,-0.21212122,0.3139308808897977
-0.25154534,2.283480167388916,12.864438877889047,0.14999999,17.09279635770286,41,0.9819674251781759,-0.1919192,0.31376680189973283
