Iteration,LQGmu1_higher,Regret/t,Regret,ReturnMean,ReturnLastEpisode,LQGmu1_actor,TimeElapsed,LQGsigma_higher
1,-1.0,0.20101150682803137,0.20101150682803137,0.9884476145501131,17.198988493171967,-1.270925,0.1523737907409668,0.14999999
2,-0.97979796,0.13812803080563363,0.27625606161126726,0.9920616074249635,17.324755445216763,-0.8313886,0.21512079238891602,0.14999999
3,-0.959596,0.1333881910610207,0.4001645731830621,0.9923340120079872,17.276091488428204,-0.9152871,0.24924564361572266,0.14999999
4,-0.93939394,0.14974699351108534,0.5989879740443413,0.9913938509476388,17.20117659913872,-1.0479226,0.2853837013244629,0.14999999
5,-0.9191919,0.13625114802205687,0.6812557401102843,0.992169474251606,17.317732233934056,-0.86114216,0.3249547481536865,0.14999999
6,-0.8989899,0.1316163715064184,0.7896982290385104,0.9924358407180219,17.291557511071773,-0.8886918,0.35617852210998535,0.14999999
7,-0.8787879,0.12009387027548156,0.8406570919283709,0.9930980534324435,17.349041137110138,-0.7578086,0.3782992362976074,0.14999999
8,-0.85858583,0.10339654360331663,0.827172348826533,0.9940576699078554,17.413484743101836,-0.55290425,0.4337623119354248,0.14999999
9,-0.83838385,0.09935167165963242,0.8941650449366918,0.9942901338126648,17.33300730388984,-0.81011015,0.49648022651672363,0.14999999
10,-0.8181818,0.09223826663621075,0.9223826663621075,0.9946989501933213,17.371782378574583,-0.71603256,0.5553562641143799,0.14999999
11,-0.7979798,0.10042624939353476,1.1046887433288823,0.9942283764716361,17.217693923033224,-0.9767355,0.6044981479644775,0.14999999
12,-0.7777778,0.10647837652944829,1.2777405183533794,0.9938805530730203,17.2269482249755,-0.9648299,0.6526882648468018,0.14999999
13,-0.75757575,0.10275369574545551,1.3357980446909217,0.9940946151870429,17.341942473662456,-0.81581813,0.695972204208374,0.14999999
14,-0.7373737,0.09881084437268305,1.3833518212175626,0.9943212158406505,17.352446223473358,-0.7976718,0.7407855987548828,0.14999999
