LQGsigma_higher,LQGmu1_higher,Regret/t,Regret,ReturnMean,Iteration,ReturnLastEpisode,TimeElapsed,LQGmu1_actor
0.14999999,-1.0,0.20117943722586773,0.20117943722586773,0.9884379633778237,1,17.19882056277413,0.20394062995910645,-1.0270102
0.14999999,-0.97979796,0.1512414798372408,0.3024829596744816,0.9913079609288942,2,17.298696477551385,0.2184603214263916,-0.87270397
0.14999999,-0.959596,0.14468662923746578,0.43405988771239734,0.9916846764806054,3,17.268423071962083,0.24120593070983887,-0.92934656
0.14999999,-0.93939394,0.1581764509326531,0.6327058037306124,0.9909093993716866,4,17.201354083981784,0.2621893882751465,-1.0660734
0.14999999,-0.9191919,0.16297994344453387,0.8148997172226693,0.9906333365836476,5,17.21780608650794,0.28341054916381836,-0.97884804
0.14999999,-0.8989899,0.1471692706814475,0.8830156240886851,0.991541995937848,6,17.331884093133983,0.296065092086792,-0.8383131
0.14999999,-0.8787879,0.15292765055786361,1.0704935539050453,0.9912110545656401,7,17.21252207018364,0.3216981887817383,-0.990498
0.14999999,-0.85858583,0.15105620601624858,1.2084496481299887,0.991318608849641,8,17.262043905775055,0.3351314067840576,-0.927676
0.14999999,-0.83838385,0.14637645328215104,1.3173880795393593,0.9915875601561983,9,17.291061568590628,0.3455994129180908,-0.8774134
0.14999999,-0.8181818,0.12987562583550627,1.2987562583550627,0.9925358835726721,10,17.418631821184295,0.3562965393066406,-0.60686696
0.14999999,-0.7979798,0.1284265691943021,1.4126922611373232,0.9926191626899826,11,17.286063997217738,0.3665337562561035,-0.90375674
0.14999999,-0.7777778,0.12195530785479274,1.4634636942575128,0.9929910742612188,12,17.34922856687981,0.3779032230377197,-0.8066016
0.14999999,-0.75757575,0.11575432045506363,1.5048061659158272,0.9933474528474101,13,17.358657528341684,0.38829731941223145,-0.7859937
0.14999999,-0.7373737,0.11495807567080085,1.609413059391212,0.9933932140419081,14,17.295393106524614,0.398540735244751,-0.8873067
0.14999999,-0.7171717,0.10934389189469229,1.6401583784203844,0.9937158682819143,15,17.369254680970826,0.4089012145996094,-0.71553016
0.14999999,-0.6969697,0.10433252664511983,1.6693204263219172,0.9940038777790161,16,17.370837952098466,0.4192779064178467,-0.5903591
0.14999999,-0.67676765,0.10000145440735675,1.7000247249250648,0.9942527899765887,17,17.36929570139685,0.4295363426208496,-0.75936896
0.14999999,-0.65656567,0.09460762514524153,1.7029372526143476,0.9945627801640666,18,17.397087472310716,0.44002771377563477,-0.68870825
0.14999999,-0.6363636,0.09241241164824406,1.7558358213166372,0.9946889418592965,19,17.34710143129771,0.45029640197753906,-0.4686849
0.14999999,-0.61616164,0.09095585596322345,1.8191171192644688,0.9947726519561367,20,17.336718702052167,0.4606318473815918,-0.40272233
0.14999999,-0.5959596,0.08638797905304245,1.8141475601138914,0.9950351736176414,21,17.404969559150576,0.4756300449371338,-0.5757984
0.14999999,-0.57575756,0.08408553688001096,1.849881811360241,0.9951674978804591,22,17.36426574875365,0.48796677589416504,-0.4631447
0.14999999,-0.5555556,0.08044543815662941,1.8502450776024766,0.9953766989565156,23,17.399636733757763,0.5076260566711426,-0.5151147
0.14999999,-0.53535354,0.07799059511334994,1.8717742827203985,0.9955177818900375,24,17.378470794882077,0.5199930667877197,-0.47727966
0.14999999,-0.5151515,0.07655413821152976,1.913853455288244,0.9956003368843949,25,17.357920827432153,0.5439951419830322,-0.49885562
0.14999999,-0.4949495,0.07466362519545022,1.9412542550817058,0.9957089870577328,26,17.372599200206537,0.5611331462860107,-0.5367932
0.14999999,-0.47474748,0.07118401746940606,1.9219684716739636,0.9959089645132527,27,17.41928578340774,0.5772445201873779,-0.56167287
0.14999999,-0.45454547,0.07253608031290248,2.0310102487612696,0.9958312597521323,28,17.290958222912693,0.58925461769104,-0.36823314
0.14999999,-0.43434343,0.07090417384028669,2.056221041368314,0.9959250474804434,29,17.374789207392954,0.6008415222167969,-0.4811541
0.14999999,-0.41414142,0.06939554702104035,2.0818664106312106,0.9960117501712047,30,17.374354630737102,0.615828275680542,-0.4538188
0.14999999,-0.3939394,0.0725506799126947,2.249071077293536,0.9958304206946729,31,17.232795333337673,0.6275415420532227,-0.3340716
0.14999999,-0.37373737,0.22943418204663857,7.341893825492434,0.9868141274685841,32,12.3071772518011,0.6422302722930908,-0.021864682
0.14999999,-0.35353535,0.31534564474370114,10.406406276542137,0.9818766870836956,33,14.335487548950296,0.667144775390625,-0.059948057
0.14999999,-0.33333334,0.3324257891140465,11.302476829877582,0.980895069591147,34,16.503929446664554,0.710169792175293,-0.14400515
0.14999999,-0.3131313,0.35685610945173873,12.489963830810856,0.9794910281924291,35,16.212512999066725,0.7507123947143555,-0.141291
0.14999999,-0.2929293,0.3479452442143596,12.526028791716945,0.9800031468842323,36,17.36393503909391,0.8064546585083008,-0.4464199
0.14999999,-0.27272728,0.35093144702298534,12.984463539850458,0.9798315260331618,37,16.941565251866486,0.8715333938598633,-0.21515852
0.14999999,-0.25252524,0.5615387940327742,21.33847417324542,0.9677276555153579,38,9.045989366605037,0.9433043003082275,0.08026999
0.14999999,-0.23232323,0.7071758761067171,27.579859168161967,0.9593577082697291,39,11.15861500508345,1.0343432426452637,-0.015797079
0.14999999,-0.21212122,0.7107434464511688,28.429737858046753,0.9591526754913124,40,16.550121310115212,1.0910282135009766,-0.16703543
0.14999999,-0.1919192,0.7213061431083718,29.573551867443246,0.9585456239592892,41,16.256185990603505,1.1395347118377686,-0.14411348
