LQGsigma_higher,Iteration,TimeElapsed,LQGmu1_higher,LQGmu1_actor,Regret/t,ReturnLastEpisode,ReturnMean,Regret
0.14999999,1,0.23737335205078125,-1.0,-1.1408191,0.2093216437698402,17.19067835623016,0.9879700204729976,0.2093216437698402
0.14999999,2,0.2761380672454834,-0.97979796,-0.97445625,0.19393223593998243,17.221457171889874,0.9888544691988516,0.38786447187996487
0.14999999,3,0.3370344638824463,-0.959596,-1.0745825,0.19846939428820556,17.192456289015347,0.9885937129719422,0.5954081828646167
0.14999999,4,0.38382816314697266,-0.93939394,-1.041837,0.19914047781856414,17.19884627159036,0.988555144952956,0.7965619112742566
0.14999999,5,0.43075084686279297,-0.9191919,-0.7292486,0.1605949966783456,17.393586927882527,0.9907704024897501,0.8029749833917279
0.14999999,6,0.4833831787109375,-0.8989899,-0.8120957,0.1426523648302306,17.347060794410343,0.9918015882281476,0.8559141889813837
0.14999999,7,0.5340611934661865,-0.8787879,-1.1080091,0.15114244443708508,17.197917077921787,0.9913136526185582,1.0579971110595956
0.14999999,8,0.5952246189117432,-0.85858583,-0.94318736,0.15101691596818156,17.24986178331414,0.9913208668983803,1.2081353277454525
0.14999999,9,0.6526248455047607,-0.83838385,-0.6653695,0.13189297055568694,17.42109859274427,0.9924199442209374,1.1870367350011826
0.14999999,10,0.7068779468536377,-0.8181818,-0.7749774,0.12307433510324692,17.356293383968712,0.9929267623503881,1.2307433510324692
0.14999999,11,0.7559959888458252,-0.7979798,-0.68100804,0.11290481264704737,17.388790411914947,0.9935112176639628,1.241952939117521
0.14999999,12,0.8037159442901611,-0.7777778,-0.7548859,0.10517503661448331,17.37985249974372,0.9939554576658343,1.2621004393737998
0.14999999,13,0.8524844646453857,-0.75757575,-0.5186258,0.0954332891436447,17.421467680506417,0.9945153282101352,1.2406327588673811
0.14999999,14,0.9065756797790527,-0.7373737,-0.70953256,0.08930234016549424,17.39039999655046,0.9948676815996842,1.2502327623169194
0.14999999,15,0.9563701152801514,-0.7171717,-1.007818,0.0968512358977243,17.197464223851053,0.9944338370173721,1.4527685384658646
0.14999999,16,1.0380136966705322,-0.6969697,-0.8742614,0.0972973445238503,17.29601102608426,0.9944081985905833,1.5567575123816049
0.14999999,17,1.117337703704834,-0.67676765,-0.72105014,0.09253507750439403,17.383661194806905,0.9946818920974486,1.5730963175746986
0.14999999,18,1.1675798892974854,-0.65656567,-0.8123656,0.09082519767837975,17.33824275936386,0.9947801610529665,1.6348535582108354
0.14999999,19,1.2167112827301025,-0.6363636,-0.4704367,0.08961933277546869,17.33208623547693,0.9948494636335936,1.702767322733905
0.14999999,20,1.2647414207458496,-0.61616164,-0.45914376,0.08686766984234531,17.365413925886998,0.9950076051814742,1.7373533968469062
0.14999999,21,1.316040277481079,-0.5959596,-0.49000156,0.0856556721054817,17.33858428263179,0.9950772602238226,1.7987691142151156
0.14999999,22,1.3538269996643066,-0.57575756,-0.56167954,0.08345106958525571,17.36284558333949,0.9952039615180884,1.8359235308756254
0.14999999,23,1.3886911869049072,-0.5555556,-0.4425688,0.08140405948561967,17.36363016270637,0.9953216057766882,1.8722933681692524
0.14999999,24,1.4242563247680664,-0.53535354,-0.7611432,0.07893318878043454,17.377896837438822,0.9954636098402045,1.894396530730429
0.14999999,25,1.4628276824951172,-0.5151515,-0.66090477,0.0766389931843696,17.378421701121187,0.9955954601618174,1.9159748296092403
0.14999999,26,1.5019643306732178,-0.4949495,-0.70524883,0.07378322639718632,17.397610943282395,0.9957595846898164,1.9183638863268442
0.14999999,27,1.5385966300964355,-0.47474748,-0.5194505,0.07094107033364633,17.40295498731839,0.9959229269923188,1.915408899008451
0.14999999,28,1.576294183731079,-0.45454547,-0.36192316,0.07363079685717759,17.253746587007477,0.9957683450082079,2.0616623120009727
0.14999999,29,1.6205954551696777,-0.43434343,-0.48496902,0.07166860040228733,17.38327290033464,0.9958811149194084,2.0783894116663326
0.14999999,30,1.6637704372406006,-0.41414142,-0.47034955,0.06997378717150629,17.379175796521142,0.9959785179786488,2.099213615145189
0.14999999,31,1.699493408203125,-0.3939394,-0.31356785,0.07410809240997654,17.201862750435915,0.9957409142293114,2.297350864709273
0.14999999,32,1.7480278015136719,-0.37373737,-0.50629663,0.07162887402538054,17.405226895897094,0.9958833980445181,2.2921239688121773
0.14999999,33,1.7953746318817139,-0.35353535,-0.24753028,0.08192966646269625,16.9884449755432,0.9952913984791552,2.7036789932689764
0.14999999,34,1.844468593597412,-0.33333334,-0.38338092,0.08382704157440045,17.25355957973936,0.9951823539325053,2.8501194135296153
0.14999999,35,1.8904330730438232,-0.3131313,-0.6425822,0.08182052310524221,17.386401104846136,0.9952976710859052,2.8637183086834774
0.14999999,36,1.9403884410858154,-0.2929293,-0.15299438,0.1062794788596872,16.437657069734737,0.9938919839735808,3.826061238948739
0.14999999,37,1.9902405738830566,-0.27272728,-0.075226575,0.18433884999990757,14.405523788952157,0.9894058132183956,6.82053744999658
0.14999999,38,2.0501976013183594,-0.25252524,-0.45106468,0.17993034194474103,17.38318445609642,0.9896591757503018,6.83735299390016
0.14999999,39,2.088717222213745,-0.23232323,0.07614425,0.38937149143148037,9.051864828072423,0.9776223280786501,15.185488165827735
0.14999999,40,2.1245882511138916,-0.21212122,-0.22614825,0.39497446557741495,16.786509542731135,0.9773003180702631,15.798978623096598
0.14999999,41,2.159548759460449,-0.1919192,-0.22911413,0.4000656041492722,16.796288852976435,0.9770077238994667,16.402689770120162
0.14999999,42,2.195286750793457,-0.17171717,-0.19270878,0.4102740244709131,16.57118074234181,0.9764210330763838,17.23150902777835
0.14999999,43,2.238323926925659,-0.15151516,-0.09051989,0.4457655376207932,15.463590910084243,0.9743812909413332,19.167918117694107
0.14999999,44,2.2819156646728516,-0.13131313,-0.09845595,0.474525343657306,15.688802996772644,0.9727284285254417,20.879115120921462
0.14999999,45,2.3164916038513184,-0.11111111,-0.016738266,0.6142770335784543,10.636648609891019,0.9646967222081344,27.64246651103044
0.14999999,46,2.3524768352508545,-0.09090909,-0.354517,0.6055662898498223,17.186417177938612,0.9651973396638028,27.85604933309183
0.14999999,47,2.3872127532958984,-0.07070707,-0.10955618,0.62157558648303,16.041996768389414,0.964277265144653,29.214052564702413
0.14999999,48,2.42261004447937,-0.05050505,-0.22526774,0.6191552196494204,16.894602021530233,0.9644163666868145,29.71945054317218
0.14999999,49,2.458538055419922,-0.030303031,-0.15499958,0.6230573498878148,16.589640398669253,0.9641921063282861,30.529810144502925
0.14999999,50,2.4947476387023926,-0.01010101,-0.015369615,0.712090242737408,12.325298007632524,0.9590752734058957,35.6045121368704
0.14999999,51,2.5291213989257812,0.01010101,0.28728288,0.8755152802086299,8.353232846230272,0.9496830298730669,44.651279290640126
