Iteration,Regret/t,Regret,LQGmu1_actor,TimeElapsed,ReturnLastEpisode,LQGmu1_higher,LQGsigma_higher,ReturnMean
1,0.04993278517229527,0.04993278517229527,-0.80105674,0.2239522933959961,17.350067214827703,-1.0,0.14999999,0.9971302997027417
2,0.09481078782766872,0.18962157565533744,-0.93843055,0.2622694969177246,17.260311209516956,-0.97979796,0.14999999,0.9945511041478352
3,0.12957127261674964,0.38871381785024894,-1.1367114,0.29767632484436035,17.200907757805087,-0.959596,0.14999999,0.9925533751369685
4,0.13449065643037716,0.5379626257215087,-0.9385485,0.3319365978240967,17.25075119212874,-0.93939394,0.14999999,0.9922706519292888
5,0.14829505154731493,0.7414752577365746,-1.1450281,0.35549259185791016,17.196487367984933,-0.9191919,0.14999999,0.9914772958880855
6,0.13867972256911365,0.8320783354146819,-0.8608739,0.3686654567718506,17.30939692232189,-0.8989899,0.14999999,0.9920299010017751
7,0.13204573268032047,0.9243201287622433,-0.8701753,0.3906595706939697,17.307758206652437,-0.8787879,0.14999999,0.9924111647884875
8,0.12845436818560874,1.0276349454848699,-0.8822081,0.410630464553833,17.296685183277372,-0.85858583,0.14999999,0.9926175650468042
9,0.11548552481094315,1.0393697232984884,-0.69878364,0.4339020252227783,17.38826522218638,-0.83838385,0.14999999,0.9933629008729343
10,0.10693927441772608,1.0693927441772608,-0.647207,0.45249414443969727,17.369976979121226,-0.8181818,0.14999999,0.9938540646886365
11,0.11599650045378822,1.2759615049916704,-1.0912893,0.4672064781188965,17.19343123918559,-0.7979798,0.14999999,0.9933335344566788
12,0.11694529746265155,1.4033435695518186,-0.92607945,0.49779367446899414,17.27261793543985,-0.7777778,0.14999999,0.9932790058929509
13,0.11391812737172366,1.4809356558324076,-0.834987,0.5219073295593262,17.32240791371941,-0.75757575,0.14999999,0.993452981185533
14,0.11129268909161942,1.558097647282672,-0.8221736,0.552248477935791,17.322838008549734,-0.7373737,0.14999999,0.9936038684430103
15,0.107508078147355,1.612621172210325,-0.8143098,0.5874590873718262,17.345476475072346,-0.7171717,0.14999999,0.9938213748191174
16,0.10207159530925924,1.633145524948148,-0.71394974,0.6191790103912354,17.379475647262176,-0.6969697,0.14999999,0.9941338163615367
17,0.09739006500386083,1.655631105065634,-0.4397048,0.6539182662963867,17.377514419882512,-0.67676765,0.14999999,0.9944028698273641
18,0.10319656046987033,1.857538088457666,-1.0120815,0.6883015632629395,17.198093016607967,-0.65656567,0.14999999,0.9940691631913866
19,0.09980830750847092,1.8963578426609473,-0.749288,0.7144148349761963,17.361180245796717,-0.6363636,0.14999999,0.9942638903730762
20,0.10198417990584936,2.039683598116987,-0.35641822,0.7625722885131836,17.25667424454396,-0.61616164,0.14999999,0.9941388402352958
21,0.1002493455006684,2.1052362555140363,-0.4528997,0.7989997863769531,17.33444734260295,-0.5959596,0.14999999,0.9942385433620304
22,0.09559920670067466,2.1031825474148427,-0.5183451,0.955223798751831,17.402053708099192,-0.57575756,0.14999999,0.9945057927183519
23,0.09179656038324378,2.111320888814607,-0.57907766,1.1070969104766846,17.391861658600234,-0.5555556,0.14999999,0.9947243356101584
24,0.09022048180228825,2.165291563254918,-0.4052266,1.1482198238372803,17.346029325559687,-0.53535354,0.14999999,0.9948149148389489
25,0.08644486283384907,2.161121570846227,-0.6191722,1.2015109062194824,17.40416999240869,-0.5151515,0.14999999,0.9950319044348361
26,0.08323488486711206,2.1641070065449135,-0.6454683,1.2135696411132812,17.397014564301312,-0.4949495,0.14999999,0.9952163859271774
27,0.08052614680431992,2.1742059637166378,-0.5347508,1.2254743576049805,17.389901042828274,-0.47474748,0.14999999,0.9953720605284873
28,0.0814993510219683,2.2819818286151126,-0.46699527,1.237497091293335,17.292224135101524,-0.45454547,0.14999999,0.995316129251611
29,0.08103325439995476,2.3499643775986883,-0.4819892,1.2510030269622803,17.332017451016423,-0.43434343,0.14999999,0.9953429164137957
30,0.08061606573254933,2.4184819719764796,-0.46793798,1.2645409107208252,17.331482405622207,-0.41414142,0.14999999,0.9953668927739913
31,0.07884275651724407,2.444125452034566,-0.5369412,1.2894084453582764,17.374356519941912,-0.3939394,0.14999999,0.99546880709671
32,0.07758415744876035,2.482693038360331,-0.56531227,1.3142054080963135,17.361432413674233,-0.37373737,0.14999999,0.995541140376508
33,0.0756810496895497,2.49747463975514,-0.5417322,1.338735818862915,17.38521839860519,-0.35353535,0.14999999,0.995650514385658
34,0.08721853881975254,2.9654303198715866,-0.23717281,1.3749234676361084,16.932044319883552,-0.33333334,0.14999999,0.9949874402977154
35,0.08802489574140293,3.080871350949103,-0.39137012,1.40889310836792,17.284558968922482,-0.3131313,0.14999999,0.9949410979458962
36,0.08645367964907999,3.1123324673668797,-0.5176302,1.4407055377960205,17.36853888358222,-0.2929293,0.14999999,0.9950313977213171
37,0.08503939595840623,3.1464576504610307,-0.42731255,1.4678294658660889,17.365874816905848,-0.27272728,0.14999999,0.9951126783931948
38,0.2995849238185679,11.384227105105579,0.017746955,1.4928619861602783,9.16223054535545,-0.25252524,0.14999999,0.9827824756426109
39,0.30153217614443545,11.759754869632983,-0.26181647,1.5151090621948242,17.024472235472594,-0.23232323,0.14999999,0.9826705645894
40,0.36907137424523834,14.762854969809533,-0.05255063,1.536024808883667,14.396899899823449,-0.21212122,0.14999999,0.9787890014801585
41,0.3619699948936275,14.84076979063873,-0.38038933,1.5651960372924805,17.322085179170802,-0.1919192,0.14999999,0.979197126730251
