,IWNorm2,SqrtESSClassic,ReturnMean,IWMean,URet,IWLastEpisode,TimeElapsed,IWMin,ReturnMin,ReturnAbsMax,target_sum_log_mean,DenMISEMeanLog,LQGsigma,IWMax,IWNorm1,Bound,IWFirstEpisode,DenMISELogFirst,MISE,DenMISELogLast,TimestepsSoFar,ReturnLastEpisode,Iteration,ReturnMax,LQGmu1,ReturnStepMax,LQGmu01
0,0.9650348,1.0,15.058442000000001,0.9650348,16.687925283112616,0.9650348,0.8110272884368896,,,15.058442000000001,18.566589999999998,18.60218,0.11,0.9650348,0.9650348,44.648804,0.9650348,18.60218,14.531920000000001,18.60218,20,15.058442000000001,1,15.058442000000001,-0.099,0.9625284,-0.01
1,3.0366827e-09,1.0329554,15.424957000000001,1.468379e-09,17.485525404344575,2.9349765e-09,24.980398893356323,,,15.791472,-3.3946601999999997,19.955425,0.11,2.9349765e-09,3.136758e-09,30.575322999999997,1.7814310000000002e-12,18.584543,2.3187214e-08,21.326307,40,15.791472,2,15.791472,-0.026,0.99517673,-0.003
2,3.0194821,1.0,14.797077,1.006494,14.9850974207257,3.0194821,26.18350005149841,,,15.791472,4.520044,18.412453,0.11,3.0194821,3.0194821,45.2122,1.5951818e-11,18.17908,13.629254000000001,16.137432,60,13.541317000000001,3,15.791472,-0.028,0.99517673,-0.003
3,3.3686817000000002,1.3455974,14.57538,1.1332223,15.411995985522942,2.9994092,28.07851195335388,,,15.791472,9.572148,18.252419,0.11,2.9994092,4.5328894,39.09332,6.5617334e-10,17.891396,15.622,17.938982,80,13.91029,4,15.791472,-0.034,0.99517673,-0.003
4,2.4104624,1.5969528999999998,14.088460999999999,0.769879,13.421225233355505,1.1083219,29.40298557281494,,,15.791472,11.245169,17.206503,0.11,2.0128825,3.8493948,30.040274,1.9569711e-08,17.668253,10.263269000000001,13.031360000000001,100,12.140788,5,15.791472,-0.039,0.99517673,-0.004
5,7.1292315,1.3752109,13.993535000000001,1.6340327,14.980164152183994,6.8890785999999995,31.61295390129089,,,15.791472,12.465588,16.879381,0.11,6.8890785999999995,9.804196000000001,44.97232,6.923972500000001e-08,17.485931,22.006426,15.480888,120,13.518901000000001,6,15.791472,-0.041,0.99517673,-0.004
6,6.9280534,1.5343962,13.898897,1.5186255,14.773549351192566,2.3131664,33.631478786468506,,,15.791472,13.674223000000001,17.104229999999998,0.11,6.4093113,10.630379,41.022391999999996,4.0845225e-07,17.33178,20.439087,18.16871,140,13.331073000000002,7,15.791472,-0.044,0.99517673,-0.004
7,7.757238,1.6139916,13.814114000000002,1.5650146,14.679739247811911,3.2041285,35.9578378200531,,,15.791472,13.917614000000002,16.624695000000003,0.11,6.859316000000001,12.520116999999999,40.572395,4.5066367e-06,17.19825,21.004177,13.009211,160,13.220631,8,15.791472,-0.048,0.99517673,-0.005
8,5.8784637,1.2896235,13.758842000000001,0.8423339,14.768291910798778,0.47325483,37.56531524658203,,,15.791472,13.919473000000002,16.958748,0.11,5.761268599999999,7.581005,35.83183,0.0007332133,17.080467000000002,11.341778999999999,19.330338,180,13.316666,9,15.791472,-0.06,0.99517673,-0.006
9,8.951953,1.252622,13.9485445,1.1213413,17.3351611583358,8.707357,39.17972755432129,,,15.791472,12.922098,16.51568,0.11,8.707357,11.213413000000001,42.240986,0.010668248,16.975187,17.027517,12.787239999999999,200,15.655868,10,15.791472,-0.067,0.99517673,-0.007
