,Iteration,TimestepsSoFar,URet,ReturnMin,DenMISELogLast,ReturnStepMax,DenMISEMeanLog,ReturnLastEpisode,IWMin,SqrtESSClassic,DenMISELogFirst,IWMean,LQGmu1,target_sum_log_mean,ReturnMax,IWFirstEpisode,IWMax,LQGmu01,Bound,IWNorm1,TimeElapsed,IWNorm2,LQGsigma,IWLastEpisode,MISE,ReturnAbsMax,ReturnMean
0,1,20,16.687925283112616,,18.60218,0.9625284,18.60218,15.058442000000001,,1.0,18.60218,1.0660752,-0.101,18.666164000000002,15.058442000000001,1.0660752,1.0660752,-0.01,61.22876,1.0660752,0.2545704841613769,1.0660752,0.11,1.0660752,16.053432,15.058442000000001,15.058442000000001
1,2,40,17.51367817996084,,21.283113,0.99566776,19.958899,15.817225,,1.4140654,18.634684,1.0916417,-0.103,20.046476000000002,15.817225,1.1074461000000002,1.1074461000000002,-0.01,50.403503,2.1832833,10.58527445793152,1.5439762,0.11,1.0758371,16.846584,15.817225,15.437834
2,3,60,17.57603094518786,,21.280480999999998,0.99692017,20.419477,15.870856,,1.6968253,18.669872,0.9920450999999999,-0.106,20.387756,15.870856,1.1598853,1.1598853,-0.011,43.47045,2.9761352999999997,11.052159309387207,1.7539433,0.11,0.7061328,15.410657,15.870856,15.582175
3,4,80,17.93235195523601,,18.577408,0.9998493,19.95647,16.201504,,1.723254,18.709066,0.7571869000000001,-0.093,19.539257,16.201504,0.47369373,1.5248703000000001,-0.009,40.155365,3.0287476000000004,11.854307651519775,1.7575747,0.11,0.44870496,11.950291,16.201504,15.737007
4,5,100,16.87215200230558,,13.829135,0.9998493,18.687878,15.237047,,1.9463929,18.597843,0.90130883,-0.113,18.373829,16.201504,1.1472603000000001,1.6236371,-0.011,39.145725,4.506544,12.604515075683596,2.3153312,0.11,0.312315,14.174141,16.201504,15.637014
5,6,120,17.589273072137125,,16.100302,0.9998493,18.239667999999998,15.881757,,1.9471254,18.62209,1.2331968999999998,-0.114,18.14527,16.201504,1.0882821000000003,3.1199572,-0.011,44.430873999999996,7.399181,13.411019325256348,3.8000536,0.11,3.1199572,19.468687,16.201504,15.677806
6,7,140,17.524278129690877,,18.651653,0.9998493,18.319859,15.821723,,2.228052,18.634623,1.1805809999999999,-0.115,18.238413,16.201504,1.0195696,2.6788914,-0.012,40.457706,8.264066999999999,14.601267576217651,3.7090998,0.11,1.5478115,18.642904,16.201504,15.698364000000002
7,8,160,17.36851000599909,,13.804967000000001,0.9998493,17.77141,15.674569,,2.4048152000000003,18.637066,1.125149,-0.117,17.64697,16.201504,0.92296326,2.5912313,-0.012,37.967566999999995,9.001192,15.789341688156128,3.7429872000000004,0.11,1.2405078,17.756239,16.201504,15.695391
8,9,180,17.373819899512846,,19.872408,0.9998493,18.01461,15.682229000000001,,2.4888074000000002,18.62847,1.0545124,-0.119,17.78343,16.201504,0.7726767,2.7150693,-0.012,36.17302,9.490611,16.747522592544556,3.8133166,0.11,1.068349,16.643782,16.201504,15.693928
9,10,200,18.317155708736106,,13.180337,0.9998493,17.533922,16.564255,,2.5847017999999995,18.605473999999997,1.1460192,-0.121,17.33784,16.564255,0.6953643,2.6043494,-0.012,37.521164,11.460192999999999,17.74558711051941,4.433855,0.11,2.6043494,18.295439000000002,16.564255,15.78096
10,11,220,17.388221934546312,,17.220976,0.9998493,17.515144,15.694087,,2.6508762999999997,18.577389,1.0533354,-0.123,17.206135,16.564255,0.5905128000000001,2.6189970000000002,-0.012,35.560726,11.586689999999999,19.02468752861023,4.370890599999999,0.11,0.77970296,16.81494,16.564255,15.773063
11,12,240,17.935321421549713,,17.86075,0.9998493,17.546104,16.20042,,2.7004479999999997,18.54267,1.0140423,-0.125,17.130463,16.564255,0.45773820000000004,2.720097,-0.013,34.64459,12.168507,19.953727245330807,4.5061064,0.11,1.4063822,16.242914000000003,16.564255,15.808675
12,13,260,18.075298066253282,,10.365102,0.9999098,16.992977,16.334543,,2.745981,18.500063,1.0873812,-0.127,16.563305,16.564255,0.3760615,2.84029,-0.013,35.59686,14.135957000000001,20.996533155441284,5.1478715,0.11,2.84029,17.500317000000003,16.564255,15.849128
13,14,280,18.082634271467175,,16.709728,0.9999561,16.976587,16.341995,,2.8197172000000004,18.454472,1.0841867,-0.129,16.461773,16.564255,0.28144600000000003,2.8428888,-0.013,35.129887,15.178614000000001,22.32357692718506,5.383026999999999,0.11,1.9956836,17.506573,16.564255,15.884332
14,15,300,17.77256484786836,,17.295588000000002,0.9999561,17.001291000000002,16.06305,,2.8621905,18.405382,1.148104,-0.132,16.437399,16.564255,0.21124694,3.0985603,-0.013,35.899746,17.22156,23.51170945167541,6.016916,0.11,3.0985603,18.53795,16.564255,15.896246
15,16,320,17.82442177072093,,16.231178,0.9999561,16.959879,16.096375,,2.8474271,18.35483,1.0673044,-0.135,16.155613,16.564255,0.11835558,3.1312664,-0.014,34.708015,17.07687,25.122592687606808,5.9972982,0.11,1.1533004,17.256207,16.564255,15.908755
