,IWMean,TimeElapsed,DenMISEMeanLog,target_sum_log_mean,LQGmu1,ReturnStepMax,IWMax,IWNorm2,Bound,ReturnMean,TimestepsSoFar,URet,ReturnMin,MISE,DenMISELogFirst,LQGmu01,ReturnMax,IWLastEpisode,IWFirstEpisode,ReturnAbsMax,IWNorm1,Iteration,ReturnLastEpisode,DenMISELogLast,LQGsigma,IWMin,SqrtESSClassic
0,,0.12450242042541505,13.511501,-1081.5807,1.0,0.99233466,,1e-10,1.5886673,15.807039999999999,20,17.497854397219367,,,13.511501,0.998,15.807039999999999,,,15.807039999999999,1e-10,1,15.807039999999999,13.511501,0.11,,1.0
1,8.5433475e-20,5.963337421417236,1.4574337,-567.3488,1.0,0.99233466,1.7086695e-19,1.4142136e-10,1.1233575,12.207691,40,9.444017119258,,7.3544059999999995e-19,12.818355,0.998,15.807039999999999,1.7086695e-19,,15.807039999999999,2e-10,2,8.608342,-9.903487,0.11,,1.4142135
2,0.5,6.123875379562378,5.331033000000001,-373.46765,1.0,0.99233466,1.5,1.5,5.8483944,10.978278999999999,60,9.357533310929476,,4.259727,12.4128895,0.998,15.807039999999999,1.5,,15.807039999999999,1.5,3,8.519454,13.889163,0.11,,1.0
3,0.6666666,6.265200853347777,7.844484,-276.0682,1.0,0.99233466,1.333334,1.885618,6.801234200000001,10.362252999999999,80,9.349345311296524,,5.677877,12.125207000000001,0.998,15.807039999999999,1.333334,,15.807039999999999,2.6666665000000003,4,8.514177,15.842417999999999,0.11,,1.4142135
4,0.75,6.420317649841309,8.211707,-218.81037999999998,1.0,0.99233466,1.25,2.1650636000000003,7.298050999999999,9.987743,100,9.320908297065099,,6.380833,11.902063,0.998,15.807039999999999,1.25,,15.807039999999999,3.75,5,8.4897,9.997811,0.11,,1.7320508000000001
5,0.8,6.5470120906829825,9.844505999999999,-179.26981999999998,1.0,0.99233466,1.2,2.4,7.602832,9.742977999999999,120,9.360986810277963,,6.8084983999999995,11.719742,0.998,15.807039999999999,1.2,,15.807039999999999,4.8,6,8.519156,18.250675,0.11,,2.0
6,0.83333343,6.682622194290161,10.228843,-151.81918000000002,1.0,0.99233466,1.166667,2.6087463,7.8023050000000005,9.566625,140,9.342529711258434,,7.091831699999999,11.565591,0.998,15.807039999999999,1.166667,,15.807039999999999,5.833334,7,8.508499,12.730482,0.11,,2.236068
7,0.857143,6.7954862117767325,10.801525999999999,-130.9533,1.0,0.99233466,1.1428573,2.7994173,7.946799,9.437872,160,9.374537785161252,,7.2982283,11.43206,0.998,15.807039999999999,1.1428573,,15.807039999999999,6.857144,8,8.5366,14.974279999999998,0.11,,2.4494898
8,0.87499976,6.920896053314209,10.991367,-114.98416999999999,1.0,0.99233466,1.1250006000000001,2.9764692999999998,8.050647,9.33521,180,9.347410026813852,,7.4501867,11.314277,0.998,15.807039999999999,1.1249995000000002,,15.807039999999999,7.8749975999999995,9,8.513926,12.651157000000001,0.11,,2.6457512000000003
9,0.88888854,7.10447883605957,11.293700999999999,-102.06138,1.0,0.99233466,1.1111116,3.1426957000000004,8.140854,9.262797,200,9.457765322130069,,7.579175,11.208917,0.998,15.807039999999999,1.1111106000000002,,15.807039999999999,8.888885499999999,10,8.611085000000001,14.138475,0.11,,2.828427
10,0.9,7.287331342697143,12.150229,-90.88115,1.0,0.99233466,1.1,3.3,8.205414999999999,9.197633999999999,220,9.38625892358411,,7.675859,11.113605999999999,0.998,15.807039999999999,1.1,,15.807039999999999,9.9,11,8.545993,20.825745,0.11,,3.0
11,0.9090908000000001,7.474254846572876,12.452988000000001,-81.97691,1.0,0.99233466,1.090909,3.449757,8.256675999999999,9.142719,240,9.379479220727518,,7.754295,11.026595,0.998,15.807039999999999,1.090909,,15.807039999999999,10.909089999999999,12,8.538658,15.882651999999998,0.11,,3.1622777
12,0.91666645,7.694326400756836,12.967692,-74.18526,1.0,0.99233466,1.0833335,3.5930092000000005,8.297447,9.095135,260,9.360806005529788,,7.8184457,10.946552,0.998,15.807039999999999,1.0833324,,15.807039999999999,11.916664,13,8.524119,19.234545,0.11,,3.3166248999999994
13,0.92307705,7.944776058197021,13.207106,-67.70942,1.0,0.99233466,1.0769233,3.7305714999999995,8.327204,9.050507000000001,280,9.301084130393486,,7.8685946,10.872444,0.998,15.807039999999999,1.0769233,,15.807039999999999,12.923079,14,8.470346000000001,16.402418,0.11,,3.4641016000000002
14,0.92857116,8.241804838180544,12.753071,-62.759319999999995,1.0,0.99233466,1.0714288,3.8630898,8.356029,9.015411,300,9.356480528754362,,7.915412,10.803452,0.998,15.807039999999999,1.0714288,,15.807039999999999,13.928567999999999,15,8.524075999999999,6.4731793,0.11,,3.6055512000000003
15,0.93333364,8.518110752105713,12.98348,-57.8009,1.0,0.99233466,1.0666671,3.9911022000000003,8.381692,8.985743,320,9.37736215181045,,7.957103,10.738913,0.998,15.807039999999999,1.0666671,,15.807039999999999,14.933338000000001,16,8.540718,16.510809,0.11,,3.7416577000000006
16,0.93750036,8.802895784378054,13.140497,-53.472626,1.0,0.99233466,1.0625004999999998,4.1150459999999995,8.4036455,8.959446,340,9.376705631716883,,7.993453,10.6782875,0.998,15.807039999999999,1.0625004999999998,,15.807039999999999,15.937505999999999,17,8.538686,15.719211999999999,0.11,,3.8729837
17,0.94117653,9.124431848526,13.391994,-49.51376,1.0,0.99233466,1.0588245,4.235294000000001,8.422924,8.936291,360,9.384558070745626,,8.025757,10.62113,0.998,15.807039999999999,1.0588226,,15.807039999999999,16.941177,18,8.542669,17.729765,0.11,,4.0000005
