,URet,LQGmu1,IWMin,DenMISELogLast,ReturnMax,IWLastEpisode,IWMax,IWMean,TimestepsSoFar,DenMISEMeanLog,LQGmu01,ReturnAbsMax,target_sum_log_mean,IWFirstEpisode,Bound,DenMISELogFirst,Iteration,LQGsigma,SqrtESSClassic,TimeElapsed,ReturnLastEpisode,ReturnStepMax,MISE,IWNorm2,ReturnMean,IWNorm1,ReturnMin
0,17.497854397219367,-0.096,,13.511501,15.807039999999999,1.1433848999999998,1.1433848999999998,1.1433848999999998,20,13.511501,-0.01,15.807039999999999,13.645494,1.1433848999999998,65.49465,13.511501,1,0.11,1.0,0.3118748664855957,15.807039999999999,0.99233466,18.073532,1.1433848999999998,15.807039999999999,1.1433848999999998,
1,17.11322983487186,-0.093,,19.628708,15.807039999999999,1.8446709,1.8446709,1.4712538999999998,40,16.604725,-0.009,15.807039999999999,16.957546,1.0978370000000002,57.52073000000001,13.580739999999999,2,0.11,1.3707513999999998,8.717218160629272,15.448792000000001,0.99233466,22.925747,2.1466386,15.627916,2.9425077,
2,16.882790868534986,-0.09,,14.126596,15.807039999999999,1.1134018,2.1568897000000002,1.4396919,60,15.87207,-0.009,15.807039999999999,16.179976999999997,1.0487839,51.322018,13.612832000000001,3,0.11,1.6334159,9.185368537902832,15.242416,0.99233466,22.290148000000002,2.6441982000000004,15.499416,4.3190756,
3,17.42631350441313,-0.085,,16.133867000000002,15.807039999999999,0.93237096,2.6541078,1.3599885,80,16.01105,-0.009,15.807039999999999,16.199366,0.90306467,48.162895,13.624954,4,0.11,1.7527813,9.73121166229248,15.732306,0.99233466,21.108109,3.1036124,15.557639000000002,5.439954,
4,16.585479145102312,-0.076,,9.387866,15.807039999999999,2.0610901999999998,3.076864,1.3206388999999998,100,14.73494,-0.008,15.807039999999999,14.674019,0.4855166,47.54172,13.605376999999999,5,0.11,1.7381778,10.352663040161133,14.994898999999998,0.99233466,20.259632,3.7989175000000004,15.445091,6.603194,
5,15.678168977810659,-0.072,,17.618458,15.807039999999999,5.494527,5.494527,1.7003112,120,15.2476425,-0.007,15.807039999999999,15.160347,0.32449862,53.559597,13.515729,6,0.11,1.6575822,10.873761415481567,14.103039,0.99233466,24.950989,6.154667400000001,15.221415499999999,10.201867,
6,16.622347461039208,-0.425,,11.888726,15.807039999999999,,,,140,14.828038000000001,-0.045,15.807039999999999,-214.1356,,17.9235,13.414249,7,0.11,2.6457512000000003,11.652852535247805,15.012432,0.99233466,,2.6457514e-10,15.19156,7.000000000000001e-10,
7,18.628296798395308,-0.418,,-3.9837858999999995,16.855396,8.346025,8.346025,1.0432531999999999,160,12.35972,-0.045,16.855396,-182.36899,,68.150635,13.280717999999998,8,0.11,1.0,12.566691875457765,16.855396,0.99995923,17.584446,8.346025,15.39954,8.346025,
8,18.98309624230005,-0.748,,11.180743,17.202360000000002,4.0649546e-08,5.156355e-06,5.7744495e-07,180,12.20342,-0.096,17.202360000000002,-344.9729,,51.197163,13.162935000000001,9,0.11,1.0080069,13.41163206100464,17.202360000000002,0.99995923,9.734631e-06,5.156616e-06,15.5998535,5.197904999999999e-06,
9,18.872956553843228,-0.733,,12.206603999999999,17.202360000000002,12.923172000000001,12.923172000000001,1.2923195,200,12.108914,-0.093,17.202360000000002,-302.5315,,73.697395,13.057574,10,0.11,1.0000018,14.218238830566404,17.09361,0.9999825999999999,22.090405,12.923172000000001,15.749228,12.923195,
10,18.98863891774662,-0.707,,19.237793,17.206703,4.577637,8.072435,1.1500255,220,12.745764,-0.088,17.206703,-263.05057,,57.572784,12.962264,11,0.11,1.3631722,15.30288815498352,17.206703,0.9999825999999999,19.705147,9.280031,15.881726,12.65028,
11,18.9219036028948,-0.63,,14.280942000000001,17.206703,6.6752205,6.6752205,0.95362943,240,12.868793499999999,-0.074,17.206703,-210.19849,,50.920190000000005,12.875253,12,0.11,1.4926993,16.316721439361572,17.142542000000002,0.9999825999999999,16.33847,7.6663485,15.986794,11.443553,
12,19.003275803341978,-0.547,,18.669674,17.220388,0.38121355,1.4910305,0.2632312,260,13.302504999999998,-0.061,17.220388,-161.31284,,31.37653,12.79521,13,0.11,1.9221166,17.479471683502194,17.220388,0.9999825999999999,4.499303299999999,1.7803319,16.081685999999998,3.4220053999999998,
13,18.91930015705119,-0.514,,14.359576,17.220388,7.3501270000000005,7.3501270000000005,0.8127186,280,13.327368,-0.057,17.220388,-136.40747,,48.922287,12.721102,14,0.11,1.4751301,18.446978092193607,17.139517,0.9999825999999999,13.900856,7.713259,16.157246,11.378060000000001,
14,19.021951384014844,-0.532,,6.8250833,17.238873,1.1065271,5.45024,0.66065854,300,12.875935,-0.059,17.238873,-133.18477,,41.62345,12.652109,15,0.11,1.7063171000000001,19.940500020980835,17.238873,0.9999825999999999,11.314536,5.807759,16.229353,9.909877999999999,
15,18.973686803456896,-0.698,,15.157504999999999,17.238873,0.19109556,5.206422,1.3561777,320,12.995445,-0.086,17.238873,-173.85166999999998,,46.061333000000005,12.587571,16,0.11,2.2713592,21.499990224838253,17.19136,0.9999825999999999,23.292313,9.553242,16.289478,21.698843,
16,18.94347499194196,-0.418,,14.534927,17.238873,1.675326e-05,7.095733,0.8845659,340,13.099815,-0.044,17.238873,-80.80083499999999,,48.985214,12.526946,17,0.11,1.5251118000000001,22.60789275169373,17.162032999999997,0.9999825999999999,15.075163,9.860012,16.340805,15.037621,
