,TimestepsSoFar,ReturnStepMax,ReturnLastEpisode,DenMISELogFirst,MISE,SqrtESSClassic,ReturnMean,IWMax,TimeElapsed,Bound,URet,DenMISELogLast,IWFirstEpisode,Iteration,LQGmu1,DenMISEMeanLog,IWMin,ReturnMin,IWNorm1,LQGsigma,IWMean,IWNorm2,IWLastEpisode,target_sum_log_mean,ReturnMax,LQGmu01,ReturnAbsMax
0,20,0.99262077,15.644507999999998,17.102016,14.944703,1.0,15.644507999999998,0.9552683000000001,0.16241145133972168,16.517035,17.332240856619553,17.102016,0.9552683000000001,1,-0.103,17.102016,,,0.9552683000000001,0.11,0.9552683000000001,0.9552683000000001,0.9552683000000001,17.056252999999998,15.644507999999998,-0.01,15.644507999999998
1,40,0.9980244,15.487233999999999,17.079397,4.454609,1.4128653999999998,15.565871,0.2987489,4.568134784698486,5.5674767,17.16873953732278,10.657567,0.27373332,2,-0.079,13.868483,,,0.5724821999999999,0.11,0.28624109999999997,0.40519235,0.2987489,12.616605999999999,15.644507999999998,-0.008,15.644507999999998
2,60,0.9980244,15.601442,16.802208,7.8046393,1.668527,15.577728,0.6207803000000001,4.998841285705566,8.746986,17.280815146568553,12.850955,0.5775602,3,-0.083,13.348161,,,1.5037034,0.11,0.5012345,0.9012161,0.30536285,12.610836,15.644507999999998,-0.008,15.644507999999998
3,80,0.9980244,15.207032,16.690594,13.371170999999999,1.9322974999999998,15.485054000000002,1.1899962,5.371778964996338,14.184882,16.85604027862875,16.694435000000002,0.8437903,4,-0.086,14.084238000000001,,,3.4624631,0.11,0.8656158000000002,1.7918893,1.1899962,13.901333,15.644507999999998,-0.009,15.644507999999998
4,100,0.9980244,15.114329999999999,16.658854,18.041534,2.2123315,15.410910000000001,1.3479333,5.64219069480896,18.752247,16.761677211442294,19.827560000000002,1.1291808,5,-0.089,15.2102,,,5.863430999999999,0.11,1.1726862,2.6503400000000004,1.3479333,15.357767,15.644507999999998,-0.009,15.644507999999998
5,120,0.9980244,15.467439,16.680155,20.608017,2.4284375,15.420331,1.493793,5.919419527053832,21.255484,17.134215915748364,17.369974,1.4554493,6,-0.095,15.593482,,,8.007532000000001,0.11,1.3345886,3.2974010000000002,1.2834133,15.872195999999999,15.644507999999998,-0.01,15.644507999999998
6,140,0.9980244,14.634448999999998,16.74319,8.068833,1.2072488000000001,15.308062,3.150752,6.301532506942749,9.371243,16.227557856936063,15.072217000000002,0.05482399,7,-0.067,15.5587845,,,3.8293477999999994,0.11,0.5470497,3.1719625,3.150752,13.5477295,15.644507999999998,-0.007,15.644507999999998
7,160,0.9980244,15.389842000000002,16.61746,9.437380000000001,1.8140831999999998,15.318285000000001,2.5486944,6.591128349304199,10.304116,17.03728868069184,15.477549,0.23445158,8,-0.074,15.490195000000002,,,5.041071,0.11,0.63013387,2.7788532000000004,0.23475093,14.550004000000001,15.644507999999998,-0.007,15.644507999999998
8,180,0.9980244,15.251701,16.528563000000002,12.459002,2.6733189,15.310885999999998,1.7075717000000001,6.888437271118164,13.047158999999999,16.89449309987038,20.738229999999998,0.5032989,9,-0.079,16.032948,,,7.3902472999999995,0.11,0.8211386,2.7644467,1.0930648,15.706665,15.644507999999998,-0.008,15.644507999999998
9,200,0.9980244,14.867424,16.477617000000002,16.351416,3.070625,15.266541,1.4779972,7.215762853622436,16.863472,16.4479554498291,8.846939,0.8498114999999999,10,-0.083,15.297304,,,10.745115,0.11,1.0745115,3.499325,1.4779972,15.335351999999999,15.644507999999998,-0.008,15.644507999999998
10,220,0.9980244,15.441978,16.46387,19.486902,3.24558,15.28249,1.4926239,7.727809190750122,19.971355,17.111441728056782,15.999153,1.3814998,11,-0.089,15.366985000000001,,,13.986984,0.11,1.271544,4.309548400000001,1.2029538999999998,15.572219,15.644507999999998,-0.009,15.644507999999998
11,240,0.9980244,14.863909,16.495165,,3.4641013,15.247608,,7.938152551651001,0.45389324,16.498694614893875,14.108606,,12,0.269,15.282407000000001,,,1.2e-09,0.11,,3.4641017999999997e-10,,-393.5117,15.644507999999998,0.028,15.644507999999998
12,260,0.9980244,8.88809,16.415123,1.7311673e-19,3.6055512000000003,14.758413000000001,2.5320598e-19,8.125308513641357,0.4360865,9.750410301350449,-11.77529,,13,0.269,13.127161,,,1.3e-09,0.11,1.9477383000000003e-20,3.6055514e-10,2.5320598e-19,-367.4412,15.644507999999998,0.028,15.644507999999998
13,280,0.9980244,8.69932,16.341015,7.3703732,1.0,14.325622000000001,11.861299,8.201476097106934,8.942705,9.555542690731743,13.700353,,14,0.276,13.099289,,,11.861299,0.11,0.8472356,11.861299,11.861299,-349.7395,15.644507999999998,0.028,15.644507999999998
14,300,0.9980244,8.743651,16.272022,5.178164499999999,1.0132854,13.953489999999999,8.810122999999999,8.404001474380491,6.7298813,9.605805681203345,11.7487955,,15,0.308,12.985775,,,8.927968,0.11,0.59519786,8.810911,0.11784447,-367.80800000000005,15.644507999999998,0.032,15.644507999999998
